	S23Hp	w7pp	s28pp	f6ppB	31600	31379	F7H1	S16H2	530119	f11pp	w17pp	s3pp	S10H1	w9pp
S23Hp	0.0	0.3677608147244135	0.43348621140669613	0.4719815922270104	0.6425195168912333	0.6382994101859145	0.6511807583137711	0.736758748608384	0.631594625367093	0.4816040053864924	0.5086817122915929	0.5848047241469105	0.6994559978462894	0.3276650447665898
w7pp	0.3677608147244135	0.0	0.2637549490542651	0.30225032987457934	0.4727882545388023	0.46856814783348344	0.48144949596134007	0.567027486255953	0.4618633630146619	0.3118727430340613	0.3389504499391618	0.41507346179447946	0.5297247354938583	0.15793378241415879
s28pp	0.43348621140669613	0.2637549490542651	0.0	0.29834980460145677	0.46888772926567973	0.46466762256036087	0.4775489706882175	0.5631269609828304	0.45796283774153934	0.30797221776093875	0.3350499246660392	0.4111729365213569	0.5258242102207358	0.15403325714103622
f6ppB	0.4719815922270104	0.30225032987457934	0.29834980460145677	0.0	0.3864466375347265	0.38222653082940766	0.41433963312213096	0.4999176234167439	0.4169805540860447	0.26698993410544414	0.2940676410105446	0.40046133004082757	0.5151126037402065	0.15753156430448192
31600	0.6425195168912333	0.4727882545388023	0.46888772926567973	0.3864466375347265	0.0	0.4698760266452579	0.5848775577863539	0.6704555480809669	0.5875184787502676	0.43752785876966704	0.4646055656747675	0.5709992547050504	0.6856505284044294	0.32806948896870486
31379	0.6382994101859145	0.46856814783348344	0.46466762256036087	0.38222653082940766	0.4698760266452579	0.0	0.580657451081035	0.6662354413756479	0.5832983720449487	0.4333077520643482	0.46038545896944866	0.5667791479997316	0.6814304216991105	0.323849382263386
F7H1	0.6511807583137711	0.48144949596134007	0.4775489706882175	0.41433963312213096	0.5848775577863539	0.580657451081035	0.0	0.6059162665302131	0.5961797201728054	0.4461891001922048	0.4732668070973053	0.5796604961275882	0.6943117698269672	0.3367307303912426
S16H2	0.736758748608384	0.567027486255953	0.5631269609828304	0.4999176234167439	0.6704555480809669	0.6662354413756479	0.6059162665302131	0.0	0.6817577104674183	0.5317670904868177	0.5588447973919182	0.6652384864222012	0.7798897601215802	0.42230872068585557
530119	0.631594625367093	0.4618633630146619	0.45796283774153934	0.4169805540860447	0.5875184787502676	0.5832983720449487	0.5961797201728054	0.6817577104674183	0.0	0.3919253549409686	0.41900306184606906	0.5600743631809101	0.674725636880289	0.31714459744456447
f11pp	0.4816040053864924	0.3118727430340613	0.30797221776093875	0.26698993410544414	0.43752785876966704	0.4333077520643482	0.4461891001922048	0.5317670904868177	0.3919253549409686	0.0	0.23411297368733042	0.41008374320030955	0.5247350168996885	0.1671539774639639
w17pp	0.5086817122915929	0.3389504499391618	0.3350499246660392	0.2940676410105446	0.4646055656747675	0.46038545896944866	0.4732668070973053	0.5588447973919182	0.41900306184606906	0.23411297368733042	0.0	0.43716145010541	0.551812723804789	0.19423168436906438
s3pp	0.5848047241469105	0.41507346179447946	0.4111729365213569	0.40046133004082757	0.5709992547050504	0.5667791479997316	0.5796604961275882	0.6652384864222012	0.5600743631809101	0.41008374320030955	0.43716145010541	0.0	0.5316468103008263	0.270354696224382
S10H1	0.6994559978462894	0.5297247354938583	0.5258242102207358	0.5151126037402065	0.6856505284044294	0.6814304216991105	0.6943117698269672	0.7798897601215802	0.674725636880289	0.5247350168996885	0.551812723804789	0.5316468103008263	0.0	0.38500596992376096
w9pp	0.3276650447665898	0.15793378241415879	0.15403325714103622	0.15753156430448192	0.32806948896870486	0.323849382263386	0.3367307303912426	0.42230872068585557	0.31714459744456447	0.1671539774639639	0.19423168436906438	0.270354696224382	0.38500596992376096	0.0
