	S1Hp	F22HpB	S4Hp	s32pp	s28pp	s24pp	F14H1B	s12pp	s30pp	w14pp	w2pp	F6H1	F16H1	F7H1	S23Hp	F14H1A	S3Hp	S9H1	s2pp	S10H1	S8Hp
S1Hp	0.0	0.7676473023899166	0.6299549463921656	0.6554133596392915	0.6491116337130589	0.620850256981501	0.6872645023822974	0.6479391269497049	0.6196322257559657	0.6784288739935053	0.7700087890277024	0.7293944870126764	0.7666234225407884	0.7347552657428607	0.7633212212203873	0.7934470836392834	0.7726533912020772	0.7488943773124721	0.630692026597627	0.7065477751998932	0.6611236769236861
F22HpB	0.7676473023899166	0.0	0.36104101982035786	0.45655127676383334	0.45024955083760065	0.4219881741060428	0.48840241950683927	0.4490770440742467	0.4207701428805074	0.47956679111804706	0.5711467061522442	0.5305324041372181	0.5677613396653303	0.5358931828674025	0.5644591383449291	0.5945850007638251	0.5737913083266191	0.550032294437014	0.4318299437221689	0.507685692324435	0.534877833928651
S4Hp	0.6299549463921656	0.36104101982035786	0.0	0.31885892076608224	0.31255719483984956	0.2842958181082917	0.3507100635090882	0.3113846880764956	0.2830777868827563	0.34187443512029597	0.43345435015449313	0.3928400481394671	0.4300689836675792	0.39820082686965136	0.42676678234717796	0.4568926447660741	0.4360989523288679	0.4123399384392628	0.2941375877244178	0.36999333632668385	0.39718547793089987
s32pp	0.6554133596392915	0.45655127676383334	0.31885892076608224	0.0	0.14988540945386375	0.18790505001554308	0.2543192954163396	0.24866524800055523	0.22035834680681587	0.30546177449628326	0.3970416895304804	0.3564273875154544	0.39365632304356646	0.36178816624563864	0.39035412172316525	0.4204799841420614	0.3996862917048552	0.3759272778152501	0.25772492710040507	0.35333147191885794	0.4226438911780258
s28pp	0.6491116337130589	0.45024955083760065	0.31255719483984956	0.14988540945386375	0.0	0.1816033240893104	0.2480175694901069	0.24236352207432255	0.21405662088058322	0.2991600485700506	0.39073996360424773	0.3501256615892217	0.3873545971173338	0.35548644031940596	0.38405239579693257	0.4141782582158287	0.3933845657786225	0.3696255518890174	0.2514232011741724	0.34702974599262526	0.41634216525179313
s24pp	0.620850256981501	0.4219881741060428	0.2842958181082917	0.18790505001554308	0.1816033240893104	0.0	0.18760604351703933	0.21410214534276464	0.18579524414902532	0.2708986718384927	0.36247858687268986	0.32186428485766383	0.35909322038577585	0.3272250635878481	0.3557910190653747	0.38591688148427084	0.36512318904706464	0.34136417515745954	0.22316182444261448	0.31876836926106733	0.3880807885202353
F14H1B	0.6872645023822974	0.48840241950683927	0.3507100635090882	0.2543192954163396	0.2480175694901069	0.18760604351703933	0.0	0.28051639074356116	0.2522094895498218	0.3373129172392892	0.42889283227348635	0.3882785302584603	0.4255074657865724	0.3936393089886446	0.4222052644661712	0.4523311268850673	0.43153743444786113	0.407778420558256	0.289576069843411	0.3851826146618639	0.45449503392103174
s12pp	0.6479391269497049	0.4490770440742467	0.3113846880764956	0.24866524800055523	0.24236352207432255	0.21410214534276464	0.28051639074356116	0.0	0.17740359672096412	0.2979875418066966	0.3895674568408938	0.34895315482586775	0.3861820903539798	0.354313933556052	0.3828798890335786	0.41300575145247476	0.39221205901526857	0.36845304512566346	0.25025069441081843	0.34585723922927125	0.41516965848843923
s30pp	0.6196322257559657	0.4207701428805074	0.2830777868827563	0.22035834680681587	0.21405662088058322	0.18579524414902532	0.2522094895498218	0.17740359672096412	0.0	0.26968064061295727	0.3612605556471544	0.3206462536321284	0.35787518916024047	0.32600703236231265	0.35457298783983926	0.3846988502587354	0.3639051578215292	0.3401461439319241	0.22194379321707908	0.31755033803553195	0.3868627572946999
w14pp	0.6784288739935053	0.47956679111804706	0.34187443512029597	0.30546177449628326	0.2991600485700506	0.2708986718384927	0.3373129172392892	0.2979875418066966	0.26968064061295727	0.0	0.25065046226842314	0.21003616025339708	0.24726509578150915	0.21539693898358134	0.24396289446110794	0.2740887568800041	0.2532950644427979	0.22953605055319282	0.1785152322596369	0.3763469862730716	0.4456594055322396
w2pp	0.7700087890277024	0.5711467061522442	0.43345435015449313	0.3970416895304804	0.39073996360424773	0.36247858687268986	0.42889283227348635	0.3895674568408938	0.3612605556471544	0.25065046226842314	0.0	0.15734576259759725	0.25915742537839054	0.22728926858046272	0.25585522405798933	0.28598108647688547	0.2651873940396793	0.3014042290101522	0.270095147293834	0.46792690130726877	0.5372393205664368
F6H1	0.7293944870126764	0.5305324041372181	0.3928400481394671	0.3564273875154544	0.3501256615892217	0.32186428485766383	0.3882785302584603	0.34895315482586775	0.3206462536321284	0.21003616025339708	0.15734576259759725	0.0	0.2185431233633645	0.1866749665654367	0.2152409220429633	0.24536678446185942	0.22457309202465323	0.2607899269951262	0.22948084527880797	0.42731259929224275	0.4966250185514107
F16H1	0.7666234225407884	0.5677613396653303	0.4300689836675792	0.39365632304356646	0.3873545971173338	0.35909322038577585	0.4255074657865724	0.3861820903539798	0.35787518916024047	0.24726509578150915	0.25915742537839054	0.2185431233633645	0.0	0.19932921063187636	0.22789516610940297	0.25802102852829906	0.23722733609109287	0.2980188625232383	0.26670978080692004	0.4645415348203549	0.5338539540795227
F7H1	0.7347552657428607	0.5358931828674025	0.39820082686965136	0.36178816624563864	0.35548644031940596	0.3272250635878481	0.3936393089886446	0.354313933556052	0.32600703236231265	0.21539693898358134	0.22728926858046272	0.1866749665654367	0.19932921063187636	0.0	0.07365345085874342	0.16983857729498472	0.1490448848577785	0.2661507057253104	0.23484162400899222	0.432673378022427	0.501985797281595
