	S14Hp	w32pp	w8pp	w16pp	S10H1	S16H2	S13Hp	s20pp	F7H1	f14ppA	w6pp	f22ppB	f11pp	f31pp	w4pp	f4pp	f18pp	f23ppA	F14H1A	S31Hp	f17ppA	S2Hp	f20ppA	f30pp	w21pp	w3pp	w1pp	s3pp	w10pp	f16ppA	f21pp	s2pp	w2pp	f25pp	f14ppB	f6ppB	f8pp	f23ppB	w12pp	f12ppB	f32pp	w25pp	w18pp	f1pp	f2pp	f17ppB	w17pp	f10pp	f13pp	w28pp	f22ppA	w22pp	S22Hp	w14pp	w11pp	w20pp	f7pp	w13pp	f19pp	w19pp	F14H1B	S28Hp	w23pp	w24pp	w27pp	w29pp	w26pp	f15pp	f9pp	S3Hp	S18H1	F6H1	S6Hp	f26pp	w31pp	w9pp	f6ppA	f24pp	f12ppA	f20ppB	w15pp	s12pp	s24pp	s17pp	s29pp	w7pp	s30pp	s28pp	s25pp
S14Hp	0.0	0.21040178489486364	0.21474945091537648	0.22653031175891938	0.4228377953112875	0.43800230439487275	0.38793972173432817	0.34860116124202023	0.4090014985266173	0.2705410428174046	0.32624249096333235	0.3028250306277935	0.29542988160148653	0.36329741926029874	0.3254726177662002	0.34307461109297455	0.3400778657074034	0.3293380368480926	0.4124560332081537	0.43366260087570124	0.3939013319674821	0.4990133725349969	0.30196711617211835	0.309910718680223	0.37338862225229863	0.38992859156190207	0.399126704841669	0.37377707850210473	0.32812969300193817	0.3202049255371653	0.3475145288378182	0.34939818555827246	0.3418095959822737	0.30196611617161834	0.3014480490797821	0.29693694425239614	0.3062460722918509	0.32025428078914275	0.31734269679623905	0.28883889010920966	0.30575546549038907	0.27917757787553404	0.2769973660328307	0.26861038161498874	0.2699789716231392	0.2697563706066597	0.2563850692536081	0.2563850692536081	0.2837004089722567	0.23952769634219617	0.2557530380302331	0.2740637264673538	0.3694132440986895	0.24450480720178466	0.23638966624599583	0.24099913213519278	0.24099913213519278	0.272288478466405	0.2925544399099199	0.3374257828559639	0.4407780712181055	0.4012686256137756	0.2759889939643435	0.26781071503845494	0.2756190543606995	0.2627760689843686	0.26032685960856305	0.30504800863447745	0.31942688961313537	0.3942467842370841	0.471671527173645	0.38934993414006625	0.3727467767362612	0.3208411778466391	0.29028442789691855	0.260325859608063	0.24479775319092262	0.2414254204105	0.23439728582964037	0.2744761181821941	0.2478890999513577	0.24664774855775576	0.2405530909198744	0.3857060936569765	0.292261537927624	0.2706200964683988	0.28219226737409064	0.2837728571681963	0.23872034604882914
w32pp	0.21040178489486364	0.0	0.04360497714612324	0.05538583798966616	0.2516933215420343	0.2668578306256195	0.21679524796507496	0.17745668747276702	0.23785702475736412	0.09939656904815138	0.15509801719407915	0.13168055685854024	0.1242854078322333	0.19215294549104553	0.15432814399694697	0.17193013732372137	0.16893339193815016	0.1581935630788394	0.2413115594389005	0.262518127106448	0.22275685819822894	0.3278688987657436	0.13082264240286515	0.1387662449109698	0.20224414848304542	0.21878411779264884	0.22798223107241583	0.20263260473285152	0.156985219232685	0.1490604517679121	0.176370055068565	0.17825371178901925	0.17066512221302046	0.1308216424023651	0.13030357531052889	0.12579247048314293	0.1351015985225977	0.14910980701988957	0.14619822302698582	0.11769441633995643	0.13461099172113583	0.1080331041062808	0.10585289226357746	0.09746590784573549	0.09883449785388596	0.09861189683740648	0.08524059548435485	0.08524059548435485	0.11255593520300347	0.06838322257294295	0.08460856426097987	0.10291925269810055	0.1982687703294363	0.07336033343253144	0.06524519247674261	0.06985465836593956	0.06985465836593956	0.10114400469715179	0.12140996614066668	0.16628130908671068	0.26963359744885224	0.23012415184452237	0.10484452019509027	0.0966662412692017	0.10447458059144628	0.0916315952151154	0.08918238583930979	0.13390353486522424	0.14828241584388213	0.22310231046783088	0.30052705340439173	0.21820546037081304	0.20160230296700804	0.14969670407738592	0.11913995412766533	0.08918138583880976	0.07365327942166938	0.07028094664124677	0.06325281206038715	0.10333164441294085	0.07674462618210445	0.07550327478850252	0.06940861715062116	0.21456161988772332	0.12111706415837077	0.09947562269914559	0.11104779360483742	0.11262838339894306	0.07244536954385143
w8pp	0.21474945091537648	0.04360497714612324	0.0	0.054503479777343336	0.2508109633297115	0.2659754724132967	0.21591288975275214	0.1765743292604442	0.2369746665450413	0.09851421083582855	0.15421565898175632	0.1307981986462174	0.12340304961991047	0.1912705872787227	0.15344578578462414	0.17104777911139854	0.16805103372582733	0.15731120486651656	0.24042920122657768	0.2616357688941252	0.2218744999859061	0.32698654055342075	0.1299402841905423	0.13788388669864696	0.2013617902707226	0.217901759580326	0.227099872860093	0.2017502465205287	0.15610286102036217	0.14817809355558928	0.1754876968562422	0.17737135357669642	0.16978276400069764	0.12993928419004228	0.12942121709820603	0.1249101122708201	0.13421924031027485	0.14822744880756675	0.14531586481466297	0.11681205812763361	0.13372863350881298	0.10715074589395797	0.10497053405125463	0.09658354963341266	0.09795213964156313	0.09772953862508366	0.08435823727203202	0.08435823727203202	0.11167357699068065	0.06750086436062012	0.08372620604865705	0.10203689448577773	0.19738641211711347	0.07247797522020862	0.06436283426441979	0.06897230015361673	0.06897230015361673	0.10026164648482896	0.12052760792834386	0.16539895087438786	0.26875123923652944	0.22924179363219954	0.10396216198276745	0.09578388305687888	0.10359222237912345	0.09074923700279257	0.08830002762698697	0.1330211766529014	0.1474000576315593	0.22221995225550806	0.2996446951920689	0.2173231021584902	0.20071994475468521	0.1488143458650631	0.1182575959153425	0.08829902762648693	0.07277092120934656	0.06939858842892395	0.06237045384806432	0.10244928620061802	0.07586226796978163	0.0746209165761797	0.06852625893829833	0.2136792616754005	0.12023470594604795	0.09859326448682276	0.1101654353925146	0.11174602518662023	0.07679303556436426
w16pp	0.22653031175891938	0.05538583798966616	0.054503479777343336	0.0	0.24525200778051623	0.26041651686410144	0.21035393420355689	0.17101537371124895	0.23141571099584604	0.09295525528663331	0.14865670343256107	0.12523924309702217	0.11784409407071522	0.18571163172952745	0.1478868302354289	0.1654888235622033	0.16249207817663208	0.1517522493173213	0.23487024567738243	0.25607681334492993	0.21631554443671086	0.3214275850042255	0.12438132864134707	0.13232493114945174	0.19580283472152735	0.21234280403113076	0.22154091731089776	0.19619129097133345	0.15054390547116692	0.14261913800639403	0.16992874130704694	0.17181239802750117	0.1642238084515024	0.12438032864084703	0.12386226154901081	0.11935115672162486	0.12866028476107963	0.1426684932583715	0.13975690926546774	0.11125310257843837	0.12816967795961776	0.10159179034476273	0.0994115785020594	0.09102459408421743	0.09239318409236788	0.09217058307588841	0.07879928172283679	0.07879928172283679	0.1061146214414854	0.06194190881142488	0.0781672504994618	0.09647793893658249	0.19182745656791822	0.06691901967101338	0.058803878715224536	0.0634133446044215	0.0634133446044215	0.09470269093563372	0.1149686523791486	0.1598399953251926	0.26319228368733416	0.2236828380830043	0.0984032064335722	0.09022492750768363	0.09803326682992822	0.08519028145359733	0.08274107207779172	0.12746222110370617	0.14184110208236406	0.2166609967063128	0.29408573964287366	0.21176414660929496	0.19516098920548997	0.14325539031586784	0.11269864036614727	0.0827400720772917	0.06721196566015131	0.06383963287972871	0.05681149829886908	0.09689033065142277	0.07030331242058638	0.06906196102698445	0.06296730338910309	0.20812030612620525	0.11467575039685271	0.09303430893762751	0.10460647984331936	0.106187069637425	0.0885738964079072
S10H1	0.4228377953112875	0.2516933215420343	0.2508109633297115	0.24525200778051623	0.0	0.40737537246619715	0.38146560881096203	0.34212704831865404	0.4025273856032512	0.27055446473731	0.32625591288323774	0.3028384525476988	0.2954433035213919	0.3633108411802041	0.32548603968610557	0.34308803301287993	0.3400912876273088	0.329351458767998	0.4124694551280591	0.43367602279560663	0.3939147538873875	0.4990267944549022	0.30198053809202374	0.3099241406001284	0.373402044172204	0.38994201348180746	0.3991401267615744	0.3737905004220101	0.32814311492184356	0.3202183474570707	0.3475279507577236	0.34941160747817784	0.34182301790217906	0.3019795380915237	0.30146147099968745	0.2969503661723015	0.3062594942117563	0.32026770270904814	0.31735611871614444	0.28885231202911504	0.3057688874102944	0.2791909997954394	0.27701078795273604	0.2686238035348941	0.26999239354304455	0.2697697925265651	0.25639849117351343	0.25639849117351343	0.28371383089216207	0.23954111826210156	0.25576645995013847	0.27407714838725916	0.36942666601859486	0.24451822912169005	0.23640308816590122	0.24101255405509817	0.24101255405509817	0.2723019003863104	0.2925678618298253	0.3374392047758693	0.44079149313801086	0.40128204753368096	0.2760024158842489	0.2678241369583603	0.2756324762806049	0.262789490904274	0.2603402815284684	0.30506143055438284	0.31944031153304075	0.3942602061569895	0.4716849490935503	0.38936335605997163	0.3727601986561666	0.3208545997665445	0.29029784981682394	0.26033928152796837	0.244811175110828	0.24143884233040538	0.23441070774954575	0.27448954010209947	0.24790252187126305	0.2502973311036418	0.2442026734657604	0.3893556762028626	0.29591112047351004	0.27426967901428484	0.2858418499199767	0.2874224397140823	0.2848813799602753
S16H2	0.43800230439487275	0.2668578306256195	0.2659754724132967	0.26041651686410144	0.40737537246619715	0.0	0.3966301178945473	0.35729155740223933	0.41769189468683643	0.28571897382089523	0.341420421966823	0.31800296163128405	0.31060781260497716	0.37847535026378937	0.3406505487696908	0.3582525420964652	0.355255796710894	0.3445159678515832	0.42763396421164435	0.4488405318791919	0.40907926297097275	0.5141913035384875	0.317145047175609	0.32508864968371365	0.38856655325578926	0.4051065225653927	0.41430463584515964	0.38895500950559536	0.3433076240054288	0.3353828565406559	0.3626924598413088	0.3645761165617631	0.3569875269857643	0.31714404717510897	0.3166259800832727	0.31211487525588677	0.32142400329534154	0.3354322117926334	0.3325206277997297	0.3040168211127003	0.32093339649387964	0.2943555088790246	0.2921752970363213	0.28378831261847937	0.2851569026266298	0.2849343016101503	0.2715630002570987	0.2715630002570987	0.2988783399757473	0.2547056273456868	0.2709309690337237	0.2892416574708444	0.3845911751021801	0.2596827382052753	0.25156759724948646	0.2561770631386834	0.2561770631386834	0.28746640946989566	0.30773237091341055	0.35260371385945455	0.4559560022215961	0.4164465566172662	0.29116692496783414	0.28298864604194557	0.29079698536419013	0.27795399998785925	0.27550479061205363	0.3202259396379681	0.334604820616626	0.4094247152405747	0.48684945817713554	0.4045278651435569	0.38792470773975185	0.33601910885012976	0.3054623589004092	0.2755037906115536	0.25997568419441325	0.25660335141399065	0.249575216833131	0.2896540491856847	0.2630670309548483	0.265461840187227	0.25936718254934565	0.40452018528644784	0.3110756295570953	0.2894341880978701	0.30100635900356193	0.30258694879766757	0.30004588904386054
S13Hp	0.38793972173432817	0.21679524796507496	0.21591288975275214	0.21035393420355689	0.38146560881096203	0.3966301178945473	0.0	0.19257101896398282	0.3310937109716833	0.23565639116035064	0.2913578393062784	0.2679403789707395	0.2605452299444326	0.3284127676032448	0.2905879661091462	0.30818995943592065	0.3051932140503494	0.29445338519103864	0.37757138155109976	0.3987779492186473	0.3590166803104282	0.4641287208779429	0.2670824645150644	0.27502606702316906	0.3385039705952447	0.35504393990484806	0.3642420531846151	0.3388924268450508	0.29324504134488427	0.2853202738801114	0.3126298771807643	0.3145135339012185	0.3069249443252197	0.2670814645145644	0.26656339742272817	0.2620522925953422	0.27136142063479696	0.28536962913208885	0.28245804513918504	0.2539542384521557	0.2708708138333351	0.24429292621848006	0.24211271437577672	0.23372572995793475	0.2350943199660852	0.23487171894960573	0.22150041759655412	0.22150041759655412	0.24881575731520272	0.20464304468514222	0.22086838637317913	0.23917907481029982	0.3345285924416356	0.2096201555447307	0.20150501458894188	0.20611448047813882	0.20611448047813882	0.23740382680935107	0.25766978825286596	0.3025411311989099	0.4058934195610515	0.3663839739567216	0.24110434230728955	0.23292606338140098	0.24073440270364554	0.22789141732731466	0.22544220795150904	0.2701633569774235	0.28454223795608136	0.35936213258003014	0.43678687551659096	0.3544652824830123	0.3378621250792073	0.28595652618958517	0.2553997762398646	0.22544120795100903	0.20991310153386866	0.20654076875344604	0.1995126341725864	0.23959146652514013	0.2130044482943037	0.21539925752668243	0.20930459988880107	0.3544576026259032	0.2610130468965507	0.2393716054373255	0.25094377634301734	0.252524366137123	0.24998330638331595
s20pp	0.34860116124202023	0.17745668747276702	0.1765743292604442	0.17101537371124895	0.34212704831865404	0.35729155740223933	0.19257101896398282	0.0	0.29175515047937534	0.1963178306680427	0.25201927881397046	0.22860181847843156	0.22120666945212464	0.28907420711093684	0.2512494056168383	0.26885139894361265	0.2658546535580415	0.2551148246987307	0.3382328210587918	0.35943938872633935	0.3196781198181202	0.42479016038563494	0.22774390402275646	0.23568750653086112	0.29916541010293674	0.3157053794125402	0.3249034926923071	0.29955386635274284	0.2539064808525763	0.24598171338780342	0.2732913166884563	0.27517497340891056	0.2675863838329118	0.22774290402225644	0.2272248369304202	0.22271373210303425	0.23202286014248902	0.2460310686397809	0.24311948464687713	0.21461567795984776	0.23153225334102714	0.20495436572617212	0.20277415388346878	0.1943871694656268	0.19575575947377727	0.1955331584572978	0.18216185710424618	0.18216185710424618	0.20947719682289478	0.16530448419283428	0.1815298258808712	0.19984051431799188	0.2951900319493276	0.17028159505242277	0.16216645409663394	0.16677591998583088	0.16677591998583088	0.19806526631704313	0.21833122776055802	0.263202570706602	0.3665548590687436	0.3270454134644137	0.20176578181498162	0.19358750288909304	0.2013958422113376	0.18855285683500672	0.1861036474592011	0.23082479648511556	0.24520367746377345	0.3200235720877222	0.397448315024283	0.31512672199070435	0.2985235645868993	0.24661796569727723	0.21606121574755666	0.1861026474587011	0.17057454104156072	0.1672022082611381	0.16017407368027847	0.2002529060328322	0.17366588780199577	0.1760606970343745	0.16996603939649313	0.3151190421335953	0.22167448640424275	0.20003304494501756	0.2116052158507094	0.21318580564481504	0.210644745891008
F7H1	0.4090014985266173	0.23785702475736412	0.2369746665450413	0.23141571099584604	0.4025273856032512	0.41769189468683643	0.3310937109716833	0.29175515047937534	0.0	0.2567181679526398	0.31241961609856755	0.2890021557630287	0.28160700673672173	0.34947454439553394	0.3116497429014354	0.3292517362282098	0.32625499084263854	0.3155151619833278	0.3986331583433889	0.41983972601093644	0.38007845710271737	0.48519049767023203	0.28814424130735355	0.2960878438154582	0.35956574738753383	0.3761057166971372	0.38530382997690427	0.35995420363733993	0.3143068181371734	0.30638205067240054	0.33369165397305345	0.33557531069350766	0.3279867211175089	0.28814324130685354	0.2876251742150173	0.28311406938763134	0.2924231974270861	0.306431405924378	0.3035198219314742	0.27501601524444486	0.29193259062562427	0.26535470301076924	0.2631744911680659	0.2547875067502239	0.25615609675837436	0.2559334957418949	0.24256219438884327	0.24256219438884327	0.2698775341074919	0.22570482147743137	0.24193016316546828	0.260240851602589	0.35559036923392473	0.23068193233701986	0.22256679138123103	0.22717625727042798	0.22717625727042798	0.2584656036016402	0.2787315650451551	0.32360290799119906	0.42695519635334067	0.3874457507490108	0.2621661190995787	0.25398784017369014	0.2617961794959347	0.24895319411960382	0.2465039847437982	0.29122513376971265	0.3056040147483705	0.3804239093723193	0.4578486523088801	0.37552705927530144	0.3589239018714965	0.3070183029818743	0.27646155303215375	0.24650298474329818	0.23097487832615782	0.2276025455457352	0.22057441096487557	0.2606532433174293	0.23406622508659286	0.23646103431897159	0.23036637668109022	0.37551937941819236	0.28207482368883985	0.26043338222961465	0.2720055531353065	0.27358614292941213	0.2710450831756051
f14ppA	0.2705410428174046	0.09939656904815138	0.09851421083582855	0.09295525528663331	0.27055446473731	0.28571897382089523	0.23565639116035064	0.1963178306680427	0.2567181679526398	0.0	0.12090790641158425	0.09749044607604535	0.09009529704973841	0.1579628347085506	0.12013803321445207	0.13774002654122647	0.13474328115565526	0.12400345229634449	0.20712144865640558	0.2283280163239531	0.18856674741573404	0.29367878798324876	0.09663253162037025	0.10457613412847491	0.1680540377005505	0.18459400701015394	0.19379212028992093	0.1684424939503566	0.1227951084501901	0.11487034098541721	0.14217994428607011	0.14406360100652435	0.13647501143052557	0.09663153161987022	0.09611346452803399	0.09160235970064805	0.1009114877401028	0.11491969623739468	0.11200811224449092	0.08350430555746156	0.10042088093864093	0.07384299332378591	0.07166278148108257	0.0632757970632406	0.06464438707139107	0.0644217860549116	0.051050484701859966	0.051050484701859966	0.0783658244205086	0.05716481348395576	0.07339015517199268	0.09170084360911337	0.18705036124044908	0.06214192434354425	0.05402678338775542	0.058636249276952365	0.058636249276952365	0.0899255956081646	0.11019155705167949	0.1550628999977235	0.25841518835986504	0.21890574275553515	0.09362611110610308	0.08544783218021451	0.09325617150245909	0.08041318612612822	0.0779639767503226	0.12268512577623705	0.13706400675489494	0.21188390137884366	0.2893086443154045	0.20698705128182582	0.19038389387802082	0.13847829498839873	0.10792154503867815	0.07796297674982258	0.0624348703326822	0.05906253755225959	0.06727915388706814	0.10735798623962184	0.08077096800878544	0.09800057860975887	0.09190592097187751	0.23705892370897966	0.14361436797962712	0.12197292652040194	0.13354509742609377	0.1351256872201994	0.1325846274663924
