	f7pp	f25pp	w24pp	f22ppB	w28pp	f32pp	f30pp	f9pp	w25pp	w8pp	w1pp	F7H1	w13pp	f13pp	w27pp	w4pp	w19pp	w14pp	S2Hp	f19pp	w16pp	f22ppA	w29pp	w11pp	w23pp	w15pp	w3pp	f2pp	f16ppA	f4pp	f12ppB	f24pp	f14ppA	f23ppA	w9pp	f6ppB	f21pp	f11pp	w17pp	f20ppA	f1pp	f8pp	f14ppB
f7pp	0.0	0.33340154845890735	0.28010867413707385	0.303854996416799	0.3273744744504999	0.3848679175928774	0.35073543399715046	0.4744537932258742	0.37083409175532644	0.40549787904551604	0.48036585282062283	0.6594162225613607	0.4256223501908131	0.4723504987224886	0.4178604444954852	0.39263491844906084	0.4965109730107546	0.4674439934189603	0.5949105919265589	0.5179100211806992	0.4973550327566642	0.4486808016543058	0.5752403156038075	0.5306063897795374	0.48787889966414516	0.5987785479633979	0.3545715514971194	0.3736858323719138	0.44985252248238095	0.24505281744460333	0.2668343207949652	0.291031323252348	0.3472610755078548	0.4049833943169331	0.4176867427762241	0.3397183936898669	0.46349136943269853	0.3370773531049629	0.5644496016933632	0.29813995951150796	0.30176327535856223	0.38213597875141114	0.3199618973303694
f25pp	0.33340154845890735	0.0	0.19306822471431	0.24178381282680844	0.2653032908605094	0.3227967340028869	0.28866425040715993	0.4123826096358837	0.3087629081653359	0.3434266954555255	0.4182946692306323	0.5973450389713701	0.3635511666008226	0.41027931513249805	0.3557892609054947	0.33056373485907037	0.43443978942076406	0.4053728098289698	0.5328394083365684	0.45583883759070865	0.4352838491666737	0.38660961806431526	0.513169132013817	0.4685352061895469	0.42580771607415463	0.5367073643734074	0.2925003679071289	0.31161464878192324	0.3877813388923904	0.18298163385461283	0.20476313720497472	0.22896013966235748	0.28518989191786426	0.34291221072694256	0.35561555918623355	0.2776472100998764	0.401420185842708	0.27500616951497237	0.5023784181033727	0.23606877592151748	0.23969209176857173	0.32006479516142067	0.3110428456901238
w24pp	0.28010867413707385	0.19306822471431	0.0	0.18849093850497495	0.21201041653867586	0.2695038596810534	0.23537137608532643	0.3590897353140502	0.2554700338435024	0.290133821133692	0.3650017949087988	0.5440521646495365	0.3102582922789891	0.35698644081066455	0.3024963865836612	0.2772708605372369	0.38114691509893056	0.3520799355071363	0.4795465340147349	0.40254596326887515	0.3819909748448402	0.33331674374248177	0.4598762576919834	0.4152423318677134	0.37251484175232114	0.4834144900515739	0.23920749358529542	0.25832177446008975	0.3344884645705569	0.1296887595327793	0.1514702628831412	0.17566726534052396	0.23189701759603076	0.28961933640510906	0.30232268486440006	0.22435433577804292	0.3481273115208745	0.22171329519313887	0.4490855437815392	0.182775901599684	0.1863992174467382	0.2667719208395872	0.2577499713682903
f22ppB	0.303854996416799	0.24178381282680844	0.18849093850497495	0.0	0.16519253066151113	0.2273531624301076	0.19322067883438063	0.3169390380631044	0.21331933659255664	0.24798312388274624	0.322851097657853	0.5019014673985909	0.26810759502804327	0.3148357435597188	0.2603456893327154	0.2351201632862911	0.33899621784798484	0.3099292382561905	0.4373958367637891	0.36039526601792937	0.33984027759389446	0.291166046491536	0.4177255604410377	0.37309163461676764	0.3303641445013754	0.4412637928006281	0.19705679633434964	0.21617107720914394	0.31888097125893194	0.11408126622115433	0.13586276957151622	0.16005977202889898	0.21628952428440576	0.27401184309348403	0.28671519155277503	0.20874684246641795	0.3325198182092495	0.20610580188151387	0.4334780504699142	0.167168408288059	0.17079172413511323	0.2511644275279622	0.2814962936480154
w28pp	0.3273744744504999	0.2653032908605094	0.21201041653867586	0.16519253066151113	0.0	0.2508726404638085	0.21674015686808157	0.3404585160968054	0.23683881462625755	0.27150260191644715	0.34637057569155394	0.5254209454322918	0.29162707306174424	0.3383552215934197	0.2838651673664163	0.258639641319992	0.36251569588168575	0.3334487162898914	0.4609153147974901	0.38391474405163034	0.36335975562759537	0.3146855245252369	0.4412450384747386	0.3966111126504686	0.3538836225350763	0.4647832708343291	0.22057627436805055	0.23969055524284488	0.34240044929263286	0.13760074425485527	0.15938224760521716	0.18357925006259992	0.2398090023181067	0.297531321127185	0.310234669586476	0.23226632050011886	0.35603929624295044	0.2296252799152148	0.45699752850361514	0.19068788632175993	0.19431120216881417	0.2746839055616631	0.30501577168171634
f32pp	0.3848679175928774	0.3227967340028869	0.2695038596810534	0.2273531624301076	0.2508726404638085	0.0	0.24367566925215448	0.3673940284808783	0.2637743270103305	0.2984381143005201	0.3733060880756269	0.5523564578163647	0.31856258544581717	0.3652907339774926	0.31080067975048925	0.28557515370406494	0.38945120826575863	0.36038422867396436	0.48785082718156303	0.4108502564357033	0.39029526801166825	0.3416210369093098	0.4681805508588115	0.42354662503454155	0.3808191349191492	0.491718783218402	0.24751178675212349	0.26662606762691776	0.3998938924350104	0.19509418739723278	0.21687569074759466	0.24107269320497743	0.29730244546048423	0.35502476426956253	0.36772811272885353	0.2897597636424964	0.413532739385328	0.28711872305759234	0.5144909716459927	0.24818132946413746	0.2518046453111917	0.33217734870404064	0.3625092148240939
f30pp	0.35073543399715046	0.28866425040715993	0.23537137608532643	0.19322067883438063	0.21674015686808157	0.24367566925215448	0.0	0.2871343790668026	0.21002086196879283	0.24468464925898242	0.3195526230340892	0.498602992774827	0.2648091204042795	0.31153726893595496	0.2570472147089516	0.23182168866252728	0.335697743224221	0.3066307636324267	0.4340973621400253	0.35709679139416556	0.3365418029701306	0.2878675718677722	0.41442708581727383	0.36979315999300383	0.3270656698776116	0.4379653181768643	0.19375832171058582	0.21287260258538016	0.36576140883928343	0.1609617038015058	0.1827432071518677	0.20694020960925047	0.2631699618647572	0.3208922806738355	0.3335956291331265	0.2556272800467694	0.37940025578960096	0.2529862394618653	0.4803584880502657	0.21404884586841044	0.21767216171546472	0.29804486510831363	0.3283767312283669
f9pp	0.4744537932258742	0.4123826096358837	0.3590897353140502	0.3169390380631044	0.3404585160968054	0.3673940284808783	0.2871343790668026	0.0	0.33373922119751664	0.36840300848770624	0.44327098226281303	0.6223213520035509	0.3885274796330033	0.4352556281646788	0.3807655739376754	0.35554004789125115	0.45941610245294484	0.43034912286115057	0.5578157213687491	0.4808151506228894	0.46026016219885446	0.411585931096496	0.5381454450459977	0.49351151922172765	0.4507840291063354	0.5616836774055881	0.31747668093930964	0.336590961814104	0.4894797680680072	0.2846800630302296	0.30646156638059147	0.33065856883797423	0.38688832109348104	0.44461063990255933	0.45731398836185033	0.3793456392754932	0.5031186150183248	0.37670459869058914	0.6040768472789895	0.33776720509713426	0.3413905209441885	0.42176322433703745	0.45209509045709073
w25pp	0.37083409175532644	0.3087629081653359	0.2554700338435024	0.21331933659255664	0.23683881462625755	0.2637743270103305	0.21002086196879283	0.33373922119751664	0.0	0.24649725947792306	0.32136523325302985	0.5004156029937676	0.26662173062322014	0.3133498791548956	0.2588598249278922	0.23363429888146792	0.3375103534431616	0.30844337385136733	0.4359099723589659	0.35890940161310614	0.3383544131890712	0.28968018208671276	0.41623969603621447	0.3716057702119444	0.3288782800965522	0.4397779283958049	0.19557093192952643	0.21468521280432076	0.3858600665974594	0.1810603615596818	0.2028418649100437	0.22703886736742646	0.28326861962293326	0.34099093843201156	0.35369428689130256	0.2757259378049454	0.399498913547777	0.27308489722004137	0.5004571458084417	0.23414750362658648	0.2377708194736407	0.31814352286648967	0.3484753889865429
w8pp	0.40549787904551604	0.3434266954555255	0.290133821133692	0.24798312388274624	0.27150260191644715	0.2984381143005201	0.24468464925898242	0.36840300848770624	0.24649725947792306	0.0	0.2119181486845092	0.390968518425247	0.1571746460546995	0.20390279458637495	0.17615594200444706	0.15093041595802276	0.2818723050397752	0.2528053254479809	0.3802719239555795	0.3032713532097197	0.2827163647856848	0.23404213368332633	0.36060164763282804	0.31596772180855803	0.27324023169316575	0.3841398799924185	0.1812379108790455	0.220076299351881	0.420523853887649	0.2157241488498714	0.23750565220023329	0.26170265465761605	0.31793240691312286	0.37565472572220115	0.38835807418149215	0.310389725095135	0.4341627008379666	0.30774868451023096	0.5351209330986313	0.2688112909167761	0.2724346067638303	0.35280731015667927	0.3831391762767325
