	F3H1	31219	w1pp	S4Hp	S14Hp	31360	530444	31512	S27H1	F6H1	S8Hp	31009	31236	530295	31723	F22HpB	S16H2
F3H1	0.0	0.5488175394548535	1.1185245918198936	0.6865342272696316	0.7790921125013001	0.7668685208979115	0.7766089306517335	0.8073538318025708	0.794585290845472	0.8062873370510388	0.7909766968059667	0.8531109753052102	0.7178354204391465	0.7866700160389911	0.8029141555679155	0.5461578626075625	0.24340071205652036
31219	0.5488175394548535	0.0	1.1004655313251896	0.6684751667749278	0.7610330520065962	0.7488094604032076	0.7585498701570297	0.789294771307867	0.7765262303507682	0.788228276556335	0.7729176363112629	0.8350519148105063	0.6997763599444426	0.7686109555442873	0.7848550950732116	0.5280988021128585	0.6011258984964083
w1pp	1.1185245918198936	1.1004655313251896	0.0	0.9306957786599002	1.0232536638915686	1.01103007228818	1.020770482042002	1.0515153831928394	1.0387468422357404	1.0504488884413075	1.0351382481962352	1.0972725266954788	0.961996971829415	1.0308315674292596	1.047075706958184	0.790319413997831	1.1708329508614483
S4Hp	0.6865342272696316	0.6684751667749278	0.9306957786599002	0.0	0.4620250560075389	0.44980146440415036	0.45954187415797243	0.49028677530880965	0.47751823435171087	0.48922028055727773	0.47390964031220556	0.5360439188114491	0.4007683639453854	0.46960295954523	0.48584709907415435	0.29501971567667507	0.7388425863111865
S14Hp	0.7790921125013001	0.7610330520065962	1.0232536638915686	0.4620250560075389	0.0	0.061871227848339344	0.07161163760216138	0.2856140482326406	0.2728455072755418	0.28454755348110866	0.2692369132360365	0.33137119173528	0.19609563686921633	0.4096931214373507	0.42593726096627516	0.3875776009083435	0.8314004715428549
31360	0.7668685208979115	0.7488094604032076	1.01103007228818	0.44980146440415036	0.061871227848339344	0.0	0.00974240975482211	0.27339045662925204	0.26062191567215326	0.2723239618777201	0.25701332163264795	0.3191476001318915	0.1838720452658278	0.3974695298339622	0.41371366936288656	0.3753540093049549	0.8191768799394663
530444	0.7766089306517335	0.7585498701570297	1.020770482042002	0.45954187415797243	0.07161163760216138	0.00974240975482211	0.0	0.2831308663830741	0.2703623254259753	0.2820643716315422	0.26675373138647	0.32888800988571354	0.19361245501964985	0.4072099395877843	0.4234540791167086	0.38509441905877695	0.8289172896932884
31512	0.8073538318025708	0.789294771307867	1.0515153831928394	0.49028677530880965	0.2856140482326406	0.27339045662925204	0.2831308663830741	0.0	0.18607759018321038	0.19777963638877724	0.18246899614370504	0.24460327464294856	0.19854567719220742	0.43795484073862145	0.4541989802675459	0.4158393202096142	0.8596621908441255
S27H1	0.794585290845472	0.7765262303507682	1.0387468422357404	0.47751823435171087	0.2728455072755418	0.26062191567215326	0.2703623254259753	0.18607759018321038	0.0	0.12063763848625447	0.10532699824118227	0.16746127674042577	0.18577713623510866	0.42518629978152267	0.4414304393104471	0.40307077925251544	0.8468936498870268
F6H1	0.8062873370510388	0.788228276556335	1.0504488884413075	0.48922028055727773	0.28454755348110866	0.2723239618777201	0.2820643716315422	0.19777963638877724	0.12063763848625447	0.0	0.08309547145244808	0.1452297499516916	0.19747918244067553	0.4368883459870896	0.4531324855160139	0.41477282545808225	0.8585956960925936
S8Hp	0.7909766968059667	0.7729176363112629	1.0351382481962352	0.47390964031220556	0.2692369132360365	0.25701332163264795	0.26675373138647	0.18246899614370504	0.10532699824118227	0.08309547145244808	0.0	0.08877241458608238	0.18216854219560333	0.42157770574201736	0.4378218452709418	0.39946218521301013	0.8432850558475216
31009	0.8531109753052102	0.8350519148105063	1.0972725266954788	0.5360439188114491	0.33137119173528	0.3191476001318915	0.32888800988571354	0.24460327464294856	0.16746127674042577	0.1452297499516916	0.08877241458608238	0.0	0.24430282069484685	0.48371198424126094	0.4999561237701853	0.4615964637122536	0.9054193343467649
31236	0.7178354204391465	0.6997763599444426	0.961996971829415	0.4007683639453854	0.19609563686921633	0.1838720452658278	0.19361245501964985	0.19854567719220742	0.18577713623510866	0.19747918244067553	0.18216854219560333	0.24430282069484685	0.0	0.34843642937519725	0.3646805689041216	0.3263209088461899	0.7701437794807013
530295	0.7866700160389911	0.7686109555442873	1.0308315674292596	0.46960295954523	0.4096931214373507	0.3974695298339622	0.4072099395877843	0.43795484073862145	0.42518629978152267	0.4368883459870896	0.42157770574201736	0.48371198424126094	0.34843642937519725	0.0	0.3758722962994867	0.39515550444603453	0.838978375080546
31723	0.8029141555679155	0.7848550950732116	1.047075706958184	0.48584709907415435	0.42593726096627516	0.41371366936288656	0.4234540791167086	0.4541989802675459	0.4414304393104471	0.4531324855160139	0.4378218452709418	0.4999561237701853	0.3646805689041216	0.3758722962994867	0.0	0.4113996439749589	0.8552225146094703
F22HpB	0.5461578626075625	0.5280988021128585	0.790319413997831	0.29501971567667507	0.3875776009083435	0.3753540093049549	0.38509441905877695	0.4158393202096142	0.40307077925251544	0.41477282545808225	0.39946218521301013	0.4615964637122536	0.3263209088461899	0.39515550444603453	0.4113996439749589	0.0	0.5984662216491172
S16H2	0.24340071205652036	0.6011258984964083	1.1708329508614483	0.7388425863111865	0.8314004715428549	0.8191768799394663	0.8289172896932884	0.8596621908441255	0.8468936498870268	0.8585956960925936	0.8432850558475216	0.9054193343467649	0.7701437794807013	0.838978375080546	0.8552225146094703	0.5984662216491172	0.0
