	31300	w20pp	f7pp	w26pp	w14pp	w1pp	S17H1	w12pp	w17pp	w10pp	w18pp	w15pp	w23pp
31300	0.0	0.9875091028841037	1.0896661904847635	1.0945993465289563	1.1193841844109174	1.0198136827831534	0.9567892619696969	1.1055412313630915	1.1446593160878145	1.044610472085808	1.076637137613626	1.077855985553879	1.0427920553757883
w20pp	0.9875091028841037	0.0	0.348278585204959	0.3532117412491518	0.3779965791311127	0.27842607750334897	0.21540165668989242	0.3641536260832869	0.40327171080800983	0.30322286680600347	0.3352495323338214	0.3364683802740744	0.30140445009598377
f7pp	1.0896661904847635	0.348278585204959	0.0	0.3278809421809378	0.35266578006289867	0.25309527843513496	0.22852002559836465	0.3772719949917591	0.41639007971648206	0.3163412357144757	0.36742171015271474	0.36864055809296775	0.33357662791487713
w26pp	1.0945993465289563	0.3532117412491518	0.3278809421809378	0.0	0.2984086276211273	0.19883812599336362	0.23345318164255743	0.3822051510359519	0.4213232357606749	0.32127439175866845	0.3723548661969075	0.37357371413716056	0.33850978395906994
w14pp	1.1193841844109174	0.3779965791311127	0.35266578006289867	0.2984086276211273	0.0	0.12660604773559092	0.2582380195245183	0.40698998891791277	0.4461080736426357	0.34605922964062935	0.39713970407886834	0.3983585520191214	0.3632946218410308
w1pp	1.0198136827831534	0.27842607750334897	0.25309527843513496	0.19883812599336362	0.12660604773559092	0.0	0.1586675178967546	0.30741948729014906	0.346537572014872	0.24648872801286564	0.29756920245110463	0.2987880503913577	0.2637241202132671
S17H1	0.9567892619696969	0.21540165668989242	0.22852002559836465	0.23345318164255743	0.2582380195245183	0.1586675178967546	0.0	0.22447039302422306	0.263588477748946	0.16353963374693964	0.2345447816376481	0.23576362957790115	0.20069969939981053
w12pp	1.1055412313630915	0.3641536260832869	0.3772719949917591	0.3822051510359519	0.40698998891791277	0.30741948729014906	0.22447039302422306	0.0	0.3897058292953862	0.28965698529337985	0.38329675103104255	0.3845155989712956	0.349451668793205
w17pp	1.1446593160878145	0.40327171080800983	0.41639007971648206	0.4213232357606749	0.4461080736426357	0.346537572014872	0.263588477748946	0.3897058292953862	0.0	0.24651915061514684	0.42241483575576555	0.42363368369601856	0.38856975351792794
w10pp	1.044610472085808	0.30322286680600347	0.3163412357144757	0.32127439175866845	0.34605922964062935	0.24648872801286564	0.16353963374693964	0.28965698529337985	0.24651915061514684	0.0	0.32236599175375913	0.3235848396940122	0.2885209095159216
w18pp	1.076637137613626	0.3352495323338214	0.36742171015271474	0.3723548661969075	0.39713970407886834	0.29756920245110463	0.2345447816376481	0.38329675103104255	0.42241483575576555	0.32236599175375913	0.0	0.25520378459954174	0.24304896818562366
w15pp	1.077855985553879	0.3364683802740744	0.36864055809296775	0.37357371413716056	0.3983585520191214	0.2987880503913577	0.23576362957790115	0.3845155989712956	0.42363368369601856	0.3235848396940122	0.25520378459954174	0.0	0.24426781612587667
w23pp	1.0427920553757883	0.30140445009598377	0.33357662791487713	0.33850978395906994	0.3632946218410308	0.2637241202132671	0.20069969939981053	0.349451668793205	0.38856975351792794	0.2885209095159216	0.24304896818562366	0.24426781612587667	0.0
