	F7H1	31452	w14pp	w23pp	w20pp	w2pp	w8pp	w1pp	w18pp	w10pp	F14H1B
F7H1	0.0	1.2353011314176372	0.5470455148680593	0.6018935700500216	0.5949124123578884	0.5904799653341261	0.6685398912977935	0.562785496747842	0.7169681211472931	0.5399398263832209	0.5333846709528899
31452	1.2353011314176372	0.0	1.137261258327853	1.1921093135098153	1.185128155817682	1.1806957087939196	1.258755634757587	1.1530012402076355	1.3071838646070866	1.1301555698430146	1.1642285755143387
w14pp	0.5470455148680593	1.137261258327853	0.0	0.21271507410668672	0.3395449794050616	0.33511253238129923	0.41317245834496663	0.30741806379501513	0.4616006881944663	0.32503186281335505	0.4759729589647609
w23pp	0.6018935700500216	1.1921093135098153	0.21271507410668672	0.0	0.3943930345870239	0.38996058756326146	0.4680205135269289	0.3622661189769774	0.5164487433764285	0.3798799179953173	0.5308210141467231
w20pp	0.5949124123578884	1.185128155817682	0.3395449794050616	0.3943930345870239	0.0	0.2751745085713775	0.3964885732695411	0.2907341787195896	0.4449168031190407	0.37289876030318414	0.52383985645459
w2pp	0.5904799653341261	1.1806957087939196	0.33511253238129923	0.38996058756326146	0.2751745085713775	0.0	0.3920561262457787	0.2863017316958272	0.44048435609527825	0.3684663132794217	0.5194074094308275
w8pp	0.6685398912977935	1.258755634757587	0.41317245834496663	0.4680205135269289	0.3964885732695411	0.3920561262457787	0.0	0.3573143583386171	0.5114969827380682	0.44652623924308915	0.5974673353944949
w1pp	0.562785496747842	1.1530012402076355	0.30741806379501513	0.3622661189769774	0.2907341787195896	0.2863017316958272	0.3573143583386171	0.0	0.3582417254546732	0.3407718446931377	0.4917129408445434
w18pp	0.7169681211472931	1.3071838646070866	0.4616006881944663	0.5164487433764285	0.4449168031190407	0.44048435609527825	0.5114969827380682	0.3582417254546732	0.0	0.4949544690925888	0.6458955652439946
w10pp	0.5399398263832209	1.1301555698430146	0.32503186281335505	0.3798799179953173	0.37289876030318414	0.3684663132794217	0.44652623924308915	0.3407718446931377	0.4949544690925888	0.0	0.4688672704799225
F14H1B	0.5333846709528899	1.1642285755143387	0.4759729589647609	0.5308210141467231	0.52383985645459	0.5194074094308275	0.5974673353944949	0.4917129408445434	0.6458955652439946	0.4688672704799225	0.0
