	S22Hp	S15Hp	S1Hp	f1pp	f8pp	f23ppA	f4pp	S28Hp	F7H1	530295	530315	F14H1B	530055	S26Hp	S18H1	w9pp	S13Hp	f21pp	f22ppA	f18pp	w30pp
S22Hp	0.0	0.2651360713321488	0.26862368338592246	0.29205256465727325	0.3894050181282138	0.3546845907478723	0.3453743938736311	0.4081889891915682	0.7662066786745805	0.8129713229906312	0.7374963381993949	0.8018724850393377	0.816177978806875	0.8048207075269149	0.7481533557218953	0.34906516830522827	0.4094426980051807	0.30863737303570443	0.3368955119957725	0.2676140968148878	0.19683990490312703
S15Hp	0.2651360713321488	0.0	0.20136426326820678	0.22479314453955757	0.32214559801049814	0.28742517063015655	0.27811497375591543	0.3409295690738525	0.6989472585568649	0.7457119028729157	0.6702369180816793	0.7346130649216221	0.7489185586891595	0.7375612874091992	0.6808939356041797	0.28180574818751253	0.342183277887465	0.24137795291798875	0.26963609187805676	0.2003546766971721	0.18998869425465403
S1Hp	0.26862368338592246	0.20136426326820678	0.0	0.059907667663597175	0.15726012113453774	0.12253969375419613	0.11322949687995504	0.17604409219789213	0.5340617816809045	0.5808264259969552	0.5053514412057188	0.5697275880456617	0.584033081813199	0.5726758105332388	0.5160084587282192	0.11692027131155214	0.17729780101150458	0.07649247604202833	0.10475061500209634	0.03546919982121169	0.19347630630842771
f1pp	0.29205256465727325	0.22479314453955757	0.059907667663597175	0.0	0.15813873960387287	0.12341831222353129	0.11410811534929019	0.17692271066722726	0.5349404001502396	0.5817050444662903	0.506230059675054	0.5706062065149968	0.5849117002825341	0.5735544290025739	0.5168870771975543	0.1177988897808873	0.1781764194808397	0.07737109451136348	0.10562923347143151	0.05461244153930023	0.2169051875797785
f8pp	0.3894050181282138	0.32214559801049814	0.15726012113453774	0.15813873960387287	0.0	0.03472242738134165	0.11473862668655123	0.1876029586118239	0.5786438632952469	0.6254085076112976	0.5499335228200612	0.6143096696600041	0.6286151634275414	0.6172578921475812	0.5605905403425616	0.16150235292589457	0.22187988262584699	0.12107455765637073	0.1786754619499906	0.1519648950102408	0.314257641050719
f23ppA	0.3546845907478723	0.28742517063015655	0.12253969375419613	0.12341831222353129	0.03472242738134165	0.0	0.08001819930620965	0.15288253123148232	0.5439234359149053	0.590688080230956	0.5152130954397197	0.5795892422796625	0.5938947360471998	0.5825374647672396	0.5258701129622201	0.12678192554555298	0.1871594552455054	0.08635413027602915	0.143955034569649	0.1172444676298992	0.2795372136703775
f4pp	0.3453743938736311	0.27811497375591543	0.11322949687995504	0.11410811534929019	0.11473862668655123	0.08001819930620965	0.0	0.1435723343572412	0.5346132390406642	0.5813778833567149	0.5059028985654785	0.5702790454054214	0.5845845391729587	0.5732272678929985	0.5165599160879789	0.11747172867131186	0.1778492583712643	0.07704393340178806	0.13464483769540792	0.10793427075565809	0.27022701679613637
S28Hp	0.4081889891915682	0.3409295690738525	0.17604409219789213	0.17692271066722726	0.1876029586118239	0.15288253123148232	0.1435723343572412	0.0	0.5974278343586013	0.644192478674652	0.5687174938834156	0.6330936407233585	0.6473991344908958	0.6360418632109356	0.579374511405916	0.18028632398924896	0.24066385368920137	0.13985852871972512	0.197459433013345	0.17074886607359518	0.3330416121140734
F7H1	0.7662066786745805	0.6989472585568649	0.5340617816809045	0.5349404001502396	0.5786438632952469	0.5439234359149053	0.5346132390406642	0.5974278343586013	0.0	0.3057334941449028	0.23025850935366649	0.3382980187431864	0.3526035125107237	0.34124624123076347	0.28457888942574394	0.5233616271263036	0.583739156826256	0.4829338318567798	0.5554771224963574	0.5287665555566075	0.6910593015970857
530295	0.8129713229906312	0.7457119028729157	0.5808264259969552	0.5817050444662903	0.6254085076112976	0.590688080230956	0.5813778833567149	0.644192478674652	0.3057334941449028	0.0	0.2168781815357933	0.3850626630592371	0.3993681568267744	0.3880108855468142	0.3313435337417946	0.5701262714423543	0.6305038011423068	0.5296984761728305	0.602241766812408	0.5755311998726582	0.7378239459131365
530315	0.7374963381993949	0.6702369180816793	0.5053514412057188	0.506230059675054	0.5499335228200612	0.5152130954397197	0.5059028985654785	0.5687174938834156	0.23025850935366649	0.2168781815357933	0.0	0.30958767826800077	0.3238931720355381	0.31253590075557786	0.2558685489505583	0.494651286651118	0.5550288163510704	0.4542234913815942	0.5267667820211718	0.500056215081422	0.6623489611219001
F14H1B	0.8018724850393377	0.7346130649216221	0.5697275880456617	0.5706062065149968	0.6143096696600041	0.5795892422796625	0.5702790454054214	0.6330936407233585	0.3382980187431864	0.3850626630592371	0.30958767826800077	0.0	0.2841160739598012	0.3411072611887844	0.2844399093837649	0.5590274334910608	0.6194049631910132	0.518599638221537	0.5911429288611145	0.5644323619213647	0.726725107961843
530055	0.816177978806875	0.7489185586891595	0.584033081813199	0.5849117002825341	0.6286151634275414	0.5938947360471998	0.5845845391729587	0.6473991344908958	0.3526035125107237	0.3993681568267744	0.3238931720355381	0.2841160739598012	0.0	0.35541275495632174	0.2987454031513022	0.5733329272585981	0.6337104569585505	0.5329051319890743	0.6054484226286518	0.578737855688902	0.7410306017293803
S26Hp	0.8048207075269149	0.7375612874091992	0.5726758105332388	0.5735544290025739	0.6172578921475812	0.5825374647672396	0.5732272678929985	0.6360418632109356	0.34124624123076347	0.3880108855468142	0.31253590075557786	0.3411072611887844	0.35541275495632174	0.0	0.21917443229325229	0.5619756559786379	0.6223531856785903	0.5215478607091141	0.5940911513486916	0.5673805844089418	0.7296733304494201
S18H1	0.7481533557218953	0.6808939356041797	0.5160084587282192	0.5168870771975543	0.5605905403425616	0.5258701129622201	0.5165599160879789	0.579374511405916	0.28457888942574394	0.3313435337417946	0.2558685489505583	0.2844399093837649	0.2987454031513022	0.21917443229325229	0.0	0.5053083041736184	0.5656858338735707	0.46488050890409455	0.5374237995436721	0.5107132326039223	0.6730059786444005
w9pp	0.34906516830522827	0.28180574818751253	0.11692027131155214	0.1177988897808873	0.16150235292589457	0.12678192554555298	0.11747172867131186	0.18028632398924896	0.5233616271263036	0.5701262714423543	0.494651286651118	0.5590274334910608	0.5733329272585981	0.5619756559786379	0.5053083041736184	0.0	0.11329877095281647	0.05087146036614264	0.13833561212700501	0.1116250451872552	0.27391779122773346
