	31750	F23HpA	S16H2	31267	S1Hp	S28Hp	S15Hp	31600	S18H1	f32pp
31750	0.0	0.32657499054391287	0.37623375402990494	0.44211416214460036	0.3598755788975615	0.5202278779179839	0.41635765813255143	0.4258069373628105	0.5780937931555341	1.1567694203715182
F23HpA	0.32657499054391287	0.0	0.414419738415217	0.48030014652991243	0.39806156328287357	0.5584138623032959	0.4545436425178635	0.46399292174812257	0.6162797775408462	1.1949554047568303
S16H2	0.37623375402990494	0.414419738415217	0.0	0.41493868711264914	0.3327001038656103	0.49305240288603264	0.38918218310060027	0.3986314623308593	0.5509183181235828	1.129593945339567
31267	0.44211416214460036	0.48030014652991243	0.41493868711264914	0.0	0.31598225344073044	0.47633455246115286	0.415546537818158	0.424995817048417	0.5847103699660053	1.1895578924459378
S1Hp	0.3598755788975615	0.39806156328287357	0.3327001038656103	0.31598225344073044	0.0	0.3407215329358331	0.33330795457111906	0.3427572338013781	0.5024717867189665	1.1073193091988989
S28Hp	0.5202278779179839	0.5584138623032959	0.49305240288603264	0.47633455246115286	0.3407215329358331	0.0	0.49366025359154153	0.5031095328218005	0.6628240857393889	1.2676716082193213
S15Hp	0.41635765813255143	0.4545436425178635	0.38918218310060027	0.415546537818158	0.33330795457111906	0.49366025359154153	0.0	0.3542344995206299	0.5589538659539565	1.163801388433889
31600	0.4258069373628105	0.46399292174812257	0.3986314623308593	0.424995817048417	0.3427572338013781	0.5031095328218005	0.3542344995206299	0.0	0.5684031451842155	1.1732506676641479
S18H1	0.5780937931555341	0.6162797775408462	0.5509183181235828	0.5847103699660053	0.5024717867189665	0.6628240857393889	0.5589538659539565	0.5684031451842155	0.0	1.3255375234568716
f32pp	1.1567694203715182	1.1949554047568303	1.129593945339567	1.1895578924459378	1.1073193091988989	1.2676716082193213	1.163801388433889	1.1732506676641479	1.3255375234568716	0.0
