	f16ppA	f7pp	530295	S15Hp	530215	f31pp	f10pp	S16H2	w16pp	f18pp	f14ppB	f8pp	f25pp	f22ppB	31328	w9pp	f26pp	S13Hp	f23ppA	f4pp	f32pp	f30pp
f16ppA	0.0	0.13095569425480846	0.6465667047280015	0.6844859209133982	0.3809557202042051	0.17063475719149182	0.20576656182541264	0.23610040489180045	0.20989919549049904	0.18417226482210494	0.21528229928770043	0.14554356329831694	0.18202063875711288	0.22658045415945166	0.3319565566232458	0.26578584477710104	0.19419787732919142	0.19154036215250075	0.17332809201790386	0.14643508026244056	0.160281417264894	0.2435848567562351
f7pp	0.13095569425480846	0.0	0.5869155395796619	0.6248347557650586	0.3213045550558655	0.11098359204315231	0.17543319629658305	0.20576703936297086	0.17956582996166945	0.15383889929327538	0.22097609959206915	0.1512373636026857	0.1877144390614816	0.23227425446382038	0.3376503569276145	0.27147964508146977	0.19989167763356014	0.19723416245686948	0.17902189232227259	0.17582407624263957	0.18967041324509298	0.2729738527364341
530295	0.6465667047280015	0.5869155395796619	0.0	0.41471893799264203	0.6999961699005438	0.6048666322764839	0.6910442067697761	0.7213780498361639	0.6951768404348625	0.6694499097664683	0.7365871100652621	0.6668483740758787	0.7033254495346746	0.7478852649370133	0.8532613674008076	0.7870906555546628	0.7155026881067532	0.7128451729300624	0.6946329027954656	0.6914350867158326	0.7052814237182861	0.7885848632096272
S15Hp	0.6844859209133982	0.6248347557650586	0.41471893799264203	0.0	0.7379153860859405	0.6427858484618806	0.7289634229551728	0.7592972660215607	0.7330960566202592	0.7073691259518651	0.7745063262506588	0.7047675902612754	0.7412446657200713	0.7858044811224101	0.8911805835862043	0.8250098717400596	0.75342190429215	0.7507643891154592	0.7325521189808624	0.7293543029012294	0.7432006399036828	0.8265040793950239
530215	0.3809557202042051	0.3213045550558655	0.6999961699005438	0.7379153860859405	0.0	0.33925564775268746	0.4254332222459797	0.4557670653123675	0.4295658559110661	0.403838925242672	0.4709761255414658	0.4012373895520823	0.43771446501087824	0.482274280413217	0.5876503828770112	0.5214796710308665	0.44989170358295677	0.4472341884062661	0.42902191827166924	0.42582410219203615	0.43967043919448956	0.5229738786858307
f31pp	0.17063475719149182	0.11098359204315231	0.6048666322764839	0.6427858484618806	0.33925564775268746	0.0	0.21511225923326643	0.24544610229965425	0.2192448928983528	0.19351796222995873	0.26065516252875254	0.19091642653936905	0.227393501998165	0.27195331740050377	0.3773294198642979	0.31115870801815315	0.23957074057024352	0.23691322539355286	0.21870095525895594	0.21550313917932293	0.22934947618177634	0.3126529156731174
f10pp	0.20576656182541264	0.17543319629658305	0.6910442067697761	0.7289634229551728	0.4254332222459797	0.21511225923326643	0.0	0.19653771627862554	0.17033650687732416	0.18573243142760898	0.29578696716267333	0.22604823117328987	0.2625253066320858	0.30708512203442456	0.4124612244982187	0.34629051265207395	0.2747025452041643	0.27204503002747366	0.2538327598928768	0.25063494381324375	0.2644812808156972	0.3477847203070383
S16H2	0.23610040489180045	0.20576703936297086	0.7213780498361639	0.7592972660215607	0.4557670653123675	0.24544610229965425	0.19653771627862554	0.0	0.15072621185925808	0.21606627449399682	0.32612081022906114	0.2563820742396777	0.2928591496984736	0.3374189651008124	0.4427950675646065	0.37662435571846176	0.30503638827055213	0.30237887309386147	0.28416660295926455	0.28096878687963156	0.294815123882085	0.3781185633734261
w16pp	0.20989919549049904	0.17956582996166945	0.6951768404348625	0.7330960566202592	0.4295658559110661	0.2192448928983528	0.17033650687732416	0.15072621185925808	0.0	0.1898650650926954	0.2999196008277597	0.23018086483837624	0.26665794029717216	0.31121775569951093	0.4165938581633051	0.3504231463171603	0.2788351788692507	0.27617766369256	0.25796539355796316	0.2547675774783301	0.26861391448078353	0.35191735397212465
f18pp	0.18417226482210494	0.15383889929327538	0.6694499097664683	0.7073691259518651	0.403838925242672	0.19351796222995873	0.18573243142760898	0.21606627449399682	0.1898650650926954	0.0	0.27419267015936566	0.20445393416998217	0.24093100962877811	0.2854908250311169	0.39086692749491103	0.3246962156487663	0.25310824820085664	0.250450733024166	0.23223846288956906	0.22904064680993605	0.24288698381238946	0.32619042330373055
