	S17H1	31160	S13Hp	S1Hp	530315	31328	31750	S20H1	w13pp	w10pp	S23Hp	S14Hp	w27pp	w9pp	w19pp	w26pp	w1pp	w23pp	f12ppB	f10pp	w8pp	S6Hp	w20pp	S11Hp
S17H1	0.0	0.11056715494298386	0.1663246519042376	0.15295728727352548	0.40881256483487904	0.42963365181543617	0.3601543663069803	0.4676514119041216	0.32724532744469154	0.34717256744972813	0.7438236930004926	0.678084941346701	0.447708208500356	0.4000941186379442	0.42923079057836044	0.4202353324276171	0.41325080039924866	0.39985722157602976	0.42499289913341276	0.35946545660140994	0.30297317603255863	0.19588465874437017	0.17817695892281665	0.1456666110761107
31160	0.11056715494298386	0.0	0.15905196295476373	0.14568459832405162	0.4015398758854052	0.4223609628659623	0.3528816773575064	0.46037872295464777	0.3199726384952177	0.33989987850025427	0.7365510040510187	0.6708122523972272	0.4404355195508821	0.39282142968847034	0.4219581016288866	0.41296264347814327	0.4059781114497748	0.3925845326265559	0.4177202101839389	0.3521927676519361	0.2957004870830848	0.1886119697948963	0.1709042699733428	0.13839392212663684
S13Hp	0.1663246519042376	0.15905196295476373	0.0	0.08491394421920925	0.3737496638356815	0.3945707508162386	0.3250914653077827	0.43258851090492406	0.29218242644549397	0.3121096664505306	0.708760792001295	0.6430220403475035	0.4126453075011584	0.36503121763874663	0.3941678895791629	0.38517243142841956	0.3781878994000511	0.3647943205768322	0.3899299981342152	0.3244025556022124	0.26791027503336107	0.1608217577451726	0.1431140579236191	0.1378608491375197
S1Hp	0.15295728727352548	0.14568459832405162	0.08491394421920925	0.0	0.36038229920496934	0.3812033861855265	0.31172410067707057	0.4192211462742119	0.27881506181478183	0.2987423018198185	0.695393427370583	0.6296546757167915	0.39927794287044627	0.3516638530080345	0.38080052494845074	0.3718050667977074	0.36482053476933896	0.35142695594612006	0.37656263350350305	0.31103519097150023	0.2545429104026489	0.14745439311446046	0.12974669329290694	0.12449348450680758
530315	0.40881256483487904	0.4015398758854052	0.3737496638356815	0.36038229920496934	0.0	0.11367501126915847	0.33359659816836995	0.5348072541806459	0.39440116972121575	0.4143284097262524	0.8109795352770168	0.7452407836232253	0.5148640507768802	0.46724996091446847	0.4963866328548847	0.4873911747041414	0.48040664267577293	0.46701306385255403	0.49214874140993703	0.4266212988779342	0.37012901830908285	0.3339240393265205	0.34502217928457996	0.38034876206816115
31328	0.42963365181543617	0.4223609628659623	0.3945707508162386	0.3812033861855265	0.11367501126915847	0.0	0.35441768514892713	0.5556283411612031	0.41522225670177293	0.4351494967068096	0.831800622257574	0.7660618706037825	0.5356851377574374	0.4880710478950256	0.5172077198354419	0.5082122616846985	0.5012277296563301	0.48783415083311116	0.5129698283904942	0.44744238585849133	0.39095010528964	0.35474512630707755	0.3658432662651371	0.4011698490487183
31750	0.3601543663069803	0.3528816773575064	0.3250914653077827	0.31172410067707057	0.33359659816836995	0.35441768514892713	0.0	0.48614905565274713	0.3457429711933171	0.36567021119835375	0.7623213367491182	0.6965825850953267	0.4662058522489815	0.4185917623865697	0.44772843432698595	0.43873297617624263	0.43174844414787417	0.41835486532465527	0.44349054288203826	0.37796310035003544	0.3214708197811842	0.2852658407986217	0.29636398075668124	0.3316905635402624
S20H1	0.4676514119041216	0.46037872295464777	0.43258851090492406	0.4192211462742119	0.5348072541806459	0.5556283411612031	0.48614905565274713	0.0	0.1420974896119003	0.4153298661367359	0.8119809916875004	0.7462422400337088	0.5158655071873637	0.4682514173249519	0.49738808926536815	0.48839263111462483	0.48140809908625637	0.46801452026303747	0.49315019782042047	0.42762275528841764	0.3711304747195664	0.39276288639576307	0.40386102635382254	0.43918760913740373
w13pp	0.32724532744469154	0.3199726384952177	0.29218242644549397	0.27881506181478183	0.39440116972121575	0.41522225670177293	0.3457429711933171	0.1420974896119003	0.0	0.2749237816773058	0.6715749072280703	0.6058361555742787	0.37545942272793364	0.32784533286552187	0.3569820048059381	0.3479865466551948	0.34100201462682633	0.32760843580360743	0.35274411336099043	0.2872166708289876	0.2307243902601363	0.2523568019363329	0.26345494189439245	0.29878152467797364
w10pp	0.34717256744972813	0.33989987850025427	0.3121096664505306	0.2987423018198185	0.4143284097262524	0.4351494967068096	0.36567021119835375	0.4153298661367359	0.2749237816773058	0.0	0.5874188796741077	0.5216801280203162	0.2913033951739711	0.24368930531155925	0.27282597725197555	0.2638305191012322	0.25684598707286377	0.24345240824964487	0.2685880858070278	0.203060643275025	0.181916802422397	0.27228404194136957	0.2833821818994291	0.31870876468301024
S23Hp	0.7438236930004926	0.7365510040510187	0.708760792001295	0.695393427370583	0.8109795352770168	0.831800622257574	0.7623213367491182	0.8119809916875004	0.6715749072280703	0.5874188796741077	0.0	0.48580173993770615	0.5090474561403531	0.5560007080683589	0.5851373800087752	0.5761419218580319	0.5691573898296635	0.5557638110064446	0.5808994885638274	0.5153720460318246	0.5785679279731615	0.6689351674921341	0.6800333074501935	0.7153598902337747
S14Hp	0.678084941346701	0.6708122523972272	0.6430220403475035	0.6296546757167915	0.7452407836232253	0.7660618706037825	0.6965825850953267	0.7462422400337088	0.6058361555742787	0.5216801280203162	0.48580173993770615	0.0	0.4433087044865615	0.49026195641456743	0.5193986283549837	0.5104031702042404	0.503418638175872	0.490025059352653	0.5151607369100359	0.4496332943780332	0.5128291763193699	0.6031964158383426	0.614294555796402	0.6496211385799832
w27pp	0.447708208500356	0.4404355195508821	0.4126453075011584	0.39927794287044627	0.5148640507768802	0.5356851377574374	0.4662058522489815	0.5158655071873637	0.37545942272793364	0.2913033951739711	0.5090474561403531	0.4433087044865615	0.0	0.2598852235682223	0.2890218955086386	0.28002643735789523	0.2730419053295268	0.2596483265063079	0.28478400406369087	0.21925656153168804	0.2824524434730248	0.3728196829919974	0.3839178229500569	0.4192444057336381
w9pp	0.4000941186379442	0.39282142968847034	0.36503121763874663	0.3516638530080345	0.46724996091446847	0.4880710478950256	0.4185917623865697	0.4682514173249519	0.32784533286552187	0.24368930531155925	0.5560007080683589	0.49026195641456743	0.2598852235682223	0.0	0.1800493709136084	0.17105391276286508	0.16406938073449662	0.15067580191127772	0.1758114794686607	0.14889423395443724	0.234838353610613	0.32520559312958564	0.3363037330876451	0.3716303158712263
w19pp	0.42923079057836044	0.4219581016288866	0.3941678895791629	0.38080052494845074	0.4963866328548847	0.5172077198354419	0.44772843432698595	0.49738808926536815	0.3569820048059381	0.27282597725197555	0.5851373800087752	0.5193986283549837	0.2890218955086386	0.1800493709136084	0.0	0.17452788411779874	0.16754335208943033	0.1541497732662114	0.17928545082359437	0.17803090589485351	0.26397502555102925	0.3543422650700019	0.36544040502806135	0.40076698781164255
w26pp	0.4202353324276171	0.41296264347814327	0.38517243142841956	0.3718050667977074	0.4873911747041414	0.5082122616846985	0.43873297617624263	0.48839263111462483	0.3479865466551948	0.2638305191012322	0.5761419218580319	0.5104031702042404	0.28002643735789523	0.17105391276286508	0.17452788411779874	0.0	0.13236931662633775	0.11897573780311883	0.14411141536050182	0.16903544774411017	0.25497956740028593	0.34534680691925856	0.35644494687731804	0.39177152966089923
w1pp	0.41325080039924866	0.4059781114497748	0.3781878994000511	0.36482053476933896	0.48040664267577293	0.5012277296563301	0.43174844414787417	0.48140809908625637	0.34100201462682633	0.25684598707286377	0.5691573898296635	0.503418638175872	0.2730419053295268	0.16406938073449662	0.16754335208943033	0.13236931662633775	0.0	0.0805305532841128	0.10566623084149576	0.16205091571574173	0.24799503537191747	0.3383622748908901	0.3494604148489496	0.38478699763253077
w23pp	0.39985722157602976	0.3925845326265559	0.3647943205768322	0.35142695594612006	0.46701306385255403	0.48783415083311116	0.41835486532465527	0.46801452026303747	0.32760843580360743	0.24345240824964487	0.5557638110064446	0.490025059352653	0.2596483265063079	0.15067580191127772	0.1541497732662114	0.11897573780311883	0.0805305532841128	0.0	0.07588119395855217	0.14865733689252283	0.23460145654869857	0.3249686960676712	0.3360668360257307	0.37139341880931187
f12ppB	0.42499289913341276	0.4177202101839389	0.3899299981342152	0.37656263350350305	0.49214874140993703	0.5129698283904942	0.44349054288203826	0.49315019782042047	0.35274411336099043	0.2685880858070278	0.5808994885638274	0.5151607369100359	0.28478400406369087	0.1758114794686607	0.17928545082359437	0.14411141536050182	0.10566623084149576	0.07588119395855217	0.0	0.1737930144499058	0.25973713410608157	0.3501043736250542	0.36120251358311367	0.39652909636669487
