	31328	w20pp	S1Hp	w8pp	530394	31267	530055	S23Hp	31750	31428	S17H1
31328	0.0	0.7506767580976881	0.8075765492728996	0.7913856674674788	0.4837915606191072	0.42838427323950645	0.5356707091505153	0.44693407977381583	0.3243526504390974	0.5575267811873454	0.4277898739935119
w20pp	0.7506767580976881	0.0	0.13161754494409053	0.11542666313866981	0.750772216160317	0.6953649287807162	0.802651364691725	0.7399135467009003	0.6547823934551179	0.887956524203366	0.7582196170095326
S1Hp	0.8075765492728996	0.13161754494409053	0.0	0.11722824532502495	0.8076720073355286	0.7522647199559277	0.8595511558669365	0.7968133378761117	0.7116821846303294	0.9448563153785775	0.8151194081847439
w8pp	0.7913856674674788	0.11542666313866981	0.11722824532502495	0.0	0.7914811255301077	0.736073838150507	0.8433602740615158	0.780622456070691	0.6954913028249087	0.9286654335731568	0.7989285263793233
530394	0.4837915606191072	0.750772216160317	0.8076720073355286	0.7914811255301077	0.0	0.3428939972830518	0.45018043319406065	0.4730283492223194	0.3878971959765371	0.6210713267247852	0.49133441953095164
31267	0.42838427323950645	0.6953649287807162	0.7522647199559277	0.736073838150507	0.3428939972830518	0.0	0.3367281540018029	0.41762106184271863	0.3324899085969363	0.5656640393451844	0.4359271321513508
530055	0.5356707091505153	0.802651364691725	0.8595511558669365	0.8433602740615158	0.45018043319406065	0.3367281540018029	0.0	0.5249074977537274	0.4397763445079451	0.6729504752561932	0.5432135680623597
S23Hp	0.44693407977381583	0.7399135467009003	0.7968133378761117	0.780622456070691	0.4730283492223194	0.41762106184271863	0.5249074977537274	0.0	0.3510397151312457	0.5842138458794938	0.45447693868566025
31750	0.3243526504390974	0.6547823934551179	0.7116821846303294	0.6954913028249087	0.3878971959765371	0.3324899085969363	0.4397763445079451	0.3510397151312457	0.0	0.4210634075306476	0.29132650033681406
31428	0.5575267811873454	0.887956524203366	0.9448563153785775	0.9286654335731568	0.6210713267247852	0.5656640393451844	0.6729504752561932	0.5842138458794938	0.4210634075306476	0.0	0.3653628102185569
S17H1	0.4277898739935119	0.7582196170095326	0.8151194081847439	0.7989285263793233	0.49133441953095164	0.4359271321513508	0.5432135680623597	0.45447693868566025	0.29132650033681406	0.3653628102185569	0.0
