	F7H1	S17H1	31328	S21H1	S1Hp	31267	31300	S18H1	S15Hp	31452	S16H2	31009
F7H1	0.0	0.24531090559762375	0.24042069886837936	0.5200881211655339	0.8218086130937553	0.8146427832137219	0.7982567972937259	0.38786625724768453	0.3421464062609475	0.34763678048027113	0.36266022942893605	0.2077955194522391
S17H1	0.24531090559762375	0.0	0.24816093526352034	0.5278283575606749	0.8295488494888963	0.8223830196088628	0.8059970336888669	0.3956064936428255	0.3498866426560885	0.3553770168754121	0.37040046582407704	0.24805356882568877
31328	0.24042069886837936	0.24816093526352034	0.0	0.49066682207290385	0.7923873140011252	0.7852214841210917	0.7688354982010958	0.35844495815505445	0.3127251071683174	0.31821548138764105	0.3332389303363059	0.24316336209644437
S21H1	0.5200881211655339	0.5278283575606749	0.49066682207290385	0.0	0.8612843878953705	0.8541185580153371	0.8377325720953411	0.5537277439408151	0.5080078929540781	0.5134982671734017	0.5285217161220666	0.522830784393599
S1Hp	0.8218086130937553	0.8295488494888963	0.7923873140011252	0.8612843878953705	0.0	0.10794317647354895	0.2343309887114207	0.8554482358690364	0.8097283848822993	0.8152187591016229	0.8302422080502878	0.8245512763218203
31267	0.8146427832137219	0.8223830196088628	0.7852214841210917	0.8541185580153371	0.10794317647354895	0.0	0.22716515883138727	0.848282405989003	0.8025625550022658	0.8080529292215894	0.8230763781702544	0.8173854464417869
31300	0.7982567972937259	0.8059970336888669	0.7688354982010958	0.8377325720953411	0.2343309887114207	0.22716515883138727	0.0	0.831896420069007	0.7861765690822698	0.7916669433015935	0.8066903922502584	0.8009994605217909
S18H1	0.38786625724768453	0.3956064936428255	0.35844495815505445	0.5537277439408151	0.8554482358690364	0.848282405989003	0.831896420069007	0.0	0.2922103274549826	0.34495336573315477	0.35997681468181963	0.3906089204757496
S15Hp	0.3421464062609475	0.3498866426560885	0.3127251071683174	0.5080078929540781	0.8097283848822993	0.8025625550022658	0.7861765690822698	0.2922103274549826	0.0	0.2992335147464177	0.3142569636950826	0.34488906948901255
31452	0.34763678048027113	0.3553770168754121	0.31821548138764105	0.5134982671734017	0.8152187591016229	0.8080529292215894	0.7916669433015935	0.34495336573315477	0.2992335147464177	0.0	0.26427002519255405	0.3503794437083362
S16H2	0.36266022942893605	0.37040046582407704	0.3332389303363059	0.5285217161220666	0.8302422080502878	0.8230763781702544	0.8066903922502584	0.35997681468181963	0.3142569636950826	0.26427002519255405	0.0	0.36540289265700104
31009	0.2077955194522391	0.24805356882568877	0.24316336209644437	0.522830784393599	0.8245512763218203	0.8173854464417869	0.8009994605217909	0.3906089204757496	0.34488906948901255	0.3503794437083362	0.36540289265700104	0.0
