	f7pp	w16pp	w28pp	w20pp	f16ppA	w18pp	w3pp	w14pp	w22pp	w19pp	f6ppA	w10pp	f18pp	w1pp	w13pp	31300	S6Hp	S26Hp	S19H1	w9pp	S28Hp	s1pp	S18H1	31267	31452	f4pp	w15pp	w29pp	w11pp	w23pp	f8pp	w32pp	w4pp	w2pp	f17ppB	s12pp	s17pp	w27pp	f10pp	w17pp
f7pp	0.0	0.10829367622422008	0.07571131383871016	0.08884776603459826	0.1429575900574176	0.12468994276402826	0.17401641249405825	0.14403467946845477	0.16402222912792108	0.16978317558421085	0.19970360465651094	0.1662202114136926	0.1645158240277107	0.1651075951297094	0.1844700110426351	0.35584631195379457	0.3707403846172942	0.3575511716743754	0.36351571431302215	0.2402066450953002	0.6500334780405314	0.6503702597822251	0.6531371731711489	0.6478362889246654	0.6544414633594722	0.16155239822593304	0.1677507426603539	0.16000942076861457	0.15527013671109857	0.169256552340127	0.1570356129870053	0.18775741519798056	0.21846013277557713	0.1815024570458592	0.21177565906571316	0.23675025817292528	0.2477158141497704	0.197172797240807	0.1632713541806316	0.07950175358766352
w16pp	0.10829367622422008	0.0	0.08209382698190446	0.11929089056375185	0.17340071458657116	0.15513306729318183	0.20445953702321182	0.17447780399760837	0.19446535365707465	0.20022630011336442	0.2301467291856645	0.19666333594284616	0.1949589485568643	0.195550719658863	0.21491313557178868	0.38628943648294817	0.4011835091464478	0.387994296203529	0.39395883884217575	0.2706497696244538	0.6804766025696849	0.6808133843113786	0.6835802977003025	0.6782794134538189	0.6848845878886257	0.1919955227550866	0.19819386718950746	0.19045254529776814	0.18571326124025214	0.19969967686928056	0.18747873751615887	0.21820053972713416	0.24890325730473073	0.2119455815750128	0.24221878359486676	0.2671933827020788	0.27815893867892394	0.2276159217699606	0.19371447870978517	0.10994487811681711
w28pp	0.07571131383871016	0.08209382698190446	0.0	0.08670852817824193	0.14081835220106126	0.12255070490767192	0.1718771746377019	0.14189544161209844	0.16188299127156475	0.16764393772785452	0.1975643668001546	0.16408097355733625	0.16237658617135436	0.16296835727335307	0.18233077318627877	0.35370707409743823	0.36860114676093786	0.35541193381801905	0.3613764764566658	0.23806740723894387	0.647894240184175	0.6482310219258687	0.6509979353147926	0.645697051068309	0.6523022255031158	0.1594131603695767	0.16561150480399756	0.15787018291225824	0.15313089885474224	0.16711731448377065	0.15489637513064897	0.18561817734162422	0.2163208949192208	0.17936321918950288	0.20963642120935683	0.23461102031656894	0.24557657629341406	0.19503355938445066	0.16113211632427527	0.07736251573130719
w20pp	0.08884776603459826	0.11929089056375185	0.08670852817824193	0.0	0.12439979386937998	0.10613214657599065	0.15545861630602065	0.12547688328041717	0.14546443293988348	0.15122537939617325	0.18114580846847333	0.14766241522565499	0.1459580278396731	0.1465497989416718	0.1659122148545975	0.33728851576575697	0.3521825884292566	0.3389933754863378	0.34495791812498455	0.2216488489072626	0.6314756818524937	0.6318124635941874	0.6345793769831113	0.6292784927366277	0.6358836671714345	0.14299460203789544	0.1491929464723163	0.14145162458057697	0.13671234052306097	0.15069875615208939	0.1384778167989677	0.16919961900994296	0.19990233658753953	0.1629446608578216	0.19321786287767556	0.21819246198488768	0.2291580179617328	0.1786150010527694	0.144713557992594	0.06094395739962592
f16ppA	0.1429575900574176	0.17340071458657116	0.14081835220106126	0.12439979386937998	0.0	0.10594000181647946	0.17605360076318835	0.1460718677375849	0.16605941739705118	0.17182036385334096	0.20174079292564107	0.1682573996828227	0.16655301229684083	0.16714478339883954	0.1865071993117652	0.3578835002229247	0.3727775728864243	0.3595883599435055	0.3655529025821523	0.24224383336443034	0.6520706663096615	0.6524074480513552	0.6551743614402791	0.6498734771937955	0.6564786516286023	0.16358958649506314	0.169787930929484	0.16204660903774468	0.15730732498022867	0.1712937406092571	0.1590728012561354	0.1897946034671107	0.22049732104470726	0.18353964531498934	0.2138128473348433	0.2387874464420554	0.24975300241890053	0.19920998550993713	0.1653085424497617	0.09162945741499712
w18pp	0.12468994276402826	0.15513306729318183	0.12255070490767192	0.10613214657599065	0.10594000181647946	0.0	0.157785953469799	0.1278042204441956	0.14779177010366185	0.15355271655995162	0.18347314563225173	0.14998975238943335	0.14828536500345152	0.14887713610545023	0.16823955201837587	0.33961585292953533	0.35450992559303496	0.3413207126501162	0.347285255288763	0.22397618607104103	0.6338030190162721	0.6341398007579658	0.6369067141468897	0.6316058299004061	0.6382110043352129	0.1453219392016738	0.15152028363609465	0.14377896174435534	0.13903967768683934	0.15302609331586775	0.14080515396274607	0.17152695617372138	0.20222967375131795	0.16527199802160003	0.19554520004145398	0.22051979914866607	0.2314853551255112	0.18094233821654782	0.14704089515637236	0.07336181012160779
w3pp	0.17401641249405825	0.20445953702321182	0.1718771746377019	0.15545861630602065	0.17605360076318835	0.157785953469799	0.0	0.13144386363177515	0.1869506198770851	0.19271156633337488	0.222631995405675	0.18914860216285662	0.18744421477687476	0.18803598587887346	0.20739840179179914	0.3787747027029586	0.3936687753664582	0.3804795624235394	0.3864441050621862	0.2631350358444643	0.6729618687896954	0.6732986505313892	0.676065563920313	0.6707646796738294	0.6773698541086361	0.18448078897509707	0.19067913340951792	0.1829378115177786	0.1781985274602626	0.19218494308929102	0.17996400373616933	0.21068580594714462	0.24138852352474122	0.20443084779502327	0.23470404981487725	0.25967864892208936	0.2706442048989345	0.22010118798997108	0.18619974492979563	0.12268827985163777
w14pp	0.14403467946845477	0.17447780399760837	0.14189544161209844	0.12547688328041717	0.1460718677375849	0.1278042204441956	0.13144386363177515	0.0	0.15696888685148166	0.16272983330777144	0.19265026238007155	0.15916686913725317	0.1574624817512713	0.15805425285327002	0.1774166687661957	0.3487929696773552	0.3636870423408548	0.35049782939793594	0.3564623720365827	0.23315330281886085	0.642980135764092	0.6433169175057857	0.6460838308947096	0.640782946648226	0.6473881210830328	0.15449905594949362	0.16069740038391447	0.15295607849217516	0.14821679443465915	0.16220321006368757	0.14998227071056588	0.18070407292154117	0.21140679049913777	0.17444911476941982	0.2047223167892738	0.2296969158964859	0.240662471873331	0.19011945496436763	0.15621801190419218	0.09270654682603433
w22pp	0.16402222912792108	0.19446535365707465	0.16188299127156475	0.14546443293988348	0.16605941739705118	0.14779177010366185	0.1869506198770851	0.15696888685148166	0.0	0.12144647852752494	0.15136690759982505	0.11788351435700664	0.1400498822320873	0.14064165333408601	0.1600040692470117	0.3313803701581711	0.34627444282167075	0.33308522987875194	0.3390497725173987	0.21574070329967682	0.625567536244908	0.6259043179866017	0.6286712313755256	0.623370347129042	0.6299755215638488	0.1370864564303096	0.16130794973367407	0.15356662784193476	0.14882734378441875	0.16281375941344717	0.15059282006032548	0.18131462227130074	0.21201733984889737	0.1750596641191794	0.2053328661390334	0.23030746524624549	0.2412730212230906	0.19073000431412723	0.15682856125395178	0.1126940964855006
w19pp	0.16978317558421085	0.20022630011336442	0.16764393772785452	0.15122537939617325	0.17182036385334096	0.15355271655995162	0.19271156633337488	0.16272983330777144	0.12144647852752494	0.0	0.14332205874138537	0.10983866549856697	0.14581082868837708	0.1464025997903758	0.16576501570330146	0.3371413166144609	0.3520353892779605	0.3388461763350417	0.3448107189736885	0.2215016497559666	0.6313284827011978	0.6316652644428915	0.6344321778318154	0.6291312935853318	0.6357364680201386	0.14284740288659936	0.16706889618996384	0.15932757429822453	0.15458829024070853	0.16857470586973694	0.15635376651661526	0.1870755687275905	0.21777828630518714	0.18082061057546917	0.21109381259532317	0.23606841170253526	0.24703396767938038	0.196490950770417	0.16258950771024155	0.11845504294179038
