	S16H2	w27pp	s32pp	s12pp	f21pp	f8pp	f12ppB	f18pp	w3pp	s23pp	S13Hp	w17pp	F6H1	F23HpA	31600	S18H1	S6Hp	f19pp	f1pp	s1pp	f12ppA	f4pp	f11pp	f7pp	f30pp	w9pp	f17ppA	f22ppA	f14ppB	f15pp
S16H2	0.0	0.1513097211245638	0.1575535280782036	0.18426716037984964	0.16821977738463403	0.16038585338118733	0.16765083318455534	0.15071693346776735	0.1539485447340297	0.22044230773699047	0.19017116135492695	0.18320952430976262	0.614775869597836	0.6033241618467151	0.6276348557571594	0.5906600136630419	0.5886493620518883	0.18919646446243993	0.18936302634813307	0.24271519822973392	0.1874489365037359	0.1633721191298262	0.1692331185255703	0.16250742349127362	0.18023962665335239	0.1679625556958942	0.15937826503282565	0.14591485746411548	0.14391519050245777	0.10658906147309641
w27pp	0.1513097211245638	0.0	0.11012752995157232	0.1604133588845701	0.15503789335203005	0.14720396934858332	0.15446894915195136	0.13753504943516337	0.14076666070142568	0.20726042370438647	0.176989277322323	0.1700276402771586	0.601593985565232	0.5901422778141111	0.6144529717245554	0.5774781296304379	0.5754674780192843	0.17601458042983592	0.17618114231552912	0.2295333141971299	0.17426705247113194	0.15019023509722218	0.15605123449296632	0.1493255394586696	0.1670577426207484	0.15478067166329018	0.14619638100022164	0.13273297343151147	0.1307333064698538	0.1336455811509355
s32pp	0.1575535280782036	0.11012752995157232	0.0	0.16665716583820986	0.1612817003056698	0.15344777630222312	0.1607127561055911	0.1437788563888031	0.14701046765506548	0.21350423065802626	0.18323308427596274	0.1762714472307984	0.6078377925188718	0.5963860847677509	0.6206967786781952	0.5837219365840777	0.5817112849729241	0.18225838738347572	0.18242494926916886	0.2357771211507697	0.18051085942477169	0.15643404205086198	0.16229504144660606	0.1555693464123094	0.17330154957438815	0.16102447861692998	0.15244018795386144	0.13897678038515127	0.13697711342349356	0.1398893881045753
s12pp	0.18426716037984964	0.1604133588845701	0.16665716583820986	0.0	0.18799533260731588	0.18016140860386914	0.1874263884072372	0.1704924886904492	0.1737240999567115	0.2402178629596723	0.20994671657760883	0.20298507953244443	0.6345514248205179	0.6230997170693969	0.6474104109798412	0.6104355688857237	0.6084249172745702	0.20897201968512175	0.20913858157081494	0.26249075345241574	0.20722449172641777	0.183147674352508	0.18900867374825214	0.18228297871395543	0.20001518187603423	0.187738110918576	0.17915382025550747	0.1656904126867973	0.1636907457251396	0.16660302040622132
f21pp	0.16821977738463403	0.15503789335203005	0.1612817003056698	0.18799533260731588	0.0	0.10172460210611334	0.11850079430757444	0.10156689459078647	0.12517894452924985	0.19167270753221063	0.16140156115014714	0.16984799415737178	0.6014143394454452	0.5899626316943243	0.6142733256047685	0.577298483510651	0.5752878318994975	0.1758349343100491	0.17600149619574226	0.2293536680773431	0.17408740635134506	0.15001058897743536	0.15587158837317944	0.14914589333888278	0.16687809650096155	0.15460102554350336	0.14601673488043482	0.13255332731172464	0.13055366035006694	0.15055563741100572
f8pp	0.16038585338118733	0.14720396934858332	0.15344777630222312	0.18016140860386914	0.10172460210611334	0.0	0.11066687030412774	0.09373297058733976	0.11734502052580315	0.18383878352876393	0.15356763714670044	0.16201407015392505	0.5935804154419985	0.5821287076908775	0.6064394016013218	0.5694645595072043	0.5674539078960508	0.1680010103066024	0.16816757219229556	0.22151974407389635	0.16625348234789838	0.14217666497398862	0.14803766436973276	0.14131196933543605	0.15904417249751485	0.14676710154005665	0.1381828108769881	0.12471940330827792	0.12271973634662024	0.14272171340755901
f12ppB	0.16765083318455534	0.15446894915195136	0.1607127561055911	0.1874263884072372	0.11850079430757444	0.11066687030412774	0.0	0.08771362684362982	0.12461000032917116	0.19110376333213194	0.16083261695006845	0.1692790499572931	0.6008453952453665	0.5893936874942456	0.6137043814046899	0.5767295393105724	0.5747188876994188	0.1752659901099704	0.17543255199566357	0.2287847238772644	0.17351846215126637	0.14944164477735666	0.15530264417310075	0.1485769491388041	0.16630915230088286	0.15403208134342466	0.14544779068035613	0.13198438311164595	0.12998471614998824	0.14998669321092703
f18pp	0.15071693346776735	0.13753504943516337	0.1437788563888031	0.1704924886904492	0.10156689459078647	0.09373297058733976	0.08771362684362982	0.0	0.10767610061238317	0.17416986361534395	0.14389871723328046	0.1523451502405051	0.5839114955285785	0.5724597877774575	0.5967704816879018	0.5597956395937844	0.5577849879826309	0.1583320903931824	0.15849865227887558	0.2118508241604764	0.15658456243447838	0.13250774506056867	0.13836874445631275	0.1316430494220161	0.14937525258409487	0.13709818162663667	0.12851389096356813	0.11505048339485795	0.11305081643320027	0.13305279349413904
w3pp	0.1539485447340297	0.14076666070142568	0.14701046765506548	0.1737240999567115	0.12517894452924985	0.11734502052580315	0.12461000032917116	0.10767610061238317	0.0	0.1524065040348192	0.12213535765275571	0.1555767615067674	0.5871431067948408	0.5756913990437199	0.6000020929541642	0.5630272508600467	0.5610165992488931	0.16156370165944475	0.16173026354513792	0.21508243542673872	0.15981617370074075	0.13573935632683098	0.14160035572257512	0.1348746606882784	0.1526068638503572	0.140329792892899	0.13174550222983047	0.11828209466112029	0.1162824276994626	0.13628440476040138
s23pp	0.22044230773699047	0.20726042370438647	0.21350423065802626	0.2402178629596723	0.19167270753221063	0.18383878352876393	0.19110376333213194	0.17416986361534395	0.1524065040348192	0.0	0.1598791952982243	0.2220705245097282	0.6536368697978016	0.6421851620466806	0.6664958559571249	0.6295210138630075	0.627510362251854	0.2280574646624055	0.2282240265480987	0.2815761984296995	0.2263099367037015	0.20223311932979177	0.20809411872553588	0.2013684236912392	0.219100626853318	0.20682355589585977	0.19823926523279123	0.18477585766408106	0.18277619070242337	0.20277816776336216
