	S18H1	s1pp	s22pp	s2pp	s26pp	s24pp	s12pp	s27pp	s29pp	s25pp	w30pp	s30pp	s28pp	s17pp	S16H2	S17H1	31071	31267	31219
S18H1	0.0	0.3755562034362571	0.33514278720378843	0.30240243474726275	0.3956748084763177	0.36745099263450215	0.40786047361082	0.3778077158640484	0.34382689404081507	0.33035242599946596	0.32966350978949155	0.3329473421732894	0.29136760888440116	0.29899895873639304	0.5245467358509402	0.5243728144765551	0.5843523329679473	0.5012592217193236	0.43280506472684543
s1pp	0.3755562034362571	0.0	0.2379003013276658	0.2907529855553056	0.38402535928436055	0.355801543442545	0.39621102441886286	0.3661582666720912	0.3321774448488579	0.3187029768075088	0.3180140605975344	0.32129789298133227	0.27971815969244396	0.34129343016291996	0.6610749812969992	0.660901059922614	0.7208805784140062	0.6377874671653826	0.5693333101729044
s22pp	0.33514278720378843	0.2379003013276658	0.0	0.25033956932283685	0.3436119430518918	0.31538812721007625	0.35579760818639417	0.32574485043962254	0.29176402861638917	0.2782895605750401	0.2776006443650657	0.2808844767488636	0.2393047434599753	0.3008800139304513	0.6206615650645305	0.6204876436901454	0.6804671621815376	0.5973740509329138	0.5289198939404357
s2pp	0.30240243474726275	0.2907529855553056	0.25033956932283685	0.0	0.2862615042561348	0.25803768841431923	0.2984471693906371	0.26839441164386546	0.23441358982063215	0.22093912177928304	0.22025020556930863	0.2235340379531065	0.18195430466421822	0.26813966147392554	0.5879212126080048	0.5877472912336197	0.647726809725012	0.5646336984763882	0.4961795414839101
s26pp	0.3956748084763177	0.38402535928436055	0.3436119430518918	0.2862615042561348	0.0	0.22678957261939248	0.3153561963610433	0.28530343861427165	0.2833587193115489	0.26988425127019977	0.2691953350602254	0.2724791674440233	0.25096740704498555	0.3614120352029805	0.6811935863370597	0.6810196649626746	0.7409991834540668	0.6579060722054432	0.589451915212965
s24pp	0.36745099263450215	0.355801543442545	0.31538812721007625	0.25803768841431923	0.22678957261939248	0.0	0.28713238051922774	0.2570796227724561	0.25513490346973333	0.24166043542838425	0.24097151921840987	0.24425535160220774	0.22274359120317	0.33318821936116494	0.6529697704952442	0.6527958491208591	0.7127753676122512	0.6296822563636276	0.5612280993711495
s12pp	0.40786047361082	0.39621102441886286	0.35579760818639417	0.2984471693906371	0.3153561963610433	0.28713238051922774	0.0	0.26086162748906094	0.29554438444605124	0.28206991640470214	0.2813810001947277	0.2846648325785256	0.26315307217948786	0.37359770033748285	0.6933792514715621	0.693205330097177	0.7531848485885692	0.6700917373399454	0.6016375803474673
s27pp	0.3778077158640484	0.3661582666720912	0.32574485043962254	0.26839441164386546	0.28530343861427165	0.2570796227724561	0.26086162748906094	0.0	0.2654916266992796	0.2520171586579305	0.2513282424479561	0.25461207483175397	0.23310031443271623	0.3435449425907112	0.6633264937247905	0.6631525723504054	0.7231320908417975	0.6400389795931738	0.5715848226006957
s29pp	0.34382689404081507	0.3321774448488579	0.29176402861638917	0.23441358982063215	0.2833587193115489	0.25513490346973333	0.29554438444605124	0.2654916266992796	0.0	0.16272552773936944	0.1967974188987315	0.20008125128252938	0.19911949260948292	0.30956412076747786	0.6293456719015571	0.629171750527172	0.6891512690185642	0.6060581577699405	0.5376040007774624
s25pp	0.33035242599946596	0.3187029768075088	0.2782895605750401	0.22093912177928304	0.26988425127019977	0.24166043542838425	0.28206991640470214	0.2520171586579305	0.16272552773936944	0.0	0.18332295085738243	0.1866067832411803	0.1856450245681338	0.2960896527261288	0.615871203860208	0.6156972824858229	0.6756768009772152	0.5925836897285914	0.5241295327361133
w30pp	0.32966350978949155	0.3180140605975344	0.2776006443650657	0.22025020556930863	0.2691953350602254	0.24097151921840987	0.2813810001947277	0.2513282424479561	0.1967974188987315	0.18332295085738243	0.0	0.08747607371232147	0.1849561083581594	0.2954007365161544	0.6151822876502336	0.6150083662758485	0.6749878847672407	0.591894773518617	0.5234406165261388
s30pp	0.3329473421732894	0.32129789298133227	0.2808844767488636	0.2235340379531065	0.2724791674440233	0.24425535160220774	0.2846648325785256	0.25461207483175397	0.20008125128252938	0.1866067832411803	0.08747607371232147	0.0	0.18823994074195727	0.29868456889995226	0.6184661200340315	0.6182921986596464	0.6782717171510386	0.5951786059024149	0.5267244489099367
