	31519	31749	530177	F14H1B	530215	31328	31750	S6Hp	31009	530444	31600	530315	F6H1	530394	S15Hp	S13Hp	S18H1	f18pp	S20H1	530075
31519	0.0	0.3371352579734012	0.31135307946577334	0.35450395050712824	0.33266299346573064	0.2955072613850307	0.37485192092109687	0.45305829103076856	0.3785055192965506	0.37344760791310033	0.3079774261212798	0.2868529162440111	0.3005961843916677	0.3187954513506648	0.8188792479373345	0.8763970933939536	0.9418951032126964	0.9153165232981927	0.9006876313028187	0.22515782248035515
31749	0.3371352579734012	0.0	0.28147743151227933	0.32462830255363423	0.3027873455122366	0.3252864058193806	0.4046310653554468	0.4828374354651185	0.40828466373090044	0.4032267523474502	0.3377565705556297	0.316632060678361	0.3303753288260176	0.3485745957850147	0.8486583923716844	0.9061762378283035	0.9716742476470464	0.9450956677325426	0.9304667757371686	0.294695196684838
530177	0.31135307946577334	0.28147743151227933	0.0	0.24648101942698566	0.22464006238558804	0.29950422731175275	0.37884888684781887	0.45705525695749055	0.38250248522327257	0.37744457383982233	0.3119743920480018	0.2908498821707331	0.3045931503183897	0.32279241727738683	0.8228762138640565	0.8803940593206756	0.9458920691394185	0.9193134892249147	0.9046845972295408	0.26891301817721014
F14H1B	0.35450395050712824	0.32462830255363423	0.24648101942698566	0.0	0.23620355438968005	0.34265509835310765	0.42199975788917377	0.5002061279988455	0.4256533562646275	0.4205954448811773	0.35512526308935677	0.334000753212088	0.3477440213597446	0.36594328831874173	0.8660270849054115	0.9235449303620306	0.9890429401807734	0.9624643602662697	0.9478354682708957	0.31206388921856504
530215	0.33266299346573064	0.3027873455122366	0.22464006238558804	0.23620355438968005	0.0	0.32081414131171004	0.4001588008477762	0.4783651709574479	0.40381239922322987	0.3987544878397796	0.3332843060479591	0.31215979617069045	0.32590306431834704	0.34410233127734413	0.8441861278640138	0.9017039733206329	0.9672019831393758	0.940623403224872	0.925994511229498	0.29022293217716744
31328	0.2955072613850307	0.3252864058193806	0.29950422731175275	0.34265509835310765	0.32081414131171004	0.0	0.26541021103696544	0.3436165811466372	0.26906380941241914	0.2640058980289689	0.19853571623714839	0.23405527814358829	0.24779854629124487	0.26599781325024197	0.7660816098369118	0.8235994552935308	0.8890974651122737	0.86251888519777	0.847889993202396	0.2530672000964675
31750	0.37485192092109687	0.4046310653554468	0.37884888684781887	0.42199975788917377	0.4001588008477762	0.26541021103696544	0.0	0.35258268337707444	0.27802991164285645	0.2729720002594062	0.25586173623027264	0.3133999376796544	0.327143205827311	0.34534247278630814	0.8454262693729778	0.9029441148295969	0.9684421246483398	0.941863544733836	0.9272346527384621	0.33241185963253367
S6Hp	0.45305829103076856	0.4828374354651185	0.45705525695749055	0.5002061279988455	0.4783651709574479	0.3436165811466372	0.35258268337707444	0.0	0.2444920666093375	0.3054602562672166	0.3340681063399443	0.39160630778932615	0.40534957593698273	0.4235488428959798	0.9236326394826495	0.9811504849392687	1.0466484947580115	1.0200699148435077	1.0054410228481339	0.41061822974220535
31009	0.3785055192965506	0.40828466373090044	0.38250248522327257	0.4256533562646275	0.40381239922322987	0.26906380941241914	0.27802991164285645	0.2444920666093375	0.0	0.23090748453299864	0.25951533460572634	0.3170535360551081	0.3307968042027647	0.3489960711617618	0.8490798677484316	0.9065977132050507	0.9720957230237935	0.9455171431092898	0.9308882511139158	0.33606545800798737
530444	0.37344760791310033	0.4032267523474502	0.37744457383982233	0.4205954448811773	0.3987544878397796	0.2640058980289689	0.2729720002594062	0.3054602562672166	0.23090748453299864	0.0	0.2544574232222761	0.31199562467165787	0.32573889281931445	0.34393815977831155	0.8440219563649813	0.9015398018216004	0.9670378116403433	0.9404592317258396	0.9258303397304656	0.33100754662453713
