	S15Hp	530394	530451	S13Hp	S1Hp	S3Hp	31600	F7H1	S6Hp	530444	530075	530215	S26Hp	530331	31009	f7pp	f8pp	w9pp	f26pp	f32pp	f22ppA	w1pp	s26pp	S20H1	S31Hp	S25Hp	f14ppB	S22Hp	530295	s12pp	S21H1	F14H1B
S15Hp	0.0	0.13931222978030106	0.20293399978587487	0.3607844496028713	0.4995577523315771	0.5080290764430826	0.4772457315270126	0.5494570576735383	0.5188517320143265	0.527582707142807	0.5292178527149394	0.49484396216223153	0.5168250512514565	0.4191290987234347	0.41308335352806996	0.30183467351938204	0.3256811443736712	0.32593971822807377	0.3269600568428385	0.3440955691636574	0.3421036864295111	0.32018313925257735	0.27705039370997653	0.3277409061703901	0.3270484803852476	0.3091000781854796	0.2704932398054961	0.3765959760468735	0.23196130062299716	0.16242021994484043	0.136819770278905	0.1220238626426057
530394	0.13931222978030106	0.0	0.21554421464901782	0.3733946644660142	0.51216796719472	0.5206392913062255	0.4898559463901555	0.5620672725366812	0.5314619468774695	0.5401929220059499	0.5418280675780823	0.5074541770253744	0.5294352661145995	0.4317393135865776	0.42569356839121286	0.31444488838252493	0.3382913592368141	0.3385499330912167	0.3395702717059814	0.3567057840268003	0.354713901292654	0.3327933541157203	0.2896606085731195	0.34035112103353304	0.33965869524839054	0.32171029304862253	0.28310345466863907	0.3892061909100164	0.24457151548614015	0.17503043480798341	0.14942998514204794	0.17962462849011895
530451	0.20293399978587487	0.21554421464901782	0.0	0.3095707465082783	0.44834404923698407	0.45681537334848965	0.42603202843241955	0.4982433545789453	0.4676380289197336	0.476369004048214	0.4780041496203464	0.44363025906763853	0.46561134815686356	0.3679153956288417	0.36186965043347696	0.25062097042478904	0.2744674412790782	0.27472601513348077	0.27574635374824547	0.2928818660690644	0.29088998333491806	0.26896943615798435	0.22583669061538353	0.2765272030757971	0.2758347772906546	0.2578863750908866	0.2192795367109031	0.32538227295228045	0.1807475975284042	0.1690440740856633	0.1807975324124057	0.2432463984956928
S13Hp	0.3607844496028713	0.3733946644660142	0.3095707465082783	0.0	0.2838760918061682	0.29234741591767377	0.26156407100160367	0.3337753971481294	0.3031700714889178	0.31190104661739815	0.31353619218953055	0.27916230163682265	0.30114339072604773	0.25139940560185803	0.24535366040649323	0.22159326161079915	0.24543973246508827	0.24569830631949086	0.2467186449342556	0.2638541572550745	0.2618622745209282	0.23994172734399444	0.1968089818013936	0.24749949426180717	0.24680706847666467	0.22885866627689672	0.19025182789691322	0.3861891225812515	0.2822378505290437	0.3268945239026598	0.3386479822294021	0.4010968483126892
S1Hp	0.4995577523315771	0.51216796719472	0.44834404923698407	0.2838760918061682	0.0	0.37604111459726935	0.34525776968119926	0.417469095827725	0.38686377016851337	0.39559474529699373	0.39722989086912613	0.36285600031641824	0.3848370894056433	0.3901727083305637	0.3841269631351989	0.36036656433950487	0.38421303519379396	0.38447160904819655	0.3854919476629613	0.4026274599837802	0.4006355772496339	0.37871503007270013	0.3355822845300993	0.38627279699051287	0.38558037120537036	0.3676319690056024	0.3290251306256189	0.5249624253099572	0.42101115325774946	0.4656678266313655	0.4774212849581079	0.539870151041395
S3Hp	0.5080290764430826	0.5206392913062255	0.45681537334848965	0.29234741591767377	0.37604111459726935	0.0	0.269649575366512	0.3418609015130377	0.31125557585382607	0.31998655098230644	0.32162169655443884	0.3288543571574639	0.35083544624668894	0.39864403244206925	0.39259828724670454	0.3688378884510104	0.39268435930529955	0.39294293315970213	0.3939632717744669	0.4110987840952858	0.4091069013611395	0.3871863541842057	0.3440536086416049	0.39474412110201845	0.39405169531687595	0.376103293117108	0.3374964547371245	0.5334337494214627	0.42948247736925504	0.4741391507428711	0.48589260906961346	0.5483414751529005
31600	0.4772457315270126	0.4898559463901555	0.42603202843241955	0.26156407100160367	0.34525776968119926	0.269649575366512	0.0	0.26700432101629407	0.23639899535708242	0.2451299704855628	0.2467651160576952	0.2980710122413938	0.3200521013306189	0.3678606875259992	0.3618149423306344	0.33805454353494035	0.36190101438922945	0.36215958824363204	0.3631799268583968	0.3803154391792157	0.3783235564450694	0.3564030092681356	0.3132702637255348	0.36396077618594835	0.36326835040080585	0.3453199482010379	0.3067131098210544	0.5026504045053927	0.39869913245318495	0.443355805826801	0.4551092641535434	0.5175581302368305
F7H1	0.5494570576735383	0.5620672725366812	0.4982433545789453	0.3337753971481294	0.417469095827725	0.3418609015130377	0.26700432101629407	0.0	0.13183597000371408	0.28434980174222524	0.28598494731435764	0.3702823383879196	0.3922634274771446	0.44007201367252496	0.4340262684771602	0.41026586968146606	0.4341123405357552	0.4343709143901578	0.43539125300492254	0.45252676532574143	0.45053488259159513	0.4286143354146614	0.38548158987206055	0.4361721023324741	0.4354796765473316	0.41753127434756365	0.37892443596758013	0.5748617306519184	0.4709104585997107	0.5155671319733267	0.5273205903000691	0.5897694563833561
S6Hp	0.5188517320143265	0.5314619468774695	0.4676380289197336	0.3031700714889178	0.38686377016851337	0.31125557585382607	0.23639899535708242	0.13183597000371408	0.0	0.25374447608301365	0.255379621655146	0.33967701272870787	0.361658101817933	0.40946668801331326	0.4034209428179485	0.37966054402225435	0.4035070148765435	0.4037655887309461	0.40478592734571084	0.42192143966652973	0.41992955693238343	0.39800900975544967	0.35487626421284885	0.4055667766732624	0.4048743508881199	0.38692594868835195	0.34831911030836843	0.5442564049927068	0.440305132940499	0.48496180631411506	0.4967152646408574	0.5591641307241445
530444	0.527582707142807	0.5401929220059499	0.476369004048214	0.31190104661739815	0.39559474529699373	0.31998655098230644	0.2451299704855628	0.28434980174222524	0.25374447608301365	0.0	0.2237430492169995	0.3484079878571883	0.3703890769464134	0.41819766314179363	0.41215191794642886	0.3883915191507348	0.41223799000502387	0.41249656385942646	0.4135169024741912	0.4306524147950101	0.4286605320608638	0.40673998488393004	0.3636072393413292	0.4142977518017428	0.41360532601660027	0.3956569238168323	0.3570500854368488	0.5529873801211871	0.44903610806897937	0.49369278144259543	0.5054462397693378	0.5678951058526249
