	f22ppA	w21pp	w28pp	f14ppA	w15pp	f6ppB	f1pp	f16ppB	w9pp	f32pp	w16pp	f17ppA	f20ppB	f16ppA	f28pp	f3pp	f26pp	f19pp	f18pp	f15pp	f31pp	f30pp	f7pp	f25pp	f8pp	f4pp	f6ppA	s15pp	S1Hp	w17pp	f11pp	f21pp	f12ppB	f14ppB	s2pp	s1pp	s3pp	w3pp	w4pp	f29pp	f12ppA	f13pp	f9pp	w18pp	w12pp	w6pp
f22ppA	0.0	0.24262730272075783	0.28827241347618726	0.4542626580450411	0.46350118327135753	0.3358110214011696	0.34966453252250185	0.3139953793922931	0.4537736600885346	0.4683769396851826	0.4817916904278816	0.424196900582947	0.5596516339405946	0.49470911459362354	0.6311382720425006	0.7701809647454952	0.6861009273130555	0.7667197209273192	0.7289288461170393	0.8603195046488111	0.7669777967939095	0.9507787689611779	0.7740336535615508	0.7953772045018837	0.7544432806200196	0.7539701109897043	0.7728677719266395	0.9266067743867713	0.9312358797225123	0.848429203997891	0.8486179351892408	0.6029903373906482	0.6273393037264604	0.3318818425633427	0.5630915287885543	0.47078099127929435	0.4721621971369802	0.38954307962741663	0.3190731812944071	0.37141394181383464	0.30880185031217583	0.24438179362057916	0.27885956364948944	0.20518574624334318	0.26043363191102326	0.19433736285428993
w21pp	0.24262730272075783	0.0	0.26153943081445175	0.42752967538330555	0.43676820060962196	0.30907803873943407	0.3229315498607663	0.28726239673055753	0.427040677426799	0.44164395702344705	0.45505870776614604	0.39746391792121144	0.532918651278859	0.467976131931888	0.6044052893807651	0.7434479820837597	0.65936794465132	0.7399867382655837	0.7021958634553038	0.8335865219870756	0.740244814132174	0.9240457862994423	0.7473006708998153	0.7686442218401481	0.7277102979582841	0.7272371283279688	0.746134789264904	0.8998737917250358	0.9045028970607768	0.8216962213361555	0.8218849525275053	0.5762573547289126	0.6006063210647249	0.3051488599016072	0.5363585461268187	0.4440480086175588	0.44542921447524464	0.36281009696568106	0.2923401986326716	0.3446809591520991	0.2820688676504403	0.21764881095884359	0.2521265809877539	0.1961798840434596	0.2514277697111396	0.2203000915491503
w28pp	0.28827241347618726	0.26153943081445175	0.0	0.4375810721482267	0.44681959737454313	0.31912943550435524	0.3329829466256875	0.2973137934954787	0.4370920741917202	0.4516953537883682	0.4651101045310672	0.4075153146861326	0.5429700480437802	0.47802752869680915	0.6144566861456864	0.753499378848681	0.6694193414162413	0.750038135030505	0.712247260220225	0.8436379187519969	0.7502962108970952	0.9340971830643636	0.7573520676647365	0.7786956186050693	0.7377616947232053	0.73728852509289	0.7561861860298251	0.9099251884899571	0.9145542938256981	0.8317476181010768	0.8319363492924265	0.5863087514938339	0.6106577178296461	0.31520025666652834	0.5464099428917399	0.45409940538247995	0.4554806112401658	0.37286149373060223	0.30239159539759275	0.3547323559170203	0.2921202644153615	0.22770020772376479	0.2621779777526751	0.24182499479888903	0.2970728804665691	0.26594520230457974
f14ppA	0.4542626580450411	0.42752967538330555	0.4375810721482267	0.0	0.2683302166899891	0.2870558746239833	0.3530542762632622	0.31738512313305345	0.45716340382929493	0.47176668342594297	0.48518143416864196	0.42758664432370735	0.563041377681355	0.4980988583343839	0.6345280157832611	0.7735707084862556	0.6894906710538159	0.7701094646680796	0.7323185898577997	0.8637092483895715	0.7703675405346699	0.9541685127019383	0.7774233973023112	0.798766948242644	0.75783302436078	0.7573598547304647	0.7762575156673999	0.9299965181275317	0.9346256234632727	0.8518189477386514	0.8520076789300012	0.6063800811314086	0.6307290474672208	0.39862075950339504	0.6298304457286066	0.5375199082193467	0.5389011140770326	0.45628199656746893	0.38581209823445944	0.438152858753887	0.3755407672522282	0.3542003159658801	0.38867808599479037	0.4078152393677429	0.4630631250354229	0.4319354468734336
w15pp	0.46350118327135753	0.43676820060962196	0.44681959737454313	0.2683302166899891	0.0	0.2962943998502997	0.3622928014895786	0.32662364835936986	0.46640192905561134	0.4810052086522594	0.49441995939495836	0.43682516955002376	0.5722799029076713	0.5073373835607002	0.6437665410095774	0.782809233712572	0.6987291962801323	0.779347989894396	0.7415571150841161	0.8729477736158879	0.7796060657609863	0.9634070379282547	0.7866619225286277	0.8080054734689605	0.7670715495870964	0.7665983799567812	0.7854960408937163	0.9392350433538481	0.9438641486895891	0.8610574729649678	0.8612462041563176	0.6156186063577249	0.6399675726935372	0.40785928472971145	0.6390689709549231	0.5467584334456631	0.548139639303349	0.46552052179378534	0.39505062346077585	0.4473913839802034	0.3847792924785446	0.3634388411921965	0.3979166112211068	0.4170537645940593	0.4723016502617393	0.44117397209975
f6ppB	0.3358110214011696	0.30907803873943407	0.31912943550435524	0.2870558746239833	0.2962943998502997	0.0	0.23460263961939065	0.1989334864891819	0.3387117671854234	0.35331504678207143	0.3667297975247704	0.3091350076798358	0.4445897410374834	0.37964722169051235	0.5160763791393895	0.6551190718423842	0.5710390344099444	0.6516578280242081	0.6138669532139283	0.7452576117457	0.6519159038907985	0.8357168760580668	0.6589717606584398	0.6803153115987726	0.6393813877169086	0.6389082180865933	0.6578058790235284	0.8115448814836602	0.8161739868194012	0.7333673110947799	0.7335560422861297	0.487928444487537	0.5122774108233493	0.2801691228595235	0.5113788090847351	0.41906827157547516	0.420449477433161	0.3378303599235974	0.2673604615905879	0.31970122211001545	0.25708913060835664	0.23574867932200858	0.2702264493509189	0.28936360272387135	0.3446114883915514	0.31348381022956207
f1pp	0.34966453252250185	0.3229315498607663	0.3329829466256875	0.3530542762632622	0.3622928014895786	0.23460263961939065	0.0	0.19492400228756335	0.3347022829838049	0.3493055625804529	0.3627203133231519	0.3051255234782173	0.4405802568358649	0.37563773748889384	0.512066894937771	0.6511095876407655	0.5670295502083258	0.6476483438225895	0.6098574690123096	0.7412481275440814	0.6479064196891798	0.8317073918564482	0.6549622764568211	0.676305827397154	0.6353719035152899	0.6348987338849746	0.6537963948219098	0.8075353972820416	0.8121645026177826	0.7293578268931613	0.7295465580845111	0.4839189602859185	0.5082679266217307	0.2940226339808557	0.5252323202060674	0.43292178269680737	0.43430298855449323	0.3516838710449296	0.28121397271192017	0.33355473323134766	0.27094264172968885	0.2496021904433408	0.28407996047225115	0.3032171138452036	0.35846499951288363	0.32733732135089433
f16ppB	0.3139953793922931	0.28726239673055753	0.2973137934954787	0.31738512313305345	0.32662364835936986	0.1989334864891819	0.19492400228756335	0.0	0.24614079470329953	0.26074407429994756	0.27415882504264655	0.21656403519771195	0.3520187685553595	0.2870762492083885	0.42350540665726566	0.5625480993602603	0.4784680619278205	0.5590868555420843	0.5212959807318044	0.6526866392635762	0.5593449314086746	0.7431459035759429	0.5664007881763159	0.5877443391166487	0.5468104152347847	0.5463372456044694	0.5652349065414045	0.7189739090015363	0.7236030143372774	0.6407963386126561	0.6409850698040058	0.39535747200541316	0.4197064383412254	0.258353480850647	0.48956316707585856	0.3972526295665987	0.39863383542428454	0.3160147179147209	0.2455448195817114	0.29788558010113897	0.23527348859948014	0.21393303731313207	0.24841080734204238	0.26754796071499487	0.3227958463826749	0.2916681682206856
w9pp	0.4537736600885346	0.427040677426799	0.4370920741917202	0.45716340382929493	0.46640192905561134	0.3387117671854234	0.3347022829838049	0.24614079470329953	0.0	0.3780490385698527	0.39146378931255177	0.3338689994676171	0.46932373282526474	0.4043812134782937	0.5408103709271709	0.6798530636301654	0.5957730261977257	0.6763918198119894	0.6386009450017095	0.7699916035334814	0.6766498956785797	0.8604508678458481	0.6837057524462211	0.7050493033865539	0.6641153795046898	0.6636422098743745	0.6825398708113097	0.8362788732714416	0.8409079786071826	0.7581013028825613	0.758290034073911	0.5126624362753184	0.5370114026111306	0.3981317615468885	0.6293414477721001	0.5370309102628401	0.538412116120526	0.4557929986109624	0.3853231002779529	0.43766386079738046	0.37505176929572165	0.35371131800937355	0.3881890880382839	0.40732624141123636	0.4625741270789164	0.43144644891692707
f32pp	0.4683769396851826	0.44164395702344705	0.4516953537883682	0.47176668342594297	0.4810052086522594	0.35331504678207143	0.3493055625804529	0.26074407429994756	0.3780490385698527	0.0	0.34835448024653953	0.2907596904016049	0.4262144237592525	0.36127190441228146	0.49770106186115864	0.6367437545641532	0.5526637171317135	0.6332825107459772	0.5954916359356973	0.7268822944674692	0.6335405866125675	0.8173415587798359	0.6405964433802089	0.6619399943205417	0.6210060704386776	0.6205329008083623	0.6394305617452976	0.7931695642054294	0.7977986695411704	0.7149919938165491	0.7151807250078989	0.46955312720930614	0.4939020935451184	0.41273504114353654	0.6439447273687482	0.5516341898594882	0.5530153957171741	0.47039627820761043	0.39992637987460095	0.4522671403940285	0.3896550488923697	0.3683145976060216	0.40279236763493187	0.4219295210078844	0.4771774066755644	0.4460497285135751
