	31267	S1Hp	w13pp	f14ppB	S20H1	f17ppA	f1pp	f7pp	f2pp	w17pp	f12ppA	f31pp	f22ppB	f16ppA	f26pp	w3pp	s3pp	f25pp	w9pp	f8pp	f13pp	f30pp	w1pp	w21pp	f16ppB	f29pp	w6pp	f32pp	f18pp	f6ppA	f15pp	f3pp	f12ppB	f4pp	w7pp	f21pp	S6Hp	S16H2	530295
31267	0.0	0.24620281669524002	0.6398779266273729	0.5795085241677379	0.7225561149803916	0.6418975451704128	0.6651835109428282	0.6095461424235047	0.6563859291243853	0.6304343784309171	0.6072538528320841	0.6172376848650236	0.618955383062606	0.6246622461308828	0.6388165710329512	0.6523873022896596	0.7514193597504408	0.6212118308524425	0.5978870762165205	0.6267433296198521	0.6394703869962717	0.6111578467032216	0.6976916101167627	0.6232568623125507	0.6137043583550394	0.6100825754781716	0.5811102133546238	0.5798286406626307	0.58898978129624	0.5989590503142801	0.5911290890010164	0.5869985034893445	0.5964028990304502	0.5972856233279171	0.62336649498323	0.5718111643922021	0.35016949044243817	0.34487432732663215	0.3201922785795435
S1Hp	0.24620281669524002	0.0	0.6678639992294555	0.6074945967698205	0.7505421875824743	0.6698836177724954	0.6931695835449109	0.6375322150255873	0.684372001726468	0.6584204510329997	0.6352399254341667	0.6452237574671063	0.6469414556646886	0.6526483187329655	0.6668026436350338	0.6803733748917422	0.7794054323525235	0.6491979034545251	0.6258731488186031	0.6547294022219348	0.6674564595983543	0.6391439193053042	0.7256776827188454	0.6512429349146334	0.6416904309571221	0.6380686480802542	0.6090962859567064	0.6078147132647134	0.6169758538983227	0.6269451229163627	0.619115161603099	0.6149845760914271	0.6243889716325328	0.6252716959299998	0.6513525675853127	0.5997972369942848	0.3781555630445208	0.3728603999287148	0.34817835118162616
w13pp	0.6398779266273729	0.6678639992294555	0.0	0.08248983885600507	0.22553742966865872	0.1448788598586799	0.16816482563109536	0.12102858538619732	0.16786837208707792	0.14191682139360978	0.1359091084848878	0.15877376496352008	0.16049146316110247	0.1661983262293794	0.19774990290063388	0.21132063415734217	0.3103526916181234	0.18014516272012515	0.15682040808420317	0.1856766614875348	0.19840371886395436	0.17009117857090422	0.2566249419844454	0.1821901941802334	0.17263769022272213	0.16901590734585414	0.16825912235810317	0.16697754966611011	0.17613869029971935	0.18610795931775947	0.1782779980044957	0.17414741249282378	0.2229171919147147	0.22379991621218165	0.24988078786749446	0.19832545727646655	0.6157446596304237	0.6906326218569327	0.6659505731098442
f14ppB	0.5795085241677379	0.6074945967698205	0.08248983885600507	0.0	0.15842903044444254	0.0777704606344637	0.10105642640687917	0.06065918292656235	0.10749896962744294	0.08154741893397481	0.07553970602525283	0.0984043625038851	0.10012206070146751	0.10582892376974445	0.13738050044099892	0.1509512316977072	0.24998328915848844	0.11977576026049015	0.09645100562456818	0.12530725902789983	0.13803431640431935	0.10972177611126924	0.1962555395248104	0.12182079172059843	0.11226828776308716	0.10864650488621916	0.10788971989846818	0.10660814720647514	0.11576928784008436	0.1257385568581245	0.11790859554486072	0.11377801003318881	0.16254778945507972	0.16343051375254664	0.18951138540785945	0.13795605481683157	0.5553752571707887	0.6302632193972978	0.6055811706502092
S20H1	0.7225561149803916	0.7505421875824743	0.22553742966865872	0.15842903044444254	0.0	0.20633867965393954	0.22962464542635502	0.20370677373921597	0.2505465604400966	0.22459500974662844	0.21858729683790645	0.24145195331653874	0.24316965151412112	0.24887651458239807	0.28042809125365253	0.2939988225103608	0.39303087997114206	0.2628233510731438	0.23949859643722182	0.26835484984055347	0.281081907216973	0.2527693669239229	0.33930313033746407	0.26486838253325207	0.2553158785757408	0.2516940956988728	0.2509373107111218	0.24965573801912877	0.258816878652738	0.26878614767077813	0.2609561863575144	0.25682560084584244	0.30559538026773336	0.3064781045652003	0.3325589762205131	0.2810036456294852	0.6984228479834425	0.7733108102099515	0.748628761462863
f17ppA	0.6418975451704128	0.6698836177724954	0.1448788598586799	0.0777704606344637	0.20633867965393954	0.0	0.12739419832089283	0.12304820392923718	0.16988799063011778	0.14393643993664965	0.13792872702792766	0.16079338350655994	0.16251108170414236	0.1682179447724193	0.19976952144367377	0.21334025270038204	0.3123723101611633	0.182164781263165	0.15884002662724303	0.18769628003057467	0.2004233374069942	0.1721107971139441	0.25864456052748525	0.18420981272327328	0.17465730876576202	0.171035525888894	0.17027874090114303	0.16899716820915	0.1781583088427592	0.18812757786079934	0.18029761654753557	0.17616703103586367	0.2249368104577546	0.22581953475522148	0.2519004064105343	0.20034507581950645	0.6177642781734636	0.6926522403999726	0.6679701916528841
f1pp	0.6651835109428282	0.6931695835449109	0.16816482563109536	0.10105642640687917	0.22962464542635502	0.12739419832089283	0.0	0.14633416970165264	0.19317395640253326	0.1672224057090651	0.16121469280034312	0.1840793492789754	0.1857970474765578	0.19150391054483473	0.2230554872160892	0.2366262184727975	0.3356582759335788	0.20545074703558047	0.1821259923996585	0.21098224580299013	0.22370930317940968	0.19539676288635954	0.2819305262999007	0.20749577849568873	0.19794327453817745	0.19432149166130946	0.1935647066735585	0.19228313398156544	0.20144427461517467	0.2114135436332148	0.20358358231995102	0.1994529968082791	0.24822277623017003	0.24910550052763697	0.2751863721829498	0.22363104159192188	0.6410502439458791	0.7159382061723881	0.6912561574252996
f7pp	0.6095461424235047	0.6375322150255873	0.12102858538619732	0.06065918292656235	0.20370677373921597	0.12304820392923718	0.14633416970165264	0.0	0.10898978009873084	0.09673448357391287	0.10557732428101954	0.12844198075965182	0.1301596789572342	0.13586654202551116	0.16741811869676562	0.18098884995347392	0.28002090741425517	0.14981337851625687	0.12648862388033488	0.15534487728366653	0.16807193466008608	0.13975939436703594	0.22629315778057713	0.15185840997636513	0.14230590601885387	0.13868412314198586	0.1379273381542349	0.13664576546224186	0.14580690609585106	0.1557761751138912	0.14794621380062745	0.14381562828895553	0.19258540771084642	0.19346813200831336	0.21954900366362617	0.16799367307259827	0.5854128754265555	0.6603008376530645	0.6356187889059759
f2pp	0.6563859291243853	0.684372001726468	0.16786837208707792	0.10749896962744294	0.2505465604400966	0.16988799063011778	0.19317395640253326	0.10898978009873084	0.0	0.14357427027479347	0.15241711098190014	0.17528176746053242	0.1769994656581148	0.18270632872639175	0.21425790539764622	0.22782863665435452	0.32686069411513574	0.1966531652171375	0.1733284105812155	0.20218466398454715	0.2149117213609667	0.18659918106791656	0.27313294448145775	0.19869819667724575	0.18914569271973447	0.18552390984286649	0.1847671248551155	0.18348555216312246	0.1926466927967317	0.20261596181477182	0.19478600050150804	0.19065541498983613	0.23942519441172705	0.240307918709194	0.2663887903645068	0.2148334597734789	0.632252662127436	0.7071406243539452	0.6824585756068566
w17pp	0.6304343784309171	0.6584204510329997	0.14191682139360978	0.08154741893397481	0.22459500974662844	0.14393643993664965	0.1672224057090651	0.09673448357391287	0.14357427027479347	0.0	0.126465560288432	0.1493302167670643	0.1510479149646467	0.15675477803292365	0.1883063547041781	0.20187708596088638	0.30090914342166764	0.17070161452366933	0.14737685988774737	0.17623311329107902	0.18896017066749854	0.16064763037444843	0.2471813937879896	0.17274664598377762	0.16319414202626636	0.15957235914939835	0.15881557416164738	0.15753400146965435	0.16669514210326355	0.17666441112130368	0.1688344498080399	0.16470386429636802	0.21347364371825892	0.21435636801572583	0.24043723967103864	0.18888190908001076	0.6063011114339679	0.681189073660477	0.6565070249133884
