	f11pp	w1pp	f12ppA	w8pp	w28pp	f2pp	f4pp	31300	S9H1	f17ppB	w23pp	w24pp	w11pp	f30pp	w22pp	f31pp	w16pp	f16ppA	f1pp	w13pp	w3pp	w12pp	w31pp	w32pp	f23ppB	f6ppA	f14ppB	f15pp	f10pp	f8pp	w26pp	f26pp	w10pp	w17pp	S20H1	w20pp	w18pp	S21H1	w9pp	w29pp	w19pp	w27pp	f7pp	f21pp
f11pp	0.0	0.06955010358543164	0.08585147831499136	0.1359553615654333	0.1134756068558767	0.12010952321786925	0.12023524906747456	1.090808121419823	1.0663466318473669	0.11875011188577118	0.11244811257833297	0.14742799113043764	0.10474698640779748	0.131071890717903	0.15189020988576593	0.131861626275935	0.1456278991231322	0.1427963405676123	0.16251327575044944	0.13082746555416774	0.13146770612655928	0.13557533093439672	0.13977089879078197	0.13842838131437155	0.14888304470430302	0.15870009451578507	0.1304619513787424	0.15425178553074523	0.0766806069756238	0.1023084386386721	0.1452618072173633	0.1562375210031348	0.12756358651277688	0.13292650128967692	0.20593976674293235	0.14285756340412759	0.12258736065812781	0.2223389181136225	0.13950141886345296	0.11394163740582632	0.1030019319760034	0.16608397945297318	0.0976887763278349	0.04524091535516182
w1pp	0.06955010358543164	0.0	0.07198687550791569	0.12209075875835765	0.09961100404880102	0.10624492041079357	0.10637064626039888	1.0769435186127474	1.0524820290402912	0.10488550907869551	0.0985835097712573	0.13356338832336195	0.0908823836007218	0.11720728791082734	0.13802560707869024	0.11799702346885933	0.13176329631605654	0.12893173776053662	0.14864867294337375	0.11696286274709208	0.11760310331948362	0.12171072812732103	0.12590629598370628	0.12456377850729587	0.13501844189722734	0.1448354917087094	0.1165973485716667	0.14038718272366954	0.06281600416854813	0.08844383583159643	0.13139720441028763	0.14237291819605913	0.11369898370570122	0.11906189848260126	0.19207516393585666	0.1289929605970519	0.10872275785105213	0.2084743153065468	0.1256368160563773	0.10007703459875064	0.08913732916892772	0.1522193766458975	0.08382417352075922	0.06491802637299049
f12ppA	0.08585147831499136	0.07198687550791569	0.0	0.11796619068645148	0.09548643597689485	0.10212035233888742	0.10224607818849271	1.0817363148796009	1.0572748253071447	0.10967830534554908	0.10337630603811086	0.13835618459021554	0.09567517986757537	0.1220000841776809	0.1428184033455438	0.1227898197357129	0.1365560925829101	0.1337245340273902	0.15344146921022733	0.12175565901394565	0.12239589958633719	0.12650352439417462	0.13069909225055987	0.12935657477414944	0.13981123816408092	0.14962828797556296	0.12139014483852027	0.1451799789905231	0.06760880043540168	0.09323663209844998	0.13619000067714118	0.14716571446291268	0.11849177997255479	0.12385469474945483	0.19686796020271025	0.13378575686390548	0.1135155541179057	0.2132671115734004	0.13042961232323086	0.10486983086560421	0.09393012543578128	0.15701217291275105	0.08861696978761278	0.08121940110255021
w8pp	0.1359553615654333	0.12209075875835765	0.11796619068645148	0.0	0.1323932519933699	0.13902716835536244	0.13915289420496776	1.1318401981300428	1.1073787085575866	0.15978218859599105	0.15348018928855284	0.1884600678406575	0.14577906311801736	0.1721039674281229	0.1929222865959858	0.17289370298615486	0.1866599758333521	0.18382841727783217	0.2035453524606693	0.17185954226438763	0.17249978283677916	0.17660740764461658	0.18080297550100183	0.17946045802459143	0.18991512141452288	0.19973217122600495	0.17149402808896225	0.19528386224096508	0.11771268368584367	0.14334051534889197	0.18629388392758317	0.19726959771335467	0.16859566322299677	0.1739585779998968	0.2469718434531522	0.18388964011434744	0.16361943736834766	0.26337099482384235	0.18053349557367285	0.15497371411604619	0.14403400868622326	0.20711605616319304	0.13872085303805476	0.13132328435299218
w28pp	0.1134756068558767	0.09961100404880102	0.09548643597689485	0.1323932519933699	0.0	0.10685439529537305	0.10698012114497836	1.1093604434204862	1.08489895384803	0.13730243388643443	0.1310004345789962	0.1659803131311009	0.12329930840846072	0.14962421271856624	0.17044253188642916	0.15041394827659826	0.16418022112379543	0.16134866256827554	0.1810655977511127	0.149379787554831	0.15002002812722254	0.15412765293505995	0.1583232207914452	0.15698070331503478	0.16743536670496628	0.1772524165164483	0.14901427337940562	0.17280410753140846	0.09523292897628705	0.12086076063933533	0.16381412921802652	0.17478984300379802	0.14611590851344014	0.15147882329034018	0.2244920887435956	0.16140988540479084	0.14113968265879107	0.24089124011428575	0.15805374086411622	0.13249395940648956	0.12155425397666664	0.1846363014536364	0.11624109832849813	0.10884352964343555
f2pp	0.12010952321786925	0.10624492041079357	0.10212035233888742	0.13902716835536244	0.10685439529537305	0.0	0.09873979236608231	1.1159943597824786	1.0915328702100227	0.143936350248427	0.13763435094098875	0.17261422949309344	0.12993322477045327	0.1562581290805588	0.17707644824842173	0.1570478646385908	0.170814137485788	0.16798257893026808	0.18769951411310523	0.15601370391682357	0.1566539444892151	0.1607615692970525	0.16495713715343774	0.16361461967702734	0.17406928306695882	0.18388633287844086	0.15564818974139816	0.17943802389340102	0.10186684533827958	0.12749467700132788	0.17044804558001908	0.18142375936579058	0.1527498248754327	0.15811273965233275	0.23112600510558814	0.16804380176678338	0.1477735990207836	0.2475251564762783	0.16468765722610879	0.13912787576848212	0.12818817033865917	0.19127021781562897	0.12287501469049068	0.1154774460054281
f4pp	0.12023524906747456	0.10637064626039888	0.10224607818849271	0.13915289420496776	0.10698012114497836	0.09873979236608231	0.0	1.116120085632084	1.091658596059628	0.1440620760980323	0.13776007679059407	0.17273995534269876	0.13005895062005857	0.1563838549301641	0.17720217409802702	0.15717359048819612	0.1709398633353933	0.1681083047798734	0.18782523996271056	0.15613942976642886	0.1567796703388204	0.1608872951466578	0.16508286300304306	0.16374034552663264	0.17419500891656414	0.18401205872804616	0.15577391559100348	0.17956374974300632	0.1019925711878849	0.12762040285093318	0.17057377142962438	0.18154948521539588	0.152875550725038	0.15823846550193804	0.23125173095519347	0.1681695276163887	0.14789932487038893	0.24765088232588361	0.16481338307571408	0.13925360161808742	0.1283138961882645	0.19139594366523427	0.12300074054009599	0.11560317185503341
31300	1.090808121419823	1.0769435186127474	1.0817363148796009	1.1318401981300428	1.1093604434204862	1.1159943597824786	1.116120085632084	0.0	0.6875489838039529	1.0735854710722745	1.0672834717648363	1.102263350316941	1.059582345594301	1.0859072499044065	1.1067255690722693	1.0866969854624384	1.1004632583096357	1.0976316997541158	1.1173486349369528	1.0856628247406712	1.0863030653130628	1.0904106901209	1.0946062579772855	1.093263740500875	1.1037184038908066	1.1135354537022886	1.0852973105652457	1.1090871447172486	1.0409471008715252	1.0665749325345735	1.1095283011132648	1.1205040148990362	1.0918300804086785	1.0971929951855783	1.170206260638834	1.1071240573000292	1.0868538545540294	1.186605412009524	1.1154525372669497	1.089892755809323	1.0789530503795002	1.14203509785647	1.0819159419844526	1.086176044207382
S9H1	1.0663466318473669	1.0524820290402912	1.0572748253071447	1.1073787085575866	1.08489895384803	1.0915328702100227	1.091658596059628	0.6875489838039529	0.0	1.0491239814998183	1.04282198219238	1.0778018607444848	1.0351208560218446	1.06144576033195	1.082264079499813	1.0622354958899822	1.0760017687371792	1.0731702101816594	1.0928871453644966	1.0612013351682148	1.0618415757406063	1.0659492005484439	1.070144768404829	1.0688022509284187	1.0792569143183501	1.0890739641298322	1.0608358209927895	1.0846256551447924	1.016485611299069	1.0421134429621173	1.0850668115408086	1.09604252532658	1.0673685908362223	1.0727315056131221	1.1457447710663777	1.082662567727573	1.0623923649815732	1.1621439224370678	1.0909910476944935	1.065431266236867	1.054491560807044	1.1175736082840138	1.0574544524119964	1.0617145546349258
f17ppB	0.11875011188577118	0.10488550907869551	0.10967830534554908	0.15978218859599105	0.13730243388643443	0.143936350248427	0.1440620760980323	1.0735854710722745	1.0491239814998183	0.0	0.06220768274083447	0.09718756129293916	0.06849403482151117	0.09481893913161672	0.11563725829947963	0.11033452897321692	0.12410080182041412	0.12126924326489422	0.14098617844773137	0.10930036825144968	0.10994060882384121	0.11404823363167862	0.11824380148806388	0.11690128401165346	0.12735594740158496	0.13717299721306697	0.1089348540760243	0.13272468822802713	0.06888909133747348	0.09451692300052178	0.13747029157921298	0.14844600536498448	0.1197720708746266	0.12513498565152664	0.19814825110478207	0.1350660477659773	0.1147958450199775	0.21454740247547222	0.1433945277328981	0.11783474627527142	0.10689504084544849	0.16997708832241828	0.10985793245040093	0.11411803467333004
