	w19pp	w32pp	w18pp	w17pp	w2pp	f32pp	f26pp	f6ppA	f19pp	f29pp	s3pp	f28pp	w1pp	s32pp	w16pp	f16ppB	s30pp	s1pp	s18pp	s12pp	f15pp	f9pp	f7pp	f13pp	f20ppB	f17ppA	w6pp	f31pp	f16ppA	w21pp	f8pp	s29pp	S1Hp	s31pp	f14ppB	f18pp	w9pp	f12ppA	s2pp	f21pp	31071	F7H1	F14H1B	S6Hp	w10pp
w19pp	0.0	0.14084958854554386	0.17440545708041688	0.1963761118410906	0.21301257816024782	0.14755878773803915	0.17962924437544964	0.2183927142048408	0.19456302159411337	0.2104334693515183	0.29160333697626445	0.2048059847666624	0.25813624990026046	0.2580392187028762	0.19245125227692417	0.1741850857618386	0.2691471107406016	0.2327284478269258	0.24774377309840367	0.23274112965449073	0.1931506048689446	0.18515063896107964	0.2006488886259791	0.24469842145209011	0.24482813272940035	0.2396514111037441	0.24419974037565179	0.2519794792629634	0.2796930722587069	0.3025688634688548	0.2964510863945986	0.39687450651980405	0.3517955201120868	0.33022746783483314	0.2607117832482173	0.2767880984003503	0.26140955854090187	0.219344339753295	0.2699589668350514	0.25862542574913444	0.5752653281756517	0.6151151121713662	0.5715105652889347	0.6211317328027478	0.20828096076668745
w32pp	0.14084958854554386	0.0	0.18444842288793759	0.20641907764861128	0.22305554396776853	0.1576017535455599	0.18967221018297034	0.22843568001236148	0.20460598740163405	0.22047643515903903	0.3016463027837852	0.21484895057418307	0.26817921570778114	0.2680821845103969	0.2024942180844449	0.18422805156935934	0.27919007654812233	0.24277141363444651	0.25778673890592435	0.24278409546201146	0.20319357067646526	0.19519360476860037	0.21069185443349983	0.2547413872596108	0.2548710985369211	0.24969437691126484	0.2542427061831725	0.2620224450704841	0.2897360380662276	0.31261182927637554	0.30649405220211934	0.4069174723273248	0.36183848591960754	0.3402704336423539	0.27075474905573804	0.286831064207871	0.2714525243484226	0.22938730556081574	0.2800019326425721	0.2686683915566552	0.5853082939831724	0.6251580779788869	0.5815535310964555	0.6311746986102685	0.21832392657420818
w18pp	0.17440545708041688	0.18444842288793759	0.0	0.18225767465996712	0.19889414097912433	0.1667372857744273	0.1988077424118378	0.23757121224122896	0.21374151963050153	0.22961196738790648	0.31078183501265266	0.22398448280305056	0.2773147479366486	0.2772177167392644	0.21162975031331235	0.1933635837982268	0.28832560877698976	0.25190694586331397	0.26692227113479183	0.25191962769087894	0.21232910290533274	0.2043291369974678	0.21982738666236729	0.2638769194884783	0.26400663076578856	0.2588299091401323	0.26337823841204	0.27115797729935154	0.29887157029509503	0.321747361505243	0.31562958443098676	0.4160530045561922	0.37097401814847497	0.3494059658712213	0.27989028128460547	0.2959665964367385	0.28058805657729	0.2385228377896832	0.2891374648714396	0.27780392378552266	0.5944438262120398	0.6342936102077543	0.5906890633253229	0.640310230839136	0.22745945880307564
w17pp	0.1963761118410906	0.20641907764861128	0.18225767465996712	0.0	0.14494317784967098	0.18870794053510104	0.22077839717251152	0.2595418670019026	0.23571217439117523	0.2515826221485802	0.33275248977332633	0.24595513756372425	0.2992854026973223	0.29918837149993804	0.23360040507398605	0.2153342385589005	0.3102962635376635	0.2738776006239877	0.28889292589546556	0.2738902824515526	0.23429975766600644	0.22629979175814152	0.24179804142304098	0.28584757424915197	0.28597728552646223	0.280800563900806	0.28534889317271367	0.29312863206002526	0.32084222505576876	0.3437180162659167	0.3376002391916605	0.43802365931686593	0.3929446729091487	0.371376620631895	0.3018609360452792	0.3179372511974122	0.30255871133796375	0.2604934925503569	0.31110811963211327	0.2997745785461963	0.6164144809727136	0.656264264968428	0.6126597180859966	0.6622808855998097	0.24943011356374933
w2pp	0.21301257816024782	0.22305554396776853	0.19889414097912433	0.14494317784967098	0.0	0.20534440685425825	0.23741486349166874	0.2761783333210599	0.2523486407103325	0.26821908846773745	0.34938895609248355	0.2625916038828815	0.31592186901647956	0.3158248378190953	0.2502368713931433	0.23197070487805774	0.32693272985682076	0.2905140669431449	0.3055293922146228	0.29052674877070983	0.2509362239851637	0.24293625807729874	0.2584345077421982	0.30248404056830924	0.3026137518456195	0.29743703021996326	0.3019853594918709	0.30976509837918254	0.33747869137492603	0.36035448258507397	0.3542367055108177	0.45466012563602315	0.4095811392283059	0.38801308695105224	0.3184974023644364	0.3345737175165694	0.31919517765712097	0.27712995886951414	0.32774458595127054	0.31641104486535354	0.6330509472918708	0.6729007312875852	0.6292961844051539	0.6789173519189668	0.2660665798829066
f32pp	0.14755878773803915	0.1576017535455599	0.1667372857744273	0.18870794053510104	0.20534440685425825	0.0	0.12936298829794865	0.16812645812733978	0.14429676551661236	0.1601672132740173	0.24133708089876346	0.15453972868916138	0.20786999382275945	0.2077729626253752	0.14218499619942318	0.12391882968433762	0.21888085466310062	0.18246219174942482	0.19747751702090266	0.18247487357698974	0.14288434879144357	0.13488438288357865	0.1503826325484781	0.19443216537458913	0.1945618766518994	0.18938515502624315	0.1939334842981508	0.2017132231854624	0.2294268161812059	0.25230260739135385	0.2461848303170976	0.34660825044230303	0.3015292640345858	0.27996121175733213	0.2104455271707163	0.2265218423228493	0.21114330246340085	0.16907808367579402	0.21969271075755042	0.20835916967163345	0.5249990720981507	0.5648488560938651	0.5212443092114337	0.5708654767252468	0.15801470468918646
f26pp	0.17962924437544964	0.18967221018297034	0.1988077424118378	0.22077839717251152	0.23741486349166874	0.12936298829794865	0.0	0.11284478304861975	0.1338795639329663	0.14975001169037122	0.23091987931511737	0.14412252710551532	0.19745279223911336	0.1973557610417291	0.1317677946157771	0.11350162810069155	0.20846365307945453	0.17204499016577873	0.18706031543725657	0.17205767199334365	0.13265127422837142	0.14475196595857062	0.16025021562347008	0.2042997484495811	0.20442945972689136	0.19925273810123512	0.20380106737314277	0.21158080626045436	0.23929439925619786	0.2621701904663458	0.25605241339208956	0.356475833517295	0.31139684710957777	0.2898287948323241	0.22031311024570827	0.23638942539784127	0.22101088553839282	0.178945666750786	0.2295602938325424	0.21822675274662542	0.5348666551731427	0.5747164391688571	0.5311118922864257	0.5807330598002387	0.16788228776417843
f6ppA	0.2183927142048408	0.22843568001236148	0.23757121224122896	0.2595418670019026	0.2761783333210599	0.16812645812733978	0.11284478304861975	0.0	0.17264303376235743	0.18851348151976238	0.26968334914450853	0.18288599693490645	0.2362162620685045	0.23611923087112024	0.17053126444516825	0.1522650979300827	0.2472271229088457	0.2108084599951699	0.2258237852666477	0.21082114182273481	0.17141474405776258	0.18351543578796176	0.19901368545286124	0.24306321827897226	0.2431929295562825	0.23801620793062625	0.2425645372025339	0.2503442760898455	0.278057869085589	0.300933660295737	0.2948158832214807	0.39523930334668617	0.35016031693896893	0.32859226466171526	0.2590765800750994	0.2751528952272324	0.259774355367784	0.21770913658017715	0.26832376366193356	0.25699022257601656	0.5736301250025337	0.6134799089982482	0.5698753621158168	0.6194965296296299	0.20664575759356957
f19pp	0.19456302159411337	0.20460598740163405	0.21374151963050153	0.23571217439117523	0.2523486407103325	0.14429676551661236	0.1338795639329663	0.17264303376235743	0.0	0.11011591724922944	0.1912857848739756	0.10448843266437352	0.15781869779797159	0.15772166660058734	0.10463773834552231	0.08637157183043676	0.20213477618541195	0.16571611327173613	0.180731438543214	0.16572879509930108	0.14758505144703515	0.15968574317723433	0.17518399284213382	0.21923352566824483	0.21936323694555507	0.21418651531989882	0.21873484459180648	0.22651458347911807	0.25422817647486157	0.27710396768500956	0.2709861906107533	0.37140961073595874	0.3263306243282415	0.30476257205098783	0.235246887464372	0.251323202616505	0.23594466275705656	0.19387944396944973	0.24449407105120613	0.23316052996528913	0.5498004323918063	0.5896502163875208	0.5460456695050894	0.5956668370189024	0.18281606498284214
f29pp	0.2104334693515183	0.22047643515903903	0.22961196738790648	0.2515826221485802	0.26821908846773745	0.1601672132740173	0.14975001169037122	0.18851348151976238	0.11011591724922944	0.0	0.19636945616393325	0.10957210395433115	0.1629023690879292	0.16280533789054497	0.12050818610292725	0.10224201958784168	0.2180052239428169	0.1815865610291411	0.19660188630061892	0.18159924285670603	0.1634554992044401	0.1755561909346393	0.19105444059953874	0.23510397342564976	0.23523368470296002	0.23005696307730378	0.23460529234921146	0.24238503123652305	0.27009862423226655	0.2929744154424145	0.2868566383681582	0.38728005849336367	0.34220107208564643	0.32063301980839276	0.2511173352217769	0.26719365037390996	0.2518151105144615	0.20974989172685465	0.26036451880861106	0.2490309777226941	0.5656708801492113	0.6055206641449258	0.5619161172624944	0.6115372847763074	0.19868651274024712
