	w10pp	f14ppA	w6pp	f19pp	f22ppA	f25pp	w1pp	f16ppB	w16pp	f9pp	w32pp	f26pp	w19pp	w3pp	f28pp	w21pp	f32pp	f20ppB	s16pp	f13pp	w8pp	f31pp	f12ppA	f7pp	f16ppA	f18pp	f4pp	S21H1	F7H1	S18H1	530295	f21pp	S20H1	f14ppB	f1pp	w13pp	f17ppA	f15pp	w9pp
w10pp	0.0	0.1516201426363292	0.12758516294217906	0.16884808154862796	0.1427260915783986	0.16234395235712595	0.2592386811444725	0.1825266595717266	0.1661911167742893	0.205147882121825	0.2471443520679581	0.19640961680772934	0.2237820089448384	0.18963082405162998	0.19254265901561013	0.2141965816083075	0.198058787017993	0.19804983073524085	0.26023085484847225	0.22702889065149073	0.26960809343594855	0.21074796689315406	0.2239383265033238	0.2669053146417301	0.27910489098204877	0.3426713036433317	0.3838909107948425	0.6903204474688911	0.6444855153532343	0.6235174947565941	0.6579823991228494	0.40932073182906814	0.4757766678798083	0.41141096248723275	0.2959847669229851	0.32301851606495446	0.2104708899545366	0.15911077742084323	0.13766884170735977
f14ppA	0.1516201426363292	0.0	0.07493003106214555	0.12887891187881628	0.10275692190858694	0.12237478268731432	0.21926951147466084	0.14255748990191497	0.12622194710447765	0.16517871245201338	0.20717518239814647	0.15644044713791772	0.18381283927502673	0.14966165438181833	0.15257348934579848	0.1742274119384959	0.1580896173481814	0.15808066106542917	0.22026168517866063	0.1870597209816791	0.22963892376613693	0.17077879722334244	0.18396915683351217	0.2269361449719185	0.2391357213122371	0.3027021339735201	0.3439217411250309	0.6503512777990794	0.6045163456834226	0.5835483250867824	0.6180132294530377	0.3693515621592565	0.4358074982099967	0.3714417928174211	0.2560155972531734	0.28304934639514284	0.17050172028472493	0.11914160775103158	0.0976996720375481
w6pp	0.12758516294217906	0.07493003106214555	0.0	0.10484393218466614	0.07872194221443679	0.09833980299316417	0.1952345317805107	0.1185225102077648	0.10218696741032751	0.1411437327578632	0.1831402027039963	0.13240546744376755	0.1597778595808766	0.1256266746876682	0.12853850965164834	0.15019243224434572	0.13405463765403122	0.13404568137127904	0.19622670548451046	0.16302474128752895	0.20560394407198676	0.14674381752919227	0.159934177139362	0.20290116527776833	0.21510074161808695	0.27866715427936994	0.31988676143088074	0.6263162981049293	0.5804813659892725	0.5595133453926323	0.5939782497588876	0.3453165824651064	0.41177251851584656	0.347406813123271	0.23198061755902327	0.2590143667009927	0.1464667405905748	0.09510662805688144	0.07366469234339795
f19pp	0.16884808154862796	0.12887891187881628	0.10484393218466614	0.0	0.05921301588416912	0.09343642411082526	0.19033115289817182	0.1136191313254259	0.09728358852798859	0.1362403538755243	0.1782368238216574	0.12750208856142864	0.1548744806985377	0.12072329580532928	0.12363513076930943	0.14528905336200681	0.1291512587716923	0.12914230248894015	0.19132332660217155	0.15812136240519004	0.20070056518964785	0.14184043864685336	0.1550307982570231	0.19799778639542942	0.21019736273574807	0.273763775397031	0.31498338254854175	0.6214129192225905	0.5755779871069336	0.5546099665102935	0.5890748708765488	0.3404132035827674	0.40686913963350757	0.342503434240932	0.2270772386766844	0.25411098781865377	0.1415633617082359	0.10392962586897458	0.09186178602847872
f22ppA	0.1427260915783986	0.10275692190858694	0.07872194221443679	0.05921301588416912	0.0	0.0673144341405959	0.16420916292794246	0.08749714135519655	0.07116159855775923	0.11011836390529496	0.15211483385142807	0.1013800985911993	0.12875249072830836	0.09460130583509993	0.09751314079908008	0.11916706339177748	0.10302926880146297	0.10302031251871079	0.16520133663194222	0.1319993724349607	0.17457857521941852	0.11571844867662402	0.12890880828679377	0.1718757964252001	0.18407537276551872	0.24764178542680168	0.2888613925783124	0.5952909292523612	0.5494559971367043	0.5284879765400642	0.5629528809063195	0.31429121361253803	0.3807471496632782	0.31638144427070264	0.20095524870645504	0.22798899784842444	0.11544137173800655	0.07780763589874524	0.06573979605824937
f25pp	0.16234395235712595	0.12237478268731432	0.09833980299316417	0.09343642411082526	0.0673144341405959	0.0	0.1691400849476699	0.09242806337492401	0.07609252057748671	0.11504928592502243	0.15704575587115555	0.10631102061092677	0.1336834127480358	0.0995322278548274	0.10244406281880755	0.12409798541150495	0.10796019082119045	0.10795123453843826	0.1701322586516697	0.13693029445468818	0.179509497239146	0.1206493706963515	0.13383973030652124	0.17680671844492757	0.18900629478524617	0.25257270744652915	0.29379231459803984	0.6002218512720886	0.5543869191564318	0.5334188985597916	0.5678838029260469	0.3192221356322655	0.38567807168300566	0.3213123662904301	0.20588617072618248	0.23291991986815191	0.12037229375773402	0.0974254966774726	0.08535765683697674
w1pp	0.2592386811444725	0.21926951147466084	0.1952345317805107	0.19033115289817182	0.16420916292794246	0.1691400849476699	0.0	0.1608444164192264	0.14450887362178907	0.2062605562979846	0.2482570262441177	0.19752229098388893	0.22489468312099797	0.19074349822778958	0.1936553331917697	0.2153092557844671	0.1991714611941526	0.19916250491140042	0.26134352902463187	0.22814156482765033	0.27072076761210817	0.21186064106931365	0.2250510006794834	0.26801798881788974	0.28021756515820834	0.3437839778194913	0.38500358497100207	0.6914331216450508	0.645598189529394	0.6246301689327538	0.6590950732990091	0.4104334060052277	0.4768893420559679	0.4125236366633923	0.29709744109914465	0.32413119024111403	0.21158356413069618	0.19432022546481914	0.18225238562432328
f16ppB	0.1825266595717266	0.14255748990191497	0.1185225102077648	0.1136191313254259	0.08749714135519655	0.09242806337492401	0.1608444164192264	0.0	0.056886553457704124	0.1295485347252387	0.1715450046713718	0.12081026941114303	0.14818266154825208	0.11403147665504365	0.1169433116190238	0.1385972342117212	0.12245943962140671	0.12245048333865452	0.18463150745188595	0.15142954325490443	0.19400874603936225	0.13514861949656776	0.1483389791067375	0.19130596724514382	0.20350554358546244	0.2670719562467454	0.30829156339825614	0.6147211000723048	0.568886167956648	0.5479181473600079	0.5823830517262631	0.3337213844324818	0.40017732048322197	0.3358116150906464	0.22038541952639876	0.24741916866836816	0.13487154255795028	0.11760820389207326	0.10554036405157738
w16pp	0.1661911167742893	0.12622194710447765	0.10218696741032751	0.09728358852798859	0.07116159855775923	0.07609252057748671	0.14450887362178907	0.056886553457704124	0.0	0.11321299192780138	0.15520946187393447	0.10447472661370572	0.13184711875081476	0.09769593385760635	0.1006077688215865	0.12226169141428389	0.10612389682396939	0.1061149405412172	0.16829596465444863	0.1350940004574671	0.17767320324192493	0.11881307669913044	0.13200343630930017	0.1749704244477065	0.18717000078802512	0.2507364134493081	0.2919560206008188	0.5983855572748675	0.5525506251592107	0.5315826045625707	0.5660475089288259	0.31738584163504446	0.38384177768578465	0.31947607229320907	0.20404987672896144	0.23108362587093084	0.11853599976051296	0.10127266109463595	0.08920482125414007
f9pp	0.205147882121825	0.16517871245201338	0.1411437327578632	0.1362403538755243	0.11011836390529496	0.11504928592502243	0.2062605562979846	0.1295485347252387	0.11321299192780138	0.0	0.1404380796586374	0.0897033443984086	0.11707573653551766	0.09528112485253279	0.11244181067573586	0.13409573326843327	0.11795793867811875	0.11794898239536658	0.180130006508598	0.16351595594429308	0.2060951587287509	0.1472350321859564	0.16042539179612614	0.20339237993453246	0.2155919562748511	0.27915836893613405	0.3203779760876448	0.6268075127616934	0.5809725806460366	0.5600045600493966	0.5944694644156518	0.34580779712187043	0.4122637331726106	0.34789802778003504	0.2324718322157874	0.2595055813577568	0.1469579552473389	0.14022942644217168	0.1281615866016758
w32pp	0.2471443520679581	0.20717518239814647	0.1831402027039963	0.1782368238216574	0.15211483385142807	0.15704575587115555	0.2482570262441177	0.1715450046713718	0.15520946187393447	0.1404380796586374	0.0	0.11287556070502966	0.14349377162175847	0.1372775947986659	0.15443828062186896	0.17609220321456637	0.15995440862425186	0.15994545234149968	0.2221264764547311	0.20551242589042618	0.248091628674884	0.1892315021320895	0.20242186174225923	0.24538884988066556	0.2575884262209842	0.32115483888226715	0.3623744460337779	0.6688039827078266	0.6229690505921698	0.6020010299955296	0.6364659343617849	0.3878042670680035	0.4542602031187437	0.38989449772616813	0.27446830216192053	0.3015020513038899	0.188954425193472	0.18222589638830478	0.17015805654780888
f26pp	0.19640961680772934	0.15644044713791772	0.13240546744376755	0.12750208856142864	0.1013800985911993	0.10631102061092677	0.19752229098388893	0.12081026941114303	0.10447472661370572	0.0897033443984086	0.11287556070502966	0.0	0.0927590363615297	0.0865428595384371	0.10370354536164018	0.1253574679543376	0.10921967336402308	0.1092107170812709	0.17139174119450232	0.1547776906301974	0.19735689341465523	0.13849676687186072	0.15168712648203045	0.1946541146204368	0.20685369096075543	0.2704201036220384	0.31163971077354913	0.6180692474475978	0.572234315331941	0.5512662947353009	0.5857311991015561	0.33706953180777477	0.40352546785851495	0.3391597624659394	0.22373356690169174	0.25076731604366115	0.13821968993324324	0.13149116112807602	0.11942332128758013
w19pp	0.2237820089448384	0.18381283927502673	0.1597778595808766	0.1548744806985377	0.12875249072830836	0.1336834127480358	0.22489468312099797	0.14818266154825208	0.13184711875081476	0.11707573653551766	0.14349377162175847	0.0927590363615297	0.0	0.11391525167554614	0.13107593749874924	0.15272986009144665	0.13659206550113212	0.13658310921837996	0.19876413333161136	0.18215008276730643	0.22472928555176427	0.16586915900896976	0.1790595186191395	0.22202650675754584	0.23422608309786447	0.29779249575914746	0.3390121029106582	0.6454416395847069	0.5996067074690501	0.5786386868724099	0.6131035912386652	0.36444192394488384	0.430897859995624	0.36653215460304844	0.2511059590388008	0.27813970818077016	0.1655920820703523	0.15886355326518503	0.14679571342468917
w3pp	0.18963082405162998	0.14966165438181833	0.1256266746876682	0.12072329580532928	0.09460130583509993	0.0995322278548274	0.19074349822778958	0.11403147665504365	0.09769593385760635	0.09528112485253279	0.1372775947986659	0.0865428595384371	0.11391525167554614	0.0	0.09692475260554081	0.11857867519823823	0.10244088060792371	0.10243192432517154	0.16461294843840296	0.14799889787409803	0.19057810065855585	0.13171797411576136	0.1449083337259311	0.18787532186433742	0.20007489820465604	0.263641310865939	0.30486091801744974	0.6112904546914985	0.5654555225758416	0.5444875019792016	0.5789524063454567	0.3302907390516754	0.39674667510241557	0.33238096970984	0.21695477414559236	0.24398852328756176	0.13144089717714388	0.12471236837197663	0.11264452853148076
f28pp	0.19254265901561013	0.15257348934579848	0.12853850965164834	0.12363513076930943	0.09751314079908008	0.10244406281880755	0.1936553331917697	0.1169433116190238	0.1006077688215865	0.11244181067573586	0.15443828062186896	0.10370354536164018	0.13107593749874924	0.09692475260554081	0.0	0.09651297864774387	0.08037518405742936	0.08784812217691756	0.15002914629014896	0.15091073283807818	0.193489935622536	0.1346298090797415	0.14782016868991124	0.19078715682831757	0.2029867331686362	0.2665531458299192	0.3077727529814299	0.6142022896554786	0.5683673575398218	0.5473993369431817	0.5818642413094369	0.33320257401565556	0.39965851006639574	0.33529280467382017	0.2198666091095725	0.2469003582515419	0.13435273214112403	0.12762420333595678	0.1155563634954609
w21pp	0.2141965816083075	0.1742274119384959	0.15019243224434572	0.14528905336200681	0.11916706339177748	0.12409798541150495	0.2153092557844671	0.1385972342117212	0.12226169141428389	0.13409573326843327	0.17609220321456637	0.1253574679543376	0.15272986009144665	0.11857867519823823	0.09651297864774387	0.0	0.09091327407342464	0.10950204476961498	0.1716830688828464	0.1725646554307756	0.2151438582152334	0.15628373167243892	0.16947409128260865	0.21244107942101498	0.2246406557613336	0.28820706842261656	0.3294266755741273	0.635856212248176	0.5900212801325192	0.569053259535879	0.6035181639021343	0.35485649660835294	0.42131243265909313	0.35694672726651755	0.24152053170226992	0.2685542808442393	0.15600665473382141	0.1492781259286542	0.1372102860881583
f32pp	0.198058787017993	0.1580896173481814	0.13405463765403122	0.1291512587716923	0.10302926880146297	0.10796019082119045	0.1991714611941526	0.12245943962140671	0.10612389682396939	0.11795793867811875	0.15995440862425186	0.10921967336402308	0.13659206550113212	0.10244088060792371	0.08037518405742936	0.09091327407342464	0.0	0.09336425017930045	0.15554527429253187	0.15642686084046106	0.1990060636249189	0.1401459370821244	0.15333629669229412	0.19630328483070048	0.20850286117101907	0.27206927383230206	0.3132888809838128	0.6197184176578615	0.5738834855422047	0.5529154649455645	0.5873803693118198	0.33871870201803844	0.4051746380687786	0.34080893267620305	0.2253827371119554	0.2524164862539248	0.1398688601435069	0.1331403313383397	0.1210724914978438
f20ppB	0.19804983073524085	0.15808066106542917	0.13404568137127904	0.12914230248894015	0.10302031251871079	0.10795123453843826	0.19916250491140042	0.12245048333865452	0.1061149405412172	0.11794898239536658	0.15994545234149968	0.1092107170812709	0.13658310921837996	0.10243192432517154	0.08784812217691756	0.10950204476961498	0.09336425017930045	0.0	0.14274577049331683	0.15641790455770888	0.19899710734216672	0.1401369807993722	0.15332734040954193	0.1962943285479483	0.2084939048882669	0.27206031754954985	0.3132799247010606	0.6197094613751093	0.5738745292594525	0.5529065086628124	0.5873714130290676	0.3387097457352862	0.4051656817860264	0.34079997639345083	0.22537378082920323	0.25240752997117266	0.13985990386075475	0.13313137505558748	0.12106353521509161
s16pp	0.26023085484847225	0.22026168517866063	0.19622670548451046	0.19132332660217155	0.16520133663194222	0.1701322586516697	0.26134352902463187	0.18463150745188595	0.16829596465444863	0.180130006508598	0.2221264764547311	0.17139174119450232	0.19876413333161136	0.16461294843840296	0.15002914629014896	0.1716830688828464	0.15554527429253187	0.14274577049331683	0.0	0.21859892867094033	0.26117813145539814	0.20231800491260366	0.2155083645227734	0.2584753526611797	0.27067492900149837	0.3342413416627813	0.37546094881429204	0.6818904854883407	0.6360555533726839	0.6150875327760439	0.649552437142299	0.4008907698485177	0.46734670589925786	0.4029810005066823	0.2875548049424347	0.31458855408440406	0.20204092797398615	0.19531239916881893	0.18324455932832304
f13pp	0.22702889065149073	0.1870597209816791	0.16302474128752895	0.15812136240519004	0.1319993724349607	0.13693029445468818	0.22814156482765033	0.15142954325490443	0.1350940004574671	0.16351595594429308	0.20551242589042618	0.1547776906301974	0.18215008276730643	0.14799889787409803	0.15091073283807818	0.1725646554307756	0.15642686084046106	0.15641790455770888	0.21859892867094033	0.0	0.1657126360502592	0.13790561853286895	0.15109597814303868	0.194062966281445	0.20626254262176363	0.2698289552830466	0.31104856243455736	0.6174780991086061	0.5716431669929491	0.5506751463963091	0.5851400507625644	0.336478383468783	0.4029343195195232	0.3385686141269476	0.22314241856269995	0.2501761677046694	0.14614268376628062	0.1621104349718374	0.15004259513134152
w8pp	0.26960809343594855	0.22963892376613693	0.20560394407198676	0.20070056518964785	0.17457857521941852	0.179509497239146	0.27072076761210817	0.19400874603936225	0.17767320324192493	0.2060951587287509	0.248091628674884	0.19735689341465523	0.22472928555176427	0.19057810065855585	0.193489935622536	0.2151438582152334	0.1990060636249189	0.19899710734216672	0.26117813145539814	0.1657126360502592	0.0	0.1804848213173268	0.19367518092749653	0.23664216906590285	0.24884174540622148	0.31240815806750444	0.3536277652190152	0.6600573018930639	0.614222369777407	0.5932543491807669	0.6277192535470222	0.3790575862532408	0.445513522303981	0.3811478169114054	0.2657216213471578	0.2927553704891272	0.18872188655073843	0.20468963775629523	0.19262179791579934
f31pp	0.21074796689315406	0.17077879722334244	0.14674381752919227	0.14184043864685336	0.11571844867662402	0.1206493706963515	0.21186064106931365	0.13514861949656776	0.11881307669913044	0.1472350321859564	0.1892315021320895	0.13849676687186072	0.16586915900896976	0.13171797411576136	0.1346298090797415	0.15628373167243892	0.1401459370821244	0.1401369807993722	0.20231800491260366	0.13790561853286895	0.1804848213173268	0.0	0.11331363268905836	0.1562806208274647	0.1684801971677833	0.23204660982906627	0.273266216980577	0.5796957536546257	0.5338608215389689	0.5128928009423288	0.547357705308584	0.29869603801480266	0.36515197406554284	0.30078626867296726	0.18536007310871963	0.21239382225068903	0.12986176000794394	0.14582951121350074	0.13376167137300485
f12ppA	0.2239383265033238	0.18396915683351217	0.159934177139362	0.1550307982570231	0.12890880828679377	0.13383973030652124	0.2250510006794834	0.1483389791067375	0.13200343630930017	0.16042539179612614	0.20242186174225923	0.15168712648203045	0.1790595186191395	0.1449083337259311	0.14782016868991124	0.16947409128260865	0.15333629669229412	0.15332734040954193	0.2155083645227734	0.15109597814303868	0.19367518092749653	0.11331363268905836	0.0	0.14962451934706117	0.1618240956873798	0.22539050834866275	0.2666101155001735	0.5730396521742221	0.5272047200585653	0.5062366994619253	0.5407016038281804	0.29203993653439914	0.3584958725851393	0.29413016719256374	0.1787039716283161	0.20573772077028551	0.14305211961811368	0.15901987082367047	0.14695203098317458
f7pp	0.2669053146417301	0.2269361449719185	0.20290116527776833	0.19799778639542942	0.1718757964252001	0.17680671844492757	0.26801798881788974	0.19130596724514382	0.1749704244477065	0.20339237993453246	0.24538884988066556	0.1946541146204368	0.22202650675754584	0.18787532186433742	0.19078715682831757	0.21244107942101498	0.19630328483070048	0.1962943285479483	0.2584753526611797	0.194062966281445	0.23664216906590285	0.1562806208274647	0.14962451934706117	0.0	0.15918294197623184	0.22274935463751477	0.2639689617890255	0.5703984984630741	0.5245635663474173	0.5035955457507773	0.5380604501170325	0.28939878282325115	0.35585471887399134	0.29148901348141576	0.17606281791716816	0.20309656705913753	0.18601910775652	0.2019868589620768	0.1899190191215809
f16ppA	0.27910489098204877	0.2391357213122371	0.21510074161808695	0.21019736273574807	0.18407537276551872	0.18900629478524617	0.28021756515820834	0.20350554358546244	0.18717000078802512	0.2155919562748511	0.2575884262209842	0.20685369096075543	0.23422608309786447	0.20007489820465604	0.2029867331686362	0.2246406557613336	0.20850286117101907	0.2084939048882669	0.27067492900149837	0.20626254262176363	0.24884174540622148	0.1684801971677833	0.1618240956873798	0.15918294197623184	0.0	0.1685888734472621	0.20980848059877283	0.5162380172728215	0.47040308515716467	0.4494350645605246	0.4838999689267798	0.23523830163299847	0.3016942376837387	0.2373285322911631	0.12190233672691547	0.19265668350407594	0.19821868409683863	0.2141864353023954	0.20211859546189953
f18pp	0.3426713036433317	0.3027021339735201	0.27866715427936994	0.273763775397031	0.24764178542680168	0.25257270744652915	0.3437839778194913	0.2670719562467454	0.2507364134493081	0.27915836893613405	0.32115483888226715	0.2704201036220384	0.29779249575914746	0.263641310865939	0.2665531458299192	0.28820706842261656	0.27206927383230206	0.27206031754954985	0.3342413416627813	0.2698289552830466	0.31240815806750444	0.23204660982906627	0.22539050834866275	0.22274935463751477	0.1685888734472621	0.0	0.14910569908632657	0.45553523576037525	0.40970030364471843	0.3887322830480784	0.42319718741433354	0.1745355201205522	0.24099145617129242	0.17662575077871684	0.13930691377432824	0.2562230961653589	0.26178509675812156	0.2777528479636784	0.2656850081231825
f4pp	0.3838909107948425	0.3439217411250309	0.31988676143088074	0.31498338254854175	0.2888613925783124	0.29379231459803984	0.38500358497100207	0.30829156339825614	0.2919560206008188	0.3203779760876448	0.3623744460337779	0.31163971077354913	0.3390121029106582	0.30486091801744974	0.3077727529814299	0.3294266755741273	0.3132888809838128	0.3132799247010606	0.37546094881429204	0.31104856243455736	0.3536277652190152	0.273266216980577	0.2666101155001735	0.2639689617890255	0.20980848059877283	0.14910569908632657	0.0	0.4738677759511639	0.4280328438355071	0.40706482323886706	0.4415297276051222	0.19286806031134082	0.25932399636208103	0.19495829096950545	0.18052652092583893	0.2974427033168696	0.3030047039096323	0.3189724551151891	0.30690461527469326
S21H1	0.6903204474688911	0.6503512777990794	0.6263162981049293	0.6214129192225905	0.5952909292523612	0.6002218512720886	0.6914331216450508	0.6147211000723048	0.5983855572748675	0.6268075127616934	0.6688039827078266	0.6180692474475978	0.6454416395847069	0.6112904546914985	0.6142022896554786	0.635856212248176	0.6197184176578615	0.6197094613751093	0.6818904854883407	0.6174780991086061	0.6600573018930639	0.5796957536546257	0.5730396521742221	0.5703984984630741	0.5162380172728215	0.45553523576037525	0.4738677759511639	0.0	0.2848202120432398	0.33854395940219956	0.37300886376845477	0.4728722455510773	0.5393281816018175	0.4749624762092419	0.48695605759988764	0.6038722399909183	0.609434240583681	0.6254019917892378	0.6133341519487419
F7H1	0.6444855153532343	0.6045163456834226	0.5804813659892725	0.5755779871069336	0.5494559971367043	0.5543869191564318	0.645598189529394	0.568886167956648	0.5525506251592107	0.5809725806460366	0.6229690505921698	0.572234315331941	0.5996067074690501	0.5654555225758416	0.5683673575398218	0.5900212801325192	0.5738834855422047	0.5738745292594525	0.6360555533726839	0.5716431669929491	0.614222369777407	0.5338608215389689	0.5272047200585653	0.5245635663474173	0.47040308515716467	0.40970030364471843	0.4280328438355071	0.2848202120432398	0.0	0.2927090272865428	0.32717393165279796	0.4270373134354205	0.4934932494861607	0.4291275440935851	0.4411211254842308	0.5580373078752615	0.5635993084680242	0.579567059673581	0.567499219833085
S18H1	0.6235174947565941	0.5835483250867824	0.5595133453926323	0.5546099665102935	0.5284879765400642	0.5334188985597916	0.6246301689327538	0.5479181473600079	0.5315826045625707	0.5600045600493966	0.6020010299955296	0.5512662947353009	0.5786386868724099	0.5444875019792016	0.5473993369431817	0.569053259535879	0.5529154649455645	0.5529065086628124	0.6150875327760439	0.5506751463963091	0.5932543491807669	0.5128928009423288	0.5062366994619253	0.5035955457507773	0.4494350645605246	0.3887322830480784	0.40706482323886706	0.33854395940219956	0.2927090272865428	0.0	0.273387997648606	0.40606929283878046	0.47252522888952064	0.40815952349694506	0.4201531048875908	0.5370692872786215	0.5426312878713841	0.5585990390769409	0.5465311992364449
530295	0.6579823991228494	0.6180132294530377	0.5939782497588876	0.5890748708765488	0.5629528809063195	0.5678838029260469	0.6590950732990091	0.5823830517262631	0.5660475089288259	0.5944694644156518	0.6364659343617849	0.5857311991015561	0.6131035912386652	0.5789524063454567	0.5818642413094369	0.6035181639021343	0.5873803693118198	0.5873714130290676	0.649552437142299	0.5851400507625644	0.6277192535470222	0.547357705308584	0.5407016038281804	0.5380604501170325	0.4838999689267798	0.42319718741433354	0.4415297276051222	0.37300886376845477	0.32717393165279796	0.273387997648606	0.0	0.4405341972050356	0.5069901332557758	0.4426244278632002	0.45461800925384593	0.5715341916448766	0.5770961922376394	0.5930639434431961	0.5809961036027002
f21pp	0.40932073182906814	0.3693515621592565	0.3453165824651064	0.3404132035827674	0.31429121361253803	0.3192221356322655	0.4104334060052277	0.3337213844324818	0.31738584163504446	0.34580779712187043	0.3878042670680035	0.33706953180777477	0.36444192394488384	0.3302907390516754	0.33320257401565556	0.35485649660835294	0.33871870201803844	0.3387097457352862	0.4008907698485177	0.336478383468783	0.3790575862532408	0.29869603801480266	0.29203993653439914	0.28939878282325115	0.23523830163299847	0.1745355201205522	0.19286806031134082	0.4728722455510773	0.4270373134354205	0.40606929283878046	0.4405341972050356	0.0	0.22039395973384399	0.15602825434126838	0.20595634196006457	0.32287252435109526	0.328434524943858	0.34440227614941477	0.3323344363089189
S20H1	0.4757766678798083	0.4358074982099967	0.41177251851584656	0.40686913963350757	0.3807471496632782	0.38567807168300566	0.4768893420559679	0.40017732048322197	0.38384177768578465	0.4122637331726106	0.4542602031187437	0.40352546785851495	0.430897859995624	0.39674667510241557	0.39965851006639574	0.42131243265909313	0.4051746380687786	0.4051656817860264	0.46734670589925786	0.4029343195195232	0.445513522303981	0.36515197406554284	0.3584958725851393	0.35585471887399134	0.3016942376837387	0.24099145617129242	0.25932399636208103	0.5393281816018175	0.4934932494861607	0.47252522888952064	0.5069901332557758	0.22039395973384399	0.0	0.17859407042374198	0.2724122780108048	0.3893284604018355	0.3948904609945982	0.41085821220015495	0.3987903723596591
