	S26Hp	S23Hp	S28Hp	S12Hp	w6pp	S18H1	S20H1	S22Hp	S6Hp	S9H1	F7H1	S15Hp	S13Hp	w10pp	s32pp	w32pp	S17H1	S1Hp	S4Hp	S21H1	f1pp	f31pp	S19H1
S26Hp	0.0	0.20395438780714203	0.24337253149797577	0.3013308564120229	0.3531374719088956	0.3388957528848336	0.35731137138222263	0.3391906856718934	0.34813290510010586	1.2686995937744783	0.3501832370393568	0.38958771385272656	0.32247123761318086	0.340410613633788	0.32825837201271557	0.34346821402135536	0.37550117754376616	0.32954170998164983	0.30728390808223505	0.28064127762387064	0.26244990474863505	0.2520387428654193	0.15933986594727823
S23Hp	0.20395438780714203	0.0	0.18961605262634867	0.27261651013215327	0.324423125629026	0.31018140660496396	0.328597025102353	0.3104763393920238	0.31941855882023623	1.2399852474946085	0.32146889075948715	0.36087336757285693	0.29375689133331123	0.31169626735391837	0.29954402573284594	0.3147538677414857	0.34678683126389653	0.3008273637017802	0.2785695618023654	0.251926931344001	0.2337355584687654	0.22332439658554964	0.18510767049851706
S28Hp	0.24337253149797577	0.18961605262634867	0.0	0.312034653822987	0.3638412693198597	0.3495995502957977	0.36801516879318674	0.34989448308285753	0.3588367025110699	1.279403391185442	0.3608870344503209	0.40029151126369067	0.3331750350241449	0.35111441104475205	0.3389621694236796	0.35417201143231947	0.3862049749547303	0.34024550739261394	0.3179877054931991	0.29134507503483476	0.2731537021595991	0.26274254027638333	0.22452581418935078
S12Hp	0.3013308564120229	0.27261651013215327	0.312034653822987	0.0	0.2553523731307205	0.24111065410665852	0.2595262726040476	0.24140558689371833	0.25034780632193077	1.170914494996303	0.2523981382611817	0.2918026150745515	0.26979497223008564	0.2877343482506928	0.27558210662962035	0.2907919486382602	0.322824912160671	0.2768654445985546	0.2546076426991398	0.2597372574343608	0.24154588455912523	0.2763064150009064	0.2824841391033979
w6pp	0.3531374719088956	0.324423125629026	0.3638412693198597	0.2553523731307205	0.0	0.19789690981078656	0.27305013990893157	0.2549294541986023	0.26387167362681474	1.1844383623011872	0.26592200556606566	0.3053264823794355	0.32160158772695835	0.3395409637475655	0.32738872212649306	0.3425985641351329	0.3746315276575437	0.3286720600954273	0.30641425819601253	0.31154387293123353	0.29335250005599794	0.3281130304977791	0.33429075460027063
S18H1	0.3388957528848336	0.31018140660496396	0.3495995502957977	0.24111065410665852	0.19789690981078656	0.0	0.25880842088486955	0.24068773517454028	0.24962995460275278	1.1701966432771251	0.25168028654200364	0.29108476335537353	0.3073598687028964	0.3252992447235035	0.3131470031024311	0.3283568451110709	0.36038980863348175	0.31443034107136536	0.2921725391719505	0.2973021539071716	0.27911078103193593	0.3138713114737171	0.3200490355762086
S20H1	0.35731137138222263	0.328597025102353	0.36801516879318674	0.2595262726040476	0.27305013990893157	0.25880842088486955	0.0	0.2338554745932897	0.2427976940215022	1.1633663826968748	0.2448500259617531	0.284254502775123	0.32577548720028543	0.34371486322089256	0.33156262159982014	0.3467724636084599	0.3788054271308708	0.3328459595687544	0.31058815766933956	0.3157177724045606	0.29752639952932497	0.33228692997110615	0.33846465407359766
S22Hp	0.3391906856718934	0.3104763393920238	0.34989448308285753	0.24140558689371833	0.2549294541986023	0.24068773517454028	0.2338554745932897	0.0	0.17057779693340702	1.1452456969865454	0.22672934025142386	0.2661338170647937	0.30765480148995616	0.3255941775105633	0.3134419358894909	0.3286517778981307	0.3606847414205415	0.31472527385842514	0.29246747195901035	0.29759708669423135	0.27940571381899576	0.31416624426077694	0.32034396836326845
S6Hp	0.34813290510010586	0.31941855882023623	0.3588367025110699	0.25034780632193077	0.26387167362681474	0.24962995460275278	0.2427976940215022	0.17057779693340702	0.0	1.154187916414758	0.23567155967963632	0.27507603649300616	0.31659702091816866	0.3345363969387758	0.32238415531770337	0.33759399732634315	0.369626960848754	0.3236674932866376	0.30140969138722284	0.30653930612244384	0.2883479332472082	0.3231084636889894	0.3292861877914809
S9H1	1.2686995937744783	1.2399852474946085	1.279403391185442	1.170914494996303	1.1844383623011872	1.1701966432771251	1.1633663826968748	1.1452456969865454	1.154187916414758	0.0	1.1284413664846757	1.1678458432980456	1.237163709592541	1.2551030856131482	1.2429508439920758	1.2581606860007155	1.2901936495231263	1.2442341819610099	1.2219763800615953	1.2271059947968164	1.2089146219215807	1.2436751523633618	1.2498528764658532
