	S9H1	S26Hp	S28Hp	s24H1	F14H1B	S15Hp	S6Hp	S17H1	S23Hp	S4Hp	S20H1
S9H1	0.0	0.29481092192208386	0.36097011380730354	0.5882615299583884	0.6323859377568899	0.45060997026467975	0.4876163937064623	0.4944977884585824	0.4927380328549314	0.3838822430219251	0.4122160170544129
S26Hp	0.29481092192208386	0.0	0.250242126513576	0.5054286690180227	0.5495530768165242	0.3677771093243141	0.4047835327660967	0.41166492751821676	0.40990517191456577	0.3010493820815595	0.32938315611404734
S28Hp	0.36097011380730354	0.250242126513576	0.0	0.5715878609032425	0.6157122687017439	0.4339363012095338	0.47094272465131637	0.47782411940343644	0.47606436379978545	0.3672085739667792	0.395542347999267
s24H1	0.5882615299583884	0.5054286690180227	0.5715878609032425	0.0	0.21776178444419408	0.5894094231375172	0.6264158465792997	0.6332972413314198	0.6315374857277689	0.554088676637345	0.5824224506698328
F14H1B	0.6323859377568899	0.5495530768165242	0.6157122687017439	0.21776178444419408	0.0	0.6335338309360186	0.6705402543778012	0.6774216491299212	0.6756618935262703	0.5982130844358463	0.6265468584683341
S15Hp	0.45060997026467975	0.3677771093243141	0.4339363012095338	0.5894094231375172	0.6335338309360186	0.0	0.11535160598144076	0.1222330007335608	0.12047324512990984	0.4164371169436362	0.44477089097612404
S6Hp	0.4876163937064623	0.4047835327660967	0.47094272465131637	0.6264158465792997	0.6705402543778012	0.11535160598144076	0.0	0.12175487988756371	0.11999512428391274	0.4534435403854188	0.4817773144179066
S17H1	0.4944977884585824	0.41166492751821676	0.47782411940343644	0.6332972413314198	0.6774216491299212	0.1222330007335608	0.12175487988756371	0.0	0.098486215525319	0.46032493513753886	0.4886587091700267
S23Hp	0.4927380328549314	0.40990517191456577	0.47606436379978545	0.6315374857277689	0.6756618935262703	0.12047324512990984	0.11999512428391274	0.098486215525319	0.0	0.45856517953388787	0.4868989535663757
S4Hp	0.3838822430219251	0.3010493820815595	0.3672085739667792	0.554088676637345	0.5982130844358463	0.4164371169436362	0.4534435403854188	0.46032493513753886	0.45856517953388787	0.0	0.34720140401297517
S20H1	0.4122160170544129	0.32938315611404734	0.395542347999267	0.5824224506698328	0.6265468584683341	0.44477089097612404	0.4817773144179066	0.4886587091700267	0.4868989535663757	0.34720140401297517	0.0
