	F6H1	31700	31512	530075	31333	31360	31452	530215	530163	S28Hp	S26Hp	S1Hp	F32H1	530331	31600	F22HpB	S22Hp	S2Hp	S21H1	S15Hp	S14Hp	F1H1	S16H2	530444	f21pp	w8pp	f12ppB	S27H1	S19H1	F14H1B	f23ppA	w18pp	S17H1	f7pp	w30pp	w11pp	s30pp	f8pp	f4pp	w15pp	f2pp	F7H1	f22ppB	w2pp	f10pp	w1pp	w20pp	f15pp	f11pp	w12pp	w13pp	s32pp	w32pp	f6ppA	S6Hp	f6ppB	f20ppB	f20ppA	f32pp	w26pp	w16pp	S3Hp	f25pp	w17pp	f1pp	f16ppA	s1pp	f22ppA	f14ppB	w3pp	w4pp	F8H1	S4Hp	S12Hp	S18H1	s27pp	s23pp	w23pp	S23Hp	w14pp	w27pp	f19pp	F3H1	w21pp	s21pp	s7pp	w19pp	31379	31160	w10pp	f17ppB	w31pp	s28pp	w29pp	s24H1	w25pp	530295	S9H1
F6H1	0.0	0.22353527702011305	0.2688048063982074	0.2786765267245265	0.294777001290109	0.30084159650224523	0.29591827202640436	0.2274764019264321	0.24579215674729446	0.25335285031577304	0.23373278840569003	0.2545115257561623	0.2557886318893197	0.23167300318842227	0.25521772558632105	0.2341216273613828	0.28464370388434085	0.2493642022020637	0.2630928203961211	0.4241629133193925	0.45320069525919016	0.4529092975207337	0.4780684646423113	0.4475721871021866	0.1377709664600381	0.1270472396851498	0.13198091644658272	0.14524061768524726	0.14853289558511784	0.16024073801462435	0.1456059681144718	0.13644203789741005	0.1571374156032156	0.13040388966656247	0.14327859877550525	0.14577820212711684	0.14617485661504864	0.13470577029596403	0.1426650583930325	0.15322776390248918	0.13449970122684732	0.14123855046429312	0.14539537331304653	0.1359497466362538	0.14148230412216878	0.14955356192918953	0.13893882761113954	0.15976646218928983	0.15366137551734005	0.15671556455687888	0.1574811683533916	0.1640948076385094	0.16177191788562753	0.15611735027196466	0.1689730025619986	0.15393637259272097	0.14924196414219285	0.15092580778316406	0.15156621224240016	0.14115028948912361	0.1446553545704934	0.14570186304224073	0.1416793782827809	0.13886208498700298	0.14573970502924333	0.14580476309809595	0.15525635245310956	0.15264218719834463	0.14201374582849058	0.14878621662933447	0.1481177966799426	0.17218174016590804	0.1638605316918158	0.15853222630945144	0.15876085786025065	0.14695974444415716	0.15420166185052897	0.15966275484907247	0.16987249117273867	0.140245255635503	0.15567286509762934	0.1508201812179252	0.16227780506446549	0.1534749593154454	0.15243306035237053	0.16358390246532784	0.15108770104897107	0.18685959326987533	0.18887397639962675	0.154688635016478	0.14941667893263974	0.15123725700228546	0.1565514002571673	0.15518689901472588	0.166357089845281	0.14325569315831396	0.12905774778425633	0.15477142845392905
31700	0.22353527702011305	0.0	0.11502441504724306	0.12489613537356208	0.14099660993914462	0.14706120515128088	0.14213788067543998	0.10866866170777742	0.21495481617964124	0.2225155097481198	0.2028954478380368	0.22367418518850907	0.22495129132166647	0.20083566262076902	0.2243803850186678	0.20328428679372956	0.2538063633166876	0.21852686163441046	0.23225547982846784	0.4491005638978029	0.47813834583760056	0.47784694809914413	0.5030061152207217	0.472509837680597	0.3579358861514802	0.3472121593765919	0.3521458361380248	0.3654055373766893	0.36869781527655987	0.38040565770606644	0.3657708878059139	0.3566069575888521	0.3773023352946577	0.3505688093580045	0.36344351846694734	0.3659431218185589	0.3663397763064907	0.35487068998740606	0.3628299780844746	0.37339268359393124	0.3546646209182894	0.3614034701557352	0.36556029300448856	0.3561146663276959	0.3616472238136108	0.3697184816206316	0.3591037473025816	0.3799313818807319	0.3738262952087821	0.37688048424832093	0.3776460880448336	0.38425972732995145	0.3819368375770696	0.3762822699634067	0.3891379222534407	0.37410129228416306	0.3694068838336349	0.3710907274746061	0.3717311319338422	0.3613152091805657	0.3648202742619354	0.3658667827336828	0.36184429797422296	0.35902700467844506	0.36590462472068536	0.365969682789538	0.3754212721445516	0.3728071068897867	0.3621786655199326	0.36895113632077653	0.36828271637138466	0.39234665985735007	0.3840254513832579	0.3786971460008935	0.3789257775516927	0.3671246641355992	0.37436658154197106	0.3798276745405145	0.3900374108641807	0.3604101753269451	0.3758377847890714	0.37098510090936726	0.38244272475590757	0.37363987900688744	0.37259798004381256	0.38374882215676986	0.3712526207404131	0.40702451296131736	0.4090388960910688	0.37485355470792003	0.3695815986240818	0.37140217669372755	0.3767163199486093	0.3753518187061679	0.38652200953672305	0.363420612849756	0.3492226674756984	0.3749363481453711
31512	0.2688048063982074	0.11502441504724306	0.0	0.1396614777725384	0.15576195233812093	0.1618265475502572	0.1569032230744163	0.15393819108587178	0.26022434555773555	0.26778503912621415	0.24816497721613115	0.2689437145666034	0.27022082069976083	0.24610519199886338	0.26964991439676217	0.24855381617182393	0.29907589269478196	0.2637963910125048	0.2775250092065622	0.49437009327589726	0.523407875215695	0.5231164774772386	0.5482756445988161	0.5177793670586914	0.40320541552957456	0.39248168875468625	0.39741536551611917	0.41067506675478366	0.41396734465465423	0.4256751870841608	0.41104041718400824	0.40187648696694644	0.42257186467275204	0.39583833873609886	0.4087130478450417	0.4112126511966533	0.4116093056845851	0.4001402193655004	0.40809950746256896	0.4186622129720256	0.39993415029638374	0.40667299953382957	0.4108298223825829	0.40138419570579026	0.40691675319170517	0.41498801099872595	0.40437327668067596	0.42520091125882625	0.41909582458687644	0.4221500136264153	0.422915617422928	0.4295292567080458	0.42720636695516395	0.42155179934150105	0.43440745163153505	0.4193708216622574	0.41467641321172927	0.41636025685270045	0.4170006613119366	0.40658473855866006	0.4100898036400298	0.41113631211177715	0.4071138273523173	0.4042965340565394	0.4111741540987797	0.4112392121676324	0.420690801522646	0.41807663626788105	0.40744819489802697	0.4142206656988709	0.413552245749479	0.43761618923544443	0.42929498076135225	0.42396667537898786	0.4241953069297871	0.41239419351369355	0.4196361109200654	0.4250972039186089	0.43530694024227506	0.40567970470503945	0.4211073141671658	0.4162546302874616	0.42771225413400193	0.4189094083849818	0.4178675094219069	0.42901835153486423	0.41652215011850746	0.45229404233941173	0.45430842546916317	0.4201230840860144	0.41485112800217616	0.4166717060718219	0.4219858493267037	0.42062134808426227	0.4317915389148174	0.4086901422278504	0.3944921968537928	0.42020587752346544
530075	0.2786765267245265	0.12489613537356208	0.1396614777725384	0.0	0.13760706543005075	0.143671660642187	0.1387483361663461	0.16380991141219078	0.2700960658840546	0.2776567594525332	0.2580366975424502	0.27881543489292243	0.28009254102607983	0.2559769123251824	0.2795216347230812	0.2584255364981429	0.30894761302110096	0.27366811133882385	0.2873967295328812	0.5042418136022163	0.533279595542014	0.5329881978035576	0.5581473649251351	0.5276510873850104	0.4130771358558936	0.4023534090810053	0.4072870858424382	0.4205467870811027	0.42383906498097335	0.43554690741047986	0.4209121375103273	0.4117482072932655	0.4324435849990711	0.40571005906241797	0.41858476817136075	0.4210843715229723	0.4214810260109041	0.4100119396918195	0.41797122778888796	0.42853393329834466	0.4098058706227028	0.4165447198601486	0.420701542708902	0.4112559160321093	0.4167884735180243	0.424859731325045	0.414244997006995	0.4350726315851453	0.42896754491319555	0.43202173395273435	0.43278733774924705	0.43940097703436487	0.437078087281483	0.4314235196678201	0.4442791719578541	0.4292425419885765	0.4245481335380483	0.4262319771790195	0.42687238163825564	0.4164564588849791	0.4199615239663489	0.4210080324380962	0.4169855476786364	0.4141682543828585	0.4210458744250988	0.42111093249395143	0.43056252184896504	0.4279483565942001	0.417319915224346	0.42409238602518995	0.4234239660757981	0.44748790956176354	0.4391667010876713	0.4338383957053069	0.43406702725610613	0.4222659138400126	0.4295078312463845	0.43496892424492795	0.4451786605685941	0.4155514250313585	0.43097903449348485	0.4261263506137807	0.437583974460321	0.42878112871130086	0.427739229748226	0.43889007186118334	0.4263938704448265	0.46216576266573084	0.4641801457954822	0.4299948044123335	0.4247228483284952	0.42654342639814097	0.43185756965302274	0.4304930684105813	0.4416632592411365	0.41856186255416944	0.40436391718011183	0.4300775978497845
31333	0.294777001290109	0.14099660993914462	0.15576195233812093	0.13760706543005075	0.0	0.12388407214911906	0.11896074767327819	0.17991038597777334	0.28619654044963716	0.2937572340181157	0.2741371721080327	0.294915909458505	0.2961930155916624	0.27207738689076494	0.2956221092886637	0.2745260110637255	0.3250480875866835	0.28976858590440635	0.30349720409846376	0.5203422881677988	0.5493800701075965	0.54908867236914	0.5742478394907176	0.5437515619505929	0.4291776104214761	0.4184538836465878	0.4233875604080207	0.4366472616466852	0.43993953954655585	0.45164738197606236	0.4370126120759098	0.427848681858848	0.4485440595646536	0.4218105336280005	0.43468524273694326	0.4371848460885548	0.4375815005764866	0.426112414257402	0.43407170235447046	0.44463440786392716	0.4259063451882853	0.4326451944257311	0.4368020172744845	0.4273563905976918	0.4328889480836068	0.4409602058906275	0.4303454715725775	0.4511731061507278	0.44506801947877805	0.44812220851831686	0.44888781231482955	0.45550145159994737	0.4531785618470655	0.4475239942334026	0.4603796465234366	0.445343016554159	0.4406486081036308	0.442332451744602	0.44297285620383814	0.4325569334505616	0.4360619985319314	0.4371085070036787	0.4330860222442189	0.430268728948441	0.4371463489906813	0.43721140705953393	0.44666299641454754	0.4440488311597826	0.43342038978992853	0.44019286059077245	0.4395244406413806	0.46358838412734604	0.4552671756532538	0.4499388702708894	0.45016750182168863	0.4383663884055951	0.445608305811967	0.45106939881051045	0.4612791351341766	0.431651899596941	0.44707950905906735	0.4422268251793632	0.4536844490259035	0.44488160327688336	0.4438397043138085	0.45499054642676584	0.442494345010409	0.47826623723131334	0.4802806203610647	0.446095278977916	0.4408233228940777	0.44264390096372347	0.44795804421860524	0.4465935429761638	0.457763733806719	0.43466233711975194	0.42046439174569433	0.446178072415367
31360	0.30084159650224523	0.14706120515128088	0.1618265475502572	0.143671660642187	0.12388407214911906	0.0	0.09711846380161335	0.18597498118990957	0.29226113566177336	0.29982182923025197	0.280201767320169	0.3009805046706412	0.30225761080379865	0.2781419821029012	0.3016867045008	0.28059060627586174	0.3311126827988198	0.2958331811165426	0.3095617993106	0.5264068833799351	0.5554446653197327	0.5551532675812763	0.5803124347028539	0.5498161571627291	0.4352422056336124	0.42451847885872407	0.429452155620157	0.4427118568588215	0.44600413475869205	0.4577119771881986	0.44307720728804606	0.43391327707098426	0.45460865477678986	0.4278751288401367	0.4407498379490795	0.4432494413006911	0.4436460957886229	0.43217700946953824	0.44013629756660677	0.4506990030760634	0.43197094040042155	0.4387097896378674	0.44286661248662074	0.4334209858098281	0.438953543295743	0.44702480110276377	0.4364100667847138	0.45723770136286407	0.45113261469091426	0.4541868037304531	0.4549524075269658	0.46156604681208363	0.45924315705920177	0.45358858944553887	0.46644424173557286	0.45140761176629524	0.4467132033157671	0.44839704695673827	0.4490374514159744	0.4386215286626979	0.4421265937440676	0.44317310221581496	0.43915061745635514	0.43633332416057724	0.44321094420281754	0.4432760022716702	0.4527275916266838	0.45011342637191887	0.4394849850020648	0.4462574558029087	0.44558903585351683	0.46965297933948225	0.46133177086539007	0.45600346548302567	0.4562320970338249	0.44443098361773137	0.45167290102410323	0.4571339940226467	0.4673437303463129	0.43771649480907726	0.4531441042712036	0.44829142039149944	0.45974904423803975	0.4509461984890196	0.44990429952594474	0.46105514163890204	0.4485589402225453	0.48433083244344954	0.486345215573201	0.4521598741900522	0.446887918106214	0.44870849617585973	0.4540226394307415	0.4526581381883001	0.46382832901885523	0.4407269323318882	0.4265289869578306	0.45224266762750326
31452	0.29591827202640436	0.14213788067543998	0.1569032230744163	0.1387483361663461	0.11896074767327819	0.09711846380161335	0.0	0.1810516567140687	0.2873378111859325	0.2948985047544111	0.2752784428443281	0.2960571801948003	0.2973342863279578	0.2732186576270603	0.2967633800249591	0.27566728180002087	0.3261893583229789	0.29090985664070174	0.30463847483475914	0.5214835589040943	0.5505213408438918	0.5502299431054354	0.575389110227013	0.5448928326868883	0.4303188811577715	0.4195951543828832	0.4245288311443161	0.4377885323829806	0.4410808102828512	0.45278865271235774	0.4381538828122052	0.4289899525951434	0.449685330300949	0.4229518043642958	0.43582651347323864	0.43832611682485023	0.43872277131278203	0.42725368499369737	0.4352129730907659	0.44577567860022255	0.4270476159245807	0.4337864651620265	0.43794328801077986	0.4284976613339872	0.4340302188199021	0.4421014766269229	0.4314867423088729	0.4523143768870232	0.4462092902150734	0.44926347925461224	0.45002908305112493	0.45664272233624276	0.4543198325833609	0.448665264969698	0.461520917259732	0.44648428729045436	0.4417898788399262	0.4434737224808974	0.4441141269401335	0.433698204186857	0.4372032692682267	0.4382497777399741	0.43422729298051427	0.43140999968473637	0.43828761972697666	0.4383526777958293	0.4478042671508429	0.445190101896078	0.4345616605262239	0.44133413132706784	0.44066571137767596	0.4647296548636414	0.4564084463895492	0.4510801410071848	0.451308772557984	0.4395076591418905	0.44674957654826236	0.45221066954680583	0.462420405870472	0.4327931703332364	0.44822077979536273	0.44336809591565857	0.4548257197621989	0.44602287401317875	0.44498097505010387	0.45613181716306117	0.4436356157467044	0.47940750796760867	0.4814218910973601	0.44723654971421134	0.4419645936303731	0.44378517170001885	0.44909931495490063	0.4477348137124592	0.45890500454301436	0.4358036078560473	0.4216056624819897	0.4473193431516624
530215	0.2274764019264321	0.10866866170777742	0.15393819108587178	0.16380991141219078	0.17991038597777334	0.18597498118990957	0.1810516567140687	0.0	0.21889594108596025	0.22645663465443883	0.20683657274435582	0.22761531009482808	0.2288924162279855	0.20477678752708806	0.22832150992498684	0.2072254117000486	0.25774748822300664	0.22246798654072947	0.23619660473478687	0.45304168880412193	0.4820794707439196	0.48178807300546317	0.5069472401270407	0.47645096258691605	0.36187701105779924	0.3511532842829109	0.35608696104434384	0.36934666228300833	0.3726389401828789	0.3843467826123855	0.3697120127122329	0.3605480824951711	0.3812434602009767	0.35450993426432353	0.3673846433732664	0.36988424672487796	0.37028090121280977	0.3588118148937251	0.36677110299079363	0.3773338085002503	0.3586057458246084	0.36534459506205424	0.3695014179108076	0.36005579123401493	0.36558834871992985	0.3736596065269506	0.36304487220890064	0.3838725067870509	0.3777674201151011	0.38082160915464	0.38158721295115267	0.3882008522362705	0.3858779624833886	0.38022339486972573	0.3930790471597597	0.3780424171904821	0.37334800873995394	0.3750318523809251	0.37567225684016126	0.36525633408688474	0.36876139916825446	0.3698079076400018	0.365785422880542	0.3629681295847641	0.3698457496270044	0.36991080769585705	0.37936239705087066	0.3767482317961057	0.36611979042625165	0.37289226122709557	0.3722238412777037	0.3962877847636691	0.3879665762895769	0.38263827090721253	0.38286690245801175	0.3710657890419182	0.3783077064482901	0.38376879944683356	0.39397853577049974	0.3643513002332641	0.37977890969539047	0.3749262258156863	0.3863838496622266	0.3775810039132065	0.3765391049501316	0.3876899470630889	0.37519374564673214	0.4109656378676364	0.41298002099738784	0.37879467961423907	0.37352272353040084	0.3753433016000466	0.38065744485492836	0.37929294361248694	0.3904631344430421	0.36736173775607506	0.35316379238201745	0.3788774730516901
530163	0.24579215674729446	0.21495481617964124	0.26022434555773555	0.2700960658840546	0.28619654044963716	0.29226113566177336	0.2873378111859325	0.21889594108596025	0.0	0.16533982737095276	0.1457197654608698	0.16649850281134204	0.16777560894449944	0.14365998024360202	0.16720470264150078	0.14610860441656254	0.19663068093952063	0.16135117925724346	0.1750797974513008	0.47135744362498433	0.500395225564782	0.5001038278263256	0.5252629949479031	0.49476671740777844	0.38019276587866163	0.3694690391037733	0.37440271586520624	0.3876624171038707	0.39095469500374136	0.40266253743324787	0.3880277675330953	0.3788638373160335	0.3995592150218391	0.372825689085186	0.38570039819412877	0.3882000015457403	0.3885966560336721	0.3771275697145875	0.38508685781165597	0.3956495633211127	0.3769215006454708	0.38366034988291664	0.38781717273167	0.37837154605487733	0.3839041035407923	0.391975361347813	0.38136062702976303	0.4021882616079133	0.39608317493596357	0.39913736397550237	0.39990296777201506	0.4065166070571329	0.404193717304251	0.3985391496905881	0.4113948019806221	0.3963581720113445	0.39166376356081634	0.3933476072017875	0.39398801166102365	0.38357208890774713	0.3870771539891169	0.3881236624608642	0.3841011777014044	0.3812838844056265	0.3881615044478668	0.38822656251671944	0.39767815187173305	0.3950639866169681	0.38443554524711404	0.39120801604795796	0.3905395960985661	0.41460353958453156	0.4062823311104393	0.4009540257280749	0.40118265727887414	0.3893815438627806	0.3966234612691525	0.40208455426769596	0.41229429059136213	0.3826670550541265	0.39809466451625286	0.3932419806365487	0.404699604483089	0.3958967587340689	0.394854859770994	0.40600570188395135	0.39350950046759453	0.42928139268849885	0.43129577581825024	0.3971104344351015	0.39183847835126323	0.393659056420909	0.39897319967579076	0.39760869843334934	0.4087788892639045	0.38567749257693745	0.37147954720287985	0.3971932278725525
S28Hp	0.25335285031577304	0.2225155097481198	0.26778503912621415	0.2776567594525332	0.2937572340181157	0.29982182923025197	0.2948985047544111	0.22645663465443883	0.16533982737095276	0.0	0.10609897307361676	0.12687771042408902	0.12815481655724645	0.12753016427527686	0.15107488667317562	0.12997878844823738	0.18050086497119544	0.14522136328891827	0.15894998148297565	0.4789181371934629	0.5079559191332605	0.5076645213948041	0.5328236885163817	0.502327410976257	0.3877534594471402	0.37702973267225187	0.3819634094336848	0.3952231106723493	0.3985153885722199	0.4102232310017264	0.39558846110157386	0.38642453088451206	0.40711990859031766	0.38038638265366453	0.3932610917626073	0.39576069511421885	0.39615734960215065	0.38468826328306605	0.3926475513801345	0.4032102568895912	0.38448219421394936	0.3912210434513952	0.39537786630014854	0.3859322396233559	0.39146479710927085	0.39953605491629157	0.3889213205982416	0.40974895517639187	0.4036438685044421	0.4066980575439809	0.4074636613404936	0.41407730062561143	0.41175441087272957	0.4060998432590667	0.41895549554910066	0.40391886557982304	0.3992244571292949	0.40090830077026607	0.4015487052295022	0.3911327824762257	0.39463784755759546	0.39568435602934277	0.39166187126988294	0.38884457797410504	0.39572219801634534	0.395787256085198	0.4052388454402116	0.40262468018544667	0.3919962388155926	0.3987687096164365	0.39810028966704464	0.4221642331530101	0.41384302467891787	0.4085147192965535	0.4087433508473527	0.39694223743125917	0.40418415483763104	0.4096452478361745	0.4198549841598407	0.39022774862260506	0.4056553580847314	0.40080267420502724	0.41226029805156755	0.4034574523025474	0.40241555333947254	0.4135663954524299	0.4010701940360731	0.4368420862569774	0.4388564693867288	0.40467112800358007	0.3993991719197418	0.40121974998938753	0.4065338932442693	0.4051693920018279	0.41633958283238304	0.393238186145416	0.3790402407713584	0.40475392144103106
S26Hp	0.23373278840569003	0.2028954478380368	0.24816497721613115	0.2580366975424502	0.2741371721080327	0.280201767320169	0.2752784428443281	0.20683657274435582	0.1457197654608698	0.10609897307361676	0.0	0.05924206171753038	0.07929722726917585	0.10791010236519386	0.13145482476309261	0.11035872653815439	0.16088080306111247	0.1256013013788353	0.13932991957289265	0.45929807528337985	0.4883358572231775	0.4880444594847211	0.5132036266062987	0.48270734906617396	0.3681333975370572	0.3574096707621689	0.3623433475236018	0.3756030487622663	0.3788953266621369	0.39060316909164344	0.3759683991914909	0.3668044689744291	0.3874998466802347	0.3607663207435815	0.37364102985252434	0.37614063320413593	0.37653728769206773	0.36506820137298307	0.3730274894700516	0.38359019497950825	0.3648621323038664	0.3716009815413122	0.37575780439006556	0.3663121777132729	0.3718447351991878	0.3799159930062086	0.3693012586881586	0.3901288932663089	0.3840238065943591	0.38707799563389794	0.38784359943041063	0.39445723871552846	0.3921343489626466	0.3864797813489837	0.3993354336390177	0.38429880366974006	0.3796043952192119	0.3812882388601831	0.3819286433194192	0.3715127205661427	0.3750177856475124	0.3760642941192598	0.37204180935979997	0.36922451606402207	0.37610213610626236	0.376167194175115	0.38561878353012863	0.3830046182753637	0.3723761769055096	0.37914864770635354	0.37848022775696166	0.4025441712429271	0.3942229627688349	0.3888946573864705	0.3891232889372697	0.3773221755211762	0.38456409292754806	0.39002518592609153	0.4002349222497577	0.3706076867125221	0.38603529617464843	0.38118261229494427	0.3926402361414846	0.38383739039246445	0.38279549142938957	0.39394633354234687	0.3814501321259901	0.41722202434689437	0.4192364074766458	0.38505106609349704	0.3797791100096588	0.38159968807930456	0.38691383133418633	0.3855493300917449	0.39671952092230006	0.373618124235333	0.3594201788612754	0.3851338595309481
S1Hp	0.2545115257561623	0.22367418518850907	0.2689437145666034	0.27881543489292243	0.294915909458505	0.3009805046706412	0.2960571801948003	0.22761531009482808	0.16649850281134204	0.12687771042408902	0.05924206171753038	0.0	0.1000759646196481	0.1286888397156661	0.15223356211356487	0.13113746388862663	0.18165954041158472	0.14638003872930755	0.1601086569233649	0.48007681263385216	0.5091145945736498	0.5088231968351934	0.5339823639567709	0.5034860864166463	0.38891213488752946	0.37818840811264115	0.38312208487407406	0.39638178611273855	0.3996740640126092	0.4113819064421157	0.39674713654196314	0.38758320632490134	0.40827858403070694	0.3815450580940538	0.3944197672029966	0.39691937055460813	0.39731602504253993	0.3858469387234553	0.3938062268205238	0.4043689323299805	0.38564086965433864	0.39237971889178447	0.3965365417405378	0.38709091506374516	0.3926234725496601	0.40069473035668085	0.39007999603863086	0.41090763061678115	0.4048025439448314	0.4078567329843702	0.4086223367808829	0.4152359760660007	0.41291308631311885	0.40725851869945595	0.42011417098948994	0.4050775410202123	0.40038313256968416	0.40206697621065535	0.4027073806698915	0.39229145791661496	0.39579652299798473	0.39684303146973204	0.3928205467102722	0.3900032534144943	0.3968808734567346	0.39694593152558727	0.4063975208806009	0.40378335562583595	0.39315491425598187	0.3999273850568258	0.3992589651074339	0.4233229085933994	0.41500170011930715	0.40967339473694275	0.40990202628774197	0.39810091287164845	0.4053428302780203	0.4108039232765638	0.42101365960022996	0.39138642406299434	0.4068140335251207	0.4019613496454165	0.41341897349195683	0.4046161277429367	0.4035742287798618	0.4147250708928192	0.40222886947646236	0.4380007616973667	0.44001514482711807	0.40582980344396935	0.40055784736013106	0.4023784254297768	0.4076925686846586	0.40632806744221717	0.4174982582727723	0.3943968615858053	0.3801989162117477	0.40591259688142034
F32H1	0.2557886318893197	0.22495129132166647	0.27022082069976083	0.28009254102607983	0.2961930155916624	0.30225761080379865	0.2973342863279578	0.2288924162279855	0.16777560894449944	0.12815481655724645	0.07929722726917585	0.1000759646196481	0.0	0.12996594584882354	0.1535106682467223	0.13241457002178406	0.18293664654474212	0.14765714486246495	0.16138576305652233	0.48135391876700956	0.5103917007068073	0.5101003029683508	0.5352594700899284	0.5047631925498037	0.39018924102068686	0.37946551424579855	0.38439919100723147	0.39765889224589596	0.40095117014576653	0.4126590125752731	0.39802424267512054	0.38886031245805874	0.40955569016386434	0.38282216422721116	0.395696873336154	0.3981964766877656	0.3985931311756974	0.3871240448566127	0.39508333295368125	0.4056460384631379	0.38691797578749604	0.39365682502494187	0.3978136478736952	0.38836802119690256	0.39390057868281747	0.40197183648983825	0.39135710217178826	0.41218473674993855	0.40607965007798874	0.4091338391175276	0.4098994429140403	0.4165130821991581	0.41419019244627625	0.40853562483261335	0.42139127712264735	0.4063546471533697	0.40166023870284157	0.40334408234381275	0.4039844868030489	0.39356856404977236	0.3970736291311421	0.39812013760288945	0.3940976528434296	0.3912803595476517	0.398157979589892	0.39822303765874467	0.4076746270137583	0.40506046175899335	0.39443202038913927	0.4012044911899832	0.4005360712405913	0.42460001472655673	0.41627880625246455	0.41095050087010015	0.4111791324208994	0.39937801900480585	0.4066199364111777	0.4120810294097212	0.42229076573338736	0.39266353019615174	0.4080911396582781	0.4032384557785739	0.41469607962511423	0.4058932338760941	0.4048513349130192	0.4160021770259765	0.40350597560961976	0.439277867830524	0.44129225096027547	0.4071069095771267	0.40183495349328846	0.4036555315629342	0.408969674817816	0.40760517357537457	0.4187753644059297	0.3956739677189627	0.3814760223449051	0.40718970301457774
