	w2pp	s2pp	s18pp	s12pp	s25pp	s16pp	s1pp	s11pp	s29pp	s8pp	s24pp	w15pp	s22pp	w18pp	w6pp	w32pp	s32pp	s13pp	s7pp	w7pp	s23pp	s9pp	S26Hp	w30pp	s30pp	S22Hp	w14pp	s14pp	s17pp	s28pp	s19pp	S1Hp	S9H1	s31pp	s4pp	s10pp	w4pp	s3pp	S14Hp	s27pp
w2pp	0.0	0.06644574174357004	0.24057344224241178	0.20773900860740319	0.333779507961688	0.4158289965307041	0.2961953579317935	0.3769069185089705	0.3763781162398373	0.4872101938188963	0.41340961611446375	0.4729486248177076	0.4125613270646492	0.5175135273401401	0.42587764023107766	0.5412639013056817	0.5389555889317272	0.3755355036117833	0.46582195799297116	0.44974767409967803	0.5260380612282702	0.40191545462677813	0.5543288795119503	0.36370896611719367	0.36206955585561806	0.4833153299213483	0.38601908114810635	0.32680252674993476	0.30837818452559784	0.39404882282760034	0.3568621507923809	0.443894795182078	0.6013930630554931	0.3051035855185622	0.27504304697933823	0.41767302388588345	0.36816006832593356	0.31319685166608646	0.3891409879764508	0.2853177650012363
s2pp	0.06644574174357004	0.0	0.18448809030680483	0.15165365667179626	0.27769415602608105	0.35974364459509717	0.2401100059961866	0.3208215665733636	0.32029276430423037	0.43112484188328937	0.3573242641788568	0.4168632728821007	0.3564759751290423	0.4614281754045332	0.36979228829547073	0.4851785493700748	0.48287023699612036	0.31945015167617635	0.4097366060573642	0.3936623221640711	0.46995270929266325	0.3458301026911712	0.4982435275763434	0.30762361418158674	0.3059842039200111	0.42722997798574136	0.3299337292124994	0.27071717481432783	0.25229283258999086	0.3379634708919934	0.30077679885677394	0.38780944324647104	0.5453077111198862	0.24901823358295527	0.2189576950437313	0.3615876719502765	0.31207471639032663	0.2571114997304795	0.3330556360408438	0.22923241306562933
s18pp	0.24057344224241178	0.18448809030680483	0.0	0.11901198645813273	0.29006494142369005	0.37211442999270616	0.2524807913937956	0.3331923519709726	0.33266354970183937	0.44349562728089836	0.3696950495764658	0.4292340582797097	0.3688467605266513	0.4737989608021422	0.3821630736930797	0.4975493347676838	0.49524102239372936	0.33182093707378535	0.4221073914549732	0.4060331075616801	0.48232349469027225	0.3582008880887802	0.5106143129739523	0.31999439957919573	0.3183549893176201	0.43960076338335036	0.3423045146101084	0.28308796021193683	0.26466361798759985	0.3503342562896024	0.31314758425438294	0.40018022864408004	0.5576784965174952	0.26138901898056427	0.2313284804413403	0.3739584573478855	0.32444550178793563	0.2694822851280885	0.3454264214384528	0.24160319846323833
s12pp	0.20773900860740319	0.15165365667179626	0.11901198645813273	0.0	0.2572305077886815	0.33927999635769757	0.219646357758787	0.300357918335964	0.29982911606683077	0.41066119364588977	0.3368606159414572	0.3963996246447011	0.3360123268916427	0.4409645271671336	0.3493286400580711	0.4647149011326752	0.46240658875872076	0.29898650343877675	0.3892729578199646	0.3731986739266715	0.44948906105526365	0.32536645445377166	0.4777798793389438	0.28715996594418713	0.2855205556826115	0.40676632974834176	0.3094700809750998	0.25025352657692823	0.23182918435259128	0.3174998226545938	0.28031315061937434	0.36734579500907144	0.5248440628824866	0.22855458534555567	0.19849404680633173	0.3411240237128769	0.29161106815292703	0.2366478514930799	0.3125919878034442	0.20876876482822976
s25pp	0.333779507961688	0.27769415602608105	0.29006494142369005	0.2572305077886815	0.0	0.12447849039078179	0.10059414463805966	0.2144247281564986	0.2394450399563101	0.3502771175353691	0.27647653983093656	0.37633911517876417	0.31595181742570577	0.4209040177011967	0.3292681305921342	0.44465439166673837	0.4423460792927839	0.2789259939728399	0.3692124483540278	0.3531381644607346	0.4294285515893268	0.30530594498783475	0.4577193698730069	0.2670994564782503	0.2654600462166746	0.38670582028240486	0.2894095715091629	0.23019301711099138	0.21176867488665443	0.2974393131886569	0.2975258261301123	0.38455847051980935	0.5420567383932245	0.24576726085629363	0.21570672231706967	0.3583366992236149	0.30882374366366494	0.25386052700381784	0.3706722550968213	0.29501264243318337
s16pp	0.4158289965307041	0.35974364459509717	0.37211442999270616	0.33927999635769757	0.12447849039078179	0.0	0.18264363320707572	0.29647421672551466	0.32149452852532623	0.43232660610438517	0.3585260283999526	0.4583886037477803	0.39800130599472183	0.5029535062702128	0.4113176191611503	0.5267038802357544	0.5243955678618	0.36097548254185596	0.45126193692304384	0.4351876530297507	0.5114780401583429	0.38735543355685087	0.539768858442023	0.34914894504726635	0.3475095347856907	0.46875530885142097	0.371459060078179	0.31224250568000744	0.2938181634556705	0.379488801757673	0.3795753146991284	0.46660795908882546	0.6241062269622406	0.3278167494253097	0.2977562108860857	0.44038618779263095	0.39087323223268106	0.33591001557283395	0.4527217436658374	0.3770621310021995
s1pp	0.2961953579317935	0.2401100059961866	0.2524807913937956	0.219646357758787	0.10059414463805966	0.18264363320707572	0.0	0.1768405781266041	0.20186088992641565	0.3126929675054746	0.23889238980104205	0.3387549651488697	0.2783676673958113	0.3833198676713022	0.29168398056223976	0.40707024163684385	0.4047619292628894	0.2413418439429454	0.33162829832413326	0.3155540144308401	0.3918444015594323	0.26772179495794024	0.4201352198431124	0.22951530644835577	0.22787589618678014	0.3491216702525104	0.25182542147926845	0.19260886708109687	0.17418452485675995	0.25985516315876245	0.2599416761002178	0.34697432048991483	0.5044725883633301	0.20818311082639912	0.17812257228717515	0.32075254919372037	0.2712395936337705	0.21627637697392335	0.33308810506692677	0.2574284924032889
s11pp	0.3769069185089705	0.3208215665733636	0.3331923519709726	0.300357918335964	0.2144247281564986	0.29647421672551466	0.1768405781266041	0.0	0.2825724505035926	0.3934045280826516	0.31960395037821904	0.4194665257260467	0.3590792279729883	0.4640314282484792	0.37239554113941675	0.48778180221402084	0.4854734898400664	0.3220534045201224	0.41233985890131025	0.39626557500801707	0.4725559621366093	0.34843335553511723	0.5008467804202894	0.31022686702553276	0.30858745676395716	0.4298332308296874	0.33253698205644544	0.27332042765827386	0.25489608543393694	0.34056672373593944	0.3406532366773948	0.4276858810670918	0.5851841489405071	0.2888946714035761	0.25883413286435214	0.40146410977089736	0.35195115421094747	0.29698793755110037	0.41379966564410375	0.3381400529804659
s29pp	0.3763781162398373	0.32029276430423037	0.33266354970183937	0.29982911606683077	0.2394450399563101	0.32149452852532623	0.20186088992641565	0.2825724505035926	0.0	0.36442036744645956	0.29061978974202707	0.4189377234569135	0.3585504257038551	0.463502625979346	0.37186673887028354	0.48725299994488763	0.4849446875709332	0.32152460225098917	0.41181105663217704	0.39573677273888386	0.47202715986747606	0.347904553265984	0.5003179781511562	0.30969806475639955	0.30805865449482395	0.4293044285605542	0.33200817978731223	0.27279162538914065	0.2543672831648037	0.3400379214668062	0.34012443440826157	0.4271570787979586	0.5846553466713739	0.2883658691344429	0.25830533059521893	0.40093530750176415	0.35142235194181426	0.29645913528196716	0.41327086337497054	0.3376112507113327
s8pp	0.4872101938188963	0.43112484188328937	0.44349562728089836	0.41066119364588977	0.3502771175353691	0.43232660610438517	0.3126929675054746	0.3934045280826516	0.36442036744645956	0.0	0.3310716683903754	0.5297698010359725	0.4693825032829141	0.574334703558405	0.48269881644934254	0.5980850775239466	0.5957767651499921	0.43235667983004816	0.5226431342112361	0.5065688503179429	0.5828592374465351	0.458736630845043	0.6111500557302152	0.42053014233545855	0.41889073207388294	0.5401365061396132	0.4428402573663712	0.38362370296819964	0.3651993607438627	0.4508699990458652	0.45095651198732056	0.5379891563770176	0.6954874242504328	0.3991979467135019	0.3691374081742779	0.5117673850808231	0.46225442952087326	0.4072912128610261	0.5241029409540295	0.4484433282903917
