	w20pp	f11pp	w12pp	S17H1	S18H1	f8pp	w13pp	w27pp	f21pp	f14ppB	f16ppA	w18pp	w23pp	f22ppB	w2pp	w4pp	f19pp	w22pp	w21pp	w14pp	f4pp	f1pp	w1pp	w19pp	f18pp	f2pp	w17pp	w31pp	f7pp	w11pp	f20ppB	f25pp	F7H1	f20ppA	S13Hp	31700	S25Hp	31360	f12ppB	f10pp
w20pp	0.0	0.16758281064410172	0.23192486726128028	0.2169686629708018	0.24019921373273143	0.11619617575797282	0.16004454380884112	0.22030743903701197	0.1671176548127866	0.10223027243515609	0.12272998096063271	0.13882715033337162	0.16712861872054424	0.18292148263705413	0.20510359496438774	0.20910034475608966	0.24320296756566728	0.2568850439767524	0.24554680644573362	0.24672943334943426	0.21854878310675213	0.21714950074512587	0.2507114610585845	0.19658122911255743	0.2470916226260602	0.16689272684504472	0.17432344758202384	0.16518848526401445	0.09778760103891546	0.13954244818627506	0.16446008940969417	0.22105155344233432	0.24667853809300364	0.09163953054090908	0.8359396739145021	1.1062635543600159	2.5684761546126547	0.38531318745716714	0.11149488924546379	0.12439886642482516
f11pp	0.16758281064410172	0.0	0.22539192222751042	0.21043571793703195	0.2744385820531323	0.1504355440783737	0.194283912129242	0.25454680735741286	0.20135702313318748	0.16582203239352203	0.18632174091899867	0.20241891029173756	0.23072037867891018	0.24651324259542007	0.26869535492275365	0.2726921047144556	0.30679472752403325	0.32047680393511835	0.30913856640409954	0.31032119330780017	0.28214054306511804	0.2807412607034918	0.31430322101695046	0.26017298907092334	0.3106833825844261	0.23048448680341066	0.23791520754038978	0.22878024522238039	0.1613793609972814	0.203134208144641	0.2280518493680601	0.28464331340070026	0.3102702980513696	0.17967390778528702	0.9437189416900222	1.214042822135536	2.676255422388175	0.49309245523268735	0.219274157020984	0.23217813420034536
w12pp	0.23192486726128028	0.22539192222751042	0.0	0.20684120346632898	0.3387806386703109	0.21477760069555227	0.2586259687464206	0.31888886397459143	0.26569907975036605	0.2301640890107006	0.25066379753617724	0.26676096690891615	0.2950624352960888	0.31085529921259863	0.33303741153993227	0.33703416133163416	0.37113678414121176	0.3848188605522969	0.37348062302127816	0.3746632499249788	0.34648259968229667	0.3450833173206704	0.37864527763412903	0.32451504568810197	0.3750254392016047	0.2948265434205892	0.3022572641575684	0.29312230183955895	0.22572141761445996	0.26747626476181957	0.2923939059852387	0.3489853700178788	0.37461235466854814	0.2440159644024656	1.0080609983072009	1.2783848787527146	2.7405974790053538	0.5574345118498659	0.2836162136381626	0.2965201908175239
S17H1	0.2169686629708018	0.21043571793703195	0.20684120346632898	0.0	0.32382443437983244	0.1998213964050738	0.2436697644559421	0.303932659684113	0.2507428754598876	0.21520788472022212	0.23570759324569873	0.25180476261843765	0.2801062310056103	0.2958990949221202	0.31808120724945377	0.3220779570411557	0.3561805798507333	0.36986265626181847	0.35852441873079965	0.3597070456345003	0.33152639539181816	0.33012711303019193	0.3636890733436505	0.30955884139762346	0.3600692349111262	0.2798703391301107	0.28730105986708987	0.2781660975490805	0.2107652133239815	0.2525200604713411	0.27743770169476023	0.3340291657274004	0.35965615037806964	0.2290597601119871	0.9931047940167224	1.263428674462236	2.7256412747148753	0.5424783075593874	0.2686600093476841	0.28156398652704545
S18H1	0.24019921373273143	0.2744385820531323	0.3387806386703109	0.32382443437983244	0.0	0.19846695646720205	0.2423173245190704	0.30258021974724125	0.24939043552301587	0.23843843548215174	0.2589381440076284	0.27503531338036724	0.30333678176753986	0.3191296456840498	0.34131175801138336	0.3453085078030853	0.37941113061266296	0.39309320702374806	0.38175496949272925	0.3829375963964299	0.35475694615374775	0.3533576637921215	0.3869196241055802	0.33278939215955305	0.38329978567305584	0.30310088989204037	0.31053161062901946	0.3013966483110101	0.2339957640859111	0.2757506112332707	0.3006682524566898	0.35725971648932997	0.3828867011399993	0.25229031087391673	1.016335344778652	1.2866592252241658	2.7488718254768045	0.565708858321317	0.2918905601096137	0.3047945372889751
f8pp	0.11619617575797282	0.1504355440783737	0.21477760069555227	0.1998213964050738	0.19846695646720205	0.0	0.1183142865443118	0.17857718177248266	0.12538739754825728	0.11443539750739314	0.13493510603286976	0.15103227540560865	0.17933374379278127	0.1951266077092912	0.21730872003662477	0.22130546982832672	0.2554080926379043	0.26909016904898947	0.25775193151797066	0.2589345584216713	0.23075390817898916	0.22935462581736293	0.2629165861308216	0.20878635418479446	0.25929674769829725	0.17909785191728178	0.18652857265426087	0.1773936103362515	0.1099927261111525	0.15174757325851213	0.17666521448193123	0.23325667851457138	0.2588836631652407	0.1282872728991581	0.8923323068038934	1.162656187249407	2.624868787502046	0.4417058203465585	0.16788752213485508	0.18079149931421645
w13pp	0.16004454380884112	0.194283912129242	0.2586259687464206	0.2436697644559421	0.2423173245190704	0.1183142865443118	0.0	0.11800863984683696	0.11739046802665484	0.15828376555826146	0.17878347408373807	0.194880643456477	0.2231821118436496	0.23897497576015947	0.2611570880874931	0.265153837879195	0.29925646068877265	0.31293853709985775	0.301600299568839	0.3027829264725396	0.2746022762298575	0.2732029938682312	0.30676495418168986	0.2526347222356628	0.30314511574916553	0.22294621996815006	0.2303769407051292	0.2212419783871198	0.1538410941620208	0.19559594130938043	0.2205135825327995	0.27710504656543966	0.302732031216109	0.17213564095002643	0.9361806748547616	1.2065045553002753	2.6687171555529146	0.48555418839742676	0.2117358901857234	0.22463986736508476
w27pp	0.22030743903701197	0.25454680735741286	0.31888886397459143	0.303932659684113	0.30258021974724125	0.17857718177248266	0.11800863984683696	0.0	0.1776533632548257	0.21854666078643228	0.23904636931190892	0.2551435386846478	0.2834450070718204	0.2992378709883303	0.3214199833156639	0.32541673310736585	0.3595193559169435	0.3732014323280286	0.3618631947970098	0.3630458217007104	0.3348651714580283	0.33346588909640207	0.3670278494098607	0.3128976174638336	0.3634080109773364	0.2832091151963209	0.2906398359333	0.28150487361529064	0.21410398939019165	0.25585883653755126	0.28077647776097037	0.3373679417936105	0.36299492644427983	0.23239853617819728	0.9964435700829326	1.2667674505284463	2.728980050781085	0.5458170836255976	0.2719987854138942	0.28490276259325564
f21pp	0.1671176548127866	0.20135702313318748	0.26569907975036605	0.2507428754598876	0.24939043552301587	0.12538739754825728	0.11739046802665484	0.1776533632548257	0.0	0.16535687656220693	0.18585658508768355	0.20195375446042246	0.2302552228475951	0.24604808676410495	0.2682301990914386	0.2722269488831405	0.30632957169271813	0.3200116481038032	0.30867341057278447	0.3098560374764851	0.281675387233803	0.2802761048721767	0.31383806518563534	0.2597078332396083	0.310218226753111	0.23001933097209554	0.23745005170907468	0.22831508939106526	0.16091420516596627	0.2026690523133259	0.227586693536745	0.28417815756938514	0.30980514222005445	0.1792087519539719	0.9432537858587071	1.2135776663042208	2.67579026655686	0.49262729940137223	0.21880900118966887	0.23171297836903024
f14ppB	0.10223027243515609	0.16582203239352203	0.2301640890107006	0.21520788472022212	0.23843843548215174	0.11443539750739314	0.15828376555826146	0.21854666078643228	0.16535687656220693	0.0	0.07570848153774543	0.09180565091048434	0.12010711929765697	0.13589998321416683	0.15808209554150043	0.16207884533320235	0.19618146814277998	0.2098635445538651	0.19852530702284632	0.19970793392654695	0.17152728368386483	0.17012800132223857	0.20368996163569722	0.14955972968967013	0.20007012320317288	0.11987122742215742	0.12730194815913654	0.14239422770451374	0.07499334347941475	0.11674819062677437	0.14166583185019346	0.1982572958828336	0.22388428053350293	0.11432136957634137	0.8783664034810766	1.1486902839265904	2.610902884179229	0.4277399170237417	0.15392161881203836	0.16682559599139973
