	S20H1	S23Hp	S9H1	31750	530050	31723	31600	530154	31112	F32H1	S14Hp
S20H1	0.0	0.509615583665904	0.4788380509356176	1.1789256569443214	1.2676073784857527	1.2602647092697075	1.2356954437736343	1.3186137785268508	1.2509629191014346	0.7209106661552331	0.6294722335836003
S23Hp	0.509615583665904	0.0	0.45510481048645124	1.1551924164951552	1.2438741380365865	1.236531468820541	1.211962203324468	1.2948805380776847	1.2272296786522683	0.6971774257060668	0.9046586578244746
S9H1	0.4788380509356176	0.45510481048645124	0.0	0.9064124110048416	0.9950941325462729	0.9877514633302275	0.9631821978341543	1.0461005325873711	0.9784496731619546	0.44839742021575313	0.8738811250941882
31750	1.1789256569443214	1.1551924164951552	0.9064124110048416	0.0	0.14121205378561902	0.1338693845695735	0.10930011907350029	0.1922184538267172	0.12456759440130066	0.9988491814121883	1.573968731102892
530050	1.2676073784857527	1.2438741380365865	0.9950941325462729	0.14121205378561902	0.0	0.09869920224919579	0.07412993675312257	0.18779914637190467	0.12014828694648813	1.0875309029536195	1.6626504526443233
31723	1.2602647092697075	1.236531468820541	0.9877514633302275	0.1338693845695735	0.09869920224919579	0.0	0.0616506718123281	0.18045647715585916	0.1128056177304426	1.080188233737574	1.6553077834282781
31600	1.2356954437736343	1.211962203324468	0.9631821978341543	0.10930011907350029	0.07412993675312257	0.0616506718123281	0.0	0.15588721165978595	0.0882363522343694	1.055618968241501	1.630738517932205
530154	1.3186137785268508	1.2948805380776847	1.0461005325873711	0.1922184538267172	0.18779914637190467	0.18045647715585916	0.15588721165978595	0.0	0.11620043521550596	1.1385373029947177	1.7136568526854215
31112	1.2509629191014346	1.2272296786522683	0.9784496731619546	0.12456759440130066	0.12014828694648813	0.1128056177304426	0.0882363522343694	0.11620043521550596	0.0	1.0708864435693013	1.6460059932600053
F32H1	0.7209106661552331	0.6971774257060668	0.44839742021575313	0.9988491814121883	1.0875309029536195	1.080188233737574	1.055618968241501	1.1385373029947177	1.0708864435693013	0.0	1.1159537403138038
S14Hp	0.6294722335836003	0.9046586578244746	0.8738811250941882	1.573968731102892	1.6626504526443233	1.6553077834282781	1.630738517932205	1.7136568526854215	1.6460059932600053	1.1159537403138038	0.0
