	S11Hp	f8pp	w12pp	w3pp	w14pp	f14ppB	f30pp	f12ppB	f18pp	f11pp	w29pp	w8pp	w17pp	f4pp	w16pp	f16ppA	S20H1	S23Hp	S2Hp	w10pp
S11Hp	0.0	0.31387678028950183	0.317335101469356	0.4087660728886832	0.32977860117304886	0.24737757152691575	0.4044538206224472	0.33802357087781415	0.4510191756425547	0.31241666462881473	0.45094516804945883	0.4152425802462809	0.4421781403695977	0.5280713757894278	0.34665237244251573	0.33439502784658126	0.47628747877976124	0.4234705736993295	0.4389784597285394	0.24249597425767047
f8pp	0.31387678028950183	0.0	0.18501971001622303	0.34469661045267286	0.2657091387370385	0.223228767461687	0.3803050165572185	0.3138747668125854	0.426870371577326	0.288267860563586	0.42679636398423004	0.3910937761810522	0.4180293363043689	0.503922571724199	0.322503568377287	0.3102462237813525	0.4521386747145325	0.3993217696341007	0.41482965566331065	0.3127067444162206
w12pp	0.317335101469356	0.18501971001622303	0.0	0.34815493163252703	0.2691674599168926	0.22668708864154116	0.38376333773707266	0.31733308799243953	0.4303286927571801	0.2917261817434401	0.43025468516408427	0.39455209736090635	0.4214876574842231	0.5073808929040532	0.3259618895571411	0.3137045449612067	0.4555969958943866	0.40278009081395494	0.41828797684316477	0.31616506559607477
w3pp	0.4087660728886832	0.34469661045267286	0.34815493163252703	0.0	0.18031895426316324	0.3181180600608684	0.4751943091563999	0.40876405941176674	0.5217596641765073	0.3831571531627673	0.5216856565834115	0.48598306878023356	0.5129186289035503	0.5988118643233804	0.4173928609764683	0.4051355163805339	0.5470279673137138	0.49421106223328215	0.509718948262492	0.407596037015402
w14pp	0.32977860117304886	0.2657091387370385	0.2691674599168926	0.18031895426316324	0.0	0.23913058834523399	0.39620683744076546	0.3297765876961324	0.44277219246087296	0.30416968144713297	0.44269818486777707	0.4069955970645992	0.4339311571879159	0.5198243926077459	0.33840538926083397	0.32614804466489955	0.4680404955980795	0.41522359051764773	0.4307314765468576	0.3286085652997676
f14ppB	0.24737757152691575	0.223228767461687	0.22668708864154116	0.3181180600608684	0.23913058834523399	0.0	0.29929684289071323	0.2328665931460801	0.3458621979108207	0.20725968689708069	0.3457881903177248	0.3100856025145469	0.33702116263786364	0.4229143980576937	0.24149539471078169	0.22923805011484727	0.3711305010480272	0.31831359596759545	0.33382148199680534	0.2462075356536345
f30pp	0.4044538206224472	0.3803050165572185	0.38376333773707266	0.4751943091563999	0.39620683744076546	0.29929684289071323	0.0	0.203049514701643	0.4135453365555181	0.2749428255417781	0.4491440880267701	0.41344150022359216	0.44037706034690893	0.526270295766739	0.3448512924198269	0.3325939478238925	0.47448639875707244	0.42166949367664075	0.4371773797058506	0.403283784749166
f12ppB	0.33802357087781415	0.3138747668125854	0.31733308799243953	0.40876405941176674	0.3297765876961324	0.2328665931460801	0.203049514701643	0.0	0.347115086810885	0.208512575797145	0.38271383828213695	0.3470112504789591	0.37394681060227586	0.4598400460221059	0.27842104267519385	0.26616369807925944	0.40805614901243936	0.3552392439320076	0.3707471299612175	0.3368535350045329
f18pp	0.4510191756425547	0.426870371577326	0.4303286927571801	0.5217596641765073	0.44277219246087296	0.3458621979108207	0.4135453365555181	0.347115086810885	0.0	0.2628911605874519	0.4957094430468776	0.46000685524369966	0.48694241536701643	0.5728356507868465	0.39141664743993443	0.379159302844	0.5210517537771799	0.46823484869674825	0.4837427347259581	0.4498491397692735
f11pp	0.31241666462881473	0.288267860563586	0.2917261817434401	0.3831571531627673	0.30416968144713297	0.20725968689708069	0.2749428255417781	0.208512575797145	0.2628911605874519	0.0	0.35710693203313754	0.32140434422995967	0.34833990435327644	0.43423313977310646	0.25281413642619444	0.24055679183026002	0.38244924276343994	0.3296323376830082	0.3451402237122181	0.3112466287555335
w29pp	0.45094516804945883	0.42679636398423004	0.43025468516408427	0.5216856565834115	0.44269818486777707	0.3457881903177248	0.4491440880267701	0.38271383828213695	0.4957094430468776	0.35710693203313754	0.0	0.22666584231055512	0.44310357997228755	0.5289968153921176	0.3475778120452056	0.33532046744927113	0.4772129183824511	0.4282702679542728	0.4437781539834827	0.4497751321761776
w8pp	0.4152425802462809	0.3910937761810522	0.39455209736090635	0.48598306878023356	0.4069955970645992	0.3100856025145469	0.41344150022359216	0.3470112504789591	0.46000685524369966	0.32140434422995967	0.22666584231055512	0.0	0.4074009921691097	0.4932942275889397	0.31187522424202774	0.29961787964609327	0.44151033057927325	0.3925676801510949	0.4080755661803048	0.4140725443729997
