	s17pp	w21pp	w29pp	w8pp	f21pp	f26pp	f10pp	w9pp	f19pp	w15pp	w28pp	f20ppA	w7pp	f6ppA	w26pp	f23ppA	w10pp	w11pp	f31pp	w4pp	f13pp	f17ppA	f2pp	w1pp	w18pp	f18pp	f30pp	f4pp	f12ppB	w2pp	f32pp	f8pp	w20pp	f14ppA	f14ppB	w17pp	w24pp	w23pp	w19pp	w14pp	S31Hp	f25pp	f23ppB	f29pp	f22ppA	f16ppA	f11pp	w31pp	f15pp	f7pp	f20ppB	f17ppB	f12ppA	w27pp	w22pp	f24pp	w13pp	f16ppB	w16pp	f1pp	w32pp	w25pp	f9pp	w12pp	w6pp	f3pp	w3pp	f22ppB	f6ppB	s12pp	s31pp	s27pp	s2pp	s11pp	S12Hp	s7pp	s24pp	S4Hp	s25pp	S14Hp	s8pp	s32pp	s14pp	s28pp	s30pp	s10pp	f28pp	w30pp	s3pp	s29pp	s19pp
s17pp	0.0	0.03533060992546791	0.030608196812531758	0.07478090599868695	0.06904103230203823	0.06774280822201681	0.06628596498781991	0.06628596498781991	0.05795325170588459	0.059141725329945556	0.0599620734742853	0.05301376250871167	0.09145502004379646	0.0647505595112723	0.048575651528028126	0.047317723426534355	0.06732504418659932	0.06732504418659932	0.07590227716254314	0.08498265291529508	0.0662011478811633	0.07940144733217008	0.0643618792597575	0.0643618792597575	0.06848975215194528	0.07101376512896326	0.06479924668817813	0.06835955946559168	0.06695378203647637	0.06416455444373759	0.06777787869625017	0.067983467982644	0.06799242832252689	0.04491107299537192	0.04225547239117694	0.04225547239117694	0.0625740062813501	0.06293996529766505	0.06293996529766505	0.06258376074986247	0.4733086870326931	0.05949796091951334	0.0583947362309482	0.11712873602393165	0.06453966785259738	0.06191885049673678	0.06940971659063011	0.07236001592032079	0.07381396414943847	0.07059146489482519	0.07951690723117108	0.05576569317280695	0.07617928565215662	0.06778458544783472	0.08388833695723313	0.06892235464324398	0.07357625463023934	0.06473162488834444	0.07045239990106919	0.08403165354457878	0.08982815082285306	0.07815168731343561	0.08330860433088691	0.039962822213014226	0.039962822213014226	0.05253838362328351	0.0457214117007401	0.05201328093043358	0.04869285709618009	0.05296372226628129	0.15250097454809097	0.16774833812885492	0.1232457364952985	0.4456967198879821	0.5005691330503697	0.23200701039268523	0.20703256209785315	0.5111035453234382	0.27279013645224176	0.51362075476138	0.376803090747911	0.37913186687044037	0.34132995587139664	0.22864004886360967	0.1609800842301871	0.3415462452493811	0.18025066077778654	0.28085373907024397	0.15550880211706591	0.09794895689964393	0.18616944096330196
w21pp	0.03533060992546791	0.0	0.007945260636505448	0.058004646847306385	0.05226477315065767	0.05096654907063625	0.04950970583643935	0.04950970583643935	0.041176992554504036	0.042365466178565	0.04318581432290475	0.036237503357331106	0.0746787608924159	0.04797430035989174	0.03179939237664756	0.030541464275153796	0.05054878503521876	0.05054878503521876	0.05912601801116257	0.06820639376391453	0.049424888729782734	0.06262518818078952	0.047585620108376955	0.047585620108376955	0.051713493000564714	0.0542375059775827	0.04802298753679758	0.051583300314211114	0.050177522885095804	0.04738829529235704	0.051001619544869606	0.05120720883126344	0.051216169171146325	0.028134813843991358	0.025479213239796378	0.025479213239796378	0.045797747129969535	0.0461637061462845	0.0461637061462845	0.0458075015984819	0.45653242788131254	0.04272170176813278	0.041618477079567645	0.10035247687255107	0.047763408701216814	0.045142591345356226	0.05263345743924955	0.05558375676894024	0.05703770499805792	0.05381520574344463	0.06274064807979052	0.038989434021426385	0.05940302650077607	0.05100832629645416	0.06711207780585257	0.052146095491863415	0.05679999547885879	0.04795536573696389	0.05367614074968863	0.06725539439319823	0.07305189167147248	0.06137542816205506	0.06653234517950636	0.023186563061633667	0.023186563061633667	0.03576212447190295	0.028945152549359542	0.035237021779053024	0.03191659794479953	0.05816794501826618	0.15770519730007587	0.17295256088083982	0.1284499592472834	0.450900942639967	0.5057733558023545	0.23721123314467013	0.21223678484983804	0.516307768075423	0.27799435920422666	0.5188249775133649	0.3820073134998959	0.38433608962242527	0.34653417862338154	0.23384427161559457	0.16618430698217196	0.346750468001366	0.1854548835297714	0.28605796182222887	0.1607130248690508	0.10315317965162882	0.19137366371528683
w29pp	0.030608196812531758	0.007945260636505448	0.0	0.05328223373437023	0.047542360037721505	0.04624413595770009	0.044787292723503194	0.044787292723503194	0.03645457944156787	0.03764305306562884	0.038463401209968585	0.03151509024439495	0.06995634777947975	0.043251887246955584	0.027076979263711408	0.02581905116221764	0.0458263719222826	0.0458263719222826	0.05440360489822641	0.06348398065097838	0.04470247561684657	0.05790277506785336	0.04286320699544079	0.04286320699544079	0.04699107988762856	0.049515092864646545	0.04330057442386142	0.04686088720127496	0.04545510977215965	0.042665882179420876	0.04627920643193345	0.04648479571832728	0.04649375605821017	0.023412400731055202	0.020756800126860223	0.020756800126860223	0.04107533401703338	0.041441293033348335	0.041441293033348335	0.04108508848554575	0.45181001476837634	0.037999288655196625	0.03689606396663148	0.09563006375961491	0.04304099558828066	0.04042017823242006	0.04791104432631339	0.05086134365600408	0.05231529188512176	0.049092792630508475	0.05801823496685436	0.03426702090849023	0.05468061338783991	0.046285913183518	0.062389664692916416	0.04742368237892726	0.05207758236592263	0.04323295262402773	0.04895372763675247	0.06253298128026208	0.06832947855853633	0.0566530150491189	0.0618099320665702	0.018464149948697512	0.018464149948697512	0.03103971135896679	0.024222739436423387	0.030514608666116865	0.027194184831863373	0.053445531905330024	0.15298278418713973	0.16823014776790365	0.12372754613434724	0.44617852952703085	0.5010509426894184	0.23248882003173396	0.20751437173690188	0.5115853549624869	0.27327194609129046	0.5141025644004287	0.3772849003869597	0.3796136765094891	0.34181176551044534	0.2291218585026584	0.16146189386923582	0.3420280548884298	0.18073247041683527	0.28133554870929267	0.15599061175611467	0.09843076653869266	0.1866512506023507
w8pp	0.07478090599868695	0.058004646847306385	0.05328223373437023	0.0	0.011147224924357014	0.017652514865780376	0.016195671631583478	0.016195671631583478	0.020957896487522935	0.02214837011258396	0.022968718256923704	0.0235066165369964	0.06663741556008032	0.03993295502755617	0.02620725447165887	0.027467182574152697	0.047474503334217655	0.047474503334217655	0.05605173631016146	0.06513211206291342	0.04635060702878163	0.059550906479788404	0.04451133840737585	0.04451133840737585	0.04863921129956361	0.0511632242765816	0.04494870583579648	0.04850901861321001	0.0471032411840947	0.044314013591355936	0.0479273378438685	0.048132927130262335	0.04814188747014522	0.029871833004315073	0.03252943360951011	0.03252943360951011	0.05284996750068334	0.05321592651699829	0.05321592651699829	0.05285972196919571	0.4635846482520263	0.049773922138846585	0.04867069745028144	0.10740469724326487	0.05481562907193062	0.05219481171607002	0.05968567780996334	0.06263597713965402	0.0640899253687717	0.06086742611415842	0.06979286845050431	0.04604165439214018	0.06645524687148985	0.05806054666716795	0.07416429817656636	0.059198315862577205	0.06385221584957257	0.05500758610767768	0.06072836112040242	0.07430761476391201	0.08010411204218629	0.06842764853276884	0.07358456555022014	0.043687769931207925	0.043687769931207925	0.056265331342477264	0.05349146445471251	0.05978333368440599	0.0564629098501525	0.09761824109148522	0.1971554933732949	0.21240285695405886	0.16790025532050243	0.49035123871318603	0.5452236518755735	0.27666152921788917	0.2516870809230571	0.555758064148642	0.3174446552774457	0.5582752735865839	0.42145760957311496	0.4237863856956443	0.3859844746966006	0.2732945676888136	0.205634603055391	0.38620076407458503	0.22490517960299045	0.3255082578954479	0.20016332094226985	0.14260347572484786	0.23082395978850587
f21pp	0.06904103230203823	0.05226477315065767	0.047542360037721505	0.011147224924357014	0.0	0.011912641169131656	0.010455797934934761	0.010455797934934761	0.015218022790874218	0.016408496415935243	0.017228844560274986	0.017766742840347686	0.060897541863431603	0.03419308133090746	0.020467380775010157	0.021727308877503983	0.041734629637568944	0.041734629637568944	0.050311862613512746	0.0593922383662647	0.040610733332132914	0.05381103278313969	0.03877146471072714	0.03877146471072714	0.042899337602914894	0.04542335057993288	0.03920883213914776	0.0427691449165613	0.04136336748744599	0.03857413989470722	0.042187464147219786	0.042393053433613624	0.04240201377349651	0.02413195930766636	0.0267895599128614	0.0267895599128614	0.047110093804034615	0.04747605282034957	0.04747605282034957	0.047119848272546984	0.45784477455537753	0.04403404844219786	0.04293082375363272	0.10166482354661616	0.0490757553752819	0.0464549380194213	0.05394580411331462	0.0568961034430053	0.05835005167212298	0.055127552417509704	0.06405299475385559	0.040301780695491465	0.06071537317484113	0.052320672970519226	0.06842442447991764	0.05345844216592849	0.05811234215292385	0.049267712411028966	0.0549884874237537	0.0685677410672633	0.07436423834553756	0.06268777483612012	0.06784469185357142	0.0379478962345592	0.0379478962345592	0.05052545764582854	0.04775159075806379	0.05404345998775727	0.05072303615350378	0.09187836739483649	0.19141561967664616	0.20666298325741012	0.1621603816238537	0.4846113650165373	0.5394837781789248	0.2709216555212404	0.24594720722640834	0.5500181904519934	0.31170478158079695	0.5525353998899352	0.4157177358764662	0.41804651199899556	0.38024460099995183	0.26755469399216486	0.19989472935874228	0.3804608903779363	0.21916530590634173	0.31976838419879916	0.1944234472456211	0.13686360202819914	0.22508408609185715
f26pp	0.06774280822201681	0.05096654907063625	0.04624413595770009	0.017652514865780376	0.011912641169131656	0.0	0.003636002451180652	0.003636002451180652	0.013919798710852806	0.015110272335913832	0.015930620480253573	0.016468518760326276	0.0595993177834102	0.03289485725088605	0.019169156694988743	0.02042908479748257	0.04043640555754753	0.04043640555754753	0.04901363853349133	0.058094014286243285	0.03931250925211151	0.05251280870311827	0.03747324063070573	0.03747324063070573	0.04160111352289349	0.044125126499911474	0.037910608059126355	0.04147092083653989	0.04006514340742458	0.03727591581468581	0.04088924006719838	0.04109482935359221	0.0411037896934751	0.022833735227644945	0.025491335832839985	0.025491335832839985	0.0458118697240132	0.04617782874032816	0.04617782874032816	0.04582162419252557	0.45654655047535614	0.04273582436217645	0.04163259967361131	0.10036659946659474	0.04777753129526048	0.04515671393939989	0.0526475800332932	0.055597879362983896	0.057051827592101576	0.05382932833748829	0.06275477067383417	0.039003556615470045	0.059417149094819724	0.05102244889049781	0.06712620039989622	0.052160218085907074	0.056814118072902445	0.04796948833100755	0.05369026334373228	0.06726951698724189	0.07306601426551615	0.06138955075609871	0.06654646777355001	0.03664967215453779	0.03664967215453779	0.049227233565807126	0.046453366678042375	0.05274523590773585	0.049424812073482365	0.09058014331481508	0.19011739559662477	0.20536475917738872	0.1608621575438323	0.4833131409365159	0.5381855540989035	0.26962343144121903	0.24464898314638694	0.548719966371972	0.31040655750077556	0.5512371758099137	0.4144195117964448	0.41674828791897417	0.37894637691993044	0.26625646991214347	0.19859650527872086	0.3791626662979149	0.2178670818263203	0.31847016011877777	0.1931252231655997	0.13556537794817772	0.22378586201183573
f10pp	0.06628596498781991	0.04950970583643935	0.044787292723503194	0.016195671631583478	0.010455797934934761	0.003636002451180652	0.0	2.00000100005818e-06	0.01246295547665591	0.013653429101716935	0.014473777246056679	0.01501167552612938	0.0581424745492133	0.03143801401668915	0.01771231346079185	0.018972241563285676	0.03897956232335063	0.03897956232335063	0.047556795299294435	0.056637171052046395	0.03785566601791461	0.05105596546892138	0.03601639739650883	0.03601639739650883	0.04014427028869659	0.04266828326571458	0.03645376482492946	0.04001407760234299	0.03860830017322768	0.035819072580488914	0.03943239683300148	0.03963798611939531	0.0396469464592782	0.02137689199344805	0.024034492598643094	0.024034492598643094	0.04435502648981631	0.04472098550613127	0.04472098550613127	0.04436478095832868	0.45508970724115927	0.04127898112797956	0.040175756439414415	0.09890975623239785	0.0463206880610636	0.043699870705202995	0.05119073679909632	0.054141036128787	0.05559498435790468	0.0523724851032914	0.06129792743963729	0.03754671338127316	0.05796030586062283	0.04956560565630092	0.06566935716569934	0.050703374851710184	0.05535727483870555	0.04651264509681066	0.0522334201095354	0.06581267375304499	0.07160917103131925	0.059932707521901815	0.06508962453935312	0.035192828920340896	0.035192828920340896	0.047770390331610235	0.04499652344384548	0.051288392673538956	0.04796796883928547	0.08912330008061818	0.18866055236242787	0.2039079159431918	0.1594053143096354	0.48185629770231897	0.5367287108647065	0.2681665882070221	0.24319213991219002	0.547263123137775	0.30894971426657863	0.5497803325757169	0.4129626685622479	0.41529144468477724	0.3774895336857335	0.26479962667794654	0.197139662044524	0.37770582306371797	0.21641023859212344	0.31701331688458084	0.19166837993140282	0.13410853471398082	0.22232901877763883
w9pp	0.06628596498781991	0.04950970583643935	0.044787292723503194	0.016195671631583478	0.010455797934934761	0.003636002451180652	2.00000100005818e-06	0.0	0.01246295547665591	0.013653429101716935	0.014473777246056679	0.01501167552612938	0.0581424745492133	0.03143801401668915	0.01771231346079185	0.018972241563285676	0.03897956232335063	0.03897956232335063	0.047556795299294435	0.056637171052046395	0.03785566601791461	0.05105596546892138	0.03601639739650883	0.03601639739650883	0.04014427028869659	0.04266828326571458	0.03645376482492946	0.04001407760234299	0.03860830017322768	0.035819072580488914	0.03943239683300148	0.03963798611939531	0.0396469464592782	0.02137689199344805	0.024034492598643094	0.024034492598643094	0.04435502648981631	0.04472098550613127	0.04472098550613127	0.04436478095832868	0.45508970724115927	0.04127898112797956	0.040175756439414415	0.09890975623239785	0.0463206880610636	0.043699870705202995	0.05119073679909632	0.054141036128787	0.05559498435790468	0.0523724851032914	0.06129792743963729	0.03754671338127316	0.05796030586062283	0.04956560565630092	0.06566935716569934	0.050703374851710184	0.05535727483870555	0.04651264509681066	0.0522334201095354	0.06581267375304499	0.07160917103131925	0.059932707521901815	0.06508962453935312	0.035192828920340896	0.035192828920340896	0.047770390331610235	0.04499652344384548	0.051288392673538956	0.04796796883928547	0.08912330008061818	0.18866055236242787	0.2039079159431918	0.1594053143096354	0.48185629770231897	0.5367287108647065	0.2681665882070221	0.24319213991219002	0.547263123137775	0.30894971426657863	0.5497803325757169	0.4129626685622479	0.41529144468477724	0.3774895336857335	0.26479962667794654	0.197139662044524	0.37770582306371797	0.21641023859212344	0.31701331688458084	0.19166837993140282	0.13410853471398082	0.22232901877763883
f19pp	0.05795325170588459	0.041176992554504036	0.03645457944156787	0.020957896487522935	0.015218022790874218	0.013919798710852806	0.01246295547665591	0.01246295547665591	0.0	0.005320715819781618	0.00614106396412136	0.006678962244194061	0.04980976126727798	0.023105300734753836	0.009379600178856532	0.010639528281350353	0.030646849041415316	0.030646849041415316	0.03922408201735912	0.04830445777011107	0.02952295273597929	0.042723252186986055	0.027683684114573514	0.027683684114573514	0.03181155700676127	0.034335569983779256	0.028121051542994137	0.031681364320407676	0.030275586891292363	0.027486359298553593	0.03109968355106616	0.03130527283746	0.03131423317734289	0.013044178711512734	0.015701779316707774	0.015701779316707774	0.03602231320788099	0.036388272224195946	0.036388272224195946	0.03603206767639336	0.4467569939592239	0.032946267846044236	0.0318430431574791	0.09057704295046252	0.03798797477912827	0.03536715742326768	0.04285802351716099	0.045808322846851685	0.047262271075969364	0.04403977182135608	0.05296521415770196	0.029214000099337837	0.04962759257868751	0.0412328923743656	0.05733664388376401	0.04237066156977486	0.047024561556770234	0.03817993181487534	0.04390070682760007	0.057479960471109676	0.06327645774938394	0.0515999942399665	0.0567569112574178	0.026860115638405575	0.026860115638405575	0.03943767704967491	0.03666381016191016	0.042955679391603635	0.039635255557350146	0.08079058679868287	0.18032783908049255	0.1955752026612565	0.15107260102770007	0.47352358442038367	0.5283959975827712	0.2598338749250868	0.23485942663025472	0.5389304098558397	0.30061700098464333	0.5414476192937815	0.4046299552803126	0.40695873140284194	0.3691568204037982	0.25646691339601124	0.18880694876258866	0.36937310978178267	0.2080775253101881	0.30868060360264554	0.1833356666494675	0.1257758214320455	0.21399630549570353
w15pp	0.059141725329945556	0.042365466178565	0.03764305306562884	0.02214837011258396	0.016408496415935243	0.015110272335913832	0.013653429101716935	0.013653429101716935	0.005320715819781618	0.0	0.004598476702588336	0.007867435868255028	0.05099823489133895	0.0242937743588148	0.010568073802917499	0.01182800190541132	0.031835322665476284	0.031835322665476284	0.040412555641420086	0.04949293139417204	0.030711426360040255	0.04391172581104703	0.028872157738634482	0.028872157738634482	0.033000030630822234	0.03552404360784022	0.029309525167055102	0.03286983794446864	0.03146406051535333	0.02867483292261456	0.032288157175127126	0.032493746461520964	0.03250270680140385	0.014232652335573701	0.01689025294076874	0.01689025294076874	0.037210786831941955	0.03757674584825691	0.03757674584825691	0.037220541300454324	0.4479454675832849	0.0341347414701052	0.033031516781540066	0.09176551657452349	0.039176448403189235	0.036555631047328646	0.044046497141221955	0.04699679647091265	0.04845074470003033	0.045228245445417044	0.054153687781762924	0.030402473723398802	0.05081606620274848	0.042421365998426566	0.05852511750782498	0.04355913519383583	0.0482130351808312	0.039368405438936306	0.045089180451661034	0.05866843409517064	0.0644649313734449	0.052788467864027466	0.05794538488147877	0.02804858926246654	0.02804858926246654	0.04062615067373587	0.03785228378597112	0.0441441530156646	0.04082372918141111	0.08197906042274383	0.1815163127045535	0.19676367628531746	0.15226107465176103	0.4747120580444446	0.5295844712068322	0.26102234854914774	0.23604790025431568	0.5401188834799007	0.30180547460870427	0.5426360929178425	0.40581842890437353	0.4081472050269029	0.37034529402785915	0.2576553870200722	0.18999542238664963	0.3705615834058436	0.20926599893424908	0.3098690772267065	0.18452414027352845	0.12696429505610646	0.21518477911976447
