	S30H1	f17ppB	f10pp	w14pp	f23ppB	w17pp	w9pp	f1pp	f14ppA	f29pp	f12ppA	f7pp	f6ppB	f11pp	f4pp	F22HpB	w28pp	f6ppA
S30H1	0.0	0.010847254794848158	0.004383039175000797	0.5885743189727413	0.5949107732394042	0.6140195312047909	0.6762307021386978	0.797212210496197	0.7314514507121533	0.8066352438735094	0.7006441150157081	0.6772125074329792	0.6277514929863606	0.33343201808104417	0.3036193821738292	0.25597376976355535	0.22095496663110187	0.21922711299954023
f17ppB	0.010847254794848158	0.0	0.00646621562084742	0.5979777973691224	0.6043142516357853	0.623423009601172	0.685634180535079	0.8066156888925781	0.7408549291085345	0.8160387222698905	0.7100475934120892	0.6866159858293603	0.6371549713827417	0.3428354964774254	0.31302286057021045	0.2653772481599365	0.23035844502748304	0.2286305913959214
f10pp	0.004383039175000797	0.00646621562084742	0.0	0.591513581749275	0.597850036015938	0.6169587939813247	0.6791699649152316	0.8001514732727307	0.7343907134886871	0.8095745066500432	0.7035833777922419	0.680151770209513	0.6306907557628944	0.336371280857578	0.30655864495036306	0.2589130325400892	0.2238942294076357	0.22216637577607407
w14pp	0.5885743189727413	0.5979777973691224	0.591513581749275	0.0	0.020111856750947517	0.29809519774739734	0.3603063686813042	0.7051055122367972	0.6393447524527536	0.7145285456141096	0.6085374167563083	0.5851058091735795	0.5356447947269609	0.42540700057632086	0.5356084393257116	0.5535776841453879	0.6415892480167639	0.6398613943852023
f23ppB	0.5949107732394042	0.6043142516357853	0.597850036015938	0.020111856750947517	0.0	0.3044316520140603	0.36664282294796724	0.7114419665034601	0.6456812067194166	0.7208649998807726	0.6148738710229713	0.5914422634402425	0.5419812489936239	0.4317434548429839	0.5419448935923745	0.5599141384120508	0.6479257022834268	0.6461978486518652
w17pp	0.6140195312047909	0.623423009601172	0.6169587939813247	0.29809519774739734	0.3044316520140603	0.0	0.23761333603421977	0.730550724468847	0.6647899646848033	0.7399737578461594	0.6339826289883581	0.6105510214056292	0.5610900069590106	0.45085221280837057	0.5610536515577612	0.5790228963774375	0.6670344602488135	0.6653066066172519
w9pp	0.6762307021386978	0.685634180535079	0.6791699649152316	0.3603063686813042	0.36664282294796724	0.23761333603421977	0.0	0.7927618954027538	0.7270011356187103	0.8021849287800662	0.6961937999222649	0.6727621923395362	0.6233011778929175	0.5130633837422776	0.6232648224916681	0.6412340673113445	0.7292456311827205	0.7275177775511589
f1pp	0.797212210496197	0.8066156888925781	0.8001514732727307	0.7051055122367972	0.7114419665034601	0.730550724468847	0.7927618954027538	0.0	0.6606828643315623	0.7358666574929182	0.629875528635117	0.7023758103366271	0.6529147958900086	0.6340448920997765	0.7442463308491672	0.7622155756688436	0.8502271395402196	0.848499285908658
f14ppA	0.7314514507121533	0.7408549291085345	0.7343907134886871	0.6393447524527536	0.6456812067194166	0.6647899646848033	0.7270011356187103	0.6606828643315623	0.0	0.2658770698375034	0.4736942307543438	0.6366150505525836	0.587154036105965	0.568284132315733	0.6784855710651236	0.6964548158848	0.784466379756176	0.7827385261246144
f29pp	0.8066352438735094	0.8160387222698905	0.8095745066500432	0.7145285456141096	0.7208649998807726	0.7399737578461594	0.8021849287800662	0.7358666574929182	0.2658770698375034	0.0	0.5488780239156998	0.7117988437139395	0.662337829267321	0.643467925477089	0.7536693642264797	0.771638609046156	0.859650172917532	0.8579223192859704
f12ppA	0.7006441150157081	0.7100475934120892	0.7035833777922419	0.6085374167563083	0.6148738710229713	0.6339826289883581	0.6961937999222649	0.629875528635117	0.4736942307543438	0.5488780239156998	0.0	0.6058077148561383	0.5563467004095197	0.5374767966192877	0.6476782353686784	0.6656474801883547	0.7536590440597307	0.7519311904281691
f7pp	0.6772125074329792	0.6866159858293603	0.680151770209513	0.5851058091735795	0.5914422634402425	0.6105510214056292	0.6727621923395362	0.7023758103366271	0.6366150505525836	0.7117988437139395	0.6058077148561383	0.0	0.34419810148586805	0.5140451890365589	0.6242466277859495	0.6422158726056258	0.7302274364770018	0.7284995828454403
f6ppB	0.6277514929863606	0.6371549713827417	0.6306907557628944	0.5356447947269609	0.5419812489936239	0.5610900069590106	0.6233011778929175	0.6529147958900086	0.587154036105965	0.662337829267321	0.5563467004095197	0.34419810148586805	0.0	0.4645841745899402	0.5747856133393309	0.5927548581590072	0.6807664220303832	0.6790385683988216
f11pp	0.33343201808104417	0.3428354964774254	0.336371280857578	0.42540700057632086	0.4317434548429839	0.45085221280837057	0.5130633837422776	0.6340448920997765	0.568284132315733	0.643467925477089	0.5374767966192877	0.5140451890365589	0.4645841745899402	0.0	0.28046613843401447	0.2984353832536908	0.38644694712506694	0.3847190934935053
f4pp	0.3036193821738292	0.31302286057021045	0.30655864495036306	0.5356084393257116	0.5419448935923745	0.5610536515577612	0.6232648224916681	0.7442463308491672	0.6784855710651236	0.7536693642264797	0.6476782353686784	0.6242466277859495	0.5747856133393309	0.28046613843401447	0.0	0.26862274734647584	0.356634311217852	0.35490645758629036
F22HpB	0.25597376976355535	0.2653772481599365	0.2589130325400892	0.5535776841453879	0.5599141384120508	0.5790228963774375	0.6412340673113445	0.7622155756688436	0.6964548158848	0.771638609046156	0.6656474801883547	0.6422158726056258	0.5927548581590072	0.2984353832536908	0.26862274734647584	0.0	0.30898869880757807	0.30726084517601643
w28pp	0.22095496663110187	0.23035844502748304	0.2238942294076357	0.6415892480167639	0.6479257022834268	0.6670344602488135	0.7292456311827205	0.8502271395402196	0.784466379756176	0.859650172917532	0.7536590440597307	0.7302274364770018	0.6807664220303832	0.38644694712506694	0.356634311217852	0.30898869880757807	0.0	0.005451711894629039
f6ppA	0.21922711299954023	0.2286305913959214	0.22216637577607407	0.6398613943852023	0.6461978486518652	0.6653066066172519	0.7275177775511589	0.848499285908658	0.7827385261246144	0.8579223192859704	0.7519311904281691	0.7284995828454403	0.6790385683988216	0.3847190934935053	0.35490645758629036	0.30726084517601643	0.005451711894629039	0.0
