	S1Hp	s25pp	S23Hp	S13Hp	w27pp	s27pp	S19H1	F7H1	S9H1	S17H1	F8H1
S1Hp	0.0	0.6499786554281785	0.6094875226707739	0.7200161921815671	0.7103679098838228	0.7103763829945515	0.8635118695053212	0.630996120510979	0.6208957468732841	0.6434864323679168	0.41130570421946483
s25pp	0.6499786554281785	0.0	0.18727939667295473	0.627267308261455	0.6176190259637107	0.6176274990744394	0.770762985585209	0.5382472365908668	0.5281468629531719	0.6638107711347085	0.4879989439463796
S23Hp	0.6094875226707739	0.18727939667295473	0.0	0.5867761755040505	0.5771278932063061	0.5771363663170348	0.7302718528278045	0.49775610383346225	0.48765573019576736	0.623319638377304	0.44750781118897504
S13Hp	0.7200161921815671	0.627267308261455	0.5867761755040505	0.0	0.49183788485503827	0.49184635796576703	0.6449818444765366	0.5676146816142508	0.5575143079765559	0.7338483078880973	0.5580364806997683
w27pp	0.7103679098838228	0.6176190259637107	0.5771278932063061	0.49183788485503827	0.0	0.004856548084296884	0.49124421870218493	0.5579663993165064	0.5478660256788115	0.7242000255903529	0.5483881984020239
s27pp	0.7103763829945515	0.6176274990744394	0.5771363663170348	0.49184635796576703	0.004856548084296884	0.0	0.49125269181291364	0.5579748724272351	0.5478744987895402	0.7242084987010816	0.5483966715127526
S19H1	0.8635118695053212	0.770762985585209	0.7302718528278045	0.6449818444765366	0.49124421870218493	0.49125269181291364	0.0	0.7111103589380048	0.7010099853003098	0.8773439852118512	0.7015321580235223
F7H1	0.630996120510979	0.5382472365908668	0.49775610383346225	0.5676146816142508	0.5579663993165064	0.5579748724272351	0.7111103589380048	0.0	0.41729213329866666	0.6448282362175091	0.4690164090291801
S9H1	0.6208957468732841	0.5281468629531719	0.48765573019576736	0.5575143079765559	0.5478660256788115	0.5478744987895402	0.7010099853003098	0.41729213329866666	0.0	0.6347278625798142	0.45891603539148523
S17H1	0.6434864323679168	0.6638107711347085	0.623319638377304	0.7338483078880973	0.7242000255903529	0.7242084987010816	0.8773439852118512	0.6448282362175091	0.6347278625798142	0.0	0.48150672088611796
F8H1	0.41130570421946483	0.4879989439463796	0.44750781118897504	0.5580364806997683	0.5483881984020239	0.5483966715127526	0.7015321580235223	0.4690164090291801	0.45891603539148523	0.48150672088611796	0.0
