	s1pp	f14ppB	f16ppB	w7pp	f18pp	f4pp	w9pp	s7pp	31600	s26pp	s13pp	530451	w6pp	31300	31700	31333	31160	f16ppA	s16pp	s28pp	530295
s1pp	0.0	0.0759932527573399	0.16909541461792782	0.1646096422126153	0.20748276112040265	0.15601358959317635	0.1459459982412832	0.22149488398667827	0.2593579279129891	0.2091026537092806	0.1771794892843141	0.24190098884899564	0.13841423130738417	0.8197305846442663	0.7717087661066964	0.9700460228327855	0.22282233826713294	0.17024912944073764	0.22949889308197968	0.14951330237835997	0.17888825730268224
f14ppB	0.0759932527573399	0.0	0.1008256542256351	0.09633988182032258	0.1392130007281099	0.08774382920088365	0.0776762378489905	0.15322512359438556	0.19108816752069638	0.1408328933169879	0.1089097288920214	0.1736312284567029	0.07014447091509146	0.7514608242519736	0.7034390057144037	0.9017762624404928	0.1545525778748402	0.10197936904844493	0.16122913268968694	0.08124354198606726	0.11352430700538232
f16ppB	0.16909541461792782	0.1008256542256351	0.0	0.0643921774188223	0.10726729632760973	0.055798124800383445	0.07168781243494592	0.20942161855605806	0.2472846624823689	0.1970293882786604	0.1651062238536939	0.22982772341837543	0.12634096587676397	0.8076573192136461	0.7596355006760762	0.9579727574021654	0.21074907283651273	0.1581758640101174	0.21742562765135948	0.13744003694773976	0.20662646886597025
w7pp	0.1646096422126153	0.09633988182032258	0.0643921774188223	0.0	0.1027815239222972	0.051312352395070926	0.0672020400296334	0.20493584615074556	0.24279889007705638	0.1925436158733479	0.16062045144838138	0.2253419510130629	0.12185519347145143	0.8031715468083336	0.7551497282707637	0.9534869849968528	0.2062633004312002	0.1536900916048049	0.21293985524604694	0.13295426454242723	0.20214069646065772
f18pp	0.20748276112040265	0.1392130007281099	0.10726729632760973	0.1027815239222972	0.0	0.07217719895407829	0.11007515893742074	0.2478089650585329	0.28567200898484374	0.23541673478113523	0.20349357035616872	0.26821506992085026	0.1647283123792388	0.8460446657161209	0.798022847178551	0.9963601039046401	0.24913641933898756	0.19656321051259223	0.2558129741538343	0.1758273834502146	0.24501381536844508
f4pp	0.15601358959317635	0.08774382920088365	0.055798124800383445	0.051312352395070926	0.07217719895407829	0.0	0.058605987410194474	0.19633979353130665	0.23420283745761744	0.18394756325390896	0.15202439882894245	0.21674589839362396	0.11325914085201251	0.7945754941888947	0.7465536756513248	0.944890932377414	0.19766724781176126	0.145094038985366	0.204343802626608	0.12435821192298831	0.19354464384121878
w9pp	0.1459459982412832	0.0776762378489905	0.07168781243494592	0.0672020400296334	0.11007515893742074	0.058605987410194474	0.0	0.18627220217941348	0.2241352461057243	0.17387997190201582	0.1419568074770493	0.20667830704173082	0.10319154950011936	0.7845079028370016	0.7364860842994316	0.9348233410255208	0.18759965645986812	0.13502644763347282	0.19427621127471487	0.11429062057109515	0.18347705248932564
s7pp	0.22149488398667827	0.15322512359438556	0.20942161855605806	0.20493584615074556	0.2478089650585329	0.19633979353130665	0.18627220217941348	0.0	0.1205474080004885	0.07029213379678	0.14640638099452144	0.21112788055920295	0.1663996657775697	0.8477160191144519	0.799694200576882	0.9980314573029712	0.25080777273731847	0.19823456391092314	0.2574843275521652	0.1774987368485455	0.2590259382347207
31600	0.2593579279129891	0.19108816752069638	0.2472846624823689	0.24279889007705638	0.28567200898484374	0.23420283745761744	0.2241352461057243	0.1205474080004885	0.0	0.06102601329377526	0.18426942492083226	0.2489909244855138	0.2042627097038805	0.8855790630407627	0.8375572445031928	1.035894501229282	0.28867081666362926	0.23609760783723396	0.295347371478476	0.2153617807748563	0.29688898216103154
s26pp	0.2091026537092806	0.1408328933169879	0.1970293882786604	0.1925436158733479	0.23541673478113523	0.18394756325390896	0.17387997190201582	0.07029213379678	0.06102601329377526	0.0	0.13401415071712375	0.1987356502818053	0.15400743550017199	0.8353237888370542	0.7873019702994842	0.9856392270255734	0.23841554245992075	0.18584233363352548	0.2450920972747675	0.16510650657114778	0.24663370795732303
