	w11pp	f14ppB	w20pp	f22ppA	f16ppA	f7pp	w26pp	w3pp	w16pp	w24pp	w19pp	w8pp	f25pp	f19pp	f24pp	w18pp	f12ppB
w11pp	0.0	0.3569146945142868	0.34225673694885517	0.4960577254099194	0.539650441605573	0.4329659376501767	0.43784795636405544	0.6779575253241885	0.5053203931622396	0.44460921342696375	0.4468733935457619	0.45505528800407297	0.4763986837484067	0.39198657666228576	0.40317417760492086	0.4977416489037961	0.260529886692365
f14ppB	0.3569146945142868	0.0	0.33159715428790393	0.4853981427489682	0.5289908589446217	0.42230635498922553	0.42718837370310425	0.6672979426632373	0.4946608105012884	0.43394963076601256	0.4362138108848107	0.4443957053431218	0.4657391010874555	0.3813269940013345	0.3925145949439697	0.48708206624284484	0.31768113427037104
w20pp	0.34225673694885517	0.33159715428790393	0.0	0.39007905138232857	0.4336717675779821	0.3269872636225859	0.3318692823364647	0.5719788512965976	0.3993417191346488	0.338630539399373	0.3408947195181711	0.3775336208271505	0.3988770165714842	0.31446490948536326	0.32565251042799837	0.4202199817268736	0.3030231767049394
f22ppA	0.4960577254099194	0.4853981427489682	0.39007905138232857	0.0	0.5464011274857532	0.4397166235303569	0.44459864224423573	0.6847082112043688	0.5120710790424199	0.45135989930714404	0.46970270206292586	0.5313346092882147	0.5526780050325484	0.4682658979464275	0.47945349888906263	0.5740209701879377	0.4568241651660036
f16ppA	0.539650441605573	0.5289908589446217	0.4336717675779821	0.5464011274857532	0.0	0.398872914180767	0.48251624588005326	0.7226258148401863	0.5499886826782374	0.4892775029429616	0.5132954182585794	0.5749273254838683	0.5962707212282019	0.511858614142081	0.5230462150847162	0.6176136863835913	0.5004168813616572
f7pp	0.4329659376501767	0.42230635498922553	0.3269872636225859	0.4397166235303569	0.398872914180767	0.0	0.375831741924657	0.61594131088479	0.44330417872284117	0.3825929989875653	0.4066109143031831	0.4682428215284721	0.4895862172728057	0.4051741101866848	0.4163617111293199	0.5109291824281951	0.39373237740626094
w26pp	0.43784795636405544	0.42718837370310425	0.3318692823364647	0.44459864224423573	0.48251624588005326	0.375831741924657	0.0	0.5759354148638066	0.40329828270185775	0.3425871029665819	0.4114929330170619	0.4731248402423508	0.49446823598668455	0.4100561289005636	0.4212437298431987	0.5158112011420739	0.39861439612013966
w3pp	0.6779575253241885	0.6672979426632373	0.5719788512965976	0.6847082112043688	0.7226258148401863	0.61594131088479	0.5759354148638066	0.0	0.49247739366368126	0.5374627200408197	0.6516025019771949	0.7132344092024838	0.7345778049468175	0.6501656978606966	0.6613532988033317	0.7559207701022068	0.6387239650802727
w16pp	0.5053203931622396	0.4946608105012884	0.3993417191346488	0.5120710790424199	0.5499886826782374	0.44330417872284117	0.40329828270185775	0.49247739366368126	0.0	0.36482558787887087	0.47896536981524607	0.540597277040535	0.5619406727848686	0.4775285656987477	0.48871616664138284	0.583283637940258	0.4660868329183238
w24pp	0.44460921342696375	0.43394963076601256	0.338630539399373	0.45135989930714404	0.4892775029429616	0.3825929989875653	0.3425871029665819	0.5374627200408197	0.36482558787887087	0.0	0.4182541900799702	0.4798860973052591	0.5012294930495929	0.4168173859634719	0.428004986906107	0.5225724582049822	0.40537565318304797
w19pp	0.4468733935457619	0.4362138108848107	0.3408947195181711	0.46970270206292586	0.5132954182585794	0.4066109143031831	0.4114929330170619	0.6516025019771949	0.47896536981524607	0.4182541900799702	0.0	0.48215027742405725	0.503493673168391	0.41908156608227	0.43026916702490514	0.5248366383237804	0.4076398333018461
w8pp	0.45505528800407297	0.4443957053431218	0.3775336208271505	0.5313346092882147	0.5749273254838683	0.4682428215284721	0.4731248402423508	0.7132344092024838	0.540597277040535	0.4798860973052591	0.48215027742405725	0.0	0.5001642748482892	0.4157521677621683	0.4269397687048033	0.5215072400036785	0.4158217277601572
f25pp	0.4763986837484067	0.4657391010874555	0.3988770165714842	0.5526780050325484	0.5962707212282019	0.4895862172728057	0.49446823598668455	0.7345778049468175	0.5619406727848686	0.5012294930495929	0.503493673168391	0.5001642748482892	0.0	0.4135251574830824	0.42471275842571743	0.5192802297245926	0.43716512350449094
f19pp	0.39198657666228576	0.3813269940013345	0.31446490948536326	0.4682658979464275	0.511858614142081	0.4051741101866848	0.4100561289005636	0.6501656978606966	0.4775285656987477	0.4168173859634719	0.41908156608227	0.4157521677621683	0.4135251574830824	0.0	0.3402986513385965	0.4348661226374717	0.35275301641837
f24pp	0.40317417760492086	0.3925145949439697	0.32565251042799837	0.47945349888906263	0.5230462150847162	0.4163617111293199	0.4212437298431987	0.6613532988033317	0.48871616664138284	0.428004986906107	0.43026916702490514	0.4269397687048033	0.42471275842571743	0.3402986513385965	0.0	0.4092178963337677	0.3639406173610051
w18pp	0.4977416489037961	0.48708206624284484	0.4202199817268736	0.5740209701879377	0.6176136863835913	0.5109291824281951	0.5158112011420739	0.7559207701022068	0.583283637940258	0.5225724582049822	0.5248366383237804	0.5215072400036785	0.5192802297245926	0.4348661226374717	0.4092178963337677	0.0	0.4585080886598803
f12ppB	0.260529886692365	0.31768113427037104	0.3030231767049394	0.4568241651660036	0.5004168813616572	0.39373237740626094	0.39861439612013966	0.6387239650802727	0.4660868329183238	0.40537565318304797	0.4076398333018461	0.4158217277601572	0.43716512350449094	0.35275301641837	0.3639406173610051	0.4585080886598803	0.0
