	f1pp	w1pp	S26Hp	w3pp	w23pp	w17pp	S15Hp	w24pp	f10pp	w27pp	w26pp	f6ppA	F6H1	F23HpA	w28pp	f18pp	w22pp	w13pp	w12pp
f1pp	0.0	0.06358668097097299	0.11022297892670435	0.3536530071373919	0.2764391127610798	0.3232772063671755	0.45652559924269376	0.41943217609620087	0.3217632755640682	0.46124155911264264	0.4637339688808828	0.45682650221223897	0.7252522500564101	0.6718145377450736	0.4033405635775865	0.4147417776497775	0.3948285356073672	0.3438561780789611	0.3465979542088373
w1pp	0.06358668097097299	0.0	0.04663829795673142	0.3247812244596484	0.24756733008333637	0.294405423689432	0.42765381656495033	0.3905603934184574	0.29289149288632477	0.4323697764348992	0.4348621862031394	0.42795471953449554	0.6963804673786667	0.6429427550673301	0.37446878089984303	0.385869994972034	0.3659567529296237	0.3149843954012177	0.3177261715310939
S26Hp	0.11022297892670435	0.04663829795673142	0.0	0.3714175224153798	0.2942036280390677	0.34104172164516333	0.4742901145206817	0.43719669137418876	0.3395277908420561	0.4790060743906306	0.48149848415887075	0.4745910174902269	0.743016765334398	0.6895790530230616	0.4211050788555744	0.4325062929277653	0.4125930508853551	0.361620693356949	0.36436246948682527
w3pp	0.3536530071373919	0.3247812244596484	0.3714175224153798	0.0	0.2310303090616619	0.330636683455633	0.4638850763311514	0.42679165318465845	0.3291227526525258	0.4686010362011003	0.47109344596934044	0.4641859793006966	0.7326117271448677	0.6791740148335312	0.4107000406660441	0.422101254738235	0.40218801269582477	0.3512156551674187	0.35395743129729496
w23pp	0.2764391127610798	0.24756733008333637	0.2942036280390677	0.2310303090616619	0.0	0.2534227890793209	0.3866711819548393	0.34957775880834635	0.2519088582762137	0.3913871418247882	0.39387955159302834	0.3869720849243845	0.6553978327685556	0.6019601204572191	0.333486146289732	0.3448873603619229	0.3249741183195127	0.2740017607911066	0.27674353692098286
w17pp	0.3232772063671755	0.294405423689432	0.34104172164516333	0.330636683455633	0.2534227890793209	0.0	0.2376778797675854	0.2005844566210925	0.19298101183323796	0.3324592953818124	0.33495170515005257	0.32804423848140873	0.5964699863255799	0.5430322740142434	0.2745582998467563	0.2859595139189472	0.26604627187653695	0.2629780572280511	0.2657198333579273
S15Hp	0.45652559924269376	0.42765381656495033	0.4742901145206817	0.4638850763311514	0.3866711819548393	0.2376778797675854	0.0	0.12760249593926745	0.3262294047087562	0.46570768825733067	0.46820009802557083	0.461292631356927	0.7297183792010982	0.6762806668897616	0.40780669272227454	0.4192079067944655	0.3992946647520552	0.39622645010356944	0.39896822623344563
w24pp	0.41943217609620087	0.3905603934184574	0.43719669137418876	0.42679165318465845	0.34957775880834635	0.2005844566210925	0.12760249593926745	0.0	0.28913598156226333	0.4286142651108378	0.43110667487907794	0.4241992082104341	0.6926249560546053	0.6391872437432687	0.37071326957578166	0.3821144836479726	0.36220124160556233	0.3591330269570765	0.36187480308695275
f10pp	0.3217632755640682	0.29289149288632477	0.3395277908420561	0.3291227526525258	0.2519088582762137	0.19298101183323796	0.3262294047087562	0.28913598156226333	0.0	0.23247500080456787	0.234967410572808	0.2280599439041642	0.5361200417448231	0.48268232943348655	0.21420835526599952	0.2539958982047056	0.2340826561622953	0.2614641264249439	0.26420590255482007
w27pp	0.46124155911264264	0.4323697764348992	0.4790060743906306	0.4686010362011003	0.3913871418247882	0.3324592953818124	0.46570768825733067	0.4286142651108378	0.23247500080456787	0.0	0.3306026257546092	0.3236951590859654	0.6755983252933976	0.622160612982061	0.35368663881457396	0.39347418175328003	0.3735609397108698	0.4009424099735183	0.4036841861033945
w26pp	0.4637339688808828	0.4348621862031394	0.48149848415887075	0.47109344596934044	0.39387955159302834	0.33495170515005257	0.46820009802557083	0.43110667487907794	0.234967410572808	0.3306026257546092	0.0	0.16369081204074093	0.6780907350616376	0.6246530227503011	0.35617904858281413	0.39596659152152014	0.3760533494791099	0.4034348197417585	0.4061765958716347
f6ppA	0.45682650221223897	0.42795471953449554	0.4745910174902269	0.4641859793006966	0.3869720849243845	0.32804423848140873	0.461292631356927	0.4241992082104341	0.2280599439041642	0.3236951590859654	0.16369081204074093	0.0	0.6711832683929939	0.6177455560816574	0.3492715819141703	0.38905912485287636	0.3691458828104661	0.39652735307311465	0.39926912920299085
F6H1	0.7252522500564101	0.6963804673786667	0.743016765334398	0.7326117271448677	0.6553978327685556	0.5964699863255799	0.7297183792010982	0.6926249560546053	0.5361200417448231	0.6755983252933976	0.6780907350616376	0.6711832683929939	0.0	0.6408371824289805	0.5448987641388264	0.6574848726970475	0.6375716306546372	0.6649531009172858	0.6676948770471619
F23HpA	0.6718145377450736	0.6429427550673301	0.6895790530230616	0.6791740148335312	0.6019601204572191	0.5430322740142434	0.6762806668897616	0.6391872437432687	0.48268232943348655	0.622160612982061	0.6246530227503011	0.6177455560816574	0.6408371824289805	0.0	0.49146105182748995	0.6040471603857109	0.5841339183433006	0.6115153886059493	0.6142571647358255
w28pp	0.4033405635775865	0.37446878089984303	0.4211050788555744	0.4107000406660441	0.333486146289732	0.2745582998467563	0.40780669272227454	0.37071326957578166	0.21420835526599952	0.35368663881457396	0.35617904858281413	0.3492715819141703	0.5448987641388264	0.49146105182748995	0.0	0.33557318621822385	0.3156599441758136	0.34304141443846214	0.3457831905683384
f18pp	0.4147417776497775	0.385869994972034	0.4325062929277653	0.422101254738235	0.3448873603619229	0.2859595139189472	0.4192079067944655	0.3821144836479726	0.2539958982047056	0.39347418175328003	0.39596659152152014	0.38905912485287636	0.6574848726970475	0.6040471603857109	0.33557318621822385	0.0	0.18822171371123136	0.3544426285106531	0.3571844046405293
w22pp	0.3948285356073672	0.3659567529296237	0.4125930508853551	0.40218801269582477	0.3249741183195127	0.26604627187653695	0.3992946647520552	0.36220124160556233	0.2340826561622953	0.3735609397108698	0.3760533494791099	0.3691458828104661	0.6375716306546372	0.5841339183433006	0.3156599441758136	0.18822171371123136	0.0	0.3345293864682428	0.33727116259811907
w13pp	0.3438561780789611	0.3149843954012177	0.361620693356949	0.3512156551674187	0.2740017607911066	0.2629780572280511	0.39622645010356944	0.3591330269570765	0.2614641264249439	0.4009424099735183	0.4034348197417585	0.39652735307311465	0.6649531009172858	0.6115153886059493	0.34304141443846214	0.3544426285106531	0.3345293864682428	0.0	0.23084416754015724
w12pp	0.3465979542088373	0.3177261715310939	0.36436246948682527	0.35395743129729496	0.27674353692098286	0.2657198333579273	0.39896822623344563	0.36187480308695275	0.26420590255482007	0.4036841861033945	0.4061765958716347	0.39926912920299085	0.6676948770471619	0.6142571647358255	0.3457831905683384	0.3571844046405293	0.33727116259811907	0.23084416754015724	0.0
