	F23HpA	S21H1	S17H1	s27pp	S19H1	S28Hp	s29pp	S22Hp	S6Hp	S25Hp	S26Hp
F23HpA	0.0	0.2883640733969635	0.2503479176292348	0.24680043515543426	0.36396948720796896	0.24413287454755367	0.23220374230516994	0.5068897028540461	0.5534914485323983	1.4686255720306831	1.6311777417451259
S21H1	0.2883640733969635	0.0	0.040721602517640135	0.08748737429574294	0.20465842634927772	0.08482181368886242	0.0945094624688466	0.602805296148152	0.6494070418265041	1.564541165324789	1.727093335039232
S17H1	0.2503479176292348	0.040721602517640135	0.0	0.04947121852801423	0.166642270581549	0.04680565792113371	0.05649330670111789	0.5647891403804233	0.6113908860587755	1.5265250095570604	1.6890771792715031
s27pp	0.24680043515543426	0.08748737429574294	0.04947121852801423	0.0	0.16309478810774844	0.04325817544733313	0.05294582422731732	0.5612416579066227	0.6078434035849749	1.5229775270832597	1.6855296967977025
S19H1	0.36396948720796896	0.20465842634927772	0.166642270581549	0.16309478810774844	0.0	0.15965972835271833	0.17011487627985206	0.6784107099591574	0.7250124556375096	1.6401465791357945	1.8026987488502373
S28Hp	0.24413287454755367	0.08482181368886242	0.04680565792113371	0.04325817544733313	0.15965972835271833	0.0	0.05027826361943674	0.5585740972987421	0.6051758429770944	1.520309966475379	1.6828621361898222
s29pp	0.23220374230516994	0.0945094624688466	0.05649330670111789	0.05294582422731732	0.17011487627985206	0.05027826361943674	0.0	0.5466449650563584	0.5932467107347106	1.5083808342329954	1.6709330039474382
S22Hp	0.5068897028540461	0.602805296148152	0.5647891403804233	0.5612416579066227	0.6784107099591574	0.5585740972987421	0.5466449650563584	0.0	0.07094207638372639	1.3744599939817683	1.537012163696211
S6Hp	0.5534914485323983	0.6494070418265041	0.6113908860587755	0.6078434035849749	0.7250124556375096	0.6051758429770944	0.5932467107347106	0.07094207638372639	0.0	1.4210617396601206	1.5836139093745634
S25Hp	1.4686255720306831	1.564541165324789	1.5265250095570604	1.5229775270832597	1.6401465791357945	1.520309966475379	1.5083808342329954	1.3744599939817683	1.4210617396601206	0.0	1.4620310567595096
S26Hp	1.6311777417451259	1.727093335039232	1.6890771792715031	1.6855296967977025	1.8026987488502373	1.6828621361898222	1.6709330039474382	1.537012163696211	1.5836139093745634	1.4620310567595096	0.0
