	S28Hp	s2pp	F7H1	S31Hp	S7Hp	S6Hp	s30pp	S19H1	F23HpA	S10H1
S28Hp	0.0	0.40720409927889456	0.393570259600728	0.2691826432226616	0.39450803190466655	1.6903836695881431	1.60070925873906	0.3416249076336309	0.36345158340668	0.44410895115943305
s2pp	0.40720409927889456	0.0	0.0837585594838175	0.3721656221383084	0.49749101082031333	1.79336664850379	1.7036922376547068	0.4446078865492777	0.4664345623223268	0.5470919300750798
F7H1	0.393570259600728	0.0837585594838175	0.0	0.35853178246014183	0.4838571711421469	1.7797328088256235	1.6900583979765402	0.4309740468711112	0.45280072264416027	0.5334580903969133
S31Hp	0.2691826432226616	0.3721656221383084	0.35853178246014183	0.0	0.2575555813931057	1.5534312190765822	1.463756808227499	0.2595145161995869	0.281341191972636	0.3619985597253891
S7Hp	0.39450803190466655	0.49749101082031333	0.4838571711421469	0.2575555813931057	0.0	1.4318680433934867	1.3421936325444037	0.38483990488159187	0.40666658065464095	0.487323948407394
S6Hp	1.6903836695881431	1.79336664850379	1.7797328088256235	1.5534312190765822	1.4318680433934867	0.0	0.5198150644753848	1.6807155425650686	1.7025422183381176	1.7831995860908707
s30pp	1.60070925873906	1.7036922376547068	1.6900583979765402	1.463756808227499	1.3421936325444037	0.5198150644753848	0.0	1.5910411317159854	1.6128678074890344	1.6935251752417875
S19H1	0.3416249076336309	0.4446078865492777	0.4309740468711112	0.2595145161995869	0.38483990488159187	1.6807155425650686	1.5910411317159854	0.0	0.21263085709543716	0.2932882248481902
F23HpA	0.36345158340668	0.4664345623223268	0.45280072264416027	0.281341191972636	0.40666658065464095	1.7025422183381176	1.6128678074890344	0.21263085709543716	0.0	0.2363760776480987
S10H1	0.44410895115943305	0.5470919300750798	0.5334580903969133	0.3619985597253891	0.487323948407394	1.7831995860908707	1.6935251752417875	0.2932882248481902	0.2363760776480987	0.0
