	31537	S15Hp	531414	530227	31600	31021	530368	S16H2	31428	s1pp	S10H1	530055	31267	31328	530331	31519	530394	530167	530364	s21pp	530052	530177	31360	31416	S6Hp	S13Hp	s6pp	F29H1	s17pp	31750	530074	S28Hp	S31Hp	F23HpA	S7Hp	S11Hp	F6H1	F14H1B	530258	31452	530050	S25Hp	S9H1
31537	0.0	0.24057408560923854	0.32257053005889735	0.32148141855169887	0.327967524630136	0.33105155078453574	0.33060506867233996	0.36171120795063194	0.5568915110964375	0.5431988434914143	0.5602321315514512	0.5573695459775375	0.5793088068737674	0.5794863195630378	0.5880465864242205	0.5804046150191309	0.5804046150191309	0.5780923818056369	0.5832973340272466	0.5921350570373628	0.570989810641543	0.5717582358904557	0.5888426189997066	0.6068607946222576	0.5864511726659377	0.5854338380897226	0.585765300821295	0.5609010014868484	0.48450072616038425	0.41976519605477947	0.4226655808900015	0.41319419632382276	0.3738239954759361	0.40597169099225366	0.3770152146148399	0.3930033720354043	0.44143164704665183	0.40860172634912695	0.4150035333953591	0.4090295038623797	0.4074077172801585	0.38510952253100517	0.26496610232454143
S15Hp	0.24057408560923854	0.0	0.2810907504117784	0.2800016389045799	0.2864877449830171	0.28957177113741683	0.28912528902522106	0.32023142830351303	0.5154117314493186	0.5017190638442954	0.5187523519043323	0.5158897663304186	0.5378290272266485	0.5380065399159188	0.5465668067771016	0.538924835372012	0.538924835372012	0.536612602158518	0.5418175543801277	0.5506552773902439	0.5295100309944241	0.5302784562433368	0.5473628393525877	0.5653810149751387	0.5449713930188188	0.5439540584426037	0.5442855211741761	0.5194212218397295	0.44302094651326535	0.37828541640766056	0.3811858012428826	0.37171441667670385	0.3323442158288172	0.36449191134513476	0.335535434967721	0.3515235923882854	0.3999518673995329	0.36712194670200804	0.3735237537482402	0.3675497242152608	0.3659279376330396	0.34362974288388626	0.2618487199644969
531414	0.32257053005889735	0.2810907504117784	0.0	0.0038660192419884155	0.01035212532042558	0.02498618871294044	0.2584735115837976	0.3428729928514559	0.5380532959972615	0.5243606283922383	0.5413939164522752	0.5385313308783615	0.5604705917745914	0.5606481044638617	0.5692083713250444	0.5615663999199548	0.5615663999199548	0.5592541667064609	0.5644591189280705	0.5732968419381868	0.5521515955423669	0.5529200207912797	0.5700044039005305	0.5880225795230816	0.5676129575667617	0.5665956229905466	0.5669270857221189	0.5420627863876724	0.4656625110612082	0.4009269809556034	0.40382736579082545	0.3943559812246467	0.3549857803767601	0.38713347589307767	0.35817699951566384	0.3741651569362283	0.4225934319474758	0.3897635112499509	0.39616531829618307	0.39019128876320364	0.3885695021809825	0.3662713074318291	0.3438451644141557
530227	0.32148141855169887	0.2800016389045799	0.0038660192419884155	0.0	0.006488106079437223	0.023897077205741957	0.25738440007659913	0.3417838813442574	0.536964184490063	0.5232715168850398	0.5403048049450767	0.537442219371163	0.5593814802673929	0.5595589929566632	0.568119259817846	0.5604772884127563	0.5604772884127563	0.5581650551992624	0.5633700074208721	0.5722077304309883	0.5510624840351684	0.5518309092840812	0.568915292393332	0.5869334680158831	0.5665238460595632	0.5655065114833481	0.5658379742149204	0.5409736748804739	0.4645733995540097	0.39983786944840494	0.402738254283627	0.39326686971744823	0.3538966688695616	0.3860443643858792	0.35708788800846536	0.37307604542902983	0.4215043204402773	0.3886743997427524	0.3950762067889846	0.38910217725600516	0.38748039067378404	0.36518219592463064	0.3427560529069572
31600	0.327967524630136	0.2864877449830171	0.01035212532042558	0.006488106079437223	0.0	0.030383183284179122	0.2638705061550363	0.3482699874226946	0.5434502905685001	0.529757622963477	0.5467909110235138	0.5439283254496001	0.56586758634583	0.5660450990351004	0.5746053658962831	0.5669633944911935	0.5669633944911935	0.5646511612776995	0.5698561134993092	0.5786938365094255	0.5575485901136056	0.5583170153625183	0.5754013984717692	0.5934195740943202	0.5730099521380003	0.5719926175617852	0.5723240802933577	0.5474597809589111	0.4710595056324469	0.4063239755268421	0.4092243603620641	0.3997529757958854	0.36038277494799875	0.39253047046431633	0.36357399408690255	0.37956215150746697	0.42799042651871444	0.3951605058211896	0.4015623128674218	0.39558828333444235	0.3939664967522212	0.37166830200306783	0.34924215898539435
31021	0.33105155078453574	0.28957177113741683	0.02498618871294044	0.023897077205741957	0.030383183284179122	0.0	0.26695453230943605	0.35135401357709434	0.5465343167228999	0.5328416491178767	0.5498749371779136	0.5470123516039999	0.5689516125002297	0.5691291251895001	0.5776893920506828	0.5700474206455932	0.5700474206455932	0.5677351874320993	0.5729401396537089	0.5817778626638253	0.5606326162680053	0.561401041516918	0.5784854246261689	0.59650360024872	0.5760939782924	0.5750766437161849	0.5754081064477574	0.5505438071133109	0.47414353178684665	0.4094080016812418	0.41230838651646384	0.40283700195028516	0.3634668011023985	0.39561449661871606	0.3666580202413023	0.3826461776618667	0.4310744526731142	0.39824453197558934	0.4046463390218215	0.3986723094888421	0.3970505229066209	0.37475232815746756	0.3523261851397941
530368	0.33060506867233996	0.28912528902522106	0.2584735115837976	0.25738440007659913	0.2638705061550363	0.26695453230943605	0.0	0.35090753146489856	0.5460878346107041	0.5323951670056809	0.5494284550657178	0.5465658694918041	0.568505130388034	0.5686826430773043	0.577242909938487	0.5696009385333974	0.5696009385333974	0.5672887053199035	0.5724936575415132	0.5813313805516295	0.5601861341558095	0.5609545594047223	0.5780389425139731	0.5960571181365242	0.5756474961802043	0.5746301616039892	0.5749616243355616	0.5500973250011151	0.47369704967465087	0.40896151956904603	0.41186190440426806	0.4023905198380894	0.3630203189902027	0.3951680145065203	0.3662115381291065	0.3821996955496709	0.4306279705609184	0.39779804986339357	0.40419985690962573	0.3982258273766463	0.39660404079442513	0.3743058460452718	0.3518797030275983
S16H2	0.36171120795063194	0.32023142830351303	0.3428729928514559	0.3417838813442574	0.3482699874226946	0.35135401357709434	0.35090753146489856	0.0	0.3996732402020421	0.3859805725970189	0.4030138606570558	0.4001512750831421	0.42209053597937196	0.4222680486686423	0.43082831552982503	0.42318634412473544	0.42318634412473544	0.4208741109112415	0.42607906313285115	0.4349167861429674	0.41377153974714753	0.4145399649960603	0.43162434810531114	0.4496425237278622	0.4292329017715423	0.42821556719532716	0.4285470299268996	0.403682730592453	0.3272824552659888	0.26254692516038397	0.265447309995606	0.25597592542942726	0.2646798986688778	0.2968275941851954	0.2678711178077816	0.28385927522834603	0.33228755023959355	0.29945762954206867	0.30585943658830084	0.2998854070553214	0.29826362047310023	0.3448841494259786	0.3829858423058903
31428	0.5568915110964375	0.5154117314493186	0.5380532959972615	0.536964184490063	0.5434502905685001	0.5465343167228999	0.5460878346107041	0.3996732402020421	0.0	0.16141165552184883	0.19736106331890915	0.19449847774499546	0.21643773864122537	0.2166152513304957	0.22517551819167847	0.21753354678658882	0.21753354678658882	0.21522131357309487	0.22042626579470456	0.2292639888048208	0.2081187424090009	0.20888716765791365	0.22597155076716458	0.24398972638971556	0.2235801044333957	0.22256276985718054	0.22289423258875296	0.1980299332543064	0.23721951141593228	0.43319223555880965	0.4360926203940317	0.42662123582785294	0.4598602018146834	0.492007897331001	0.4630514209535872	0.4790395783741516	0.5274678533853991	0.49463793268787426	0.5010397397341064	0.495065710201127	0.4934439236189058	0.5400644525717841	0.5781661454516959
s1pp	0.5431988434914143	0.5017190638442954	0.5243606283922383	0.5232715168850398	0.529757622963477	0.5328416491178767	0.5323951670056809	0.3859805725970189	0.16141165552184883	0.0	0.18366839571388593	0.18080581013997224	0.20274507103620215	0.2029225837254725	0.21148285058665525	0.2038408791815656	0.2038408791815656	0.20152864596807168	0.20673359818968134	0.2155713211997976	0.1944260748039777	0.19519450005289046	0.21227888316214136	0.23029705878469237	0.2098874368283725	0.20887010225215735	0.20920156498372977	0.1843372656492832	0.22352684381090906	0.41949956795378646	0.4223999527890085	0.41292856822282975	0.4461675342096602	0.4783152297259778	0.449358753348564	0.46534691076912843	0.513775185780376	0.48094526508285107	0.48734707212908324	0.4813730425961038	0.47975125601388263	0.526371784966761	0.5644734778466727
S10H1	0.5602321315514512	0.5187523519043323	0.5413939164522752	0.5403048049450767	0.5467909110235138	0.5498749371779136	0.5494284550657178	0.4030138606570558	0.19736106331890915	0.18366839571388593	0.0	0.018138595620016087	0.18327889814245396	0.1834564108317243	0.19201667769290703	0.18437470628781738	0.18437470628781738	0.18206247307432347	0.2158820535726672	0.22471977658278344	0.20357453018696353	0.20434295543587633	0.2214273385451272	0.2394455141676782	0.21903589221135833	0.2180185576351432	0.2183500203667156	0.19348572103226908	0.24056013187094594	0.43653285601382336	0.4394332408490454	0.42996185628286665	0.4632008222696971	0.4953485177860147	0.4663920414086009	0.48238019882916533	0.5308084738404129	0.49797855314288797	0.5043803601891201	0.4984063306561407	0.49678454407391953	0.5434050730267979	0.5815067659067096
