	s28pp	S17H1	S22Hp	s29pp	s14pp	s1pp	f16ppA	s24pp	S13Hp	s25pp	F6H1	F23HpA	s3pp
s28pp	0.0	0.09055045382075214	0.12812821521580045	0.11408198583552036	0.127061023135033	0.13136729108862283	0.10140070050002384	0.08048103110756674	0.34397149861528015	0.06537195032916475	0.09609423718502126	2.047659181855441	0.04016173269317277
S17H1	0.09055045382075214	0.0	0.12621189650179773	0.11216566712151763	0.1251447044210303	0.1294509723746201	0.09948438178602112	0.07856471239356401	0.39177993849117676	0.11318039020506131	0.1439026770609178	2.1078452505217475	0.10034980136047972
S22Hp	0.12812821521580045	0.12621189650179773	0.0	0.10484610753818788	0.11782514483770054	0.12213141279129036	0.11687430845799904	0.09595463906554194	0.4293576998862251	0.15075815160010964	0.18148043845596612	2.1454230119167956	0.13792756275552803
s29pp	0.11408198583552036	0.11216566712151763	0.10484610753818788	0.0	0.06625051011993596	0.0705567780735258	0.10282807907771896	0.08190840968526185	0.41531147050594497	0.13671192221982953	0.16743420907568604	2.1313767825365155	0.12388133337524794
s14pp	0.127061023135033	0.1251447044210303	0.11782514483770054	0.06625051011993596	0.0	0.009839649399765185	0.11580711637723162	0.09488744698477451	0.42829050780545763	0.1496909595193422	0.1804132463751987	2.1443558198360284	0.1368603706747606
s1pp	0.13136729108862283	0.1294509723746201	0.12213141279129036	0.0705567780735258	0.009839649399765185	0.0	0.12011338433082144	0.09919371493836433	0.4325967757590475	0.153997227472932	0.18471951432878853	2.148662087789618	0.1411666386283504
f16ppA	0.10140070050002384	0.09948438178602112	0.11687430845799904	0.10282807907771896	0.11580711637723162	0.12011338433082144	0.0	0.06504123895135949	0.40263018517044846	0.12403063688433301	0.1547529237401895	2.1186954972010192	0.11120004803975142
s24pp	0.08048103110756674	0.07856471239356401	0.09595463906554194	0.08190840968526185	0.09488744698477451	0.09919371493836433	0.06504123895135949	0.0	0.38171051577799137	0.10311096749187591	0.1338332543477324	2.097775827808562	0.09028037864729432
S13Hp	0.34397149861528015	0.39177993849117676	0.4293576998862251	0.41531147050594497	0.42829050780545763	0.4325967757590475	0.40263018517044846	0.38171051577799137	0.0	0.27860154828711553	0.3624635454836736	2.3612662953162755	0.35377084615500776
s25pp	0.06537195032916475	0.11318039020506131	0.15075815160010964	0.13671192221982953	0.1496909595193422	0.153997227472932	0.12403063688433301	0.10311096749187591	0.27860154828711553	0.0	0.0838639971975581	2.08266674703016	0.07517129786889233
F6H1	0.09609423718502126	0.1439026770609178	0.18148043845596612	0.16743420907568604	0.1804132463751987	0.18471951432878853	0.1547529237401895	0.1338332543477324	0.3624635454836736	0.0838639971975581	0.0	2.1133890338860164	0.10589358472474884
F23HpA	2.047659181855441	2.1078452505217475	2.1454230119167956	2.1313767825365155	2.1443558198360284	2.148662087789618	2.1186954972010192	2.097775827808562	2.3612662953162755	2.08266674703016	2.1133890338860164	0.0	2.057458529395168
s3pp	0.04016173269317277	0.10034980136047972	0.13792756275552803	0.12388133337524794	0.1368603706747606	0.1411666386283504	0.11120004803975142	0.09028037864729432	0.35377084615500776	0.07517129786889233	0.10589358472474884	2.057458529395168	0.0
