	S23Hp	S13Hp	S30H1	S12Hp	F14H1B	F23HpA	S14Hp	S7Hp	F22HpB	S1Hp
S23Hp	0.0	0.543678127076537	0.640284213924985	0.6134857234579884	0.6360759940231978	0.6212805102532446	0.5348650977327273	0.623863379372551	0.6514095454684489	0.5763910347711375
S13Hp	0.543678127076537	0.0	0.5850490884799129	0.5582505980129162	0.5808408685781257	0.5660453848081725	0.47962997228765514	0.5686282539274788	0.7121948286768611	0.6371763179795498
S30H1	0.640284213924985	0.5850490884799129	0.0	0.1340635929872674	0.19976136899350289	0.18496588522354976	0.5059104804101285	0.5949087620499522	0.8088009155253091	0.7337824048279977
S12Hp	0.6134857234579884	0.5582505980129162	0.1340635929872674	0.0	0.17296287852650616	0.15816739475655306	0.47911198994313187	0.5681102715829556	0.7820024250583125	0.7069839143610012
F14H1B	0.6360759940231978	0.5808408685781257	0.19976136899350289	0.17296287852650616	0.0	0.1567597812500639	0.5017022605083412	0.590700542148165	0.8045926956235219	0.7295741849262105
F23HpA	0.6212805102532446	0.5660453848081725	0.18496588522354976	0.15816739475655306	0.1567597812500639	0.0	0.4869067767383881	0.5759050583782118	0.7897972118535688	0.7147787011562574
S14Hp	0.5348650977327273	0.47962997228765514	0.5059104804101285	0.47911198994313187	0.5017022605083412	0.4869067767383881	0.0	0.42810129862449986	0.7033817993330514	0.6283632886357401
S7Hp	0.623863379372551	0.5686282539274788	0.5949087620499522	0.5681102715829556	0.590700542148165	0.5759050583782118	0.42810129862449986	0.0	0.7923800809728752	0.7173615702755638
F22HpB	0.6514095454684489	0.7121948286768611	0.8088009155253091	0.7820024250583125	0.8045926956235219	0.7897972118535688	0.7033817993330514	0.7923800809728752	0.0	0.5029607066777028
S1Hp	0.5763910347711375	0.6371763179795498	0.7337824048279977	0.7069839143610012	0.7295741849262105	0.7147787011562574	0.6283632886357401	0.7173615702755638	0.5029607066777028	0.0
