	S19H1	s24H1	S15Hp	F23HpA	S8Hp	S12Hp	S1Hp	S7Hp	S31Hp	s29pp	F8H1	s17pp	F16H1	s32pp	S23Hp	s2pp	S22Hp	s10pp	S17H1	s24pp	w24pp	w2pp	w11pp	s27pp	S6Hp	S10H1	s8pp	w14pp	S25Hp	S30H1	S4Hp	S14Hp	F29H1	F3H1	F6H1	S9H1	S2Hp	s12pp	S16H2	S27H1	S11Hp	S13Hp	F14H1B	S3Hp	S20H1	S28Hp	F14H1A
S19H1	0.0	0.08005544752816837	0.23393247248514273	0.17150098718260293	0.126173430896219	0.13325777546826906	0.174486475260009	0.163583057121133	0.16373246057605415	0.16909605818077406	0.19617308683506504	0.18144753529072963	0.1816610779792344	0.15217103068031015	0.18360621306778532	0.1849413339591594	0.20412255503503188	0.2108980335828302	0.20472490516916583	0.16137694033040495	0.17222028056045116	0.18252870825653628	0.1825219588032378	0.1768540209414575	0.19396101303104768	0.17634936694332046	0.17345267657349084	0.17139150814895218	0.15402884120777774	0.2800877242488428	0.2122365103221379	0.426903469754041	0.8350042650595723	0.22625405293625303	0.19828661591622337	0.19426833740976984	0.1610464276455663	0.11280255802260564	0.1267608259745479	0.1251269470242168	0.09467150364134815	0.14080119267299343	0.1102042419786631	0.11030295883686898	0.14870065581423447	0.11784235782805362	0.11099227248746954
s24H1	0.08005544752816837	0.0	0.17245565925609008	0.11002417395355024	0.06469661766716632	0.0717809622392164	0.1130096620309563	0.10210624389208033	0.10225564734700146	0.10761924495172137	0.13469627360601238	0.11997072206167694	0.12018426475018172	0.09069421745125747	0.12212939983873265	0.12346452073010673	0.14264574180597922	0.14942122035377756	0.14324809194011318	0.09990012710135228	0.11074346733139848	0.1210518950274836	0.12104514557418512	0.11537720771240481	0.13248419980199502	0.11487255371426777	0.11197586334443817	0.1099146949198995	0.09255202797872507	0.21861091101979013	0.15075969709308523	0.3654266565249883	0.7735274518305195	0.16477723970720037	0.13680980268717072	0.13279152418071719	0.0995696144165136	0.05132574479355298	0.06528401274549524	0.06365013379516413	0.033194690412295474	0.07932437944394076	0.06882659143775782	0.09208085383391548	0.13047855081128096	0.09962025282510012	0.09277016748451605
S15Hp	0.23393247248514273	0.17245565925609008	0.0	0.12282735124347373	0.19733741256097564	0.2044217571330257	0.24565045692476561	0.23474703878588965	0.23489644224081077	0.24026003984553068	0.2673370684998217	0.2526115169554862	0.25282505964399105	0.22333501234506678	0.254770194732542	0.25610531562391603	0.27528653669978853	0.2820620152475869	0.2758888868339225	0.23254092199516158	0.2433842622252078	0.2536926899212929	0.2536859404679944	0.24801800260621412	0.2651249946958043	0.24751334860807708	0.24461665823824746	0.2425554898137088	0.2251928228725344	0.35125170591359944	0.28340049198689454	0.4980674514187976	0.9061682467243288	0.2974180346010097	0.26945059758098	0.26543231907452647	0.2322104093103229	0.1839665396873623	0.19792480763930453	0.19629092868897344	0.16583548530610479	0.21196517433775008	0.22270361639473218	0.24595787879088987	0.2843555757682553	0.2534972777820745	0.24664719244149041
F23HpA	0.17150098718260293	0.11002417395355024	0.12282735124347373	0.0	0.1349059272584358	0.14199027183048588	0.18321897162222578	0.17231555348334981	0.17246495693827094	0.17782855454299085	0.20490558319728186	0.19018003165294642	0.1903935743414512	0.16090352704252694	0.19233870943000214	0.1936738303213762	0.2128550513972487	0.21963052994504703	0.21345740153138265	0.17010943669262174	0.18095277692266795	0.19126120461875307	0.19125445516545458	0.1855865173036743	0.20269350939326447	0.18508186330553725	0.18218517293570763	0.18012400451116897	0.16276133756999456	0.2888202206110596	0.2209690066843547	0.43563596611625777	0.843736761421789	0.23498654929846985	0.20701911227844016	0.20300083377198663	0.16977892400778308	0.12153505438482246	0.1354933223367647	0.1338594433864336	0.10340400000356495	0.14953368903521025	0.16027213109219238	0.18352639348835004	0.22192409046571548	0.19106579247953465	0.18421570713895058
S8Hp	0.126173430896219	0.06469661766716632	0.19733741256097564	0.1349059272584358	0.0	0.03161440833010239	0.07284310812184229	0.06193968998296632	0.06208909343788745	0.06745269104260736	0.09452971969689836	0.07980416815256293	0.08001771084106771	0.05052766354214346	0.08196284592961864	0.08329796682099272	0.10247918789686519	0.10925466644466354	0.10308153803099916	0.05973357319223827	0.07057691342228448	0.08088534111836959	0.08087859166507111	0.0752106538032908	0.092317645892881	0.07470599980515377	0.07180930943532417	0.0697481410107855	0.05238547406961107	0.1784443571106761	0.1105931431839712	0.3252601026158743	0.7333608979214055	0.12461068579808637	0.09664324877805669	0.09262497027160316	0.05940306050739959	0.021672257170346345	0.04230558834324033	0.06391356998787368	0.03346012660600507	0.09317422552867334	0.11494457480580846	0.13819883720196613	0.17659653417933158	0.14573823619315074	0.13888815085256667
S12Hp	0.13325777546826906	0.0717809622392164	0.2044217571330257	0.14199027183048588	0.03161440833010239	0.0	0.058331230126231204	0.04742781198735522	0.057735587728027726	0.06309918533274764	0.09017621398703865	0.07545066244270322	0.075664205131208	0.046174157832283735	0.07760934021975893	0.07894446111113301	0.09812568218700549	0.10490116073480384	0.09872803232113946	0.055380067482378545	0.06622340771242476	0.07653183540850989	0.0765250859552114	0.07085714809343109	0.08796414018302129	0.07035249409529405	0.06745580372546445	0.06539463530092578	0.04803196835975135	0.17409085140081637	0.1062396374741115	0.3209065969060146	0.7290073922115458	0.12025718008822667	0.09228974306819698	0.08827146456174345	0.06273329437758457	0.028756601742396422	0.04938993291529041	0.07099791455992374	0.040544471178055146	0.10025857010072342	0.12202891937785852	0.14528318177401617	0.18368087875138167	0.15282258076520083	0.14597249542461674
S1Hp	0.174486475260009	0.1130096620309563	0.24565045692476561	0.18321897162222578	0.07284310812184229	0.058331230126231204	0.0	0.04802970633762267	0.09896428751976763	0.10432788512448754	0.13140491377877855	0.11667936223444311	0.1168929049229479	0.08740285762402364	0.11883804001149884	0.12017316090287292	0.1393543819787454	0.14612986052654375	0.13995673211287935	0.09660876727411845	0.10745210750416465	0.11776053520024979	0.1177537857469513	0.11208584788517098	0.1291928399747612	0.11158119388703394	0.10868450351720435	0.10662333509266567	0.08926066815149125	0.21531955119255627	0.1474683372658514	0.36213529669775446	0.7702360920032857	0.16148587987996657	0.1335184428599369	0.12950016435348335	0.10396199416932447	0.06998530153413632	0.09061863270703031	0.11222661435166364	0.08177317096979506	0.14148726989246332	0.16325761916959844	0.1865118815657561	0.2249095785431216	0.19405128055694076	0.18720119521635667
S7Hp	0.163583057121133	0.10210624389208033	0.23474703878588965	0.17231555348334981	0.06193968998296632	0.04742781198735522	0.04802970633762267	0.0	0.08806086938089165	0.09342446698561155	0.12050149563990258	0.10577594409556715	0.10598948678407191	0.07649943948514766	0.10793462187262286	0.10926974276399694	0.12845096383986943	0.13522644238766776	0.12905331397400338	0.08570534913524247	0.09654868936528868	0.10685711706137381	0.10685036760807533	0.10118242974629502	0.11828942183588521	0.10067777574815798	0.09778108537832836	0.0957199169537897	0.07835725001261526	0.20441613305368028	0.13656491912697544	0.3512318785588785	0.7593326738644097	0.15058246174109058	0.12261502472106091	0.11859674621460738	0.09305857603044851	0.05908188339526035	0.07971521456815434	0.10132319621278768	0.07086975283091908	0.13058385175358733	0.15235420103072245	0.17560846342688013	0.21400616040424558	0.18314786241806474	0.17629777707748068
S31Hp	0.16373246057605415	0.10225564734700146	0.23489644224081077	0.17246495693827094	0.06208909343788745	0.057735587728027726	0.09896428751976763	0.08806086938089165	0.0	0.06728246148981684	0.09435949014410788	0.07963393859977244	0.0798474812882772	0.06803548460315684	0.09947066699063203	0.10080578788200611	0.11998700895787859	0.12676248750567692	0.12058935909201256	0.07724139425325165	0.08808473448329784	0.09839316217938299	0.0983864127260845	0.09271847486430418	0.10982546695389439	0.09221382086616714	0.08931713049633755	0.08725596207179886	0.06989329513062445	0.19595217817168947	0.1281009642449846	0.34276792367688763	0.7508687189824189	0.14211850685909977	0.11415106983907009	0.11013279133261655	0.09320797948536963	0.05923128685018148	0.07986461802307547	0.1014725996677088	0.07101915628584021	0.13073325520850848	0.1525036044856436	0.17575786688180123	0.21415556385916673	0.1832972658729859	0.1764471805324018
s29pp	0.16909605818077406	0.10761924495172137	0.24026003984553068	0.17782855454299085	0.06745269104260736	0.06309918533274764	0.10432788512448754	0.09342446698561155	0.06728246148981684	0.0	0.05053781195028669	0.03581226040595126	0.07349532213588453	0.07339908220787675	0.10483426459535193	0.10616938548672603	0.1253506065625985	0.13212608511039683	0.12595295669673245	0.08260499185797154	0.09344833208801775	0.1037567597841029	0.10375001033080442	0.09808207246902409	0.1151890645586143	0.09757741847088705	0.09468072810105745	0.09261955967651878	0.07525689273534435	0.20131577577640938	0.1334645618497045	0.3481315212816075	0.7562323165871389	0.14748210446381968	0.11951466744379	0.11549638893733646	0.09857157709008954	0.06459488445490139	0.08522821562779538	0.10683619727242871	0.07638275389056012	0.1360968528132284	0.1578672020903635	0.18112146448652117	0.21951916146388661	0.18866086347770578	0.1818107781371217
F8H1	0.19617308683506504	0.13469627360601238	0.2673370684998217	0.20490558319728186	0.09452971969689836	0.09017621398703865	0.13140491377877855	0.12050149563990258	0.09435949014410788	0.05053781195028669	0.0	0.026108252760652283	0.10057235079017557	0.10047611086216776	0.13191129324964296	0.13324641414101704	0.1524276352168895	0.15920311376468788	0.15302998535102347	0.10968202051226257	0.12052536074230877	0.1308337884383939	0.13082703898509543	0.1251591011233151	0.14226609321290531	0.12465444712517806	0.12175775675534847	0.11969658833080979	0.10233392138963537	0.2283928044307004	0.16054159050399552	0.3752085499358986	0.7833093452414298	0.1745591331181107	0.146591696098081	0.14257341759162748	0.12564860574438055	0.09167191310919239	0.11230524428208638	0.13391322592671973	0.10345978254485112	0.16317388146751938	0.1849442307446545	0.20819849314081218	0.24659619011817763	0.2157378921319968	0.20888780679141272
s17pp	0.18144753529072963	0.11997072206167694	0.2526115169554862	0.19018003165294642	0.07980416815256293	0.07545066244270322	0.11667936223444311	0.10577594409556715	0.07963393859977244	0.03581226040595126	0.026108252760652283	0.0	0.08584679924584013	0.08575055931783232	0.11718574170530752	0.11852086259668161	0.13770208367255407	0.14447756222035243	0.13830443380668805	0.09495646896792714	0.10579980919797334	0.11610823689405848	0.11610148744076	0.11043354957897968	0.12754054166856987	0.10992889558084264	0.10703220521101303	0.10497103678647436	0.08760836984529993	0.21366725288636496	0.14581603895966008	0.3604829983915631	0.7685837936970944	0.15983358157377525	0.13186614455374557	0.12784786604729204	0.11092305420004513	0.07694636156485696	0.09757969273775095	0.11918767438238428	0.0887342310005157	0.14844832992318396	0.17021867920031908	0.19347294159647677	0.2318706385738422	0.20101234058766138	0.1941622552470773
