	S21H1	31700	31112	S16H2	S25Hp	F8H1	S6Hp	31236	F3H1	S14Hp
S21H1	0.0	0.06512613683264332	1.7382161567273573	0.7973913678803022	0.3513310111960266	0.41348534454103336	0.4158500707731198	0.3777030556635045	0.46728729713210404	0.4425279186146484
31700	0.06512613683264332	0.0	1.7283026930992615	0.7874779042522063	0.34141754756793086	0.4035718809129375	0.405936607145024	0.3677895920354086	0.4573738335040083	0.4326144549865526
31112	1.7382161567273573	1.7283026930992615	0.0	1.7190130590318025	1.489579489735246	1.6631728325814152	1.6655375588135017	1.6273905437038865	1.7169747851724861	1.6922154066550303
S16H2	0.7973913678803022	0.7874779042522063	1.7190130590318025	0.0	0.5487547008881907	0.7223480437343601	0.7247127699664466	0.6865657548568312	0.7761499963254308	0.7513906178079752
S25Hp	0.3513310111960266	0.34141754756793086	1.489579489735246	0.5487547008881907	0.0	0.27628768705008466	0.2786524132821711	0.24050539817255576	0.33008963964115534	0.3053302611236997
F8H1	0.41348534454103336	0.4035718809129375	1.6631728325814152	0.7223480437343601	0.27628768705008466	0.0	0.11555486685010581	0.10938600905595339	0.22048112460829206	0.1957217460908364
S6Hp	0.4158500707731198	0.405936607145024	1.6655375588135017	0.7247127699664466	0.2786524132821711	0.11555486685010581	0.0	0.11175073528803989	0.22284585084037853	0.19808647232292287
31236	0.3777030556635045	0.3677895920354086	1.6273905437038865	0.6865657548568312	0.24050539817255576	0.10938600905595339	0.11175073528803989	0.0	0.18469883573076318	0.15993945721330752
F3H1	0.46728729713210404	0.4573738335040083	1.7169747851724861	0.7761499963254308	0.33008963964115534	0.22048112460829206	0.22284585084037853	0.18469883573076318	0.0	0.20073460729096723
S14Hp	0.4425279186146484	0.4326144549865526	1.6922154066550303	0.7513906178079752	0.3053302611236997	0.1957217460908364	0.19808647232292287	0.15993945721330752	0.20073460729096723	0.0
