	s27pp	s28pp	s9pp	w9pp	S26Hp	s12pp	s26pp	s29pp	s10pp	F6H1	s7pp	s14pp	f16ppA	f14ppB	S18H1	f20ppB	s2pp	s1pp	f8pp	f30pp	f18pp	s31pp	f6ppB	f7pp	f14ppA	f23ppA	f20ppA	S9H1	s3pp	f4pp	w4pp	f26pp	f25pp	530055	s24pp	w24pp	s25pp	S17H1	S1Hp	s13pp	s19pp	s18pp	w18pp	s17pp	w14pp	s4pp	w15pp	w11pp	w6pp	s6pp	f16ppB	w21pp	s22pp	s30pp	w30pp	31160
s27pp	0.0	0.27278077009073615	0.2785579505638203	0.2284300389308529	0.4047896514885051	0.37774833733809327	0.23007182294843997	0.2455678526233674	0.35533407510940745	0.24965946782317744	0.2658556302429485	0.3238606485276914	0.23435003796922405	0.18847063652738036	0.22101888476079734	0.24728805968530648	0.18602828917824327	0.21358115319065585	0.19346278599466538	0.325301497255141	0.23557277450186714	0.36658434311145377	0.32554205782834694	0.2976324551628512	0.2959878186449207	0.3089579086004056	0.29561118224420035	0.4565745341534122	0.30579194448348385	0.22866761413492898	0.2516099194582298	0.2681120479954912	0.28237889404517125	0.5302748510859728	0.23263595192023562	0.3083416827871457	0.1889031967120881	0.4194011961303628	0.40571365618495103	0.2698935106371358	0.32153580579519925	0.31010736136026634	0.3027929253333181	0.36026522903431185	0.27777582881792723	0.2818859745491744	0.28518928261777143	0.3156469548197049	0.27272924836749723	0.29858303337357794	0.2561611707732828	0.2466235306017004	0.2385910485379848	0.3447445171493855	0.34038120714207176	0.272872565295033
s28pp	0.27278077009073615	0.0	0.20644887354353963	0.1563209619105722	0.3665377654835158	0.339496451333104	0.19181993694345073	0.20731596661837814	0.3170821891044182	0.21140758181818817	0.25263294642324596	0.3106379647079889	0.22112735414952156	0.17524795270767785	0.20779620094109483	0.234065375865604	0.17280560535854078	0.20035846937095336	0.18024010217496286	0.31207881343543853	0.22235009068216466	0.35336165929175123	0.3123193740086444	0.2844097713431487	0.28276513482521815	0.29573522478070313	0.28238849842449787	0.4433518503337097	0.29256926066378136	0.2154449303152265	0.2383872356385273	0.2548893641757887	0.26915621022546876	0.5170521672662703	0.2390613742526066	0.31476710511951667	0.19532861904445908	0.42582661846273373	0.412139078517322	0.2763189329695067	0.3279612281275702	0.3165327836926373	0.309218347665689	0.3666906513666828	0.2981363190369014	0.30224646476814865	0.30554977283674567	0.3360074450386791	0.29308973858647147	0.3189435235925522	0.27652166099225706	0.26698402082067463	0.29618499240514107	0.4023384610165418	0.3979751510092281	0.354757143867804
s9pp	0.2785579505638203	0.20644887354353963	0.0	0.10297411017532208	0.3723149459566	0.34527363180618814	0.1975971174165349	0.2130931470914623	0.32285936957750233	0.21718476229127232	0.25841012689633014	0.31641514518107305	0.2269045346226057	0.181025133180762	0.21357338141417898	0.23984255633868815	0.17858278583162493	0.2061356498440375	0.186017282648047	0.31785599390852265	0.2281272711552488	0.3591388397648354	0.3180965544817286	0.2901869518162329	0.2885423152983023	0.30151240525378725	0.288165678897582	0.44912903080679384	0.2983464411368655	0.22122211078831064	0.24416441611161144	0.26066654464887284	0.2749333906985529	0.5228293477393544	0.24483855472569074	0.32054428559260084	0.20110579951754323	0.4316037989358179	0.41791625899040613	0.2820961134425909	0.3337384086006544	0.32230996416572144	0.3149955281387732	0.37246783183976695	0.3039134995099856	0.30802364524123277	0.3113269533098298	0.34178462551176325	0.2988669190595556	0.3247207040656363	0.28229884146534123	0.27276120129375875	0.30196217287822524	0.4081156414896259	0.40375233148231227	0.36053432434088817
w9pp	0.2284300389308529	0.1563209619105722	0.10297411017532208	0.0	0.3221870343236325	0.2951457201732207	0.14746920578356748	0.16296523545849487	0.2727314579445349	0.1670568506583049	0.2082822152633627	0.26628723354810563	0.17677662298963828	0.13089722154779457	0.16344546978121155	0.18971464470572072	0.1284548741986575	0.15600773821107008	0.13588937101507959	0.2677280822755552	0.17799935952228138	0.309010928131868	0.26796864284876115	0.24005904018326543	0.2384144036653349	0.2513844936208198	0.23803776726461456	0.3990011191738264	0.24821852950389808	0.1710941991553432	0.194036504478644	0.21053863301590545	0.22480547906558546	0.47270143610638704	0.19471064309272332	0.27041637395963336	0.1509778878845758	0.3814758873028505	0.3677883473574387	0.23196820180962346	0.2836104969676869	0.27218205253275407	0.26486761650580576	0.32233992020679947	0.25378558787701816	0.25789573360826534	0.26119904167686236	0.2916567138787958	0.24873900742658817	0.2745927924326689	0.23217092983237378	0.22263328966079132	0.2518342612452578	0.3579877298566585	0.3536244198493448	0.3104064127079207
S26Hp	0.4047896514885051	0.3665377654835158	0.3723149459566	0.3221870343236325	0.0	0.40388133955216443	0.29279928471820643	0.326798039350824	0.43656426183686403	0.330889654550634	0.3846418278210149	0.44264684610575783	0.35313623554729046	0.3072568341054468	0.33980508233886375	0.36607425726337295	0.3048144867563097	0.33236735076872226	0.3122489835727318	0.4440876948332074	0.3543589720799336	0.4853705406895202	0.44432825540641335	0.4164186527409176	0.4147740162229871	0.42774410617847203	0.41439737982226676	0.5753607317314786	0.4245781420615503	0.3474538117129954	0.3703961170362962	0.3868982455735577	0.40116509162323766	0.6490610486640392	0.37107025565037555	0.44677598651728556	0.327337500442228	0.5578354998605026	0.5441479599150909	0.40832781436727567	0.4599701095253391	0.44854166509040627	0.44122722906345796	0.49869953276445167	0.43014520043467036	0.43425534616591754	0.43755865423451457	0.468016326436448	0.42509861998424037	0.4509524049903211	0.40853054239002595	0.3989929022184435	0.42819387380291	0.5343473424143107	0.529984032406997	0.4867660252655729
s12pp	0.37774833733809327	0.339496451333104	0.34527363180618814	0.2951457201732207	0.40388133955216443	0.0	0.26575797056779465	0.2997567252004122	0.40952294768645225	0.30384834040022224	0.3576005136706031	0.415605531955346	0.3260949213968787	0.28021551995503496	0.3127637681884519	0.33903294311296106	0.27777317260589784	0.3053260366183105	0.28520766942231995	0.4170463806827956	0.3273176579295217	0.45832922653910835	0.4172869412560015	0.38937733859050583	0.38773270207257526	0.4007027920280602	0.38735606567185493	0.5483194175810668	0.3975368279111384	0.3204124975625836	0.3433548028858844	0.3598569314231458	0.3741237774728258	0.6220197345136274	0.34402894149996366	0.4197346723668738	0.3002961862918162	0.5307941857100908	0.5171066457646791	0.38128650021686383	0.43292879537492734	0.4215003509399944	0.4141859149130461	0.4716582186140399	0.40310388628425853	0.4072140320155057	0.41051734008410273	0.4409750122860362	0.39805730583382853	0.42391109083990924	0.3814892282396142	0.3719515880680317	0.4011525596524982	0.5073060282638988	0.5029427182565852	0.4597247111151611
s26pp	0.23007182294843997	0.19181993694345073	0.1975971174165349	0.14746920578356748	0.29279928471820643	0.26575797056779465	0.0	0.15208021081075895	0.261846433296799	0.156171826010569	0.20992399928094985	0.26792901756569276	0.1784184070072254	0.1325390055653817	0.16508725379879868	0.19135642872330783	0.1300966582162446	0.1576495222286572	0.1375311550326667	0.26936986629314236	0.1796411435398685	0.3106527121494551	0.2696104268663483	0.24170082420085254	0.24005618768292203	0.25302627763840696	0.2396795512822017	0.40064290319141355	0.2498603135214852	0.17273598317293032	0.19567828849623115	0.21218041703349255	0.2264472630831726	0.4743432201239742	0.19635242711031042	0.2720581579772205	0.1526196719021629	0.3831176713204376	0.36943013137502584	0.2336099858272106	0.28525228098527405	0.27382383655034115	0.2665094005233929	0.3239817042243866	0.2554273718946053	0.2595375176258525	0.2628408256944495	0.29329849789638296	0.2503807914441753	0.276234576450256	0.23381271384996088	0.22427507367837846	0.25347604526284495	0.35962951387424563	0.3552662038669319	0.3120481967255078
s29pp	0.2455678526233674	0.20731596661837814	0.2130931470914623	0.16296523545849487	0.326798039350824	0.2997567252004122	0.15208021081075895	0.0	0.24084448137972406	0.135169874093494	0.22542002895587723	0.2834250472406201	0.1939144366821528	0.1480350352403091	0.18058328347372607	0.20685245839823524	0.14559268789117202	0.1731455519035846	0.1530271847075941	0.28486589596806977	0.1951371732147959	0.32614874182438247	0.28510645654127564	0.25719685387577995	0.2555522173578494	0.2685223073133344	0.2551755809571291	0.41613893286634096	0.2653563431964126	0.18823201284785773	0.21117431817115853	0.22767644670841997	0.24194329275809998	0.4898392497989016	0.21184845678523784	0.2875541876521479	0.16811570157709033	0.398613700995365	0.38492616104995325	0.24910601550213798	0.30074831066020147	0.28931986622526856	0.28200543019832025	0.339477733899314	0.27092340156953265	0.2750335473007799	0.2783368553693769	0.3087945275713103	0.2658768211191027	0.2917306061251834	0.2493087435248883	0.23977110335330584	0.2689720749377723	0.37512554354917305	0.37076223354185933	0.32754422640043523
s10pp	0.35533407510940745	0.3170821891044182	0.32285936957750233	0.2727314579445349	0.43656426183686403	0.40952294768645225	0.261846433296799	0.24084448137972406	0.0	0.2259739594406007	0.33518625144191727	0.3931912697266602	0.30368065916819287	0.25780125772634915	0.2903495059597661	0.31661868088427525	0.25535891037721203	0.28291177438962467	0.26279340719363414	0.3946321184541098	0.3049033957008359	0.43591496431042254	0.3948726790273157	0.36696307636182	0.36531843984388945	0.3782885297993744	0.3649418034431691	0.525905155352381	0.3751225656824526	0.2979982353338978	0.32094054065719857	0.33744266919446	0.35170951524414	0.5996054722849415	0.32161467927127785	0.397320410138188	0.2778819240631304	0.508379923481405	0.49469238353599326	0.358872237988178	0.41051453314624153	0.3990860887113086	0.3917716526843603	0.4492439563853541	0.3806896240555727	0.3847997697868199	0.3881030778554169	0.4185607500573504	0.3756430436051427	0.40149682861122343	0.35907496601092836	0.3495373258393459	0.3787382974238124	0.48489176603521306	0.4805284560278994	0.4373104488864753
F6H1	0.24965946782317744	0.21140758181818817	0.21718476229127232	0.1670568506583049	0.330889654550634	0.30384834040022224	0.156171826010569	0.135169874093494	0.2259739594406007	0.0	0.22951164415568726	0.28751666244043017	0.19800605188196282	0.1521266504401191	0.1846748986735361	0.21094407359804526	0.14968430309098205	0.17723716710339463	0.15711879990740413	0.28895751116787977	0.19922878841460592	0.3302403570241925	0.2891980717410857	0.26128846907559	0.25964383255765944	0.27261392251314437	0.2592671961569391	0.42023054806615096	0.2694479583962226	0.19232362804766776	0.21526593337096855	0.23176806190823	0.24603490795791	0.4939308649987116	0.21594007198504786	0.29164580285195796	0.17220731677690035	0.402705316195175	0.38901777624976325	0.253197630701948	0.3048399258600115	0.29341148142507856	0.2860970453981303	0.34356934909912407	0.2750150167693427	0.2791251625005899	0.2824284705691869	0.31288614277112037	0.2699684363189127	0.2958222213249934	0.25340035872469835	0.24386271855311586	0.27306369013758236	0.37921715874898304	0.3748538487416694	0.3316358416002453
