	S3Hp	F14H1B	F7H1	S15Hp	S8Hp	S19H1	S18H1	S20H1	S4Hp	S1Hp	S9H1	S13Hp	S22Hp
S3Hp	0.0	0.27122097836095727	0.261777870541575	0.29859042422219484	0.3095306054073502	0.2651447501265931	0.5462507564579261	0.5643288637443067	0.5587487565147776	0.5923454273911779	0.42666178421922407	0.31247994510397104	0.2551913721225525
F14H1B	0.27122097836095727	0.0	0.2403988790559277	0.2772114327365476	0.28815161392170296	0.24376575864094585	0.5248717649722788	0.5429498722586594	0.5373697650291304	0.5709664359055306	0.4052827927335768	0.2911009536183238	0.27338009621882675
F7H1	0.261777870541575	0.2403988790559277	0.0	0.24776216697835357	0.25870234816350896	0.2143164928827519	0.4954224992140849	0.5135006065004655	0.5079204992709364	0.5415171701473366	0.37583352697538286	0.26165168786012977	0.26393698839944446
S15Hp	0.29859042422219484	0.2772114327365476	0.24776216697835357	0.0	0.253776995269007	0.20939113998824996	0.517790257219976	0.5358683645063564	0.5302882572768275	0.5638849281532277	0.3982012849812739	0.2840194458660208	0.3007495420800643
S8Hp	0.3095306054073502	0.28815161392170296	0.25870234816350896	0.253776995269007	0.0	0.20619136649664666	0.5287304384051312	0.5468085456915119	0.5412284384619828	0.574825109338383	0.40914146616642927	0.2949596270511762	0.3116897232652197
S19H1	0.2651447501265931	0.24376575864094585	0.2143164928827519	0.20939113998824996	0.20619136649664666	0.0	0.48434458312437423	0.5024226904107548	0.49684258318122576	0.5304392540576259	0.3647556108856722	0.2505737717704191	0.2673038679844626
S18H1	0.5462507564579261	0.5248717649722788	0.4954224992140849	0.517790257219976	0.5287304384051312	0.48434458312437423	0.0	0.43863177870037195	0.4330516714708429	0.4666483423472432	0.4786889696344714	0.5012258992752534	0.5484098743157956
S20H1	0.5643288637443067	0.5429498722586594	0.5135006065004655	0.5358683645063564	0.5468085456915119	0.5024226904107548	0.43863177870037195	0.0	0.4077204940602075	0.4413171649366077	0.496767076920852	0.519304006561634	0.5664879816021762
S4Hp	0.5587487565147776	0.5373697650291304	0.5079204992709364	0.5302882572768275	0.5412284384619828	0.49684258318122576	0.4330516714708429	0.4077204940602075	0.0	0.3846065221126027	0.4911869696913229	0.5137238993321049	0.5609078743726471
S1Hp	0.5923454273911779	0.5709664359055306	0.5415171701473366	0.5638849281532277	0.574825109338383	0.5304392540576259	0.4666483423472432	0.4413171649366077	0.3846065221126027	0.0	0.5247836405677231	0.5473205702085052	0.5945045452490474
S9H1	0.42666178421922407	0.4052827927335768	0.37583352697538286	0.3982012849812739	0.40914146616642927	0.3647556108856722	0.4786889696344714	0.496767076920852	0.4911869696913229	0.5247836405677231	0.0	0.3816369270365514	0.42882090207709356
S13Hp	0.31247994510397104	0.2911009536183238	0.26165168786012977	0.2840194458660208	0.2949596270511762	0.2505737717704191	0.5012258992752534	0.519304006561634	0.5137238993321049	0.5473205702085052	0.3816369270365514	0.0	0.3146390629618405
S22Hp	0.2551913721225525	0.27338009621882675	0.26393698839944446	0.3007495420800643	0.3116897232652197	0.2673038679844626	0.5484098743157956	0.5664879816021762	0.5609078743726471	0.5945045452490474	0.42882090207709356	0.3146390629618405	0.0
