	F14H1B	S21H1	S9H1	F6H1	S3Hp	S18H1	S26Hp	f4pp	S10H1	F16H1
F14H1B	0.0	0.0064191526994412966	0.7110113166034819	0.6988776025757582	0.7261217078312396	0.6594765117911514	0.5536631275517168	0.520997395628816	0.6036191182531364	0.6023913309875326
S21H1	0.0064191526994412966	0.0	0.717428469301923	0.7052947552741995	0.7325388605296808	0.6658936644895926	0.5600802802501581	0.5274145483272572	0.6100362709515775	0.6088084836859737
S9H1	0.7110113166034819	0.717428469301923	0.0	0.6590187348485043	0.741186690402268	0.6745414943621799	0.6056824683485718	0.573016736425671	0.6756255908199116	0.6743978035543078
F6H1	0.6988776025757582	0.7052947552741995	0.6590187348485043	0.0	0.7290529763745444	0.6624077803344561	0.5935487543208481	0.5608830223979473	0.6634918767921879	0.6622640895265841
S3Hp	0.7261217078312396	0.7325388605296808	0.741186690402268	0.7290529763745444	0.0	0.6105576894489528	0.6207928595763295	0.5881271276534287	0.6907359820476693	0.6895081947820655
S18H1	0.6594765117911514	0.6658936644895926	0.6745414943621799	0.6624077803344561	0.6105576894489528	0.0	0.5541476635362412	0.5214819316133404	0.6240907860075812	0.6228629987419774
S26Hp	0.5536631275517168	0.5600802802501581	0.6056824683485718	0.5935487543208481	0.6207928595763295	0.5541476635362412	0.0	0.40733444959567056	0.5182774017681465	0.5170496145025427
f4pp	0.520997395628816	0.5274145483272572	0.573016736425671	0.5608830223979473	0.5881271276534287	0.5214819316133404	0.40733444959567056	0.0	0.4856116698452457	0.484383882579642
S10H1	0.6036191182531364	0.6100362709515775	0.6756255908199116	0.6634918767921879	0.6907359820476693	0.6240907860075812	0.5182774017681465	0.4856116698452457	0.0	0.008364029418113868
F16H1	0.6023913309875326	0.6088084836859737	0.6743978035543078	0.6622640895265841	0.6895081947820655	0.6228629987419774	0.5170496145025427	0.484383882579642	0.008364029418113868	0.0
