	f10pp	f21pp	f23ppA	w31pp	f31pp	f18pp	w28pp	31452	S9H1	S26Hp	F22HpB
f10pp	0.0	0.04556702496448827	0.0307707856503215	0.07647985006295087	0.06782946123761299	0.07237773309817078	0.08958965757292343	0.5989239429836126	0.7462537607275233	0.5875117099940823	0.5966645150037663
f21pp	0.04556702496448827	0.0	0.05002847778479508	0.10429271806922749	0.0956423292438896	0.1001906011044474	0.11740252557920006	0.6267368109898892	0.7740666287337998	0.6153245780003589	0.624477383010043
f23ppA	0.0307707856503215	0.05002847778479508	0.0	0.08949647875506071	0.08084608992972284	0.08539436179028062	0.10260628626503328	0.6119405716757225	0.7592703894196331	0.6005283386861922	0.6096811436958761
w31pp	0.07647985006295087	0.10429271806922749	0.08949647875506071	0.0	0.03900529729410977	0.09604492500886941	0.12727280269415225	0.6366070881048413	0.783936905848752	0.625194855115311	0.6343476601249951
f31pp	0.06782946123761299	0.0956423292438896	0.08084608992972284	0.03900529729410977	0.0	0.08739453618353152	0.11862241386881436	0.6279566992795036	0.7752865170234142	0.6165444662899733	0.6256972712996572
f18pp	0.07237773309817078	0.1001906011044474	0.08539436179028062	0.09604492500886941	0.08739453618353152	0.0	0.12317068572937216	0.6325049711400613	0.779834788883972	0.621092738150531	0.630245543160215
w28pp	0.08958965757292343	0.11740252557920006	0.10260628626503328	0.12727280269415225	0.11862241386881436	0.12317068572937216	0.0	0.6199473498004214	0.7672771675443321	0.6085351168108911	0.6176879218205751
31452	0.5989239429836126	0.6267368109898892	0.6119405716757225	0.6366070881048413	0.6279566992795036	0.6325049711400613	0.6199473498004214	0.0	0.751811373627992	0.593069322894551	0.602222127904235
S9H1	0.7462537607275233	0.7740666287337998	0.7592703894196331	0.783936905848752	0.7752865170234142	0.779834788883972	0.7672771675443321	0.751811373627992	0.0	0.7235097711108961	0.7326625761205801
S26Hp	0.5875117099940823	0.6153245780003589	0.6005283386861922	0.625194855115311	0.6165444662899733	0.621092738150531	0.6085351168108911	0.593069322894551	0.7235097711108961	0.0	0.4927672970377887
F22HpB	0.5966645150037663	0.624477383010043	0.6096811436958761	0.6343476601249951	0.6256972712996572	0.630245543160215	0.6176879218205751	0.602222127904235	0.7326625761205801	0.4927672970377887	0.0
