	S12Hp	S22Hp	F8H1	F14H1B	S29H1	S25Hp	S6Hp	31452	S3Hp	S21H1	S19H1	S7Hp	s24H1	S23Hp	S18H1	S26Hp	S14Hp	F7H1	S15Hp	S4Hp	s24pp	w26pp	f24pp	w1pp	w12pp	w16pp	w6pp	s14pp	w18pp	f7pp	f16ppA	f14ppB	f8pp	f6ppB	f13pp	f31pp	w17pp	f9pp	f30pp	f20ppB	f2pp	w11pp	w9pp	w27pp	w24pp	f29pp	f16ppB	s1pp	s25pp	s7pp	s16pp	s19pp	f22ppB	f21pp	w21pp	f17ppB	w20pp	w10pp	f10pp	f23ppA	f32pp	w7pp	f18pp	f26pp	f19pp	w15pp	f12ppB	f12ppA	f1pp	w14pp	w4pp	f15pp	w19pp	w13pp	w32pp	f3pp	w8pp	f25pp	w25pp	f20ppA	f17ppA	f22ppA	f23ppB	f11pp	f4pp	f6ppA	f14ppA	w3pp	w28pp	F23HpA	S9H1	S20H1	31328	F14H1A	530167	S13Hp	S17H1	S11Hp	F29H1	530295	530331	S8Hp	S31Hp	S16H2	31267	31300	S1Hp	S28Hp	F6H1
S12Hp	0.0	0.0943617912266323	0.22750170836200656	0.13765460415309896	0.30114954076716755	0.23363682247985088	0.29816731784519995	0.2297172932855623	0.20589946817057406	0.21588705175600284	0.25246392688511105	0.25505497158174456	0.43843052346473715	0.352233571908088	0.3247991136623387	0.3235064375662734	0.5350410348731065	0.3941156335529645	0.3292254201984721	0.42484064944895544	0.6127227842992162	0.5793181546327414	0.5653035675706918	0.6070434768703317	0.6059400116656853	0.6019977463295384	0.5997310514387824	0.6342507249278121	0.6163649301852481	0.6050070378216245	0.594761452260283	0.5863415103435466	0.5906715139997638	0.6008487002858995	0.6446208320212993	0.6365433853007016	0.6327933210319091	0.624219941277403	0.6291182475098047	0.6313758841775002	0.6389502546944765	0.6338375236957342	0.6200984715336627	0.6514715819559839	0.6396186483610357	0.6459901661397535	0.624566225420546	0.6919090568646039	0.7035596011922793	0.6615246743033457	0.7177678084575703	0.6993465715724806	0.6093583770368513	0.6296907152637162	0.6353154471295209	0.663732795550304	0.6809994936873267	0.6351335856829966	0.6381685989887668	0.6436387295853156	0.6250390636638089	0.6804844686655576	0.6590661717036598	0.6417295663598852	0.6332972906183876	0.6477835406635312	0.6340757661515356	0.6288227774469529	0.6233723194544017	0.6513572831305753	0.6309453215784739	0.6235224228113788	0.6480883564391156	0.6653210257974508	0.7067190572746518	0.6730687463989076	0.6689942201825909	0.6296681632951489	0.6363681048064227	0.6261841357993011	0.6382633412153749	0.6048141625057255	0.6412055581726888	0.6363102720338859	0.6028957295462044	0.6040442760068249	0.6083210105969566	0.5854364641773515	0.5899485174245885	0.25633861090761384	0.26448363288392807	0.29715334206144406	0.439463831265299	0.2342994844533843	0.5167549785353753	0.3643522851299277	0.3838818468377247	0.4432424374579762	0.4457159619857559	0.467115369960923	0.46170507897296403	0.47197116245250886	0.3944029047746367	0.2122428122662577	0.34979442724575777	0.19577308788476513	0.10757621645559322	0.11728803621824375	0.048976849100273445
S22Hp	0.0943617912266323	0.0	0.24475772060275935	0.15491061639385179	0.3184055530079204	0.2508928347206037	0.3154233300859528	0.24697330552631513	0.22315548041132688	0.23314306399675566	0.26971993912586384	0.2723109838224974	0.45568653570549	0.36948958414884087	0.34205512590309156	0.34076244980702625	0.5522970471138594	0.4113716457937173	0.34648143243922497	0.4420966616897083	0.6299787965399691	0.5965741668734943	0.5825595798114447	0.6242994891110846	0.6231960239064382	0.6192537585702913	0.6169870636795353	0.651506737168565	0.633620942426001	0.6222630500623774	0.6120174645010359	0.6035975225842996	0.6079275262405167	0.6181047125266524	0.6618768442620522	0.6537993975414546	0.650049333272662	0.6414759535181559	0.6463742597505576	0.6486318964182531	0.6562062669352294	0.6510935359364871	0.6373544837744156	0.6687275941967368	0.6568746606017886	0.6632461783805064	0.6418222376612989	0.7091650691053568	0.7208156134330322	0.6787806865440986	0.7350238206983232	0.7166025838132335	0.6266143892776042	0.6469467275044691	0.6525714593702738	0.6809888077910569	0.6982555059280796	0.6523895979237495	0.6554246112295197	0.6608947418260686	0.6422950759045618	0.6977404809063105	0.6763221839444127	0.6589855786006381	0.6505533028591405	0.6650395529042841	0.6513317783922885	0.6460787896877058	0.6406283316951547	0.6686132953713282	0.6482013338192268	0.6407784350521317	0.6653443686798685	0.6825770380382037	0.7239750695154047	0.6903247586396605	0.6862502324233438	0.6469241755359018	0.6536241170471756	0.643440148040054	0.6555193534561278	0.6220701747464784	0.6584615704134417	0.6535662842746388	0.6201517417869573	0.6213002882475778	0.6255770228377096	0.6026924764181044	0.6072045296653414	0.2735946231483667	0.2817396451246809	0.3144093543021969	0.4567198435060518	0.2515554966941371	0.5340109907761281	0.3816082973706805	0.40113785907847754	0.46049844969872905	0.46297197422650876	0.48437138220167586	0.4789610912137169	0.4892271746932617	0.41165891701538954	0.22949882450701053	0.3670504394865106	0.21302910012551796	0.12483222869634604	0.1345440484589966	0.10322118717019782
F8H1	0.22750170836200656	0.24475772060275935	0.0	0.21698169702894507	0.38047663364301365	0.312963915355697	0.37749441072104606	0.3090443861614084	0.2852265610464202	0.2952141446318489	0.33179101976095715	0.33438206445759067	0.5177576163405833	0.4315606647839342	0.4041262065381849	0.40283353044211956	0.6143681277489527	0.4734427264288106	0.4085525130743183	0.5041677423248015	0.6920498771750624	0.6586452475085876	0.6446306604465379	0.6863705697461778	0.6852671045415315	0.6813248392053846	0.6790581443146285	0.7135778178036583	0.6956920230610942	0.6843341306974706	0.6740885451361291	0.6656686032193928	0.66999860687561	0.6801757931617457	0.7239479248971454	0.7158704781765478	0.7121204139077553	0.7035470341532492	0.7084453403856509	0.7107029770533464	0.7182773475703227	0.7131646165715804	0.6994255644095089	0.73079867483183	0.7189457412368818	0.7253172590155996	0.7038933182963921	0.7712361497404501	0.7828866940681255	0.7408517671791919	0.7970949013334164	0.7786736644483268	0.6886854699126974	0.7090178081395624	0.7146425400053671	0.7430598884261501	0.7603265865631729	0.7144606785588428	0.7174956918646129	0.7229658224611618	0.7043661565396551	0.7598115615414037	0.7383932645795059	0.7210566592357314	0.7126243834942337	0.7271106335393773	0.7134028590273818	0.7081498703227991	0.7026994123302479	0.7306843760064214	0.7102724144543201	0.702849515687225	0.7274154493149617	0.7446481186732969	0.786046150150498	0.7523958392747537	0.7483213130584371	0.708995256170995	0.7156951976822689	0.7055112286751473	0.717590434091221	0.6841412553815717	0.7205326510485349	0.7156373649097321	0.6822228224220506	0.683371368882671	0.6876481034728028	0.6647635570531977	0.6692756103004347	0.33566570378345995	0.3438107257597742	0.3764804349372902	0.5187909241411451	0.3136265773292304	0.5960820714112214	0.44367937800577384	0.4632089397135708	0.5225695303338224	0.5250430548616021	0.5464424628367691	0.5410321718488101	0.551298255328355	0.47372999765048285	0.2915699051421038	0.42912152012160387	0.27510018076061127	0.18690330933143934	0.2323202275480184	0.23636110430557206
F14H1B	0.13765460415309896	0.15491061639385179	0.21698169702894507	0.0	0.19642571010269722	0.12891299181538052	0.25713154631408813	0.18868152175445047	0.16486369663946224	0.174851280224891	0.21142815535399923	0.21401920005063274	0.39739475193362533	0.3111978003769762	0.2837633421312269	0.2824706660351616	0.49400526334199474	0.35307986202185265	0.2881896486673603	0.3838048779178436	0.5716870127681045	0.5382823831016297	0.52426779603958	0.56600770533922	0.5649042401345736	0.5609619747984267	0.5586952799076706	0.5932149533967004	0.5753291586541364	0.5639712662905128	0.5537256807291713	0.5453057388124349	0.5496357424686521	0.5598129287547878	0.6035850604901876	0.5955076137695899	0.5917575495007974	0.5831841697462913	0.588082475978693	0.5903401126463885	0.5979144831633648	0.5928017521646225	0.579062700002551	0.6104358104248722	0.598582876829924	0.6049543946086418	0.5835304538894343	0.6508732853334922	0.6625238296611676	0.620488902772234	0.6767320369264586	0.6583108000413689	0.5683226055057395	0.5886549437326045	0.5942796755984092	0.6226970240191922	0.639963722156215	0.5940978141518849	0.5971328274576551	0.6026029580542039	0.5840032921326972	0.6394486971344459	0.6180304001725481	0.6006937948287735	0.5922615190872759	0.6067477691324195	0.5930399946204239	0.5877870059158412	0.58233654792329	0.6103215115994636	0.5899095500473622	0.5824866512802671	0.6070525849080038	0.6242852542663391	0.6656832857435401	0.6320329748677959	0.6279584486514792	0.5886323917640371	0.595332333275311	0.5851483642681894	0.5972275696842632	0.5637783909746138	0.600169786641577	0.5952745005027742	0.5618599580150927	0.5630085044757132	0.5672852390658449	0.5444006926462398	0.5489127458934768	0.21530283937650202	0.22344786135281625	0.25611757053033224	0.39842805973418716	0.19326371292227246	0.47571920700426346	0.32331651359881586	0.3428460753066129	0.4022066659268644	0.4046801904546441	0.4260795984298112	0.4206693074418522	0.43093539092139704	0.35336713324352487	0.1712070407351459	0.30875865571464595	0.15473731635365331	0.06654044492448141	0.1424731233391108	0.1465140000966645
S29H1	0.30114954076716755	0.3184055530079204	0.38047663364301365	0.19642571010269722	0.0	0.2608659602020069	0.42062648292815674	0.3521764583685191	0.3283586332535308	0.3383462168389596	0.37492309196806783	0.37751413666470135	0.5608896885476939	0.4746927369910448	0.4472582787452955	0.4459656026492302	0.6575001999560633	0.5165747986359213	0.4516845852814289	0.5472998145319122	0.7351819493821731	0.7017773197156982	0.6877627326536486	0.7295026419532885	0.7283991767486422	0.7244569114124952	0.7221902165217392	0.7567098900107689	0.7388240952682049	0.7274662029045813	0.7172206173432398	0.7088006754265035	0.7131306790827207	0.7233078653688564	0.7670799971042561	0.7590025503836585	0.755252486114866	0.7466791063603598	0.7515774125927616	0.7538350492604571	0.7614094197774334	0.756296688778691	0.7425576366166196	0.7739307470389407	0.7620778134439925	0.7684493312227103	0.7470253905035028	0.8143682219475608	0.8260187662752362	0.7839838393863026	0.8402269735405271	0.8218057366554374	0.7318175421198081	0.7521498803466731	0.7577746122124778	0.7861919606332608	0.8034586587702836	0.7575927507659534	0.7606277640717236	0.7660978946682725	0.7474982287467657	0.8029436337485144	0.7815253367866166	0.764188731442842	0.7557564557013444	0.770242705746488	0.7565349312344924	0.7512819425299098	0.7458314845373586	0.7738164482135321	0.7534044866614308	0.7459815878943357	0.7705475215220724	0.7877801908804076	0.8291782223576086	0.7955279114818644	0.7914533852655478	0.7521273283781057	0.7588272698893795	0.748643300882258	0.7607225062983317	0.7272733275886824	0.7636647232556456	0.7587694371168427	0.7253548946291613	0.7265034410897817	0.7307801756799135	0.7078956292603084	0.7124076825075454	0.37879777599057063	0.38694279796688485	0.41961250714440085	0.5619229963482557	0.35675864953634107	0.6392141436183321	0.48681145021288447	0.5063410119206815	0.5657016025409329	0.5681751270687128	0.5895745350438798	0.5841642440559208	0.5944303275354657	0.5168620698575934	0.3347019773492145	0.47225359232871456	0.3182322529677219	0.23003538153855	0.30596805995317944	0.3100089367107331
S25Hp	0.23363682247985088	0.2508928347206037	0.312963915355697	0.12891299181538052	0.2608659602020069	0.0	0.35311376464084004	0.2846637400812024	0.2608459149662141	0.2708334985516429	0.3074103736807511	0.31000141837738465	0.49337697026037725	0.4071800187037281	0.3797455604579788	0.3784528843619135	0.5899874816687467	0.44906208034860456	0.3841718669941122	0.47978709624459553	0.6676692310948564	0.6342646014283815	0.6202500143663319	0.6619899236659719	0.6608864584613254	0.6569441931251785	0.6546774982344226	0.6891971717234522	0.6713113769808883	0.6599534846172646	0.6497078990559231	0.6412879571391867	0.645617960795404	0.6557951470815397	0.6995672788169394	0.6914898320963418	0.6877397678275492	0.6791663880730432	0.6840646943054449	0.6863223309731403	0.6938967014901167	0.6887839704913743	0.6750449183293028	0.706418028751624	0.6945650951566757	0.7009366129353936	0.6795126722161862	0.746855503660244	0.7585060479879195	0.7164711210989858	0.7727142552532105	0.7542930183681207	0.6643048238324913	0.6846371620593563	0.690261893925161	0.718679242345944	0.7359459404829669	0.6900800324786367	0.6931150457844069	0.6985851763809559	0.679985510459449	0.7354309154611978	0.7140126184992999	0.6966760131555254	0.6882437374140278	0.7027299874591713	0.6890222129471757	0.683769224242593	0.6783187662500418	0.7063037299262154	0.6858917683741141	0.6784688696070189	0.7030348032347558	0.7202674725930909	0.761665504070292	0.7280151931945478	0.7239406669782311	0.684614610090789	0.6913145516020629	0.6811305825949412	0.6932097880110151	0.6597606093013657	0.696152004968329	0.691256718829526	0.6578421763418445	0.658990722802465	0.6632674573925967	0.6403829109729917	0.6448949642202286	0.31128505770325393	0.31943007967956816	0.35209978885708415	0.49441027806093907	0.28924593124902437	0.5717014253310153	0.41929873192556777	0.4388282936333648	0.4981888842536163	0.500662408781396	0.5220618167565632	0.5166515257686042	0.5269176092481489	0.4493493515702768	0.2671892590618978	0.40474087404139786	0.2507195346804052	0.1625226632512333	0.23845534166586274	0.2424962184234164
S6Hp	0.29816731784519995	0.3154233300859528	0.37749441072104606	0.25713154631408813	0.42062648292815674	0.35311376464084004	0.0	0.23204699514398291	0.20822917002899466	0.2700658195571921	0.30664269468630034	0.30923373938293386	0.4926092912659264	0.40641233970927726	0.378977881463528	0.3776852053674627	0.5892198026742959	0.4482944013541537	0.3834041879996614	0.4790194172501447	0.6669015521004056	0.6334969224339306	0.619482335371881	0.661222244671521	0.6601187794668748	0.6561765141307278	0.6539098192399717	0.6884294927290016	0.6705436979864374	0.6591858056228138	0.6489402200614722	0.6405202781447359	0.6448502818009532	0.6550274680870889	0.6987995998224887	0.690722153101891	0.6869720888330986	0.6783987090785923	0.6832970153109941	0.6855546519786897	0.6931290224956659	0.6880162914969237	0.6742772393348521	0.7056503497571733	0.6937974161622251	0.7001689339409429	0.6787449932217353	0.7460878246657934	0.7577383689934687	0.7157034421045352	0.7719465762587596	0.7535253393736701	0.6635371448380406	0.6838694830649057	0.6894942149307104	0.7179115633514934	0.7351782614885161	0.6893123534841861	0.6923473667899562	0.697817497386505	0.6792178314649984	0.7346632364667469	0.7132449395048492	0.6959083341610746	0.6874760584195769	0.7019623084647206	0.6882545339527251	0.6830015452481424	0.6775510872555912	0.7055360509317647	0.6851240893796633	0.6777011906125683	0.7022671242403049	0.7194997935986402	0.7608978250758411	0.7272475142000969	0.7231729879837803	0.6838469310963382	0.690546872607612	0.6803629036004906	0.6924421090165642	0.6589929303069149	0.6953843259738781	0.6904890398350754	0.6570744973473938	0.6582230438080143	0.6624997783981461	0.6396152319785409	0.6441272852257779	0.31051737870880314	0.31866240068511736	0.35133210986263336	0.4936425990664882	0.2884782522545736	0.5709337463365645	0.4185310529311169	0.43806061463891394	0.49742120525916544	0.49989472978694516	0.5212941377621123	0.5158838467741533	0.526149930253698	0.44858167257582593	0.266421580067447	0.403973195046947	0.2499518556859544	0.21415139499136102	0.30298583703121185	0.3070267137887655
31452	0.2297172932855623	0.24697330552631513	0.3090443861614084	0.18868152175445047	0.3521764583685191	0.2846637400812024	0.23204699514398291	0.0	0.11182742521008587	0.20161579499755444	0.23819267012666265	0.2407837148232962	0.42415926670628873	0.3379623151496396	0.31052785690389034	0.309235180807825	0.5207697781146581	0.37984437679451605	0.31495416344002375	0.410569392690507	0.598451527540768	0.5650468978742931	0.5510323108122434	0.5927722201118835	0.591668754907237	0.5877264895710901	0.5854597946803342	0.6199794681693638	0.6020936734267998	0.5907357810631761	0.5804901955018347	0.5720702535850983	0.5764002572413155	0.5865774435274512	0.630349575262851	0.6222721285422534	0.6185220642734608	0.6099486845189548	0.6148469907513565	0.6171046274190519	0.6246789979360283	0.6195662669372859	0.6058272147752144	0.6372003251975356	0.6253473916025873	0.6317189093813051	0.6102949686620978	0.6776378001061556	0.6892883444338311	0.6472534175448974	0.7034965516991221	0.6850753148140323	0.5950871202784029	0.6154194585052679	0.6210441903710726	0.6494615387918556	0.6667282369288785	0.6208623289245483	0.6238973422303185	0.6293674728268674	0.6107678069053606	0.6662132119071094	0.6447949149452115	0.627458309601437	0.6190260338599394	0.6335122839050829	0.6198045093930873	0.6145515206885046	0.6091010626959534	0.637086026372127	0.6166740648200257	0.6092511660529305	0.6338170996806674	0.6510497690390025	0.6924478005162036	0.6587974896404594	0.6547229634241427	0.6153969065367006	0.6220968480479745	0.6119128790408528	0.6239920844569267	0.5905429057472772	0.6269343014142406	0.6220390152754376	0.5886244727877561	0.5897730192483766	0.5940497538385083	0.5711652074189031	0.5756772606661402	0.24206735414916547	0.2502123761254797	0.2828820853029957	0.42519257450685055	0.2200282276949359	0.5024837217769269	0.35008102837147925	0.36961059007927627	0.4289711806995278	0.4314447052273075	0.4528441132024746	0.4474338222145156	0.45769990569406044	0.38013164801618826	0.19797155550780932	0.33552317048730934	0.18150183112631674	0.14570137043172335	0.23453581247157418	0.23857668922912784
S3Hp	0.20589946817057406	0.22315548041132688	0.2852265610464202	0.16486369663946224	0.3283586332535308	0.2608459149662141	0.20822917002899466	0.11182742521008587	0.0	0.1777979698825662	0.21437484501167442	0.21696588970830794	0.4003414415913005	0.31414449003465134	0.2867100317889021	0.28541735569283677	0.4969519529996699	0.3560265516795278	0.2911363383250355	0.38675156757551876	0.5746337024257797	0.5412290727593048	0.5272144856972552	0.5689543949968952	0.5678509297922488	0.5639086644561019	0.5616419695653458	0.5961616430543756	0.5782758483118116	0.566917955948188	0.5566723703868464	0.54825242847011	0.5525824321263273	0.562759618412463	0.6065317501478628	0.5984543034272651	0.5947042391584726	0.5861308594039665	0.5910291656363682	0.5932868023040637	0.60086117282104	0.5957484418222977	0.5820093896602262	0.6133825000825474	0.6015295664875991	0.607901084266317	0.5864771435471094	0.6538199749911674	0.6654705193188428	0.6234355924299092	0.6796787265841338	0.6612574896990441	0.5712692951634147	0.5916016333902797	0.5972263652560844	0.6256437136768674	0.6429104118138902	0.5970445038095601	0.6000795171153303	0.6055496477118791	0.5869499817903724	0.642395386792121	0.6209770898302233	0.6036404844864487	0.5952082087449511	0.6096944587900947	0.5959866842780991	0.5907336955735164	0.5852832375809652	0.6132682012571388	0.5928562397050374	0.5854333409379423	0.609999274565679	0.6272319439240143	0.6686299754012153	0.634979664525471	0.6309051383091544	0.5915790814217123	0.5982790229329862	0.5880950539258646	0.6001742593419384	0.566725080632289	0.6031164762992522	0.5982211901604494	0.5648066476727679	0.5659551941333884	0.5702319287235201	0.5473473823039149	0.551859435551152	0.21824952903417721	0.22639455101049144	0.25906426018800743	0.4013747493918623	0.19621040257994765	0.4786658966619386	0.326263203256491	0.345792764964288	0.4051533555845395	0.40762688011231923	0.42902628808748633	0.42361599709952735	0.4338820805790722	0.3563138229012	0.1741537303928211	0.3117053453723211	0.1576840060113285	0.1218835453167351	0.21071798735658592	0.21475886411413958
S21H1	0.21588705175600284	0.23314306399675566	0.2952141446318489	0.174851280224891	0.3383462168389596	0.2708334985516429	0.2700658195571921	0.20161579499755444	0.1777979698825662	0.0	0.11122744341111682	0.11381848810775037	0.2971940399907429	0.24907778183277635	0.2216433235870271	0.22035064749096175	0.4318852447977949	0.2909598434776528	0.2260696301231605	0.3216848593736438	0.5095669942239047	0.4761623645574298	0.4621477774953801	0.5038876867950202	0.5027842215903738	0.49884195625422684	0.49657526136347085	0.5310949348525006	0.5132091401099366	0.501851247746313	0.49160566218497137	0.48318572026823503	0.48751572392445225	0.497692910210588	0.5414650419459878	0.5333875952253901	0.5296375309565976	0.5210641512020915	0.5259624574344932	0.5282200941021887	0.535794464619165	0.5306817336204227	0.5169426814583512	0.5483157918806724	0.5364628582857242	0.542834376064442	0.5214104353452345	0.5887532667892924	0.6004038111169678	0.5583688842280342	0.6146120183822588	0.5961907814971691	0.5062025869615397	0.5265349251884047	0.5321596570542094	0.5605770054749925	0.5778437036120152	0.5319777956076851	0.5350128089134553	0.5404829395100041	0.5218832735884974	0.5773286785902461	0.5559103816283483	0.5385737762845736	0.5301415005430761	0.5446277505882197	0.5309199760762241	0.5256669873716414	0.5202165293790902	0.5482014930552638	0.5277895315031624	0.5203666327360673	0.544932566363804	0.5621652357221393	0.6035632671993403	0.5699129563235961	0.5658384301072794	0.5265123732198373	0.5332123147311112	0.5230283457239896	0.5351075511400634	0.501658372430414	0.5380497680973771	0.5331544819585744	0.49973993947089285	0.5008884859315134	0.5051652205216451	0.4822806741020399	0.486792727349277	0.15318282083230222	0.16132784280861642	0.19399755198613244	0.3363080411899873	0.13114369437807266	0.4135991884600636	0.261196495054616	0.280726056762413	0.34008664738266453	0.34256017191044424	0.36395957988561134	0.35854928889765236	0.3688153723771972	0.291247114699325	0.10908702219094607	0.24663863717044607	0.1413170556626278	0.13187112890216388	0.2207055709420147	0.22474644769956836
