	530451	S30H1	s24pp	530394	S21H1	530258	S17H1	31519	S25Hp	S29H1	F32H1	S22Hp	S8Hp	F6H1	F7H1	s26pp	f14ppB	530295	S28Hp
530451	0.0	0.10599816485224307	0.15510182706331996	0.27521186160141553	0.29445355710012755	0.8137241518474613	0.8800198719277685	0.8589152439749126	0.8516280772166468	0.8688146002668219	0.8794381274683012	0.9133210381321153	0.8993584347797092	0.8522831956312574	0.7756496241556987	0.17773555570754573	0.1323462332408109	0.14378679914756706	0.15010569895068052
S30H1	0.10599816485224307	0.0	0.125395750476935	0.2455057850150305	0.2647474805137426	0.7840180752610764	0.8503137953413836	0.8292091673885277	0.8219220006302619	0.839108523680437	0.8497320508819163	0.8836149615457304	0.8696523581933243	0.8225771190448725	0.7459435475693138	0.14802947912116077	0.10264015665442593	0.11408072256118208	0.12039962236429552
s24pp	0.15510182706331996	0.125395750476935	0.0	0.1885663056263388	0.20780800112505088	0.7270785958723845	0.7933743159526918	0.7722696879998359	0.7649825212415701	0.7821690442917452	0.7927925714932245	0.8266754821570386	0.8127128788046325	0.7656376396561807	0.689004068180622	0.09108999973246902	0.0684653209542577	0.10414255512362103	0.11046145492673448
530394	0.27521186160141553	0.2455057850150305	0.1885663056263388	0.0	0.17769117674960122	0.696961771496935	0.7632574915772422	0.7421528636243863	0.7348656968661205	0.7520522199162956	0.7626757471177749	0.796558657781589	0.7825960544291829	0.7355208152807311	0.6588872438051724	0.19710113040081068	0.18857535549235324	0.22425258966171657	0.23057148946483
S21H1	0.29445355710012755	0.2647474805137426	0.20780800112505088	0.17769117674960122	0.0	0.684674316865876	0.7509700369461834	0.7298654089933274	0.7225782422350615	0.7397647652852366	0.750388292486716	0.7842712031505301	0.770308599798124	0.7232333606496721	0.6465997891741135	0.21634282589952275	0.20781705099106532	0.24349428516042865	0.24981318496354207
530258	0.8137241518474613	0.7840180752610764	0.7270785958723845	0.696961771496935	0.684674316865876	0.0	0.4223886746663559	0.4012840467134999	0.393996879955234	0.41118340300540923	0.42180693020688853	0.45568984087070263	0.44172723751829657	0.47328440031754027	0.4992943132447825	0.7356134206468564	0.727087645738399	0.7627648799077623	0.7690837797108758
S17H1	0.8800198719277685	0.8503137953413836	0.7933743159526918	0.7632574915772422	0.7509700369461834	0.4223886746663559	0.0	0.029369695131587756	0.036998576841874464	0.07061995191868523	0.1752266445114561	0.47398826106897785	0.4600256577165718	0.5395801203978475	0.5655900333250898	0.8019091407271637	0.7933833658187063	0.8290605999880696	0.8353794997911831
31519	0.8589152439749126	0.8292091673885277	0.7722696879998359	0.7421528636243863	0.7298654089933274	0.4012840467134999	0.029369695131587756	0.0	0.015893948889018475	0.04951532396582924	0.1541220165586001	0.4528836331161219	0.43892102976371583	0.5184754924449916	0.5444854053722339	0.7808045127743077	0.7722787378658503	0.8079559720352136	0.8142748718383271
S25Hp	0.8516280772166468	0.8219220006302619	0.7649825212415701	0.7348656968661205	0.7225782422350615	0.393996879955234	0.036998576841874464	0.015893948889018475	0.0	0.04222815720756339	0.14683484980033426	0.445596466357856	0.43163386300545	0.5111883256867258	0.537198238613968	0.7735173460160419	0.7649915711075845	0.8006688052769478	0.8069877050800613
S29H1	0.8688146002668219	0.839108523680437	0.7821690442917452	0.7520522199162956	0.7397647652852366	0.41118340300540923	0.07061995191868523	0.04951532396582924	0.04222815720756339	0.0	0.16402137285050944	0.4627829894080312	0.44882038605562513	0.5283748487369009	0.5543847616641432	0.790703869066217	0.7821780941577596	0.8178553283271229	0.8241742281302364
