	S1Hp	w12pp	f28pp	s28pp	s20pp	S9H1	S20H1	S21H1	s23pp	S23Hp	S19H1	s30pp	f10pp	w31pp	f14ppB	s2pp	s19pp	S18H1	f31pp	f17ppA	S15Hp	F23HpA	f24pp	s24pp	w16pp	s7pp	w13pp	f13pp	S13Hp	f16ppB	F22HpB	s22pp	F14H1B	f9pp	s1pp	s3pp	w3pp	f30pp	f29pp	f11pp	f2pp	f21pp	w10pp	f15pp	S27H1	s27pp	f14ppA	f8pp	f20ppB	w6pp	s8pp	w21pp	f12ppA	w1pp	F7H1
S1Hp	0.0	0.1484403515077366	0.19604550875724486	0.18445482564965288	0.171908249364082	0.1497067655708764	0.2535492027782992	0.250390281207709	0.21764307668400704	0.2215996610624676	0.24639887510521366	0.18757279728961915	0.15049436853636444	0.18130230422829635	0.18319497478532254	0.18507942542116834	0.19591226525764405	0.2600188512727678	0.16033459979929804	0.18735903569577647	0.2808115040947935	0.2709269362087319	0.14883243965937548	0.14790284471603732	0.1819177792681986	0.18910843019136334	0.17458316411034913	0.2118084123462243	0.2666974553399028	0.23552277139121475	0.2617321985137451	0.1703055526008495	0.27266419525983043	0.14746744474363682	0.20782579521414238	0.20531578811398796	0.17610601535976494	0.20308023803548728	0.17994033276252344	0.20541975251394431	0.17955433873627108	0.18363422707323357	0.17711402612182406	0.19852098795608908	0.2630663983841073	0.16527556225272677	0.1822455310742149	0.14680390211394867	0.1877968986318796	0.1627053257728727	0.20692989480083537	0.1792142741751544	0.17300034626656546	0.16211242916835977	0.21629331222465117
w12pp	0.1484403515077366	0.0	0.10388781726605681	0.0922971341584648	0.07975055787289395	0.05754907407968833	0.16139151128711107	0.15823258971652096	0.125485385192819	0.12944196957127954	0.15424118361402558	0.0954151057984311	0.058336677045176366	0.0891446127371083	0.09103728329413449	0.0929217339299803	0.103754573766456	0.1678611597815797	0.06817690830810999	0.09520134420458842	0.18865381260360542	0.17876924471754385	0.056674748168187405	0.05574515322484925	0.08976008777701054	0.09695073870017529	0.08242547261916106	0.11965072085503625	0.17453976384871472	0.1433650799000267	0.16957450702255703	0.07814786110966145	0.18050650376864236	0.055309753252448766	0.11566810372295433	0.11315809662279991	0.0839483238685769	0.11092254654429923	0.08778264127133538	0.11326206102275627	0.08739664724508302	0.09147653558204549	0.084956334630636	0.10636329646490103	0.17090870689291918	0.0731178707615387	0.09008783958302684	0.054646210622760594	0.09563920714069155	0.07054763428168465	0.11477220330964732	0.09856136043261252	0.09234743252402358	0.08145951542581789	0.17064807060683349
f28pp	0.19604550875724486	0.10388781726605681	0.0	0.03290248029115241	0.11924994054133542	0.09704845674812979	0.20089089395555254	0.19773197238496243	0.16498476786126043	0.168941352239721	0.19374056628246705	0.13491448846687254	0.09783605971361782	0.12864399540554977	0.13053666596257596	0.13242111659842176	0.14325395643489747	0.20736054245002117	0.10767629097655146	0.13470072687302986	0.2281531952720469	0.21826862738598532	0.09617413083662886	0.09524453589329071	0.129259470445452	0.13645012136861673	0.12192485528760252	0.1591501035234777	0.2140391465171562	0.18286446256846817	0.2090738896909985	0.1176472437781029	0.22000588643708383	0.09480913592089023	0.15516748639139577	0.15265747929124135	0.12344770653701836	0.15042192921274067	0.12728202393977683	0.1527614436911977	0.12689602991352447	0.13097591825048696	0.12445571729907745	0.1458626791333425	0.21040808956136065	0.11261725342998016	0.1295872222514683	0.09414559329120205	0.13513858980913301	0.1100470169501261	0.15427158597808877	0.1461665176821208	0.13995258977353187	0.12906467267532618	0.21825322785634177
s28pp	0.18445482564965288	0.0922971341584648	0.03290248029115241	0.0	0.1076592574337434	0.08545777364053778	0.18930021084796053	0.18614128927737042	0.15339408475366842	0.157350669132129	0.18214988317487502	0.12332380535928053	0.0862453766060258	0.11705331229795776	0.11894598285498392	0.12083043349082973	0.13166327332730543	0.19576985934242916	0.09608560786895944	0.12311004376543785	0.21656251216445488	0.2066779442783933	0.08458344772903684	0.08365385278569869	0.11766878733785999	0.12485943826102472	0.11033417218001051	0.14755942041588568	0.20244846340956418	0.17127377946087613	0.19748320658340648	0.10605656067051089	0.20841520332949182	0.0832184528132982	0.14357680328380376	0.14106679618364934	0.11185702342942634	0.13883124610514866	0.11569134083218482	0.1411707605836057	0.11530534680593246	0.11938523514289494	0.11286503419148544	0.13427199602575046	0.19881740645376864	0.10102657032238814	0.11799653914387628	0.08255491018361004	0.123547906701541	0.09845633384253408	0.14268090287049676	0.13457583457452876	0.12836190666593986	0.11747398956773417	0.20666254474874973
s20pp	0.171908249364082	0.07975055787289395	0.11924994054133542	0.1076592574337434	0.0	0.07056301530644132	0.17440545251386408	0.17124653094327397	0.13849932641957197	0.14245591079803255	0.16725512484077856	0.10842904702518408	0.07135061827192936	0.10450473601138685	0.10639740656841301	0.10828185720425881	0.11911469704073452	0.18322128305585825	0.08353703158238852	0.11056146747886694	0.20401393587788397	0.1941293679918224	0.07203487144246594	0.07110527649912779	0.10512021105128908	0.11231086197445381	0.0977855958934396	0.13501084412931477	0.18989988712299327	0.15872520317430522	0.18493463029683557	0.09350798438393998	0.1958666270429209	0.0706698765267273	0.13102822699723285	0.12851821989707843	0.09930844714285543	0.12628266981857775	0.10314276454561391	0.1286221842970348	0.10275677051936155	0.10683665885632403	0.10031645790491453	0.12172341973917955	0.18626883016719772	0.08847799403581723	0.10544796285730537	0.07000633389703913	0.1109993304149701	0.08590775755596317	0.13013232658392584	0.12202925828895791	0.11581533038036901	0.10492741328216332	0.1941159684631789
S9H1	0.1497067655708764	0.05754907407968833	0.09704845674812979	0.08545777364053778	0.07056301530644132	0.0	0.14318872808362065	0.14002980651303057	0.11074526792948229	0.11470185230794286	0.1395010663506889	0.08460187231616836	0.047523443562913645	0.08230325221818122	0.08419592277520739	0.0860803734110532	0.0969132132475289	0.16101979926265264	0.061335547789182904	0.08835998368566132	0.18181245208467836	0.1719278841986168	0.04983338764926031	0.048903792705922156	0.08291872725808346	0.09010937818124819	0.07558411210023397	0.11280936033610915	0.16769840332978767	0.1365237193810996	0.16273314650362997	0.07130650059073436	0.1736651432497153	0.04846839273352167	0.10882674320402723	0.10631673610387281	0.07710696334964981	0.10408118602537213	0.08094128075240829	0.10642070050382917	0.08055528672615593	0.0846351750631184	0.07811497411170891	0.09952193594597393	0.16406734637399212	0.06627651024261161	0.08324647906409975	0.04780485010383351	0.08879784662176446	0.06370627376275755	0.10793084279072022	0.09982777449575231	0.09361384658716337	0.08272592948895768	0.17191448466997328
S20H1	0.2535492027782992	0.16139151128711107	0.20089089395555254	0.18930021084796053	0.17440545251386408	0.14318872808362065	0.0	0.22880097182105155	0.21458770513690503	0.2185442895153656	0.24334350355811163	0.18844430952359112	0.1513658807703364	0.186145689425604	0.18803835998263016	0.18992281061847596	0.20075565045495167	0.2648622364700754	0.16517798499660566	0.1922024208930841	0.28565488929210114	0.2757703214060395	0.15367582485668307	0.1527462299133449	0.18676116446550622	0.19395181538867096	0.17942654930765672	0.21665179754353192	0.2715408405372104	0.24036615658852237	0.2665755837110527	0.17514893779815713	0.2775075804571381	0.15231082994094444	0.21266918041145	0.21015917331129558	0.18094940055707256	0.2079236232327949	0.18478371795983106	0.21026313771125194	0.1843977239335787	0.18847761227054116	0.18195741131913168	0.2033643731533967	0.2679097835814149	0.17011894745003436	0.18708891627152252	0.15164728731125626	0.19264028382918724	0.16754871097018031	0.211773279998143	0.20367021170317506	0.19745628379458613	0.18656836669638044	0.27575692187739603
S21H1	0.250390281207709	0.15823258971652096	0.19773197238496243	0.18614128927737042	0.17124653094327397	0.14002980651303057	0.22880097182105155	0.0	0.21142878356631495	0.2153853679447755	0.24018458198752152	0.185285387953001	0.1482069591997463	0.1829867678550139	0.18487943841204005	0.18676388904788585	0.19759672888436156	0.2617033148994853	0.16201906342601555	0.18904349932249398	0.282495967721511	0.27261139983544946	0.15051690328609296	0.1495873083427548	0.1836022428949161	0.19079289381808084	0.1762676277370666	0.2134928759729418	0.26838191896662034	0.23720723501793226	0.2634166621404626	0.17199001622756702	0.2743486588865479	0.14915190837035433	0.2095102588408599	0.20700025174070547	0.17779047898648245	0.20476470166220478	0.18162479638924095	0.20710421614066182	0.1812388023629886	0.18531869069995105	0.17879848974854157	0.2002054515828066	0.26475086201082476	0.16696002587944425	0.1839299947009324	0.14848836574066615	0.18948136225859713	0.1643897893995902	0.20861435842755288	0.20051129013258495	0.19429736222399602	0.18340944512579033	0.2725980003068059
s23pp	0.21764307668400704	0.125485385192819	0.16498476786126043	0.15339408475366842	0.13849932641957197	0.11074526792948229	0.21458770513690503	0.21142878356631495	0.0	0.10764029304425077	0.18815345064530878	0.15253818342929903	0.1154597546760443	0.1502395633313119	0.15213223388833805	0.15401668452418385	0.16484952436065956	0.22895611037578328	0.12927185890231355	0.15629629479879198	0.249748763197809	0.23986419531174744	0.11776969876239096	0.11684010381905281	0.1508550383712141	0.15804568929437884	0.1435204232133646	0.1807456714492398	0.2356347144429183	0.20446003049423025	0.2306694576167606	0.13924281170386502	0.24160145436284594	0.11640470384665233	0.17676305431715789	0.17425304721700346	0.14504327446278045	0.17201749713850278	0.14887759186553895	0.17435701161695982	0.1484915978392866	0.15257148617624905	0.14605128522483957	0.1674582470591046	0.23200365748712276	0.13421282135574225	0.1511827901772304	0.11574116121696415	0.15673415773489513	0.1316425848758882	0.17586715390385088	0.16776408560888295	0.16155015770029402	0.15066224060208833	0.23985079578310392
S23Hp	0.2215996610624676	0.12944196957127954	0.168941352239721	0.157350669132129	0.14245591079803255	0.11470185230794286	0.2185442895153656	0.2153853679447755	0.10764029304425077	0.0	0.19211003502376933	0.1564947678077596	0.11941633905450487	0.15419614770977244	0.1560888182667986	0.1579732689026444	0.1688061087391201	0.23291269475424387	0.13322844328077413	0.16025287917725256	0.25370534757626956	0.243820779690208	0.12172628314085153	0.12079668819751338	0.15481162274967467	0.16200227367283943	0.1474770075918252	0.1847022558277004	0.23959129882137886	0.2084166148726908	0.2346260419952212	0.14319939608232557	0.2455580387413065	0.1203612882251129	0.18071963869561847	0.17820963159546405	0.14899985884124103	0.17597408151696337	0.1528341762439995	0.1783135959954204	0.15244818221774714	0.15652807055470963	0.15000786960330012	0.17141483143756514	0.23596024186558334	0.13816940573420283	0.15513937455569096	0.11969774559542473	0.16069074211335568	0.13559916925434878	0.17982373828231146	0.17172066998734353	0.1655067420787546	0.1546188249805489	0.2438073801615645
