	S7Hp	531414	530055	31700	S1Hp	31328	w2pp	w11pp	w20pp	w17pp	w32pp	w15pp	w26pp	f16ppB	f7pp	f16ppA	f14ppB	w19pp	w21pp	S28Hp	S17H1	F23HpA	S27H1	S14Hp	S26Hp	31452	31232	31267	F1H1	31219	S25Hp	S4Hp	530394	31300	S19H1	31333	s24H1	S21H1	530451	31360	530364	31160
S7Hp	0.0	0.45723361473570956	0.44577647108879176	0.4515795488221528	0.5190395942793794	0.5121617139450757	0.5889903790328284	0.5889488023900695	0.5784508562548252	0.5849751686513354	0.6040159156203034	0.5949292826380845	0.6028917828420999	0.592767242919112	0.5868620315350491	0.6003270804626533	0.5844898330775818	0.5798224937960494	0.603953998631005	0.4775159710772287	0.5275368162820583	0.5499065570746229	0.5337042261697498	0.48170936367843187	0.47812549386933867	0.5581552448689191	0.5890980835136825	0.51949734114349	0.5903971613481662	0.4984850523714086	0.47779543334874675	0.5849631958992241	0.5366050817378831	0.5114649215592013	0.5462953152984804	0.5722379438369285	0.5470259633177699	0.5024165593203442	0.49993497980286206	0.514590929473933	0.5129627736478628	0.48214860842653234
531414	0.45723361473570956	0.0	0.10486227677387756	0.11841946195766317	0.1858795074148898	0.1790016270805861	0.2558302921683388	0.2557887155255798	0.24529076939033556	0.2518150817868457	0.2708558287558138	0.261769195773595	0.2697316959776102	0.2596071560546224	0.2537019446705595	0.2671669935981637	0.25132974621309223	0.24666240693155972	0.2707939117665154	0.1443558842127391	0.19437672941756867	0.21674647021013316	0.2005441393052601	0.14854927681394225	0.144965407004849	0.22499515800442949	0.255937996649193	0.18633725427900044	0.2572370744836766	0.16532496550691897	0.1446353464842571	0.2518031090347345	0.20344499487339351	0.17830483469471164	0.21313522843399074	0.23907785697243883	0.2138658764532802	0.16925647245585457	0.16677489293837242	0.1814308426094434	0.17980268678337322	0.4272268190036573
530055	0.44577647108879176	0.10486227677387756	0.0	0.10696231831074537	0.174422363767972	0.1675444834336683	0.244373148521421	0.24433157187866203	0.2338336257434178	0.24035793813992792	0.259398685108896	0.2503120521266772	0.2582745523306924	0.24815001240770462	0.2422448010236417	0.2557098499512459	0.23987260256617446	0.23520526328464195	0.2593367681195976	0.1328987405658213	0.18291958577065087	0.20528932656321539	0.18908699565834233	0.13709213316702445	0.13350826335793123	0.2135380143575117	0.2444808530022752	0.17488011063208264	0.24577993083675884	0.1538678218600012	0.13317820283733933	0.24034596538781672	0.19198785122647571	0.16684769104779384	0.20167808478707297	0.22762071332552103	0.2024087328063624	0.15779932880893677	0.15531774929145464	0.16997369896252562	0.16834554313645544	0.4157696753567395
31700	0.4515795488221528	0.11841946195766317	0.10696231831074537	0.0	0.1159033154479968	0.10902543511369311	0.21308313536216367	0.21304155871940467	0.20254361258416043	0.20906792498067056	0.22810867194963869	0.21902203896741984	0.22698453917143507	0.2168599992484473	0.21095478786438437	0.22441983679198857	0.2085825894069171	0.20391525012538458	0.22804675496034027	0.10160872740656393	0.15162957261139348	0.17399931340395802	0.15779698249908497	0.11132031884354471	0.10993771881291814	0.18996746981249865	0.22091030845726214	0.15130956608706955	0.22220938629174578	0.14430392781270032	0.12361430879003846	0.23078207134051587	0.18242395717917487	0.157283797000493	0.19211419073977212	0.21805681927822018	0.19284483875906155	0.14823543476163592	0.14575385524415377	0.16040980491522475	0.15878164908915457	0.4215727530901005
S1Hp	0.5190395942793794	0.1858795074148898	0.174422363767972	0.1159033154479968	0.0	0.15382069065457715	0.2805431808193902	0.2805016041766313	0.27000365804138704	0.2765279704378972	0.2955687174068653	0.2864820844246464	0.29444458462866163	0.28432004470567385	0.278414833321611	0.29187988224921513	0.2760426348641437	0.2713752955826112	0.2955068004175669	0.16906877286379052	0.2190896180686201	0.24145935886118464	0.22525702795631158	0.17878036430077132	0.17739776427014475	0.25742751526972524	0.28837035391448873	0.21876961154429617	0.28966943174897236	0.2117639732699269	0.19107435424726504	0.2982421167977425	0.24988400263640148	0.2247438424577196	0.2595742361969987	0.2855168647354468	0.26030488421628817	0.21569548021886253	0.21321390070138035	0.22786985037245133	0.22624169454638116	0.4890327985473271
31328	0.5121617139450757	0.1790016270805861	0.1675444834336683	0.10902543511369311	0.15382069065457715	0.0	0.2736653004850866	0.2736237238423276	0.26312577770708334	0.2696500901035935	0.2886908370725616	0.27960420409034276	0.287566704294358	0.2774421643713702	0.2715369529873073	0.2850020019149115	0.26916475452984	0.2644974152483075	0.2886289200832632	0.16219089252948685	0.2122117377343164	0.23458147852688094	0.21837914762200789	0.17190248396646762	0.17051988393584105	0.2505496349354216	0.28149247358018503	0.2118917312099925	0.2827915514146687	0.20488609293562324	0.18419647391296137	0.2913642364634388	0.24300612230209778	0.2178659621234159	0.252696355862695	0.2786389844011431	0.25342700388198447	0.20881759988455884	0.20633602036707668	0.22099197003814766	0.21936381421207748	0.4821549182130234
w2pp	0.5889903790328284	0.2558302921683388	0.244373148521421	0.21308313536216367	0.2805431808193902	0.2736653004850866	0.0	0.033614590389274016	0.023116644254029782	0.0296409566505399	0.04868170361950802	0.039595070637289155	0.0475575708413044	0.046573369786934306	0.04066815840287139	0.054133207330475594	0.03829595994540416	0.05037106861356726	0.10147218502709619	0.22435014312132956	0.27437098832615914	0.2967407291187236	0.28053839821385057	0.24873114905422034	0.24734854902359377	0.32737830002317425	0.3583211386679378	0.2887203962977452	0.3596202165024214	0.281714758023376	0.2610251390007141	0.3681929015511915	0.3198347873898505	0.2946946272111686	0.3295250209504478	0.3554676494888958	0.3302556689697372	0.28564626497231155	0.2831646854548294	0.2978206351259004	0.29619247929983017	0.5589835833007761
w11pp	0.5889488023900695	0.2557887155255798	0.24433157187866203	0.21304155871940467	0.2805016041766313	0.2736237238423276	0.033614590389274016	0.0	0.011432118081406685	0.025230391473967516	0.044271138442935634	0.035184505460716775	0.04314700566473202	0.04653179314417533	0.04062658176011242	0.05409163068771662	0.03825438330264519	0.050329491970808285	0.10143060838433722	0.22430856647857056	0.27432941168340014	0.2966991524759647	0.2804968215710916	0.24868957241146136	0.24730697238083482	0.3273367233804153	0.3582795620251788	0.2886788196549862	0.35957863985966243	0.281673181380617	0.2609835623579551	0.3681513249084325	0.31979321074709155	0.2946530505684096	0.3294834443076888	0.3554260728461368	0.3302140923269782	0.28560468832955255	0.2831231088120704	0.2977790584831414	0.2961509026570712	0.5589420066580172
w20pp	0.5784508562548252	0.24529076939033556	0.2338336257434178	0.20254361258416043	0.27000365804138704	0.26312577770708334	0.023116644254029782	0.011432118081406685	0.0	0.014732445338723282	0.0337731923076914	0.02468655932547254	0.03264905952948779	0.0360338470089311	0.030128635624868186	0.04359368455247239	0.027756437167400956	0.03983154583556405	0.090932662249093	0.21381062034332632	0.2638314655481559	0.28620120634072044	0.2699988754358474	0.23819162627621712	0.23680902624559058	0.31683877724517107	0.34778161588993456	0.27818087351974197	0.3490806937244182	0.27117523524537274	0.25048561622271087	0.35765337877318826	0.3092952646118473	0.2841551044331654	0.31898549817244454	0.34492812671089257	0.31971614619173394	0.2751067421943083	0.2726251626768262	0.28728111234789716	0.285652956521827	0.548444060522773
w17pp	0.5849751686513354	0.2518150817868457	0.24035793813992792	0.20906792498067056	0.2765279704378972	0.2696500901035935	0.0296409566505399	0.025230391473967516	0.014732445338723282	0.0	0.03764969415185465	0.028563061169635792	0.03652556137365104	0.04255815940544122	0.03665294802137831	0.0501179969489825	0.03428074956391107	0.046355858232074165	0.0974569746456031	0.22033493273983645	0.27035577794466603	0.2927255187372306	0.2765231878323575	0.24471593867272726	0.24333333864210072	0.3233630896416812	0.3543059282864447	0.2847051859162521	0.3556050061209283	0.27769954764188287	0.257009928619221	0.36417769116969845	0.3158195770083574	0.2906794168296756	0.32550981056895467	0.35145243910740276	0.32624045858824413	0.2816310545908185	0.2791494750733363	0.2938054247444073	0.2921772689183371	0.554968372919283
