	S17H1	S19H1	31267	S28Hp	S6Hp	530050	S22Hp	S9H1	F14H1B	F23HpA	S31Hp
S17H1	0.0	0.4844275919312213	0.5743195537687067	0.5815359576480376	0.5770224873054614	0.6564318682665455	0.6131044783326257	0.6153673917485984	0.1976271977469468	0.18975752511896127	0.1890846043073469
S19H1	0.4844275919312213	0.0	0.5958848601301185	0.6031012640094495	0.5985877936668732	0.6779971746279574	0.6346697846940376	0.6369326981100103	0.4891888983890091	0.48131922576102354	0.4806463049494092
31267	0.5743195537687067	0.5958848601301185	0.0	0.4684214228301442	0.4639079524875679	0.6431152508105462	0.5997878608766264	0.6020507742925991	0.5790808602264945	0.571211187598509	0.5705382667868946
S28Hp	0.5815359576480376	0.6031012640094495	0.4684214228301442	0.0	0.07611450316218527	0.6503316546898772	0.6070042647559573	0.6092671781719301	0.5862972641058254	0.5784275914778398	0.5777546706662254
S6Hp	0.5770224873054614	0.5985877936668732	0.4639079524875679	0.07611450316218527	0.0	0.6458181843473009	0.602490794413381	0.6047537078293539	0.5817837937632492	0.5739141211352636	0.5732412003236492
530050	0.6564318682665455	0.6779971746279574	0.6431152508105462	0.6503316546898772	0.6458181843473009	0.0	0.4897232417118017	0.5861441602034139	0.6611931747243334	0.6533235020963478	0.6526505812847334
S22Hp	0.6131044783326257	0.6346697846940376	0.5997878608766264	0.6070042647559573	0.602490794413381	0.4897232417118017	0.0	0.5428167702694939	0.6178657847904135	0.609996112162428	0.6093231913508136
S9H1	0.6153673917485984	0.6369326981100103	0.6020507742925991	0.6092671781719301	0.6047537078293539	0.5861441602034139	0.5428167702694939	0.0	0.6201286982063863	0.6122590255784007	0.6115861047667863
F14H1B	0.1976271977469468	0.4891888983890091	0.5790808602264945	0.5862972641058254	0.5817837937632492	0.6611931747243334	0.6178657847904135	0.6201286982063863	0.0	0.02020624341020531	0.031636399960406084
F23HpA	0.18975752511896127	0.48131922576102354	0.571211187598509	0.5784275914778398	0.5739141211352636	0.6533235020963478	0.609996112162428	0.6122590255784007	0.02020624341020531	0.0	0.023766727332420547
S31Hp	0.1890846043073469	0.4806463049494092	0.5705382667868946	0.5777546706662254	0.5732412003236492	0.6526505812847334	0.6093231913508136	0.6115861047667863	0.031636399960406084	0.023766727332420547	0.0
