	w28pp	f11pp	S15Hp	w10pp	w26pp	S29H1	w19pp	w24pp	f13pp	w13pp	w20pp	w8pp	w17pp	w14pp	w3pp	f7pp	f32pp	F14H1B	S3Hp	F3H1	S31Hp	f18pp	f16ppA	F14H1A	S22Hp	f30pp	f2pp	f23ppA	f1pp	f20ppA	S2Hp	f12ppA	f22ppB	f21pp	f4pp	f8pp	f12ppB	f10pp	f17ppB	F7H1	S21H1	530295	S13Hp	F22HpB	F6H1	S14Hp	f6ppB	w16pp	w9pp	f24pp	w23pp	f19pp	f22ppA	S27H1	w11pp
w28pp	0.0	0.09837212201838194	0.18692084797251438	0.11047795555904025	0.10060217440650157	0.0969549091004803	0.13818259160871654	0.041579709786310884	0.10454195195260707	0.08450674139396469	0.06300087035685029	0.08489877060128156	0.14641176105093698	0.14992028651917833	0.25799946176480626	0.29037751150903607	0.29549495425991085	0.355630616285804	0.3687552833991784	0.37289522800289476	0.3251088741631913	0.315328032729533	0.3223751822434836	0.4075282661601822	0.4019184561975056	0.3208930239585672	0.3176082001030696	0.33975406873786895	0.3091073643343199	0.30647160514560906	0.3673344073750251	0.3369281072362139	0.3219545311030318	0.32877308108941505	0.303721659222867	0.3010207170943596	0.31695179912793	0.30074937426528336	0.2740809648278766	0.3898890599975443	0.6220369297562935	0.3829259694962182	0.41676818459621706	0.44910852681731067	0.4646093471927968	0.46487661908042943	0.14797951067739468	0.15672252693184888	0.09845681126418508	0.05228928779802296	0.13575687669672612	0.1355526519965403	0.1867058972046981	0.19646383904348388	0.08784710084807222
f11pp	0.09837212201838194	0.0	0.13169040293235845	0.10398369559218049	0.09410791443964178	0.09046064913362054	0.13168833164185678	0.06921617665477245	0.13217841882106862	0.11214320826242626	0.09063733722531186	0.11253523746974313	0.17404822791939856	0.1775567533876399	0.2856359286332678	0.3180139783774976	0.3231314211283724	0.38326708315426555	0.39639175026763995	0.4005316948713563	0.35274534103165284	0.3429644995979946	0.35001164911194516	0.4351647330286437	0.42955492306596715	0.3485294908270288	0.34524466697153117	0.3673905356063305	0.33674383120278145	0.3341080720140706	0.39497087424348665	0.36456457410467547	0.34959099797149334	0.3564095479578766	0.33135812609132853	0.3286571839628212	0.34458826599639153	0.3283858411337449	0.3017174316963382	0.41752552686600586	0.6496733966247552	0.41056243636467976	0.4444046514646786	0.4767449936857722	0.49224581406125834	0.492513085948891	0.17561597754585623	0.18435899380031046	0.12609327813264665	0.07992575466648452	0.1633933435651877	0.16318911886500187	0.21434236407315965	0.22410030591194546	0.11548356771653379
S15Hp	0.18692084797251438	0.13169040293235845	0.0	0.1925324215463129	0.18265664039377422	0.17900937508775294	0.22023705759598922	0.15776490260890488	0.22072714477520106	0.20069193421655868	0.17918606317944427	0.20108396342387555	0.262596953873531	0.2661054793417723	0.37418465458740024	0.40656270433163005	0.41168014708250483	0.471815809108398	0.4849404762217724	0.48908042082548875	0.44129406698578527	0.431513225552127	0.4385603750660776	0.5237134589827761	0.5181036490200996	0.4370782167811612	0.4337933929256636	0.45593926156046294	0.4252925571569139	0.42265679796820305	0.4835196001976191	0.4531133000588079	0.4381397239256258	0.44495827391200904	0.41990685204546097	0.4172059099169536	0.43313699195052396	0.41693456708787735	0.39026615765047057	0.5060742528201383	0.7382221225788876	0.4991111623188122	0.5329533774188111	0.5652937196399046	0.5807945400153908	0.5810618119030234	0.26416470349998866	0.27290771975444283	0.21464200408677908	0.16847448062061693	0.2519420695193201	0.2517378448191343	0.3028910900272921	0.31264903186607784	0.2040322936706662
w10pp	0.11047795555904025	0.10398369559218049	0.1925324215463129	0.0	0.04834188036002651	0.05510220583603198	0.09632988834426823	0.08132201019543076	0.14428425236172693	0.12424904180308456	0.10274317076597017	0.12464107101040144	0.18615406146005686	0.1896625869282982	0.2977417621739261	0.3301198119181559	0.3352372546690307	0.39537291669492386	0.40849758380829826	0.4126375284120146	0.36485117457231114	0.3550703331386529	0.36211748265260346	0.44727056656930203	0.44166075660662546	0.3606353243676871	0.3573505005121895	0.3794963691469888	0.34884966474343976	0.3462139055547289	0.40707670778414495	0.37667040764533377	0.36169683151215165	0.3685153814985349	0.34346395963198684	0.3407630175034795	0.35669409953704984	0.3404916746744032	0.3138232652369965	0.42963136040666416	0.6617792301654135	0.42266826990533807	0.4565104850053369	0.48885082722643053	0.5043516476019166	0.5046189194895493	0.18772181108651453	0.19646482734096876	0.13819911167330495	0.09203158820714283	0.175499177105846	0.17529495240566018	0.22644819761381796	0.23620613945260377	0.1275894012571921
w26pp	0.10060217440650157	0.09410791443964178	0.18265664039377422	0.04834188036002651	0.0	0.04522642468349329	0.08645410719172954	0.07144622904289206	0.13440847120918825	0.11437326065054587	0.09286738961343147	0.11476528985786275	0.17627828030751816	0.1797868057757595	0.2878659810213874	0.32024403076561725	0.32536147351649203	0.3854971355423852	0.3986218026557596	0.40276174725947594	0.35497539341977247	0.3451945519861142	0.3522417015000648	0.43739478541676335	0.4317849754540868	0.3507595432151484	0.3474747193596508	0.36962058799445013	0.3389738835909011	0.33633812440219024	0.3972009266316063	0.3667946264927951	0.351821050359613	0.35863960034599623	0.33358817847944816	0.3308872363509408	0.34681831838451116	0.33061589352186455	0.3039474840844578	0.4197555792541255	0.6519034490128748	0.4127924887527994	0.44663470385279824	0.47897504607389185	0.49447586644937797	0.4947431383370106	0.17784602993397586	0.18658904618843006	0.12832333052076628	0.08215580705460414	0.1656233959533073	0.16541917125312147	0.21657241646127928	0.22633035830006507	0.11771362010465339
S29H1	0.0969549091004803	0.09046064913362054	0.17900937508775294	0.05510220583603198	0.04522642468349329	0.0	0.060094747843513735	0.0677989637368708	0.13076120590316698	0.11072599534452461	0.08922012430741022	0.11111802455184148	0.1726310150014969	0.17613954046973826	0.28421871571536617	0.316596765459596	0.32171420821047075	0.3818498702363639	0.3949745373497383	0.39911448195345467	0.3513281281137512	0.34154728668009293	0.3485944361940435	0.4337475201107421	0.4281377101480655	0.34711227790912713	0.3438274540536295	0.36597332268842886	0.3353266182848798	0.33269085909616897	0.393553661325585	0.3631473611867738	0.3481737850535917	0.35499233503997496	0.3299409131734269	0.32723997104491953	0.3431710530784899	0.32696862821584327	0.30030021877843655	0.4161083139481042	0.6482561837068536	0.4091452234467781	0.44298743854677697	0.4753277807678706	0.4908286011433567	0.49109587303098934	0.17419876462795458	0.1829417808824088	0.124676065214745	0.07850854174858288	0.16197613064728605	0.16177190594710023	0.212925151155258	0.22268309299404382	0.11406635479863214
w19pp	0.13818259160871654	0.13168833164185678	0.22023705759598922	0.09632988834426823	0.08645410719172954	0.060094747843513735	0.0	0.10902664624510705	0.17198888841140325	0.15195367785276087	0.13044780681564647	0.15234570706007772	0.21385869750973313	0.2173672229779745	0.3254463982236024	0.35782444796783225	0.362941890718707	0.4230775527446002	0.4362022198579746	0.44034216446169094	0.39255581062198747	0.3827749691883292	0.3898221187022798	0.47497520261897835	0.4693653926563018	0.3883399604173634	0.3850551365618658	0.40720100519666513	0.3765543007931161	0.37391854160440524	0.4347813438338213	0.4043750436950101	0.389401467561828	0.39622001754821123	0.37116859568166316	0.3684676535531558	0.38439873558672616	0.36819631072407955	0.34152790128667276	0.4573359964563405	0.6894838662150897	0.4503729059550144	0.48421512105501324	0.5165554632761068	0.532056283651593	0.5323235555392256	0.21542644713619086	0.22416946339064503	0.16590374772298125	0.11973622425681912	0.20320381315552227	0.20299958845533644	0.2541528336634943	0.26391077550228004	0.1552940373068684
w24pp	0.041579709786310884	0.06921617665477245	0.15776490260890488	0.08132201019543076	0.07144622904289206	0.0677989637368708	0.10902664624510705	0.0	0.07538400658799752	0.05534879602935513	0.03384292499224073	0.055740825236672	0.11725381568632742	0.12076234115456878	0.22884151640019668	0.2612195661444265	0.26633700889530126	0.3264726709211944	0.3395973380345688	0.3437372826382852	0.2959509287985817	0.28617008736492344	0.293217236878874	0.3783703207955726	0.372760510832896	0.29173507859395764	0.28845025473846003	0.31059612337325937	0.2799494189697103	0.2773136597809995	0.3381764620104155	0.30777016187160433	0.2927965857384222	0.29961513572480547	0.2745637138582574	0.27186277172975004	0.2877938537633204	0.2715914289006738	0.24492301946326706	0.3607311146329347	0.5928789843916841	0.3537680241316086	0.3876102392316075	0.4199505814527011	0.4354514018281872	0.43571867371581985	0.11882156531278512	0.12756458156723932	0.06929886589957553	0.023131342433413398	0.10659893133211656	0.10639470663193074	0.15754795184008855	0.16730589367887433	0.05868915548346266
f13pp	0.10454195195260707	0.13217841882106862	0.22072714477520106	0.14428425236172693	0.13440847120918825	0.13076120590316698	0.17198888841140325	0.07538400658799752	0.0	0.05352575609352536	0.050547758689621844	0.08535943019557352	0.14687242064522893	0.1503809461134703	0.2584601213590982	0.290838171103328	0.29595561385420277	0.356091275880096	0.3692159429934704	0.37335588759718674	0.32556953375748326	0.315788692323825	0.3228358418377756	0.40798892575447415	0.4023791157917976	0.3213536835528592	0.3180688596973616	0.34021472833216093	0.3095680239286119	0.30693226473990104	0.3677950669693171	0.3373887668305059	0.3224151906973238	0.32923374068370703	0.30418231881715896	0.30148137668865155	0.31741245872222196	0.3012100338595753	0.27454162442216856	0.3903497195918363	0.6224975893505855	0.3833866290905102	0.41722884419050904	0.44956918641160265	0.46507000678708876	0.4653372786747214	0.14844017027168663	0.15718318652614083	0.09891747085847702	0.07764778916309263	0.1611153780617958	0.16091115336160997	0.21206439856976778	0.22182234040855356	0.11320560221314188
w13pp	0.08450674139396469	0.11214320826242626	0.20069193421655868	0.12424904180308456	0.11437326065054587	0.11072599534452461	0.15195367785276087	0.05534879602935513	0.05352575609352536	0.0	0.030512548130979464	0.06532421963693114	0.12683721008658655	0.13034573555482792	0.2384249108004558	0.2708029605446856	0.2759204032955604	0.3360560653214536	0.349180732434828	0.35332067703854436	0.3055343231988409	0.2957534817651826	0.3028006312791332	0.38795371519583177	0.3823439052331552	0.3013184729942168	0.2980336491387192	0.32017951777351855	0.2895328133699695	0.28689705418125866	0.3477598564106747	0.3173535562718635	0.3023799801386814	0.30919853012506465	0.2841471082585166	0.28144616613000917	0.2973772481635796	0.2811748233009329	0.2545064138635262	0.3703145090331939	0.6024623787919432	0.3633514185318678	0.39719363363186666	0.42953397585296027	0.4450347962284464	0.44530206811607903	0.12840495971304425	0.13714797596749845	0.07888226029983464	0.05761257860445025	0.14108016750315344	0.1408759428029676	0.1920291880111254	0.2017871298499112	0.09317039165449953
