	S17H1	F23HpA	31267	530394	S28Hp	S13Hp	530055	530331	S1Hp	31328	530295	S15Hp	S23Hp	S6Hp	S30H1
S17H1	0.0	0.32478265742013523	0.2988412622831986	0.26727031263152967	0.7456237965947563	0.744125779137544	0.7585417386257123	0.7696451234657773	0.7448746491176224	0.82948257806544	0.7630078792513584	0.542904031032306	0.4596761404750799	0.1619401680840954	0.17358710130805322
F23HpA	0.32478265742013523	0.0	0.2599102902532708	0.22833934060160177	0.7824813601863254	0.7809833427291131	0.7953993022172814	0.8065026870573464	0.7817322127091915	0.8663401416570091	0.7998654428429275	0.5797615946238752	0.49653370406664904	0.246233050500611	0.3090031625514694
31267	0.2988412622831986	0.2599102902532708	0.0	0.12917280975341655	0.7565399650493888	0.7550419475921765	0.7694579070803449	0.7805612919204098	0.7557908175722549	0.8403987465200725	0.773924047705991	0.5538201994869386	0.4705923089297125	0.22029165536367445	0.28306176741453287
530394	0.26727031263152967	0.22833934060160177	0.12917280975341655	0.0	0.7249690153977197	0.7234709979405074	0.7378869574286759	0.7489903422687407	0.7242198679205858	0.8088277968684034	0.742353098054322	0.5222492498352695	0.4390213592780435	0.18872070571200544	0.25149081776286386
S28Hp	0.7456237965947563	0.7824813601863254	0.7565399650493888	0.7249690153977197	0.0	0.2508138870630014	0.3097106972985219	0.3208140821385868	0.2960436077904318	0.38065153673824953	0.31417683792416806	0.32828988510473367	0.6246151955453076	0.667074189675232	0.7298443017260905
S13Hp	0.744125779137544	0.7809833427291131	0.7550419475921765	0.7234709979405074	0.2508138870630014	0.0	0.30821267984130957	0.31931606468137447	0.2945455903332195	0.3791535192810372	0.3126788204669557	0.32679186764752133	0.6231171780880953	0.6655761722180197	0.7283462842688782
530055	0.7585417386257123	0.7953993022172814	0.7694579070803449	0.7378869574286759	0.3097106972985219	0.30821267984130957	0.0	0.10084347226743154	0.11253908665118506	0.32109120876783054	0.25461650995374907	0.34120782713568976	0.6375331375762638	0.679992131706188	0.7427622437570465
530331	0.7696451234657773	0.8065026870573464	0.7805612919204098	0.7489903422687407	0.3208140821385868	0.31931606468137447	0.10084347226743154	0.0	0.12364247149124996	0.33219459360789544	0.26571989479381397	0.35231121197575466	0.6486365224163286	0.691095516546253	0.7538656285971115
S1Hp	0.7448746491176224	0.7817322127091915	0.7557908175722549	0.7242198679205858	0.2960436077904318	0.2945455903332195	0.11253908665118506	0.12364247149124996	0.0	0.30742411925974045	0.24094942044565898	0.3275407376275997	0.6238660480681737	0.6663250421980981	0.7290951542489565
31328	0.82948257806544	0.8663401416570091	0.8403987465200725	0.8088277968684034	0.38065153673824953	0.3791535192810372	0.32109120876783054	0.33219459360789544	0.30742411925974045	0.0	0.26150688301436475	0.4121486665754174	0.7084739770159914	0.7509329711459157	0.8137030831967742
530295	0.7630078792513584	0.7998654428429275	0.773924047705991	0.742353098054322	0.31417683792416806	0.3126788204669557	0.25461650995374907	0.26571989479381397	0.24094942044565898	0.26150688301436475	0.0	0.34567396776133585	0.6419992782019099	0.6844582723318341	0.7472283843826926
S15Hp	0.542904031032306	0.5797615946238752	0.5538201994869386	0.5222492498352695	0.32828988510473367	0.32679186764752133	0.34120782713568976	0.35231121197575466	0.3275407376275997	0.4121486665754174	0.34567396776133585	0.0	0.42189542998285745	0.4643544241127818	0.5271245361636403
S23Hp	0.4596761404750799	0.49653370406664904	0.4705923089297125	0.4390213592780435	0.6246151955453076	0.6231171780880953	0.6375331375762638	0.6486365224163286	0.6238660480681737	0.7084739770159914	0.6419992782019099	0.42189542998285745	0.0	0.3811265335555557	0.4438966456064141
S6Hp	0.1619401680840954	0.246233050500611	0.22029165536367445	0.18872070571200544	0.667074189675232	0.6655761722180197	0.679992131706188	0.691095516546253	0.6663250421980981	0.7509329711459157	0.6844582723318341	0.4643544241127818	0.3811265335555557	0.0	0.14616067321542964
S30H1	0.17358710130805322	0.3090031625514694	0.28306176741453287	0.25149081776286386	0.7298443017260905	0.7283462842688782	0.7427622437570465	0.7538656285971115	0.7290951542489565	0.8137030831967742	0.7472283843826926	0.5271245361636403	0.4438966456064141	0.14616067321542964	0.0
