	S19H1	w13pp	f2pp	w2pp	F32H1	w24pp	s24H1	w19pp	w17pp	w18pp	w27pp	f11pp	w31pp	f6ppB	w20pp	S4Hp	S14Hp	f4pp	w28pp	S26Hp	S13Hp	S12Hp	f20ppA	f6ppA	w23pp	S23Hp
S19H1	0.0	0.27395895431687994	0.2899679750713874	0.29470997068557386	0.35223777526201333	0.3406164658350775	0.3410547209320448	0.30975244742473584	0.2962075462276927	0.2893204120302428	0.2931251989281028	0.31772830006027236	0.2506540845264413	0.39842213337371996	0.4844088849129844	0.678734513345229	0.8325499045117493	0.7162810740240864	0.8365879906145928	1.1526526483125548	1.2441079888238318	0.8104655952921412	0.5187531151248498	0.4470882823154487	0.001285586628129037	0.0007039779300069491
w13pp	0.27395895431687994	0.0	0.27019277245470935	0.27493476806889583	0.3324625726453353	0.32084126321839945	0.3212795183153668	0.2899772448080578	0.27643234361101465	0.26954520941356475	0.27334999631142476	0.29795309744359433	0.23087888190976324	0.43961206713589884	0.5255988186751632	0.7199244471074079	0.8737398382739281	0.7574710077862652	0.8777779243767716	1.1938425820747336	1.2852979225860106	0.8516555290543201	0.5599430488870286	0.48827821607762756	0.2742878270288264	0.2737062183307043
f2pp	0.2899679750713874	0.27019277245470935	0.0	0.034633371427052174	0.2552964359356072	0.24367512650867135	0.24411338160563867	0.2473661887473544	0.23382128755031123	0.22693415335286132	0.23073894025072134	0.2553420413828909	0.18826782584905977	0.45562108789040623	0.5416078394296707	0.7359334678619154	0.8897488590284356	0.7734800285407727	0.8937869451312791	1.209851602829241	1.301306943340518	0.8676645498088276	0.5759520696415361	0.504287236832135	0.29029684778333387	0.28971523908521174
w2pp	0.29470997068557386	0.27493476806889583	0.034633371427052174	0.0	0.26003843154979367	0.24841712212285783	0.24885537721982515	0.25210818436154087	0.2385632831644977	0.2316761489670478	0.23548093586490781	0.2600840369970774	0.19300982146324627	0.46036308350459276	0.5463498350438571	0.7406754634761018	0.894490854642622	0.7782220241549591	0.8985289407454655	1.2145935984434275	1.3060489389547045	0.872406545423014	0.5806940652557225	0.5090292324463215	0.29503884339752035	0.2944572346993982
F32H1	0.35223777526201333	0.3324625726453353	0.2552964359356072	0.26003843154979367	0.0	0.17254370622293708	0.1729819613199044	0.30963598893798033	0.2960910877409372	0.28920395354348727	0.2930087404413473	0.31761184157351685	0.25053762603968577	0.5178908880810322	0.6038776396202966	0.7982032680525413	0.9520186592190615	0.8357498287313986	0.956056745321905	1.2721214030198669	1.3635767435311439	0.9299343499994535	0.638221869832162	0.566557037022761	0.3525666479739598	0.3519850392758377
w24pp	0.3406164658350775	0.32084126321839945	0.24367512650867135	0.24841712212285783	0.17254370622293708	0.0	0.002220718688534656	0.2980146795110445	0.28446977831400133	0.2775826441165514	0.28138743101441144	0.305990532146581	0.2389163166127499	0.5062695786540964	0.5922563301933608	0.7865819586256054	0.9403973497921256	0.8241285193044627	0.9444354358949691	1.2605000935929311	1.3519554341042082	0.9183130405725176	0.6266005604052262	0.5549357275958251	0.34094533854702397	0.34036372984890184
s24H1	0.3410547209320448	0.3212795183153668	0.24411338160563867	0.24885537721982515	0.1729819613199044	0.002220718688534656	0.0	0.2984529346080118	0.28490803341096865	0.27802089921351875	0.28182568611137876	0.30642878724354833	0.23935457170971722	0.5067078337510637	0.5926945852903281	0.7870202137225728	0.940835604889093	0.8245667744014301	0.9448736909919365	1.2609383486898984	1.3523936892011754	0.918751295669485	0.6270388155021935	0.5553739826927925	0.3413835936439913	0.34080198494586916
w19pp	0.30975244742473584	0.2899772448080578	0.2473661887473544	0.25210818436154087	0.30963598893798033	0.2980146795110445	0.2984529346080118	0.0	0.026829655585589925	0.10353510987300316	0.15240234626099125	0.17700544739316076	0.16679715642710796	0.4754055602437547	0.5613923117830192	0.7557179402152638	0.909533331381784	0.7932645008941211	0.9135714174846276	1.2296360751825894	1.3210914156938665	0.887449022162176	0.5957365419948846	0.5240717091854835	0.3100813201366823	0.3094997114385602
w17pp	0.2962075462276927	0.27643234361101465	0.23382128755031123	0.2385632831644977	0.2960910877409372	0.28446977831400133	0.28490803341096865	0.026829655585589925	0.0	0.08999020867596001	0.1388574450639481	0.16346054619611763	0.1532522552300648	0.4618606590467116	0.5478474105859761	0.7421730390182206	0.895988430184741	0.779719599697078	0.9000265162875845	1.2160911739855462	1.3075465144968232	0.8739041209651328	0.5821916407978414	0.5105268079884404	0.29653641893963917	0.29595481024151704
w18pp	0.2893204120302428	0.26954520941356475	0.22693415335286132	0.2316761489670478	0.28920395354348727	0.2775826441165514	0.27802089921351875	0.10353510987300316	0.08999020867596001	0.0	0.13197031086649819	0.15657341199866773	0.1463651210326149	0.4549735248492617	0.5409602763885262	0.7352859048207707	0.889101295987291	0.7728324654996281	0.8931393820901345	1.2092040397880963	1.3006593802993733	0.8670169867676829	0.5753045066003915	0.5036396737909905	0.28964928474218926	0.28906767604406713
