	31700	531414	w11pp	w8pp	w25pp	w12pp	w9pp	w15pp	w20pp	w10pp	w31pp	w21pp	w29pp	w32pp	f30pp	w18pp	w27pp	w28pp	w13pp	31379	S27H1	S4Hp	F6H1	F14H1B	S21H1	S19H1	31328	31021	F22HpB	530055	S7Hp	S15Hp	F23HpA	S13Hp	31519	530258	530177	31300	31009	31428	31452
31700	0.0	0.3014399500898725	0.23018735165612014	0.24531233959281146	0.24953489975436918	0.27756692475304656	0.2508663024897475	0.2673573645743341	0.2679956258159893	0.26411187226453753	0.2673837743657378	0.3329816855460301	0.27892557430529963	0.26659119833347245	0.27962882535764977	0.2782882641195322	0.2743130674726955	0.2576559950714178	0.24956529964522858	0.26284564531503823	0.22962875484404857	0.21957215439038075	0.2534244510361659	0.26469778233873836	0.2867649592287256	0.24928270858131504	0.2406405313964723	0.2249755384911375	0.3302111730657326	0.28254974895627316	0.26351973982153726	0.26023084400163393	0.35752964729825976	0.32343305389440813	0.2822194803807911	0.26990710338136853	0.300709944935287	0.31876313839771686	0.21753132458863028	0.27736599276890295	0.28227644861712886
531414	0.3014399500898725	0.0	0.28416709421986996	0.2992920821565613	0.30351464231811903	0.3315466673167964	0.3048460450534973	0.32133710713808394	0.3219753683797391	0.31809161482828735	0.3213635169294876	0.38696142810977996	0.33290531686904945	0.32057094089722227	0.3336085679213996	0.33226800668328205	0.32829281003644534	0.3116357376351676	0.30354504220897843	0.37878980751700586	0.3455729170460162	0.3355163165923484	0.3693686132381335	0.380641944540706	0.40270912143069326	0.3652268707832827	0.3565846935984399	0.4533456265385652	0.5585812611131603	0.5109198370037009	0.49188982786896496	0.48860093204906163	0.5858997353456874	0.5518031419418359	0.5105895684282188	0.49827719142879623	0.5290800329827148	0.5471332264451445	0.445901412636058	0.5057360808163306	0.5106465366645565
w11pp	0.23018735165612014	0.28416709421986996	0.0	0.06360286014889058	0.06782542031044832	0.09585744530912568	0.06915682304582661	0.08564788513041323	0.08628614637206841	0.08240239282061662	0.08567429492181688	0.15127220610210926	0.09721609486137876	0.08488171888955157	0.0979193459137289	0.09657878467561133	0.09260358802877461	0.0759465156274969	0.06785582020130772	0.30753720908325344	0.2743203186122638	0.264263718158596	0.29811601480438116	0.30938934610695357	0.33145652299694084	0.29397427234953033	0.28533209516468755	0.3820930281048128	0.48732866267940794	0.4396672385699485	0.4206372294352126	0.41734833361530926	0.5146471369119351	0.48055054350808346	0.4393369699944664	0.42702459299504386	0.45782743454896235	0.4758806280113922	0.3746488142023056	0.4344834823825782	0.43939393823080414
w8pp	0.24531233959281146	0.2992920821565613	0.06360286014889058	0.0	0.038452556434109136	0.0664845814327865	0.03978395916948743	0.05627502125407405	0.056913282495729245	0.055636608430094395	0.07090692404117663	0.136504835221469	0.08244872398073849	0.07011434800891131	0.08315197503308865	0.08181141379497106	0.07783621714813435	0.06117914474685663	0.053088449320667454	0.3226621970199448	0.2894453065489552	0.2793887060952873	0.31324100274107247	0.32451433404364494	0.3465815109336322	0.3090992602862216	0.30045708310137886	0.39721801604150414	0.5024536506160993	0.4547922265066398	0.4357622173719039	0.4324733215520006	0.5297721248486265	0.4956755314447748	0.45446195793115773	0.4421495809317352	0.47295242248565367	0.4910056159480835	0.3897738021389969	0.44960847031926954	0.45451892616749545
w25pp	0.24953489975436918	0.30351464231811903	0.06782542031044832	0.038452556434109136	0.0	0.06369151707235798	0.036990894809058913	0.05348195689364553	0.05412021813530073	0.059859168591652134	0.07512948420273435	0.14072739538302673	0.08667128414229623	0.07433690817046903	0.08737453519464639	0.0860339739565288	0.08205877730969208	0.06540170490841436	0.057311009482225186	0.3268847571815025	0.29366786671051287	0.2836112662568451	0.3174635629026302	0.32873689420520263	0.3508040710951899	0.31332182044777934	0.3046796432629366	0.40144057620306184	0.506676210777657	0.4590147866681975	0.43998477753346166	0.43669588171355833	0.5339946850101841	0.4998980916063325	0.4586845180927155	0.44637214109329293	0.47717498264721137	0.4952281761096412	0.3939963623005547	0.4538310304808273	0.4587414863290532
w12pp	0.27756692475304656	0.3315466673167964	0.09585744530912568	0.0664845814327865	0.06369151707235798	0.0	0.05844051230332935	0.07493157438791596	0.07556983562957115	0.08789119359032949	0.10316150920141172	0.16875942038170408	0.1147033091409736	0.1023689331691464	0.11540656019332374	0.11406599895520617	0.11009080230836944	0.09343372990709173	0.08534303448090255	0.35491678218017986	0.3216998917091902	0.31164329125552237	0.3454955879013075	0.35676891920388	0.37883609609386726	0.3413538454464567	0.3327116682616139	0.42947260120173925	0.5347082357763344	0.4870468116668749	0.468016802532139	0.4647279067122357	0.5620267100088615	0.5279301166050099	0.48671654309139284	0.4744041660919703	0.5052070076458888	0.5232602011083186	0.42202838729923203	0.48186305547950464	0.48677351132773056
w9pp	0.2508663024897475	0.3048460450534973	0.06915682304582661	0.03978395916948743	0.036990894809058913	0.05844051230332935	0.0	0.04612974273542181	0.046768003977077	0.061190571327030416	0.07646088693811265	0.14205879811840502	0.08800268687767453	0.07566831090584733	0.08870593793002467	0.0873653766919071	0.08339018004507037	0.06673310764379266	0.05864241221760348	0.3282161599168808	0.29499926944589117	0.2849426689922233	0.31879496563800847	0.33006829694058093	0.3521354738305682	0.31465322318315764	0.30601104599831486	0.4027719789384402	0.5080076135130352	0.46034618940357586	0.4413161802688399	0.43802728444893657	0.5353260877455625	0.5012294943417108	0.4600159208280937	0.44770354382867117	0.4785063853825897	0.49655957884501956	0.3953277650359329	0.4551624332162056	0.4600728890644315
w15pp	0.2673573645743341	0.32133710713808394	0.08564788513041323	0.05627502125407405	0.05348195689364553	0.07493157438791596	0.04612974273542181	0.0	0.04355717968538611	0.07768163341161705	0.09295194902269927	0.15854986020299164	0.10449374896226114	0.09215937299043395	0.1051970000146113	0.10385643877649371	0.09988124212965699	0.08322416972837927	0.0751334743021901	0.3447072220014674	0.3114903315304778	0.30143373107680993	0.3352860277225951	0.34655935902516755	0.3686265359151548	0.33114428526774425	0.3225021080829015	0.4192630410230268	0.524498675597622	0.4768372514881625	0.45780724235342657	0.45451834653352324	0.5518171498301491	0.5177205564262974	0.4765069829126804	0.46419460591325784	0.49499744746717633	0.5130506409296062	0.4118188271205196	0.4716534953007922	0.4765639511490181
w20pp	0.2679956258159893	0.3219753683797391	0.08628614637206841	0.056913282495729245	0.05412021813530073	0.07556983562957115	0.046768003977077	0.04355717968538611	0.0	0.07831989465327223	0.09359021026435446	0.15918812144464684	0.10513201020391633	0.09279763423208914	0.10583526125626648	0.1044947000181489	0.10051950337131219	0.08386243097003446	0.07577173554384528	0.3453454832431226	0.31212859277213295	0.30207199231846515	0.3359242889642503	0.3471976202668227	0.36926479715681	0.3317825465093994	0.3231403693245567	0.419901302264682	0.5251369368392771	0.47747551272981764	0.45844550359508174	0.4551566077751784	0.5524554110718043	0.5183588176679526	0.47714524415433557	0.464832867154913	0.4956357087088315	0.5136889021712614	0.41245708836217476	0.47229175654244737	0.4772022123906733
w10pp	0.26411187226453753	0.31809161482828735	0.08240239282061662	0.055636608430094395	0.059859168591652134	0.08789119359032949	0.061190571327030416	0.07768163341161705	0.07831989465327223	0.0	0.08970645671290267	0.15530436789319502	0.10124825665246454	0.08891388068063735	0.10195150770481469	0.1006109464666971	0.0966357498198604	0.07997867741858267	0.07188798199239349	0.3414617296916708	0.3082448392206812	0.2981882387670134	0.33204053541279854	0.34331386671537095	0.3653810436053582	0.32789879295794766	0.31925661577310493	0.41601754871323016	0.5212531832878253	0.4735917591783658	0.45456175004363	0.45127285422372665	0.5485716575203524	0.5144750641165008	0.4732614906028838	0.46094911360346125	0.4917519551573797	0.5098051486198095	0.408573334810723	0.4684080029909956	0.4733184588392215
