	S1Hp	S9H1	F7H1	530119	S6Hp	S28Hp	530075	S15Hp	31519	31267	F16H1	S22Hp	S19H1	S25Hp	S13Hp	31160	530315	530258	31236	S17H1	31700	S20H1	31219	530331	S31Hp	530215	S30H1	530295	31750	s24H1	S29H1	S7Hp	530055	F32H1	F14H1B	S18H1	F6H1	530177	31300	F23HpA	S23Hp	530368	S14Hp	31328	31600	530167	S26Hp	530444	31452	S27H1
S1Hp	0.0	0.3271327372773444	0.3370464863239226	0.3524656693414598	0.349976478924929	0.36920820303605123	0.3600607239912987	0.28537513336942105	0.35598337729730145	0.3469599980361957	0.4269646874003883	0.4261169652200832	0.4084928802297746	0.3919581708671233	0.3250408676781297	0.36342810064272224	0.3538222686959056	0.3609918154677203	0.37075819007730715	0.3798175628075111	0.3530724771145082	0.3542273869165049	0.35690833401784594	0.3537266213688714	0.3082840990967674	0.39471216103495393	0.4066972422668461	0.3983675441932758	0.3741546159542451	0.3918925662191359	0.3856478819464674	0.3457193444263744	0.3673963882870393	0.36041049729571106	0.355422199228014	0.3525964047427265	0.35745070854301353	0.3463786984189083	0.3302679850255112	0.34768360461919645	0.34205523863148396	0.3597508732479427	0.35480695637142345	0.35345310677041886	0.34911526327018666	0.33692043733859667	0.3172489496488615	0.34088089042582603	0.35478486251056907	0.28906789556517004
S9H1	0.3271327372773444	0.0	0.23537362657861244	0.32709167356582947	0.3246024831492987	0.36024239804531116	0.35109491900055867	0.276409328378681	0.3470175723065614	0.33799419304545564	0.4179988824096482	0.4171511602293431	0.3995270752390345	0.38299236587638325	0.3160750626873896	0.3544622956519822	0.34485646370516554	0.35202601047698023	0.3617923850865671	0.37085175781677104	0.3441066721237681	0.34526158192576484	0.3479425290271059	0.3447608163781314	0.29931829410602734	0.38574635604421387	0.39773143727610605	0.38940173920253573	0.3651888109635051	0.3829267612283958	0.3766820769557273	0.33675353943563435	0.35843058329629923	0.351444692304971	0.3464563942372739	0.3436305997519865	0.34848490355227346	0.3374128934281682	0.3213021800347712	0.3387177996284564	0.33308943364074395	0.3507850682572027	0.3458411513806834	0.3444873017796788	0.34014945827944665	0.3279546323478566	0.30828314465812146	0.33191508543508597	0.345819057519829	0.32149760466509597
F7H1	0.3370464863239226	0.23537362657861244	0.0	0.3370054226124077	0.3345162321958769	0.3701561470918894	0.3610086680471368	0.2863230774252592	0.35693132135313965	0.3479079420920339	0.42791263145622643	0.42706490927592133	0.40944082428561274	0.39290611492296146	0.3259888117339679	0.3643760446985604	0.35477021275174375	0.36193975952355845	0.3717061341331453	0.38076550686334926	0.3540204211703463	0.3551753309723431	0.3578562780736841	0.35467456542470954	0.30923204315260555	0.3956601050907921	0.40764518632268426	0.399315488249114	0.37510256001008324	0.392840510274974	0.3865958260023056	0.34666728848221257	0.36834433234287745	0.36135844135154926	0.35637014328385214	0.35354434879856467	0.35839865259885173	0.3473266424747464	0.33121592908134934	0.34863154867503465	0.3430031826873221	0.36069881730378084	0.3557549004272616	0.354401050826257	0.3500632073260248	0.33786838139443487	0.3181968937046997	0.3418288344816642	0.35573280656640727	0.3314113537116742
530119	0.3524656693414598	0.32709167356582947	0.3370054226124077	0.0	0.31142234318954476	0.3855753301094266	0.376427851064674	0.3017422604427964	0.37235050437067685	0.3633271251095711	0.44333181447376363	0.44248409229345853	0.42486000730314993	0.40832529794049865	0.3414079947515051	0.3797952277160976	0.37018939576928095	0.37735894254109564	0.3871253171506825	0.39618468988088645	0.3694396041878835	0.3705945139898803	0.3732754610912213	0.37009374844224674	0.32465122617014275	0.4110792881083293	0.42306436934022146	0.4147346712666512	0.39052174302762044	0.4082596932925112	0.4020150090198428	0.36208647149974976	0.38376351536041464	0.37677762436908646	0.37178932630138933	0.36896353181610186	0.3738178356163889	0.3627458254922836	0.34663511209888653	0.36405073169257185	0.3584223657048593	0.37611800032131804	0.3711740834447988	0.3698202338437942	0.365482390343562	0.35328756441197207	0.3336160767222369	0.3572480174992014	0.37115198958394446	0.3468305367292114
S6Hp	0.349976478924929	0.3246024831492987	0.3345162321958769	0.31142234318954476	0.0	0.3830861396928958	0.3739386606481433	0.2992530700262656	0.369861313954146	0.36083793469304026	0.44084262405723285	0.43999490187692775	0.42237081688661915	0.40583610752396787	0.33891880433497423	0.3773060372995668	0.36770020535275016	0.37486975212456486	0.3846361267341517	0.39369549946435567	0.36695041377135273	0.36810532357334946	0.3707862706746905	0.367604558025716	0.32216203575361196	0.4085900976917985	0.4205751789236907	0.41224548085012036	0.3880325526110897	0.40577050287598043	0.39952581860331193	0.359597281083219	0.38127432494388386	0.3742884339525556	0.36930013588485855	0.36647434139957114	0.3713286451998581	0.36025663507575284	0.3441459216823558	0.361561541276041	0.3559331752883286	0.3736288099047873	0.368684893028268	0.3673310434272634	0.3629931999270313	0.3507983739954412	0.3311268863057061	0.3547588270826706	0.3686627991674136	0.3443413463126806
S28Hp	0.36920820303605123	0.36024239804531116	0.3701561470918894	0.3855753301094266	0.3830861396928958	0.0	0.3120737431506828	0.23738815252880519	0.30799639645668564	0.2989730171955799	0.41522685056700426	0.41437912838669916	0.39675504339639056	0.3802203340337393	0.31330303084474564	0.3516902638093382	0.3420844318625216	0.36186876699000553	0.3716351415995924	0.38069451432979634	0.3539494286367934	0.3682126850226781	0.3708936321240191	0.36771191947504456	0.32226939720294057	0.4086974591411271	0.4206825403730193	0.412352842299449	0.38813991406041826	0.40587786432530903	0.3996331800526406	0.3597046425325476	0.38138168639321246	0.3743957954018843	0.36940749733418715	0.3665817028488997	0.37143600664918675	0.36036399652508144	0.35380260127847674	0.37121822087216194	0.3655898548844495	0.38328548950090824	0.37834157262438894	0.37698772302338435	0.3726498795231522	0.36045505359156216	0.340783565901827	0.3644155066787915	0.37831947876353456	0.3635730704238028
530075	0.3600607239912987	0.35109491900055867	0.3610086680471368	0.376427851064674	0.3739386606481433	0.3120737431506828	0.0	0.19744597029018215	0.2680542142180626	0.25903083495695683	0.4060793715222517	0.40523164934194666	0.387607564351638	0.3710728549889868	0.30415555179999315	0.34254278476458566	0.332936952817769	0.35272128794525304	0.3624876625548399	0.37154703528504385	0.3448019495920409	0.3590652059779256	0.3617461530792666	0.35856444043029206	0.313121918158188	0.39954998009637455	0.4115350613282668	0.40320536325469647	0.37899243501566576	0.3967303852805565	0.39048570100788804	0.3505571634877951	0.3722342073484599	0.36524831635713173	0.36026001828943466	0.3574342238041472	0.3622885276044342	0.3512165174803289	0.3446551222337242	0.36207074182740945	0.35644237583969696	0.3741380104561557	0.3691940935796364	0.3678402439786318	0.36350240047839966	0.35130757454680966	0.3316360868570745	0.355268027634039	0.36917199971878206	0.3544255913790503
S15Hp	0.28537513336942105	0.276409328378681	0.2863230774252592	0.3017422604427964	0.2992530700262656	0.23738815252880519	0.19744597029018215	0.0	0.1562491093022539	0.14722573004114814	0.3313937809003741	0.330546058720069	0.3129219737297604	0.2963872643671091	0.22946996117811552	0.26785719414270803	0.2582513621958914	0.27803569732337535	0.2878020719329622	0.29686144466316616	0.27011635897016323	0.28437961535604794	0.2870605624573889	0.2838788498084144	0.2384363275363104	0.3248643894744969	0.3368494707063891	0.32851977263281884	0.3043068443937881	0.32204479465867886	0.3158001103860104	0.2758715728659174	0.2975486167265823	0.2905627257352541	0.285574427667557	0.2827486331822695	0.28760293698255657	0.27653092685845126	0.26996953161184656	0.2873851512055318	0.2817567852178193	0.29945241983427806	0.29450850295775877	0.29315465335675417	0.288816809856522	0.27662198392493204	0.2569504962351969	0.28058243701216135	0.29448640909690443	0.27974000075717265
31519	0.35598337729730145	0.3470175723065614	0.35693132135313965	0.37235050437067685	0.369861313954146	0.30799639645668564	0.2680542142180626	0.1562491093022539	0.0	0.12508219028108397	0.40200202482825453	0.4011543026479494	0.38353021765764084	0.3669955082949895	0.3000782051059959	0.3384654380705885	0.32885960612377185	0.34864394125125575	0.3584103158608426	0.36746968859104656	0.3407246028980436	0.35498785928392834	0.3576688063852693	0.35448709373629483	0.30904457146419084	0.39547263340237737	0.4074577146342695	0.39912801656069924	0.37491508832166853	0.3926530385865593	0.3864083543138908	0.3464798167937978	0.36815686065446274	0.3611709696631345	0.3561826715954374	0.35335687711014996	0.35821118091043697	0.3471391707863317	0.34057777553972696	0.3579933951334122	0.3523650291456997	0.37006066376215846	0.3651167468856392	0.3637628972846346	0.3594250537844024	0.34723022785281243	0.3275587401630773	0.3511906809400418	0.36509465302478483	0.35034824468505305
31267	0.3469599980361957	0.33799419304545564	0.3479079420920339	0.3633271251095711	0.36083793469304026	0.2989730171955799	0.25903083495695683	0.14722573004114814	0.12508219028108397	0.0	0.3929786455671488	0.39213092338684363	0.3745068383965351	0.35797212903388376	0.2910548258448902	0.32944205880948274	0.3198362268626661	0.33962056199015	0.34938693659973685	0.3584463093299408	0.3317012236369379	0.3459644800228226	0.3486454271241636	0.3454637144751891	0.3000211922030851	0.3864492541412716	0.39843433537316375	0.3901046372995935	0.3658917090605628	0.38362965932545356	0.37738497505278507	0.33745643753269206	0.359133481393357	0.35214759040202875	0.3471592923343316	0.3443334978490442	0.3491878016493312	0.338115791525226	0.3315543962786212	0.34897001587230647	0.343341649884594	0.3610372845010527	0.3560933676245335	0.3547395180235289	0.3504016745232967	0.3382068485917067	0.31853536090197154	0.34216730167893605	0.3560712737636791	0.3413248654239473
