	31219	S12Hp	w8pp	f8pp	w17pp	w11pp	w18pp	w3pp	w28pp	f7pp	w20pp	w10pp	f19pp	S18H1	530050	530451	530295	S14Hp	S17H1
31219	0.0	0.1848567443600097	1.49051600171804	1.5059951590083345	1.4997451379134732	1.55538506665805	1.50810103413689	1.5348169043505724	1.552218349527321	1.543661021307154	1.5019867221727627	1.5346917014976766	1.4353361833775924	0.3481352614551636	0.33046097135714303	0.33031848186410595	0.32927525948125447	0.30559096390284113	0.2326846613407248
S12Hp	0.1848567443600097	0.0	1.4641934557916778	1.4796726130819722	1.473422591987111	1.5290625207316877	1.4817784882105276	1.50849435842421	1.5258958036009587	1.5173384753807917	1.4756641762464004	1.5083691555713143	1.40901363745123	0.3218127155288013	0.30413842543078073	0.30399593593774366	0.3029527135548922	0.27926841797647883	0.2063621154143625
w8pp	1.49051600171804	1.4641934557916778	0.0	0.09519749261464652	0.08894747151978524	0.14458740026436195	0.097303367743202	0.12401923795688448	0.14142068313363304	0.13286335491346601	0.09118905577907488	0.12389403510398875	0.1138516235736207	1.518635827223926	1.5009615371259055	1.5008190476328684	1.4997758252500168	1.4760915296716035	1.4642965704559294
f8pp	1.5059951590083345	1.4796726130819722	0.09519749261464652	0.0	0.06958224657754601	0.12522217532212274	0.07793814280096278	0.10465401301464525	0.1220554581913938	0.11349812997122677	0.07182383083683565	0.10452881016174953	0.12933078086391503	1.5341149845142203	1.5164406944161999	1.5162982049231628	1.5152549825403112	1.4915706869618979	1.4797757277462238
w17pp	1.4997451379134732	1.473422591987111	0.08894747151978524	0.06958224657754601	0.0	0.09744792219859255	0.05016388967743259	0.07687975989111506	0.09428120506786361	0.08572387684769658	0.04404957771330546	0.07675455703821935	0.12308075976905374	1.527864963419359	1.5101906733213386	1.5100481838283015	1.50900496144545	1.4853206658670366	1.4735257066513625
w11pp	1.55538506665805	1.5290625207316877	0.14458740026436195	0.12522217532212274	0.09744792219859255	0.0	0.06648749009621199	0.11179501326688986	0.12919645844363842	0.12063913022347138	0.07896483108908026	0.12386261175183724	0.17872068851363046	1.5835048921639359	1.5658306020659154	1.5656881125728783	1.5646448901900267	1.5409605946116134	1.5291656353959393
w18pp	1.50810103413689	1.4817784882105276	0.097303367743202	0.07793814280096278	0.05016388967743259	0.06648749009621199	0.0	0.0645109807457299	0.08191242592247845	0.07335509770231143	0.0316807985679203	0.07657857923067729	0.1314366559924705	1.5362208596427758	1.5185465695447553	1.5184040800517182	1.5173608576688666	1.4936765620904533	1.4818816028747792
w3pp	1.5348169043505724	1.50849435842421	0.12401923795688448	0.10465401301464525	0.07687975989111506	0.11179501326688986	0.0645109807457299	0.0	0.07534499272082124	0.0870364294590234	0.04536213032463227	0.10329444944435978	0.15815252620615297	1.5629367298564583	1.5452624397584378	1.5451199502654007	1.5440767278825491	1.5203924323041358	1.5085974730884617
w28pp	1.552218349527321	1.5258958036009587	0.14142068313363304	0.1220554581913938	0.09428120506786361	0.12919645844363842	0.08191242592247845	0.07534499272082124	0.0	0.10443787463577194	0.06276357550138081	0.12069589462110833	0.17555397138290152	1.5803381750332068	1.5626638849351864	1.5625213954421493	1.5614781730592977	1.5377938774808844	1.5259989182652103
f7pp	1.543661021307154	1.5173384753807917	0.13286335491346601	0.11349812997122677	0.08572387684769658	0.12063913022347138	0.07335509770231143	0.0870364294590234	0.10443787463577194	0.0	0.046654786402996015	0.1121385664009413	0.1669966431627345	1.5717808468130399	1.5541065567150194	1.5539640672219823	1.5529208448391307	1.5292365492607174	1.5174415900450433
w20pp	1.5019867221727627	1.4756641762464004	0.09118905577907488	0.07182383083683565	0.04404957771330546	0.07896483108908026	0.0316807985679203	0.04536213032463227	0.06276357550138081	0.046654786402996015	0.0	0.07046426726655017	0.12532234402834336	1.5301065476786486	1.5124322575806282	1.512289768087591	1.5112465457047395	1.4875622501263261	1.475767290910652
w10pp	1.5346917014976766	1.5083691555713143	0.12389403510398875	0.10452881016174953	0.07675455703821935	0.12386261175183724	0.07657857923067729	0.10329444944435978	0.12069589462110833	0.1121385664009413	0.07046426726655017	0.0	0.15802732335325723	1.5628115270035625	1.545137236905542	1.544994747412505	1.5439515250296534	1.52026722945124	1.508472270235566
f19pp	1.4353361833775924	1.40901363745123	0.1138516235736207	0.12933078086391503	0.12308075976905374	0.17872068851363046	0.1314366559924705	0.15815252620615297	0.17555397138290152	0.1669966431627345	0.12532234402834336	0.15802732335325723	0.0	1.4634560088834783	1.4457817187854578	1.4456392292924207	1.4445960069095691	1.4209117113311558	1.4091167521154817
S18H1	0.3481352614551636	0.3218127155288013	1.518635827223926	1.5341149845142203	1.527864963419359	1.5835048921639359	1.5362208596427758	1.5629367298564583	1.5803381750332068	1.5717808468130399	1.5301065476786486	1.5628115270035625	1.4634560088834783	0.0	0.1753605565313633	0.17521806703832624	0.17417484465547475	0.21418148325527725	0.3219158301930528
530050	0.33046097135714303	0.30413842543078073	1.5009615371259055	1.5164406944161999	1.5101906733213386	1.5658306020659154	1.5185465695447553	1.5452624397584378	1.5626638849351864	1.5541065567150194	1.5124322575806282	1.545137236905542	1.4457817187854578	0.1753605565313633	0.0	0.0004239552064824919	0.022993196781950845	0.19650719315725673	0.3042415400950323
530451	0.33031848186410595	0.30399593593774366	1.5008190476328684	1.5162982049231628	1.5100481838283015	1.5656881125728783	1.5184040800517182	1.5451199502654007	1.5625213954421493	1.5539640672219823	1.512289768087591	1.544994747412505	1.4456392292924207	0.17521806703832624	0.0004239552064824919	0.0	0.022850707288913787	0.1963647036642197	0.3040990506019952
530295	0.32927525948125447	0.3029527135548922	1.4997758252500168	1.5152549825403112	1.50900496144545	1.5646448901900267	1.5173608576688666	1.5440767278825491	1.5614781730592977	1.5529208448391307	1.5112465457047395	1.5439515250296534	1.4445960069095691	0.17417484465547475	0.022993196781950845	0.022850707288913787	0.0	0.19532148128136823	0.30305582821914373
