	F7H1	S18H1	S9H1	S1Hp	f7pp	530295	S13Hp	S26Hp	S22Hp	F14H1B	31600
F7H1	0.0	0.2255044552252724	0.36218985210622945	1.035390835433237	1.058857040733761	1.1208186936041304	1.1169374930784817	1.1039852107125911	1.2000294940587741	1.1968046088361155	0.4101155226455117
S18H1	0.2255044552252724	0.0	0.2709589849841265	0.9441599683111341	0.9676261736116581	1.0295878264820275	1.0257066259563787	1.0127543435904882	1.1087986269366712	1.1055737417140126	0.3188846555234088
S9H1	0.36218985210622945	0.2709589849841265	0.0	0.8884760734793207	0.9119422787798447	0.9739039316502139	0.9700227311245654	0.9570704487586746	1.053114732104858	1.049889846882199	0.29588372482358144
S1Hp	1.035390835433237	0.9441599683111341	0.8884760734793207	0.0	0.2317769144808926	0.29373856735126197	0.2898573668256133	0.2769050844597226	0.37294936780590576	0.3697244825832471	0.9690847081505891
f7pp	1.058857040733761	0.9676261736116581	0.9119422787798447	0.2317769144808926	0.0	0.19894485535140224	0.22301670244233396	0.21006442007644324	0.3061087034226264	0.3028838181999677	0.992550913451113
530295	1.1208186936041304	1.0295878264820275	0.9739039316502139	0.29373856735126197	0.19894485535140224	0.0	0.2849783553127033	0.2720260729468126	0.3680703562929957	0.36484547107033705	1.0545125663214823
S13Hp	1.1169374930784817	1.0257066259563787	0.9700227311245654	0.2898573668256133	0.22301670244233396	0.2849783553127033	0.0	0.23035120018382227	0.3263954835300054	0.32317059830734673	1.0506313657958337
S26Hp	1.1039852107125911	1.0127543435904882	0.9570704487586746	0.2769050844597226	0.21006442007644324	0.2720260729468126	0.23035120018382227	0.0	0.2572720458329146	0.2540471606102559	1.037679083429943
S22Hp	1.2000294940587741	1.1087986269366712	1.053114732104858	0.37294936780590576	0.3061087034226264	0.3680703562929957	0.3263954835300054	0.2572720458329146	0.0	0.23117374234806234	1.1337233667761262
F14H1B	1.1968046088361155	1.1055737417140126	1.049889846882199	0.3697244825832471	0.3028838181999677	0.36484547107033705	0.32317059830734673	0.2540471606102559	0.23117374234806234	0.0	1.1304984815534675
31600	0.4101155226455117	0.3188846555234088	0.29588372482358144	0.9690847081505891	0.992550913451113	1.0545125663214823	1.0506313657958337	1.037679083429943	1.1337233667761262	1.1304984815534675	0.0
