	S29H1	F6H1	31160	31452	530258	S17H1	S22Hp	F14H1A	S15Hp	w18pp	S6Hp	S14Hp	f14ppB
S29H1	0.0	0.8812716954582159	0.9211144361623995	0.8921134843100906	0.8637332322150797	0.18059533535794897	0.147219828437063	0.17405197886854007	0.1967050310734477	0.12151195684406144	0.15060278990029266	0.23431619023208827	0.08927813255697989
F6H1	0.8812716954582159	0.0	0.7260440544754347	0.7320551408265847	0.7036748887315738	0.8887167979219869	0.8905263272278954	0.9173584776593725	0.9400115298642802	0.8648184556348939	0.9213861843593163	1.005099584691112	0.8600635270170036
31160	0.9211144361623995	0.7260440544754347	0.0	0.7718978815307682	0.7435176294357573	0.9285595386261705	0.930369067932079	0.9572012183635561	0.9798542705684636	0.9046611963390774	0.9612289250634999	1.0449423253952954	0.8999062677211872
31452	0.8921134843100906	0.7320551408265847	0.7718978815307682	0.0	0.7145146775824484	0.8995585867738616	0.9013681160797701	0.9282002665112472	0.9508533187161547	0.8756602444867685	0.932227973211191	1.0159413735429865	0.8709053158688783
530258	0.8637332322150797	0.7036748887315738	0.7435176294357573	0.7145146775824484	0.0	0.8711783346788506	0.8729878639847591	0.8998200144162363	0.9224730666211438	0.8472799923917576	0.9038477211161801	0.9875611214479757	0.8425250637738674
S17H1	0.18059533535794897	0.8887167979219869	0.9285595386261705	0.8995585867738616	0.8711783346788506	0.0	0.18984996712762853	0.21668211755910557	0.2393351697640132	0.16414209553462694	0.2207098242590494	0.30442322459084503	0.1593871669167367
S22Hp	0.147219828437063	0.8905263272278954	0.930369067932079	0.9013681160797701	0.8729878639847591	0.18984996712762853	0.0	0.10832507408449317	0.1679700446303446	0.09277697040095834	0.18733431733816341	0.27104771766995905	0.12601165999585073
F14H1A	0.17405197886854007	0.9173584776593725	0.9572012183635561	0.9282002665112472	0.8998200144162363	0.21668211755910557	0.10832507408449317	0.0	0.19480219506182167	0.11960912083243541	0.2141664677696405	0.29787986810143613	0.1528438104273278
S15Hp	0.1967050310734477	0.9400115298642802	0.9798542705684636	0.9508533187161547	0.9224730666211438	0.2393351697640132	0.1679700446303446	0.19480219506182167	0.0	0.11269003674545035	0.23681951997454814	0.3205329203063437	0.1754968626322354
w18pp	0.12151195684406144	0.8648184556348939	0.9046611963390774	0.8756602444867685	0.8472799923917576	0.16414209553462694	0.09277697040095834	0.11960912083243541	0.11269003674545035	0.0	0.16162644574516188	0.2453398460769575	0.10030378840284918
S6Hp	0.15060278990029266	0.9213861843593163	0.9612289250634999	0.932227973211191	0.9038477211161801	0.2207098242590494	0.18733431733816341	0.2141664677696405	0.23681951997454814	0.16162644574516188	0.0	0.22536774245926317	0.12939462145908037
S14Hp	0.23431619023208827	1.005099584691112	1.0449423253952954	1.0159413735429865	0.9875611214479757	0.30442322459084503	0.27104771766995905	0.29787986810143613	0.3205329203063437	0.2453398460769575	0.22536774245926317	0.0	0.213108021790876
f14ppB	0.08927813255697989	0.8600635270170036	0.8999062677211872	0.8709053158688783	0.8425250637738674	0.1593871669167367	0.12601165999585073	0.1528438104273278	0.1754968626322354	0.10030378840284918	0.12939462145908037	0.213108021790876	0.0
