	w16pp	w23pp	w8pp	w29pp	w31pp	F22HpB	S15Hp	F23HpA	31750	S23Hp	w11pp	w1pp	w9pp	w18pp	w24pp	w2pp	w10pp	w20pp	w26pp	w13pp	w22pp	w14pp	w32pp
w16pp	0.0	0.03383118089018261	0.09489202618372647	0.113495149797666	0.12133199988773086	0.5249013241406553	0.572116098123604	1.379771299192148	0.5825502995120863	0.567503104539187	0.1791334558156269	0.19474099517544619	0.14856108012523375	0.1560332471269467	0.14938046739731992	0.15565661793287996	0.12557600800370916	0.10346783099014176	0.09258472000162335	0.11547291049560668	0.13091988720358344	0.0998395769778741	0.0981219942963298
w23pp	0.03383118089018261	0.0	0.07711564607532223	0.09571876968926177	0.10355561977932662	0.5071249440322511	0.5543397180151998	1.3619949190837437	0.564773919403682	0.5497267244307827	0.16135707570722269	0.17696461506704195	0.1307847000168295	0.13825686701854245	0.1316040872889157	0.13788023782447573	0.10779962789530492	0.08569145088173753	0.07480833989321913	0.09769653038720245	0.11314350709517923	0.08206319686946986	0.08034561418792557
w8pp	0.09489202618372647	0.07711564607532223	0.0	0.10137076586994648	0.10920761596001133	0.5127769402129357	0.5599917141958844	1.3676469152644284	0.5704259155843667	0.5553787206114674	0.1670090718879074	0.18261661124772666	0.13643669619751422	0.14390886319922716	0.13725608346960042	0.14353223400516044	0.11345162407598963	0.09134344706242224	0.08046033607390383	0.10334852656788716	0.11879550327586394	0.08771519305015457	0.08599761036861028
w29pp	0.113495149797666	0.09571876968926177	0.10137076586994648	0.0	0.07830038346236642	0.48186970771529086	0.5290844816982395	1.3367396827667835	0.5395186830867218	0.5244714881138225	0.1361018393902625	0.15170937875008175	0.10552946369986933	0.11300163070158227	0.10634885097195551	0.11262500150751555	0.08254439157834474	0.06043621456477734	0.06829496084430868	0.09118315133829201	0.10663012804626879	0.09011284843794296	0.08839526575639864
w31pp	0.12133199988773086	0.10355561977932662	0.10920761596001133	0.07830038346236642	0.0	0.4529969517992932	0.5002117257822419	1.3078669268507856	0.5106459271707242	0.49559873219782485	0.10722908347426482	0.12283662283408409	0.07665670778387167	0.0841288747855846	0.07747609505595784	0.08375224559151788	0.07413351407581971	0.052025337062252305	0.07613181093437353	0.09902000142835686	0.11446697813633364	0.09794969852800779	0.09623211584646349
F22HpB	0.5249013241406553	0.5071249440322511	0.5127769402129357	0.48186970771529086	0.4529969517992932	0.0	0.17251159643536934	0.9801667975039129	0.18294579782385162	0.21376651577315103	0.4451000732838624	0.46070761264368165	0.44288660901171034	0.4503587760134233	0.44370599628379653	0.44998214681935655	0.47770283832874416	0.45559466131517673	0.47970113518729796	0.5025893256812813	0.518036302389258	0.5015190227809322	0.49980144009938793
S15Hp	0.572116098123604	0.5543397180151998	0.5599917141958844	0.5290844816982395	0.5002117257822419	0.17251159643536934	0.0	0.9666741772674462	0.16945317758738487	0.26098128975609974	0.49231484726681113	0.5079223866266304	0.49010138299465905	0.497573549996372	0.49092077026674524	0.49719692080230526	0.5249176123116929	0.5028094352981255	0.5269159091702467	0.5498040996642299	0.5652510763722067	0.5487337967638809	0.5470162140823367
F23HpA	1.379771299192148	1.3619949190837437	1.3676469152644284	1.3367396827667835	1.3078669268507856	0.9801667975039129	0.9666741772674462	0.0	0.7972229996810614	1.0686364908246433	1.2999700483353547	1.315577587695174	1.2977565840632028	1.3052287510649156	1.298575971335289	1.3048521218708489	1.3325728133802366	1.3104646363666692	1.3345711102387905	1.357459300732774	1.3729062774407506	1.3563889978324248	1.3546714151508805
31750	0.5825502995120863	0.564773919403682	0.5704259155843667	0.5395186830867218	0.5106459271707242	0.18294579782385162	0.16945317758738487	0.7972229996810614	0.0	0.27141549114458197	0.5027490486552934	0.5183565880151126	0.5005355843831413	0.5080077513848542	0.5013549716552275	0.5076311221907875	0.535351813700175	0.5132436366866077	0.5373501105587289	0.5602383010527122	0.575685277760689	0.5591679981523632	0.5574504154708189
S23Hp	0.567503104539187	0.5497267244307827	0.5553787206114674	0.5244714881138225	0.49559873219782485	0.21376651577315103	0.26098128975609974	1.0686364908246433	0.27141549114458197	0.0	0.48770185368239405	0.5033093930422133	0.48548838941024197	0.4929605564119549	0.48630777668232816	0.4925839272178882	0.5203046187272757	0.49819644171370836	0.5223029155858296	0.5451911060798129	0.5606380827877897	0.5441208031794639	0.5424032204979197
w11pp	0.1791334558156269	0.16135707570722269	0.1670090718879074	0.1361018393902625	0.10722908347426482	0.4451000732838624	0.49231484726681113	1.2999700483353547	0.5027490486552934	0.48770185368239405	0.0	0.08471428658455205	0.09711874068668193	0.10459090768839488	0.0979381279587681	0.10421427849432816	0.1319349700037158	0.10982679299014837	0.13393326686226958	0.1568214573562529	0.1722684340642297	0.15575115445590387	0.15403357177435956
w1pp	0.19474099517544619	0.17696461506704195	0.18261661124772666	0.15170937875008175	0.12283662283408409	0.46070761264368165	0.5079223866266304	1.315577587695174	0.5183565880151126	0.5033093930422133	0.08471428658455205	0.0	0.11272628004650119	0.12019844704821414	0.11354566731858737	0.11982181785414742	0.14754250936353502	0.12543433234996765	0.14954080622208887	0.1724289967160722	0.18787597342404896	0.1713586938157231	0.16964111113417882
w9pp	0.14856108012523375	0.1307847000168295	0.13643669619751422	0.10552946369986933	0.07665670778387167	0.44288660901171034	0.49010138299465905	1.2977565840632028	0.5005355843831413	0.48548838941024197	0.09711874068668193	0.11272628004650119	0.0	0.06485106219247909	0.05819828246285233	0.06447443299841236	0.10136259431332262	0.07925441729975521	0.10336089117187644	0.12624908166585977	0.14169605837383653	0.1251787787655107	0.1234611960839664
w18pp	0.1560332471269467	0.13825686701854245	0.14390886319922716	0.11300163070158227	0.0841288747855846	0.4503587760134233	0.497573549996372	1.3052287510649156	0.5080077513848542	0.4929605564119549	0.10459090768839488	0.12019844704821414	0.06485106219247909	0.0	0.04107991590477679	0.04735606644033684	0.10883476131503556	0.08672658430146815	0.11083305817358938	0.1337212486675727	0.14916822537554947	0.13265094576722364	0.13093336308567932
w24pp	0.14938046739731992	0.1316040872889157	0.13725608346960042	0.10634885097195551	0.07747609505595784	0.44370599628379653	0.49092077026674524	1.298575971335289	0.5013549716552275	0.48630777668232816	0.0979381279587681	0.11354566731858737	0.05819828246285233	0.04107991590477679	0.0	0.0224096988639765	0.1021819815854088	0.08007380457184139	0.10418027844396262	0.12706846893794593	0.14251544564592272	0.1259981660375969	0.12428058335605258
w2pp	0.15565661793287996	0.13788023782447573	0.14353223400516044	0.11262500150751555	0.08375224559151788	0.44998214681935655	0.49719692080230526	1.3048521218708489	0.5076311221907875	0.4925839272178882	0.10421427849432816	0.11982181785414742	0.06447443299841236	0.04735606644033684	0.0224096988639765	0.0	0.10845813212096883	0.08634995510740143	0.11045642897952265	0.13334461947350598	0.14879159618148274	0.1322743165731569	0.1305567338916126
