	w1pp	w20pp	w27pp	w2pp	w9pp	w8pp	w29pp	w25pp	w24pp	w11pp	w17pp	w23pp	f11pp	w4pp	w28pp	w3pp	w6pp	w16pp	f25pp	f22ppA	f16ppA	f14ppA	w18pp	f26pp	f31pp	f24pp	f12ppA	f12ppB	f20ppA	f17ppB	f1pp	f30pp	w32pp	w12pp	f19pp	f7pp	f10pp	f15pp	f14ppB	f16ppB	f6ppA	31333	31300	S23Hp	w26pp	f9pp	w15pp	w19pp	w10pp	w13pp	w14pp
w1pp	0.0	0.11084875484150264	0.11558673340940748	0.11867163490891255	0.09555279357763088	0.11472339206680399	0.09941649669365524	0.11631303741055313	0.1128627123895091	0.08946432475675195	0.07706864947502673	0.10547623126126801	0.10726126738259617	0.12533179741204487	0.1057376596045638	0.06270626260710276	0.15876261527673685	0.0959897568625182	0.09896661812452603	0.08972489603380843	0.07507845067964575	0.12133795816770504	0.05902919316198116	0.10412534998459477	0.11460514215209902	0.12005355284489772	0.11383288631251709	0.1021514188561205	0.09870452197210872	0.10566334604674318	0.11153933500508625	0.11134674547511772	0.12458233992717202	0.10307380885713655	0.07945821005307463	0.0823358516925151	0.12229414038643871	0.10643787071754707	0.09078346541859784	0.1070960848460713	0.0925785738497878	0.6788233692744741	0.6885642744141584	0.7340034809812201	0.06196797064915416	0.08658508544781271	0.10653328391626243	0.08304194070357648	0.11616131329351773	0.13983037075348131	0.04230997379158872
w20pp	0.11084875484150264	0.0	0.08347594408802732	0.0865608455875324	0.09643291967359867	0.11560351816277178	0.12040841824235964	0.13730495895925754	0.1338546339382135	0.11045624630545635	0.09806057102373114	0.12646815280997242	0.12825318893130058	0.14632371896074928	0.1267295811532682	0.08369818415580715	0.17975453682544124	0.1169816784112226	0.11995853967323042	0.11071681758251284	0.11068483312748878	0.15694434061554807	0.09463557560982418	0.1397317324324378	0.15021152459994203	0.15565993529274075	0.14943926876036012	0.13775780130396353	0.13431090441995172	0.14126972849458622	0.14714571745292926	0.14695312792296072	0.16018872237501502	0.13868019130497955	0.11506459250091766	0.11794223414035812	0.15790052283428174	0.1420442531653901	0.12638984786644086	0.14270246729391434	0.12818495629763083	0.7144297517223172	0.7241706568620014	0.7696098634290632	0.09757435309699718	0.12219146789565573	0.14213966636410547	0.1186483231514195	0.15176769574136073	0.17543675320132435	0.08994618258221165
w27pp	0.11558673340940748	0.08347594408802732	0.0	0.08257101311153556	0.10117089824150349	0.12034149673067661	0.12514639681026446	0.14204293752716235	0.13859261250611832	0.11519422487336117	0.10279854959163597	0.13120613137787723	0.1329911674992054	0.15106169752865412	0.13146755972117302	0.08843616272371199	0.18449251539334607	0.12171965697912743	0.12469651824113526	0.11545479615041766	0.1154228116953936	0.16168231918345288	0.099373554177729	0.14446971100034262	0.15494950316784686	0.16039791386064556	0.15417724732826493	0.14249577987186834	0.13904888298785656	0.14600770706249105	0.1518836960208341	0.15169110649086556	0.16492670094291986	0.1434181698728844	0.11980257106882247	0.12268021270826296	0.16263850140218655	0.1467822317332949	0.1311278264343457	0.14744044586181915	0.13292293486553566	0.719167730290222	0.7289086354299062	0.774347841996968	0.102312331664902	0.12692944646356055	0.14687764493201028	0.12338630171932433	0.15650567430926557	0.18017473176922916	0.09468416115011648
w2pp	0.11867163490891255	0.0865608455875324	0.08257101311153556	0.0	0.10425579974100857	0.12342639823018169	0.12823129830976954	0.14512783902666743	0.1416775140056234	0.11827912637286625	0.10588345109114104	0.1342910328773823	0.13607606899871047	0.1541465990281592	0.1345524612206781	0.09152106422321707	0.18757741689285115	0.1248045584786325	0.12778141974064033	0.11853969764992274	0.11850771319489868	0.16476722068295796	0.10245845567723408	0.1475546124998477	0.15803440466735194	0.16348281536015064	0.15726214882777	0.14558068137137342	0.14213378448736164	0.14909260856199613	0.15496859752033917	0.15477600799037064	0.16801160244242494	0.14650307137238947	0.12288747256832755	0.12576511420776804	0.16572340290169163	0.1498671332328	0.13421272793385078	0.15052534736132422	0.13600783636504074	0.7222526317897271	0.7319935369294114	0.7774327434964732	0.10539723316440708	0.13001434796306563	0.14996254643151535	0.1264712032188294	0.15959057580877065	0.18325963326873423	0.09776906264962155
w9pp	0.09555279357763088	0.09643291967359867	0.10117089824150349	0.10425579974100857	0.0	0.07585349346039584	0.10511245697848787	0.12200899769538576	0.11855867267434173	0.09516028504158458	0.08276460975985937	0.11117219154610064	0.1129572276674288	0.13102775769687752	0.11143361988939643	0.0684022228919354	0.16445857556156948	0.10168571714735083	0.10466257840935866	0.09542085631864107	0.09538887186361701	0.1416483793516763	0.07933961434595241	0.12443577116856602	0.13491556333607027	0.14036397402886897	0.13414330749648834	0.12246184004009175	0.11901494315607997	0.12597376723071446	0.1318497561890575	0.13165716665908897	0.14489276111114327	0.1233842300411078	0.09976863123704588	0.10264627287648637	0.14260456157040996	0.12674829190151832	0.11109388660256911	0.12740650603004255	0.11288899503375907	0.6991337904584454	0.7088746955981297	0.7543139021651915	0.08227839183312541	0.10689550663178396	0.12684370510023368	0.10335236188754773	0.13647173447748898	0.16014079193745256	0.07465022131833988
w8pp	0.11472339206680399	0.11560351816277178	0.12034149673067661	0.12342639823018169	0.07585349346039584	0.0	0.12428305546766098	0.1411795961845589	0.13772927116351485	0.1143308835307577	0.10193520824903249	0.13034279003527377	0.13212782615660193	0.15019835618605062	0.13060421837856956	0.0875728213811085	0.18362917405074258	0.12085631563652395	0.12383317689853177	0.11459145480781419	0.11455947035279013	0.16081897784084942	0.09851021283512552	0.14360636965773915	0.15408616182524337	0.1595345725180421	0.15331390598566147	0.14163243852926488	0.13818554164525307	0.14514436571988756	0.1510203546782306	0.15082776514826207	0.16406335960031637	0.1425548285302809	0.11893922972621901	0.12181687136565947	0.1617751600595831	0.14591889039069145	0.1302644850917422	0.14657710451921568	0.13205959352293217	0.7183043889476185	0.7280452940873028	0.7734845006543646	0.10144899032229852	0.12606610512095706	0.1460143035894068	0.12252296037672085	0.15564233296666208	0.1793113904266257	0.093820819807513
w29pp	0.09941649669365524	0.12040841824235964	0.12514639681026446	0.12823129830976954	0.10511245697848787	0.12428305546766098	0.0	0.06962121868231125	0.0797013756385686	0.056302988005811475	0.052632100429982495	0.08103968221622376	0.09593213339728804	0.11400266342673673	0.09440852561925567	0.06528154495465	0.16133789762428408	0.09856503921006544	0.10154190047207326	0.09230017838135568	0.09925257497964136	0.14551208246770064	0.08320331746197676	0.12829947428459038	0.13877926645209462	0.14422767714489332	0.1380070106125127	0.1263255431561161	0.12287864627210432	0.12983747034673881	0.13571345930508186	0.13552086977511332	0.14875646422716762	0.12724793315713215	0.10363233435307023	0.10650997599251072	0.1464682646864343	0.13061199501754267	0.11495758971859346	0.1312702091460669	0.11675269814978342	0.7029974935744697	0.712738398714154	0.7581776052812158	0.08614209494914976	0.11075920974780831	0.13070740821625804	0.10721606500357209	0.14033543759351333	0.16400449505347692	0.07851392443436424
w25pp	0.11631303741055313	0.13730495895925754	0.14204293752716235	0.14512783902666743	0.12200899769538576	0.1411795961845589	0.06962121868231125	0.0	0.0965979163554665	0.07319952872270936	0.06952864114688038	0.09793622293312165	0.11282867411418593	0.13089920414363462	0.11130506633615356	0.08217808567154788	0.17823443834118197	0.11546157992696332	0.11843844118897115	0.10919671909825357	0.11614911569653925	0.16240862318459853	0.10009985817887465	0.14519601500148827	0.1556758071689925	0.1611242178617912	0.15490355132941058	0.143222083873014	0.1397751869890022	0.1467340110636367	0.15261000002197975	0.1524174104920112	0.1656530049440655	0.14414447387403004	0.12052887506996812	0.12340651670940861	0.1633648054033322	0.14750853573444056	0.13185413043549135	0.1481667498629648	0.1336492388666813	0.7198940342913677	0.729634939431052	0.7750741459981138	0.10303863566604765	0.1276557504647062	0.14760394893315593	0.12411260572046998	0.15723197831041122	0.1809010357703748	0.09541046515126213
w24pp	0.1128627123895091	0.1338546339382135	0.13859261250611832	0.1416775140056234	0.11855867267434173	0.13772927116351485	0.0797013756385686	0.0965979163554665	0.0	0.03507088935399095	0.06607831612583635	0.09448589791207762	0.10937834909314188	0.12744887912259056	0.10785474131510951	0.07872776065050385	0.17478411332013793	0.11201125490591929	0.11498811616792712	0.10574639407720954	0.11269879067549522	0.1589582981635545	0.09664953315783062	0.14174568998044423	0.15222548214794848	0.15767389284074718	0.15145322630836655	0.13977175885196996	0.13632486196795818	0.14328368604259267	0.14915967500093572	0.14896708547096718	0.16220267992302148	0.140694148852986	0.11707855004892409	0.11995619168836458	0.15991448038228817	0.14405821071339653	0.12840380541444732	0.14471642484192077	0.13019891384563728	0.7164437092703236	0.7261846144100079	0.7716238209770697	0.09958831064500362	0.12420542544366217	0.1441536239121119	0.12066228069942594	0.1537816532893672	0.17745071074933078	0.0919601401302181
w11pp	0.08946432475675195	0.11045624630545635	0.11519422487336117	0.11827912637286625	0.09516028504158458	0.1143308835307577	0.056302988005811475	0.07319952872270936	0.03507088935399095	0.0	0.04267992849307921	0.07108751027932048	0.08597996146038475	0.10405049148983345	0.08445635368235238	0.05532937301774671	0.1513857256873808	0.08861286727316216	0.09158972853516997	0.08234800644445239	0.08930040304273808	0.13555991053079736	0.07325114552507347	0.11834730234768709	0.12882709451519134	0.13427550520799003	0.1280548386756094	0.11637337121921282	0.11292647433520103	0.11988529840983551	0.12576128736817857	0.12556869783821004	0.13880429229026434	0.11729576122022886	0.09368016241616695	0.09655780405560743	0.13651609274953103	0.12065982308063938	0.10500541778169017	0.12131803720916362	0.10680052621288014	0.6930453216375665	0.7027862267772508	0.7482254333443126	0.07618992301224647	0.10080703781090503	0.12075523627935476	0.0972638930666688	0.13038326565661004	0.15405232311657363	0.06856175249746095
