	S28Hp	w8pp	w1pp	w20pp	31071	31160	31328	31219	530444	S18H1	S12Hp	S20H1	S1Hp	S31Hp	31300	S19H1	F23HpA	S22Hp	F8H1	S17H1	530055	530295	F6H1	F7H1	31750	31009
S28Hp	0.0	0.8654196034782213	0.8326639495491712	0.795625109385447	0.5060575289967989	0.40363277737304937	0.34300045690959274	0.35060959145866955	0.3365354002400608	0.37199947238626807	0.3503710184930172	0.35326151230670955	0.35127946637833873	0.39392928417748285	0.38377724014116854	0.41355745032387203	0.4139477821791522	0.38511497925884675	0.3653869193136633	0.38799269783613777	0.36533490227077936	0.3527558086285766	0.3527680481550134	0.3353619459545663	0.3676991135997965	0.2934266804984651
w8pp	0.8654196034782213	0.0	0.44035963818866564	0.46550137022077503	0.8554084908041112	0.8963232364686194	0.8356909160051629	0.8433000505542396	0.8292258593356309	0.8646899314818383	0.8430614775885873	0.8459519714022797	0.8439699254739089	0.886619743273053	0.8764676992367386	0.9062479094194422	0.9066382412747224	0.8778054383544169	0.8580773784092335	0.880683156931708	0.8580253613663495	0.8454462677241468	0.8454585072505836	0.8280524050501366	0.8603895726953668	0.7861171395940353
w1pp	0.8326639495491712	0.44035963818866564	0.0	0.432745716291725	0.8226528368750611	0.8635675825395693	0.8029352620761128	0.8105443966251895	0.7964702054065808	0.8319342775527881	0.8103058236595372	0.8131963174732296	0.8112142715448588	0.8538640893440029	0.8437120453076885	0.8734922554903921	0.8738825873456723	0.8450497844253668	0.8253217244801834	0.8479275030026578	0.8252697074372994	0.8126906137950967	0.8127028533215335	0.7952967511210864	0.8276339187663166	0.7533614856649852
w20pp	0.795625109385447	0.46550137022077503	0.432745716291725	0.0	0.7856139967113369	0.8265287423758452	0.7658964219123886	0.7735055564614653	0.7594313652428566	0.794895437389064	0.773266983495813	0.7761574773095055	0.7741754313811346	0.8168252491802788	0.8066732051439645	0.836453415326668	0.8368437471819481	0.8080109442616425	0.7882828843164592	0.8108886628389336	0.7882308672735752	0.7756517736313725	0.7756640131578093	0.7582579109573623	0.7905950786025925	0.716322645501261
31071	0.5060575289967989	0.8554084908041112	0.8226528368750611	0.7856139967113369	0.0	0.5369611619871971	0.4763288415237405	0.4839379760728173	0.46986378485420854	0.5053278570004158	0.48369940310716497	0.4865898969208573	0.4846078509924865	0.5272576687916306	0.5171056247553163	0.5468858349380198	0.5472761667932999	0.5184433638729944	0.49871530392781105	0.5213210824502854	0.49866328688492706	0.48608419324272434	0.4860964327691611	0.468690330568714	0.5010274982139442	0.4267550651126128
31160	0.40363277737304937	0.8963232364686194	0.8635675825395693	0.8265287423758452	0.5369611619871971	0.0	0.2420568145735762	0.2780903411772122	0.29069443322519856	0.3261585053714059	0.304530051478155	0.32805715618371956	0.32607511025534874	0.36872492805449286	0.3585728840181785	0.38835309420088204	0.3887434260561622	0.3599106231358567	0.3401825631906733	0.3627883417131477	0.3401305461477893	0.3275514525055866	0.32756369203202335	0.31015758983157626	0.3424947574768065	0.26822232437547505
31328	0.34300045690959274	0.8356909160051629	0.8029352620761128	0.7658964219123886	0.4763288415237405	0.2420568145735762	0.0	0.21745802071375558	0.23006211276174193	0.26552618490794927	0.24389773101469836	0.26742483572026293	0.2654427897918921	0.3080926075910363	0.29794056355472187	0.3277207737374255	0.3281111055927056	0.2992783026724001	0.27955024272721674	0.3021560212496911	0.2794982256843327	0.26691913204212997	0.2669313715685668	0.2495252693681197	0.2818624370133499	0.20759000391201848
31219	0.35060959145866955	0.8433000505542396	0.8105443966251895	0.7735055564614653	0.4839379760728173	0.2780903411772122	0.21745802071375558	0.0	0.23767124731081873	0.27313531945702607	0.25150686556377516	0.27503397026933973	0.2730519243409689	0.31570174214011304	0.3055496981037987	0.3353299082865022	0.33572024014178237	0.3068874372214769	0.2871593772762935	0.3097651557987679	0.2871073602334095	0.27452826659120677	0.2745405061176435	0.25713440391719644	0.2894715715624267	0.21519913846109526
530444	0.3365354002400608	0.8292258593356309	0.7964702054065808	0.7594313652428566	0.46986378485420854	0.29069443322519856	0.23006211276174193	0.23767124731081873	0.0	0.23663642296756238	0.21500796907431144	0.260959779050731	0.25897773312236017	0.3016275509215043	0.2914755068851899	0.32125571706789346	0.3216460489231736	0.2928132460028681	0.2730851860576847	0.29569096458015914	0.27303316901480074	0.260454075372598	0.26046631489903477	0.24306021269858769	0.27539738034381794	0.2011249472424865
S18H1	0.37199947238626807	0.8646899314818383	0.8319342775527881	0.794895437389064	0.5053278570004158	0.3261585053714059	0.26552618490794927	0.27313531945702607	0.23663642296756238	0.0	0.21521178054283335	0.29642385119693826	0.29444180526856745	0.3370916230677116	0.32693957903139725	0.3567197892141008	0.35711012106938095	0.32827731814907546	0.30854925820389206	0.3311550367263665	0.3084972411610081	0.2959181475188053	0.2959303870452421	0.278524284844795	0.3108614524900253	0.23658901938869384
S12Hp	0.3503710184930172	0.8430614775885873	0.8103058236595372	0.773266983495813	0.48369940310716497	0.304530051478155	0.24389773101469836	0.25150686556377516	0.21500796907431144	0.21521178054283335	0.0	0.2747953973036874	0.2728133513753166	0.3154631691744607	0.30531112513814634	0.3350913353208499	0.33548166717613004	0.30664886425582455	0.28692080431064115	0.30952658283311557	0.28686878726775716	0.27428969362555444	0.2743019331519912	0.2568958309515441	0.28923299859677437	0.21496056549544293
S20H1	0.35326151230670955	0.8459519714022797	0.8131963174732296	0.7761574773095055	0.4865898969208573	0.32805715618371956	0.26742483572026293	0.27503397026933973	0.260959779050731	0.29642385119693826	0.2747953973036874	0.0	0.23103418728504485	0.273684005084189	0.26353196104787463	0.2933121712305782	0.2937025030858583	0.26486970016555283	0.24514164022036944	0.26774741874284386	0.24508962317748545	0.26411231282591713	0.26412455235235394	0.24671845015190685	0.27905561779713706	0.20478318469580564
S1Hp	0.35127946637833873	0.8439699254739089	0.8112142715448588	0.7741754313811346	0.4846078509924865	0.32607511025534874	0.2654427897918921	0.2730519243409689	0.25897773312236017	0.29444180526856745	0.2728133513753166	0.23103418728504485	0.0	0.1849593509771706	0.23228715457209478	0.26206736475479836	0.2624576966100785	0.23362489368977302	0.21389683374458957	0.2580117909188746	0.2353539953535162	0.2621302668975463	0.2621425064239831	0.24473640422353604	0.27707357186876624	0.20280113876743483
S31Hp	0.39392928417748285	0.886619743273053	0.8538640893440029	0.8168252491802788	0.5272576687916306	0.36872492805449286	0.3080926075910363	0.31570174214011304	0.3016275509215043	0.3370916230677116	0.3154631691744607	0.273684005084189	0.1849593509771706	0.0	0.27493697237123893	0.30471718255394253	0.3051075144092227	0.27627471148891714	0.25654665154373374	0.3006616087180187	0.2780038131526603	0.3047800846966905	0.30479232422312724	0.28738622202268016	0.3197233896679104	0.24545095656657898
