	f8pp	w9pp	f7pp	f18pp	f14ppB	f26pp	w10pp	w4pp	w25pp	s3pp	S18H1	w16pp
f8pp	0.0	0.1749104701508169	0.15069253293724033	0.17505650627960395	0.14221082561803805	0.1437658496634927	0.20451471967566587	0.17857085969785497	0.17657042723614863	0.21728965012659485	1.8944686916636426	0.10880935378061152
w9pp	0.1749104701508169	0.0	0.12496987544622998	0.14933384878859357	0.15006747456741343	0.15162249861286806	0.21237136862504125	0.18642750864723034	0.184427076185524	0.22514629907597022	1.902325340613018	0.15398128967566077
f7pp	0.15069253293724033	0.12496987544622998	0.0	0.08695806044092308	0.12584953735383683	0.12740456139929146	0.18815343141146462	0.16220957143365375	0.16020913897194738	0.20092836186239363	1.8781074033994414	0.12976335246208415
f18pp	0.17505650627960395	0.14933384878859357	0.08695806044092308	0.0	0.15021351069620045	0.15176853474165508	0.21251740475382824	0.18657354477601737	0.184573112314311	0.22529233520475725	1.9024713767418049	0.15412732580444777
f14ppB	0.14221082561803805	0.15006747456741343	0.12584953735383683	0.15021351069620045	0.0	0.0963603856795322	0.16559104047858592	0.13964718050077501	0.13764674803906868	0.1783659709295149	1.8555450124665624	0.12128164514288191
f26pp	0.1437658496634927	0.15162249861286806	0.12740456139929146	0.15176853474165508	0.0963603856795322	0.0	0.16714606452404054	0.14120220454622964	0.1392017720845233	0.17992099497496952	1.8571000365120172	0.12283666918833654
w10pp	0.20451471967566587	0.21237136862504125	0.18815343141146462	0.21251740475382824	0.16559104047858592	0.16714606452404054	0.0	0.1749826274428492	0.17298219498114284	0.21370141787158906	1.8908804594086368	0.18358553920050968
w4pp	0.17857085969785497	0.18642750864723034	0.16220957143365375	0.18657354477601737	0.13964718050077501	0.14120220454622964	0.1749826274428492	0.0	0.08943093315928863	0.15922734991633164	1.8364063914533792	0.15764167922269884
w25pp	0.17657042723614863	0.184427076185524	0.16020913897194738	0.184573112314311	0.13764674803906868	0.1392017720845233	0.17298219498114284	0.08943093315928863	0.0	0.15722691745462528	1.8344059589916728	0.15564124676099245
s3pp	0.21728965012659485	0.22514629907597022	0.20092836186239363	0.22529233520475725	0.1783659709295149	0.17992099497496952	0.21370141787158906	0.15922734991633164	0.15722691745462528	0.0	1.8435323886380275	0.19636046965143872
S18H1	1.8944686916636426	1.902325340613018	1.8781074033994414	1.9024713767418049	1.8555450124665624	1.8571000365120172	1.8908804594086368	1.8364063914533792	1.8344059589916728	1.8435323886380275	0.0	1.8735395111884865
w16pp	0.10880935378061152	0.15398128967566077	0.12976335246208415	0.15412732580444777	0.12128164514288191	0.12283666918833654	0.18358553920050968	0.15764167922269884	0.15564124676099245	0.19636046965143872	1.8735395111884865	0.0
